date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-24,985,985,985,1000,-15,2,75,73875
2022-02-22,1000,997,1000,1004,-4,3,625,623800
2021-04-28,1060,1055,1055,,1055,5,125,132025
2021-04-29,1060,1050,1055,1055,,7,635,670675
2021-05-02,1065,1050,1055,1055,,13,505,531900
2021-05-03,1060,1051,1055,1055,,17,1470,1553020
2021-05-04,1060,1046,1050,1055,-5,7,375,395175
2021-05-05,1065,1052,1052,1050,2,6,175,184900
2021-05-06,1070,1050,1060,1052,8,7,375,397125
2021-05-09,1070,1054,1070,1060,10,6,450,478850
2021-05-10,1065,1060,1060,1070,-10,3,150,159500
2021-05-11,1060,1060,1060,1060,,1,25,26500
2021-05-12,1070,1041,1070,1060,10,7,175,185975
2021-05-13,1075,1075,1075,1070,5,1,50,53750
2021-05-16,1075,1070,1075,1075,,5,150,160725
2021-05-17,1060,1060,1060,1075,-15,1,40,42400
2021-05-18,1065,1060,1065,1060,5,2,75,79625
2021-05-19,1065,1045,1065,1065,,8,525,555900
2021-05-20,1060,1060,1060,1065,-5,1,100,106000
2021-05-23,1069,1056,1056,1060,-4,9,600,638050
2021-05-24,1070,1060,1070,1056,14,7,250,266675
2021-05-25,1070,1065,1065,1070,-5,8,425,454500
2021-05-27,1085,1065,1070,1065,5,8,410,441125
2021-05-30,1070,1070,1070,1070,,1,150,160500
2021-05-31,1070,1052,1065,1070,-5,7,245,261505
2021-06-01,1085,1070,1085,1065,20,8,235,252800
2021-06-02,1085,1070,1085,1085,,2,115,124775
2021-06-06,1068,1068,1068,1085,-17,1,25,26700
2021-06-07,1080,1070,1075,1068,7,8,290,310475
2021-06-08,1085,1070,1080,1075,5,10,525,566375
2021-06-09,1080,1059,1080,1080,,2,50,53475
2021-06-10,1070,1070,1070,1080,-10,3,75,80250
2021-06-13,1090,1061,1090,1070,20,12,1325,1431050
2021-06-14,1090,1090,1090,1090,,9,450,490500
2021-06-15,1111,1089,1089,1090,-1,7,300,328550
2021-06-16,1100,1085,1085,1089,-4,4,125,136475
2021-06-17,1106,1080,1106,1085,21,7,355,390050
2021-06-20,1124,1085,1124,1106,18,9,1265,1397500
2021-06-21,1105,1105,1105,1124,-19,3,100,110500
2021-06-22,1110,1083,1105,1105,,7,260,283125
2021-06-23,1104,1083,1104,1105,-1,6,425,464575
2021-06-27,1126,1100,1126,1104,22,3,65,72265
2021-06-29,1104,1104,1104,1126,-22,1,25,27600
2021-07-04,1100,1082,1100,1104,-4,2,50,54550
2021-07-07,1085,1085,1085,1100,-15,1,25,27125
2021-07-08,1085,1085,1085,1085,,3,60,65100
2021-07-12,1085,1085,1085,1085,,1,25,27125
2021-07-13,1150,1106,1150,1085,65,6,485,545975
2021-07-14,1127,1127,1127,1150,-23,1,10,11270
2021-07-15,1105,1083,1083,1127,-44,2,45,49175
2021-07-18,1080,1060,1060,1083,-23,3,315,334800
2021-07-19,1047,1041,1047,1060,-13,4,400,417900
2021-07-20,1050,1041.4,1050,1047,3,4,200,209420
2021-07-22,1050,1041,1041,1050,-9,12,1700,1775325
2021-07-25,1050,1045,1050,1041,9,5,380,398380
2021-07-26,1070,1050,1070,1050,20,8,375,399000
2021-07-28,1069,1060,1060.2,1070,-9.8,6,725,768605
2021-08-01,1058,1039,1058,1060.2,-2.2,4,225,234882.5
2021-08-02,1058,1058,1058,1058,,1,100,105800
2021-08-03,1042,1042,1042,1058,-16,1,25,26050
2021-08-04,1052,1045,1052,1042,10,5,150,156957.5
2021-08-05,1053.1,1050,1053.1,1052,1.1,2,150,157810
2021-08-08,1054,1053.1,1053.1,1053.1,,3,225,237037.5
2021-08-09,1071,1050,1052.1,1053.1,-1,5,250,265202.5
2021-08-10,1070,1050,1070,1052.1,17.9,9,686,722153.1
2021-08-12,1060,1060,1060,1070,-10,4,150,159000
2021-08-16,1065,1060,1065,1060,5,2,75,79625
2021-08-17,1046,1046,1046,1065,-19,1,50,52300
2021-08-18,1076.1,1055,1060.3,1046,14.3,7,520,553577
2021-08-19,1060,1055,1060,1060.3,-0.3,4,215,227135
2021-08-25,1055,1050,1050,1060,-10,2,2000,2105000
2021-08-26,1060,1050,1060,1050,10,5,1350,1422600
2021-08-29,1055,1035,1035,1060,-25,4,1100,1158500
2021-08-31,1040.2,1040.2,1040.2,1035,5.2,1,80,83216
2021-09-01,1042,1042,1042,1040.2,1.8,1,100,104200
2021-09-02,1049.1,1049,1049,1042,7,3,420,440585
2021-09-05,1049.1,1046,1046,1049,-3,6,1221,1280786
2021-09-06,1056,1045,1046,1046,,7,455,476900
2021-09-07,1066,1030.1,1046,1046,,6,798,827242.3
2021-09-09,1055,1055,1055,1046,9,1,25,26375
2021-09-12,1055,1055,1055,1055,,4,285,300675
2021-09-14,1054,1045.1,1054,1055,-1,4,2200,2308150
2021-09-15,1060,1050,1054,1054,,4,325,342100
2021-09-16,1045,1045,1045,1054,-9,1,200,209000
2021-09-20,1045,1045,1045,1045,,3,376,392920
2021-09-21,1045,1035,1045,1045,,3,1000,1040000
2021-09-23,1045,1045,1045,1045,,1,200,209000
2021-09-26,1051,1051,1051,1045,6,2,1000,1051000
2021-09-27,1045,1045,1045,1051,-6,3,175,182875
2021-09-29,1045,1024.1,1024.1,1045,-20.9,2,2050,2141205
2021-09-30,1025,1024.1,1025,1024.1,0.9,2,125,128035
2021-10-03,1025,1024,1024,1025,-1,5,200,204880
2021-10-04,1040,1030,1040,1024,16,4,125,129500
2021-10-05,1035,1025.1,1035,1040,-5,4,210,216901
2021-10-06,1032,1030,1032,1035,-3,3,1500,1547750
2021-10-18,1015.1,1015,1015,1032,-17,2,260,263905
2021-10-19,1005,1005,1005,1015,-10,1,15,15075
2021-10-24,1025,1025,1025,1005,20,1,50,51250
2021-10-25,1035,1030,1035,1025,10,2,125,129250
2021-10-27,1016,1015.5,1015.5,1035,-19.5,2,100,101562.5
2021-10-28,1015,1015,1015,1015.5,-0.5,2,75,76125
2021-10-31,1020,1015,1015,1015,,2,75,76375
2021-11-02,1035.3,1035.3,1035.3,1015,20.3,1,35,36235.5
2021-11-08,1035.5,1035,1035,1035.3,-0.3,5,340,351925
2021-11-11,1035,1035,1035,1035,,1,25,25875
2021-11-14,1020,1015,1020,1035,-15,2,190,193050
2021-11-17,1030,1020,1030,1020,10,2,130,132900
2021-11-21,1035,1020,1035,1030,5,6,550,567100
2021-11-22,1025,1025,1025,1035,-10,1,70,71750
2021-11-25,1025,1006,1006,1025,-19,5,375,378795
2021-11-30,1026.1,1026.1,1026.1,1006,20.1,1,10,10261
2021-12-02,1011,1011,1011,1026.1,-15.1,1,100,101100
2021-12-05,1000.3,1000,1000,1011,-11,6,550,550015
2021-12-07,1015,1013,1015,1000,15,3,250,253550
2021-12-08,1015,1014.9,1015,1015,,3,850,862745
2021-12-09,1015,1015,1015,1015,,1,30,30450
2021-12-15,1015,1015,1015,1015,,1,25,25375
2021-12-16,1015,1015,1015,1015,,4,100,101500
2021-12-20,1015,1015,1015,1015,,2,225,228375
2021-12-21,1015,1015,1015,1015,,1,50,50750
2021-12-22,1015,1015,1015,1015,,2,210,213150
2021-12-23,1015,1015,1015,1015,,1,25,25375
2021-12-27,1030,1015,1030,1015,15,5,575,584325
2021-12-28,1050,1045,1050,1030,20,2,100,104875
2022-01-02,1071,1050,1071,1050,21,2,1990,2127615
2022-01-04,1050,1050,1050,1071,-21,1,500,525000
2022-01-05,1050,1050,1050,1050,,1,25,26250
2022-01-06,1060,1050,1050,1050,,2,225,238250
2022-01-09,1071,1020,1071,1050,21,5,410,425210
2022-01-11,1091,1074,1091,1071,20,5,700,752500
2022-01-25,1069.2,994.7,1000,1091,-91,13,1375,1372259.5
2022-01-26,1005,1000,1005,1000,5,4,625,625500
2022-01-27,1005,1005,1005,1005,,1,30,30150
2022-01-30,1001,1000,1001,1005,-4,3,350,350050
2022-01-31,1001,1001,1001,1001,,1,200,200200
2022-02-01,1005,995,1005,1001,4,11,1800,1799052.5
2022-02-03,990,985,988,1005,-17,5,325,320502.5
2022-02-06,995,995,995,988,7,3,125,124375
2022-02-07,1004,1004,1004,995,9,2,600,602400
2022-02-08,1004,1004,1004,1004,,4,740,742960
2022-02-09,1004,1004,1004,1004,,1,25,25100
2022-02-16,1004,1004,1004,1004,,12,2000,2008000
2022-02-28,989.4,970,989.4,985,4.4,2,24,23551.6
2022-03-06,989.4,989.4,989.4,989.4,,1,25,24735
2022-03-07,989.4,989.4,989.4,989.4,,4,2000,1978800
2022-03-09,980,975,975,989.4,-14.4,4,1800,1755050
2022-03-15,955.6,955.5,955.5,975,-19.5,2,250,238877.5
2022-03-21,965,965,965,955.5,9.5,2,52,50180
2022-03-22,984,975,984,965,19,2,200,195900
2022-03-27,964.4,964.4,964.4,984,-19.6,1,50,48220
2022-04-11,1003.2,983.2,983.2,964.4,18.8,3,125,123420
2022-04-17,983.2,983.2,983.2,983.2,,1,130,127816
2022-04-20,990,990,990,983.2,6.8,1,35,34650
2022-04-21,990,975,990,990,,6,1800,1767000
2022-04-25,990,990,990,990,,1,100,99000
2022-05-08,980.1,980.1,980.1,990,-9.9,1,30,29403
2022-05-10,961,961,961,980.1,-19.1,2,100,96100
2022-05-12,952,951.3,952,961,-9,2,50,47582.5
2022-05-18,958,958,958,952,6,1,50,47900
2022-05-23,948.7,946,946,958,-12,7,400,378640
