date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-03-23,328.6,298.8,328.6,0,328.6,58,3220,1055530.8
2023-03-26,361.4,335,361.4,328.6,32.799999999999955,98,980,353522
2023-03-27,397.5,368.6,397.5,361.4,36.10000000000002,373,6410,2547264
2023-03-28,437.2,405.4,437.2,397.5,39.69999999999999,533,5420,2368772
2023-03-29,480.9,445,448,437.2,10.800000000000011,3638,52292,23775403.1
2023-03-30,450,430.4,437.6,448,-10.399999999999977,1751,23220,10186483
2023-04-02,440,404,419.1,437.6,-18.5,1269,19656,8296047
2023-04-03,412,390.2,398,419.1,-21.100000000000023,771,16906,6727166.8
2023-04-04,407.9,388,393.6,398,-4.399999999999977,399,5547,2197591.3
2023-04-05,408.9,388.2,408.9,393.6,15.299999999999955,391,7492,2996571
2023-04-06,411,401,407,408.9,-1.8999999999999773,343,5440,2205475.5
2023-04-09,402,390.1,392,407,-15,275,5680,2242547
2023-04-10,406,382.7,398.9,392,6.899999999999977,280,5370,2089464.1
2023-04-11,399,390,398,398.9,-0.8999999999999773,275,3836,1513311
2023-04-12,417.9,391.1,417.9,398,19.899999999999977,387,6880,2818297.2
2023-04-13,434,402.2,434,417.9,16.100000000000023,345,7351,3023348.5
2023-04-16,430,400,400,434,-34,322,19740,8082087
2023-04-17,400,392.3,400,400,0,191,3120,1234922
2023-04-18,398,386,396.5,400,-3.5,117,2600,1024715
2023-04-19,399.8,392,397,396.5,0.5,126,1840,728255
2023-04-20,404.9,385,394,397,-3,160,6555,2555631
2023-04-23,390,375.1,376,394,-18,181,4040,1536140.3
2023-04-24,380,367.1,378,376,2,182,3151,1176905.8
2023-04-25,382,360.9,379,378,1,205,7262,2696263.6
2023-04-26,385,371.5,376,379,-3,154,3490,1305532
2023-04-27,380,365.2,374,376,-2,147,6634,2439882
2023-04-30,375,352,359,374,-15,184,10243,3694226
2023-05-02,369,347.1,369,359,10,154,3222,1135850.2
2023-05-03,369,348,358,369,-11,135,3370,1201804
2023-05-04,361,346,358,358,0,96,1720,604667
2023-05-07,350.9,341,347.8,358,-10.199999999999989,107,1800,620222
2023-05-08,343.3,330.1,337,347.8,-10.800000000000011,106,1890,634057
2023-05-09,349,330.1,343,337,6,107,2590,884419
2023-05-10,351.9,335.1,351.9,343,8.899999999999977,85,1122,385158
2023-05-11,354,335.6,335.6,351.9,-16.299999999999955,58,1992,677154
2023-05-14,342.3,330.3,334,335.6,-1.6000000000000227,95,1902,635775
2023-05-15,337,323,328,334,-6,78,1090,358092
2023-05-16,335,323,330.1,328,2.1000000000000227,84,3350,1101873
2023-05-17,336,325,335.9,330.1,5.7999999999999545,75,1570,523170
2023-05-18,351,330.4,350,335.9,14.100000000000023,132,7120,2459646
2023-05-21,364,338,345,350,-5,125,6066,2084798.6
2023-05-22,351.9,332.2,343.5,345,-1.5,91,2604,888462
2023-05-23,365,340,365,343.5,21.5,191,20052,7087406.2
2023-05-24,371.9,359,368.4,365,3.3999999999999773,164,5575,2041772
2023-05-28,377.4,353,377.4,368.4,9,236,15729,5716649.5
2023-05-30,369.9,348.7,362.9,377.4,-14.5,177,13364,4735298.3
2023-05-31,356,327.5,327.5,362.9,-35.39999999999998,166,13708,4672128.3
2023-06-01,350,323.6,344.1,327.5,16.600000000000023,133,5851,1971283.5
2023-06-04,362,338.1,361.9,344.1,17.799999999999955,116,5460,1928995
2023-06-05,367,338,349.9,361.9,-12,159,10704,3738716.7
