date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,313,295,306,307,-1,561,101260,30943243.8
2022-02-21,313,306,310,306,4,266,37422,11591741.1
2022-02-23,335,313,323.9,312,11.9,1177,207908,67145897.2
2022-02-24,330,311,313,323.9,-10.9,813,132537,42096821.9
2022-02-22,317,311.1,312,310,2,363,69622,21882360.6
2018-12-20,138,86,102,88,14,75,1245,125345
2018-12-23,104,98,104,102,2,190,2920,295210
2018-12-24,106,100,102,104,-2,142,2320,239350
2018-12-25,102,98,101,102,-1,35,590,58880
2018-12-26,102,100,101,101,,26,390,39490
2018-12-27,102,99,99,101,-2,55,840,84240
2018-12-30,100,98,99,99,,28,420,41400
2018-12-31,100,98,98,99,-1,70,1320,131000
2019-01-01,98,96,97,98,-1,69,1030,100150
2019-01-02,97,95,96,97,-1,38,570,54690
2019-01-03,96,93,93,96,-3,52,760,71540
2019-01-06,95,92,95,93,2,150,2540,237220
2019-01-07,94,90,91,93,-2,95,1770,161160
2019-01-08,95,89,95,91,4,132,1560,142000
2019-01-09,95,92,94,95,-1,80,1186,110724
2019-01-10,95,92,94,94,,88,1480,138550
2019-01-13,94,88,90,94,-4,51,1170,107100
2019-01-14,91,89,89,90,-1,37,1280,115446
2019-01-15,92,89,92,89,3,16,2000,181410
2019-01-16,92,90,91,92,-1,32,470,42560
2019-01-17,91,89,89,91,-2,67,1120,100610
2019-01-20,89,86,87,89,-2,9,120,10470
2019-01-21,87,79,81,87,-6,106,1570,130240
2019-01-22,82,79,80,81,-1,69,1080,86530
2019-01-23,86,80,86,80,6,33,620,51730
2019-01-24,86,83,86,86,,59,911,76784
2019-01-27,88,84,86,86,,79,1230,106280
2019-01-28,86,83,84,86,-2,35,500,42300
2019-01-29,85,82,84,84,,52,999,82628
2019-01-30,86,83,84,84,,60,1130,96130
2019-01-31,86,84,85,84,1,49,1080,91970
2019-02-03,85,83,85,85,,53,779,65726
2019-02-04,85,78,81,85,-4,29,610,49780
2019-02-05,85,80,85,81,4,29,400,33200
2019-02-06,85,84,84,85,-1,48,780,66140
2019-02-07,85,81,83,84,-1,65,1050,87650
2019-02-10,85,81,82,83,-1,67,990,82380
2019-02-11,83,80,81,82,-1,47,670,54760
2019-02-12,84,81,84,81,3,38,510,41950
2019-02-13,84,80,82,84,-2,42,770,62820
2019-02-14,85,81,81,82,-1,48,710,58180
2019-02-17,83,79,82,81,1,46,660,53380
2019-02-18,83,81,81,82,-1,40,535,43870
2019-02-19,81,79,79,81,-2,18,230,18270
2019-02-20,80,78,79,79,,37,590,46650
2019-02-21,81,78,78,79,-1,115,1830,145830
2019-02-24,79,77,77,78,-1,88,1320,102550
2019-02-25,82,75,82,77,5,21,310,23890
2019-02-26,85,81,82,82,,42,625,51275
2019-02-27,85,81,85,82,3,48,2860,238690
2019-03-03,85,80,80,85,-5,23,510,41880
2019-03-05,81,78,80,80,,15,230,18300
2019-03-06,81,80,80,80,,14,200,16050
2019-03-07,82,77,80,80,,23,340,27040
2019-03-10,81,78,81,80,1,15,730,57270
2019-03-11,82,79,81,81,,24,320,25640
2019-03-12,82,79,80,81,-1,37,550,44330
2019-03-13,83,79,82,80,2,38,1105,90960
2019-03-14,86,82,85,82,3,29,820,68800
2019-03-17,89,84,84,85,-1,24,1400,123060
2019-03-18,83,81,83,84,-1,26,390,32080
2019-03-19,83,82,82,83,-1,8,120,9860
2019-03-21,83,81,82,82,,18,270,21940
2019-03-24,82,79,79,82,-3,53,880,70010
2019-03-25,80,77,79,79,,38,610,47920
2019-03-26,81,78,80,79,1,39,590,47080
2019-03-27,82,80,81,80,1,69,1820,147090
2019-03-28,82,79,81,81,,86,1330,106540
2019-03-31,81,80,80,81,-1,69,1080,86530
2019-04-01,82,80,80,80,,83,1390,111490
2019-04-02,81,79,81,80,1,58,1140,90890
2019-04-03,82,78,80,81,-1,53,770,61930
2019-04-04,82,79,79,80,-1,41,800,64530
2019-04-07,81,78,79,79,,78,1130,88890
2019-04-08,80,77,78,79,-1,68,3860,303210
2019-04-09,85,77,81,78,3,68,2105,175825
2019-04-10,81,79,80,81,-1,35,580,46560
2019-04-11,81,78,79,80,-1,61,960,75770
2019-04-15,81,78,79,79,,47,850,66880
2019-04-16,81,78,80,79,1,24,360,28710
2019-04-17,81,79,81,80,1,20,400,31960
2019-04-18,82,78,82,81,1,22,370,29520
2019-04-21,82,82,82,82,,5,50,4100
2019-04-22,83,80,80,82,-2,14,200,16330
2019-04-23,80,78,80,80,,41,710,56210
2019-04-24,80,78,78,80,-2,45,700,54930
2019-04-25,79,77,78,78,,24,945,73495
2019-04-28,81,76,81,78,3,33,790,62170
2019-04-29,80,78,80,81,-1,15,240,19010
2019-04-30,82,78,80,80,,18,290,23030
2019-05-02,82,78,81,80,1,25,370,29390
2019-05-05,80,78,78,81,-3,21,341,26658
2019-05-06,79,77,79,78,1,25,320,25010
2019-05-07,80,77,78,79,-1,33,550,43150
2019-05-08,80,77,77,78,-1,25,1370,107610
2019-05-09,79,76,79,77,2,15,281,21747
2019-05-12,80,78,78,79,-1,22,1320,105150
2019-05-13,78,77,77,78,-1,24,460,35430
2019-05-14,78,76,78,77,1,30,469,35993
2019-05-15,80,79,79,78,1,45,839,66630
2019-05-16,80,77,77,79,-2,42,830,65190
2019-05-19,78,75,75,77,-2,38,1860,142170
2019-05-20,76,74,75,75,,58,1490,112590
2019-05-21,79,74,79,75,4,56,3660,280490
2019-05-22,86,78,82,79,3,73,2170,176620
2019-05-23,83,81,82,82,,53,1020,83870
2019-05-26,83,81,81,82,-1,12,170,13820
