date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,550,515.5,538,544,-6,786,125018,67123380
2022-02-21,545,529,544,538,6,421,58823,31851248.8
2022-02-23,557,546,547,548,-1,350,45152,24872834.7
2022-02-24,547,530,532,547,-15,639,88148,47259736.1
2022-02-22,557,545.1,548,544,4,541,64126,35448443
2017-04-16,326,297,326,,326,48,9361,3049746
2017-04-18,358,332,358,326,32,269,31151,11151161
2017-04-19,393,365,393,358,35,165,10034,3925883
2017-04-23,432,383,411,393,18,1499,110978,46161908
2017-04-24,408,385,402,411,-9,1316,53027,21169186
2017-04-25,418,393,408,402,6,1038,39076,15661810
2017-04-26,448,403,441,408,33,914,35032,14772788
2017-04-27,469,425,461,441,20,854,45822,20535199
2017-04-30,460,438,445,461,-16,655,52492,23543803
2017-05-02,455,434,444,445,-1,388,30617,13560470
2017-05-03,457,436,438,444,-6,423,24825,10963261
2017-05-04,450,435,447,438,9,703,51497,22794261
2017-05-07,450,437,439,447,-8,640,29759,13140253
2017-05-08,448,432,444,439,5,392,24419,10783817
2017-05-09,474,441,467,444,23,633,48134,22066936
2017-05-11,503,466,485,467,18,671,53131,25937106
2017-05-15,493,475,477,485,-8,245,20965,10072120
2017-05-16,485,472,480,477,3,246,12819,6103612
2017-05-17,484,472,481,480,1,250,14404,6902547
2017-05-18,493,473,490,481,9,218,25777,12366722
2017-05-21,485,465,484,490,-6,202,11480,5470031
2017-05-22,479,460,472,484,-12,153,8730,4112955
2017-05-23,483,465,468,472,-4,196,11209,5299349
2017-05-24,482,460,470,468,2,198,9904,4623727
2017-05-28,475,461,467,470,-3,242,7736,3594103
2017-05-30,469,450,460,467,-7,278,11667,5331994
2017-05-31,469,451,460,460,,228,8876,4058962
2017-06-01,462,454,460,460,,153,7009,3210837
2017-06-04,459,444,450,460,-10,279,8662,3914707
2017-06-05,455,443,450,450,,164,5406,2419731
2017-06-06,463,441,457,450,7,189,5992,2719007
2017-06-07,455,446,447,457,-10,279,11678,5241935
2017-06-08,449,437,448,447,1,222,9330,4126730
2017-06-11,445,429,430,448,-18,315,13870,6019824
2017-06-12,435,416,422,430,-8,194,10653,4516731
2017-06-13,430,416,422,422,,145,7280,3067322
2017-06-14,430,415,430,422,8,186,4893,2054570
2017-06-15,434,417,434,430,4,134,6410,2722549
2017-06-18,435,415,418,434,-16,100,2107,885873
2017-06-19,418,405,405,418,-13,146,4938,2024152
2017-06-20,421,400,412,405,7,155,4359,1781592
2017-06-21,416,406,416,412,4,131,8927,3674921
2017-06-22,420,415,418,416,2,67,2909,1215742
2017-06-25,439,418,438,418,20,134,5526,2368404
2017-06-27,439,427,429,438,-9,67,2938,1261901
2017-06-28,425,417,421,429,-8,59,1161,488843
2017-07-02,420,405,410,421,-11,144,3952,1623186
2017-07-03,418,405,406,410,-4,156,5055,2064916
2017-07-04,412,400,409,406,3,79,1815,739723
2017-07-05,417,405,417,409,8,114,3711,1510056
2017-07-06,425,409,425,417,8,70,1898,789357
2017-07-09,430,408,425,425,,168,5553,2328785
2017-07-10,425,401,415,425,-10,148,32236,13363029
2017-07-11,417,408,417,415,2,123,4924,2026748
2017-07-12,414,410,410,417,-7,108,3492,1436443
2017-07-13,413,405,409,410,-1,89,2146,877888
2017-07-16,415,401,415,409,6,165,5459,2208990
2017-07-17,416,407,412,415,-3,151,7175,2944449
2017-07-18,441,405,434,412,22,188,9889,4189454
2017-07-19,435,417,417,434,-17,150,10705,4508979
2017-07-20,422,415,417,417,,93,5106,2133496
2017-07-23,425,411,416,417,-1,142,5856,2430825
2017-07-24,423,411,412,416,-4,117,9148,3787907
2017-07-25,423,404,411,412,-1,146,3866,1598305
2017-07-26,416,410,415,411,4,133,6045,2497707
2017-07-27,414,409,412,415,-3,60,3964,1628987
2017-07-30,418,407,407,412,-5,97,11606,4751125
2017-07-31,423,400,418,407,11,156,8062,3311181
2017-08-01,420,404,420,418,2,117,6928,2825951
2017-08-02,416,408,411,420,-9,112,4182,1717301
2017-08-03,418,404,410,411,-1,170,3902,1598879
2017-08-06,411,402,407,410,-3,150,3548,1447024
2017-08-07,410,405,406,407,-1,131,3067,1247544
2017-08-09,405,397,400,406,-6,266,11476,4595925
2017-08-10,400,392,393,400,-7,199,8529,3360936
2017-08-13,400,376,381,393,-12,124,5335,2032823
2017-08-15,387,367,367,381,-14,116,5051,1879853
