date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,900,880,890,913,-23,200,11723,10446025.3
2022-02-21,900,883,894,890,4,118,6564,5852543.5
2022-02-23,909,882,885,899,-14,168,10971,9772670.2
2022-02-24,883,860,866,885,-19,227,16555,14346703.3
2022-02-22,903.1,894.2,899,894,5,130,9270,8315250.8
2010-05-12,364,337,337,,337,6,60,21010
2010-05-20,331,313,313,337,-24,4,100,32020
2010-05-23,307,285,285,313,-28,5,120,35210
2010-05-24,280,257,257,285,-28,6,140,37150
2010-05-25,252,232,232,257,-25,60,1840,427440
2010-05-26,228,209,209,232,-23,30,710,148940
2010-05-30,205,190,198,209,-11,40,1400,269520
2010-05-31,209,188,188,198,-10,135,5040,987120
2010-06-01,204,185,197,188,9,190,5040,976760
2010-06-02,198,188,198,197,1,114,2770,535800
2010-06-03,196,190,194,198,-4,146,4770,919080
2010-06-06,199,191,199,194,5,220,6650,1300810
2010-06-07,200,196,200,199,1,153,6690,1328920
2010-06-08,205,197,202,200,2,389,16790,3382510
2010-06-09,217,200,217,202,15,161,6220,1279060
2010-06-10,226,207,226,217,9,173,7160,1566910
2010-06-13,233,223,226,226,,296,13110,2983860
2010-06-14,229,219,222,226,-4,213,7790,1728590
2010-06-15,229,218,229,222,7,246,9170,2056680
2010-06-16,234,225,231,229,2,218,7550,1727770
2010-06-17,248,233,240,231,9,216,7820,1884690
2010-06-20,260,239,260,240,20,228,7620,1872680
2010-06-21,272,247,270,260,10,228,9650,2551960
2010-06-22,274,260,270,270,,370,15720,4249870
2010-06-23,271,251,255,270,-15,224,9010,2385540
2010-06-24,255,240,243,255,-12,199,7000,1713310
2010-06-28,245,229,230,243,-13,156,7940,1859260
2010-06-29,232,221,232,230,2,168,6720,1536030
2010-06-30,234,220,225,232,-7,311,12830,2923390
2010-07-01,239,229,231,225,6,149,2630,615400
2010-07-04,233,223,232,231,1,198,6420,1477040
2010-07-05,236,230,233,232,1,69,2210,513780
