date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,525,501.8,512.5,520.1,-7.6,1479,321830,165922835.5
2022-02-21,524.5,513,524,512.5,11.5,899,182696,95047001.9
2022-02-23,530,516,520.5,525,-4.5,810,173749,90822049
2022-02-24,522,506.1,511,520.5,-9.5,1260,232542,118840451
2022-02-22,534,521,525,524,1,925,194149,102312493.6
2015-11-18,307,301,307,,307,2,52,15808
2015-11-19,331,313,331,307,24,4,104,33488
2015-11-22,364,337,364,331,33,40,768,277628
2015-11-23,400,371,400,364,36,585,12360,4942162
2015-11-24,437,415,430,400,30,2146,46262,19670392
2015-11-25,434,403,406,430,-24,1333,25625,10629219
2015-11-26,400,390,395,406,-11,779,14443,5695725
2015-11-29,388,376,381,395,-14,737,15706,5983040
2015-11-30,397,380,384,381,3,407,9790,3776698
2015-12-01,400,381,400,384,16,534,11114,4362679
2015-12-02,405,390,398,400,-2,497,11339,4506235
2015-12-03,401,387,392,398,-6,306,11281,4443848
2015-12-06,401,388,398,392,6,724,14631,5814474
2015-12-07,408,395,397,398,-1,770,16125,6439248
2015-12-08,402,391,399,397,2,571,11962,4759243
2015-12-09,412,394,412,399,13,683,14731,5889411
2015-12-10,410,398,400,412,-12,499,13958,5604320
2015-12-13,401,393,400,400,,1045,23721,9482444
2015-12-14,400,398,398,400,-2,998,24112,9633905
2015-12-15,400,390,391,398,-7,420,8414,3318860
2015-12-16,400,390,393,391,2,779,16529,6529767
2015-12-17,399,386,391,393,-2,402,12164,4763233
2015-12-20,395,382,389,391,-2,370,7578,2933769
2015-12-21,389,376,378,389,-11,360,6813,2597003
2015-12-22,380,364,370,378,-8,301,7114,2649297
2015-12-23,376,366,372,370,2,451,12488,4630233
2015-12-24,385,365,379,372,7,592,11983,4449080
2015-12-27,385,366,385,379,6,463,9016,3345931
2015-12-28,380,370,371,385,-14,517,10572,3947314
2015-12-29,381,368,372,371,1,655,13555,5029450
2015-12-31,381,368,370,372,-2,565,11336,4216637
2016-01-03,377,362,369,370,-1,592,11849,4375998
2016-01-04,373,358,368,369,-1,449,9183,3351712
2016-01-05,375,350,375,368,7,1082,27876,10117332
