date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,471.2,456.2,465.3,475,-9.7,249,33847,15753555
2022-02-21,479,466.1,469,465.3,3.7,94,9350,4403662.5
2022-02-23,487,475,476,483,-7,100,10099,4856412
2022-02-24,480,458,461,476,-15,243,25936,12020567
2022-02-22,490,466,483,469,14,206,27305,13247356.9
2010-07-04,339,339,339,345,-6,1,25,8475
2010-07-11,339,339,339,339,,1,50,16950
2010-11-15,333,327,327,339,-12,2,21,6927
2010-11-21,321,321,321,327,-6,1,10,3210
2010-11-28,315,309,309,321,-12,2,20,6240
2010-11-29,303,303,303,309,-6,1,10,3030
2010-12-01,297,297,297,303,-6,1,10,2970
2010-12-02,292,292,292,297,-5,1,10,2920
2010-12-06,287,277,277,292,-15,3,30,8460
2010-12-07,272,252,252,277,-25,5,60,15820
2010-12-08,257,257,257,252,5,1,20,5140
2010-12-09,256,243,255,257,-2,8,126,31636
2010-12-15,255,255,255,255,,1,11,2805
2010-12-16,250,250,250,255,-5,1,2500,625000
2011-01-02,245,241,241,250,-9,2,24,5832
2011-01-04,237,237,237,241,-4,1,12,2844
2011-01-05,233,229,233,237,-4,3,63,14599
2011-01-06,241,237,241,233,8,2,36,8576
2011-01-09,237,237,237,241,-4,1,22,5214
2011-01-10,233,229,229,237,-8,2,33,7629
2011-01-12,233,225,233,229,4,5,187,42851
2011-01-24,170,170,170,233,-63,1,13,2210
2011-01-31,173,173,173,170,3,1,26,4498
2011-02-01,176,173,173,173,,4,342,59316
2011-02-02,176,176,176,173,3,1,25,4400
2011-02-03,173,173,173,176,-3,1,50,8650
2011-02-06,179,176,176,173,3,3,59,10441
2011-02-07,173,173,173,176,-3,1,242,41866
2011-02-08,176,170,176,173,3,3,311,53167
2011-02-09,179,173,179,176,3,3,191,33343
2011-02-10,176,170,170,179,-9,3,5071,864974
2011-02-13,167,167,167,170,-3,1,121,20207
2011-02-14,173,164,173,167,6,4,158,26281
2011-02-15,182,176,182,173,9,3,75,13425
2011-02-16,191,185,191,182,9,3,121,22895
2011-02-17,204,194,204,191,13,5,135,26740
2011-02-20,216,208,216,204,12,3,153,32544
2011-02-21,236,220,236,216,20,5,222,50148
2011-02-22,259,236,259,236,23,10,189,46018
2011-02-23,284,264,284,259,25,10,234,65336
2011-05-05,299,289,299,284,15,3,75,22000
2011-05-08,304,304,304,299,5,1,20,6080
2011-05-09,316,310,316,304,12,2,82,25552
2011-05-10,334,322,334,316,18,3,46,15130
2011-05-11,340,340,340,334,6,1,20,6800
2011-05-12,352,346,352,340,12,2,120,41880
2011-05-19,345,339,339,352,-13,2,50,17100
2011-05-25,358,345,358,339,19,3,55,19339
2011-05-30,379,365,379,358,21,3,125,46304
2011-05-31,386,386,386,379,7,1,22,8492
2011-06-26,400,393,400,386,14,2,44,17446
2011-06-29,415,408,415,400,15,2,30,12310
2011-06-30,430,423,430,415,15,2,30,12830
2011-07-11,450,422,450,430,20,6,112,48736
2011-07-19,459,459,459,450,9,1,242,111078
2011-07-20,465,459,465,459,6,2,272,125028
2011-07-25,474,474,474,465,9,1,14,6636
2011-09-22,483,483,483,474,9,1,14,6762
2011-10-19,485,485,485,483,2,2,484,234740
2011-11-29,494,494,494,485,9,1,20,9880
2012-01-02,503,503,503,494,9,1,22,11066
2012-01-18,493,475,475,503,-28,3,1815,878460
2012-02-08,466,448,448,475,-27,3,978,442680
2012-02-09,440,424,424,448,-24,3,340,146176
2012-02-29,432,432,432,424,8,1,22,9504
2012-03-14,311,294,294,432,-138,5,4356,1329306
2012-03-19,309,303,309,298,11,2,46,14034
2012-03-20,319,309,319,309,10,4,91,28605
2012-03-21,331,325,331,319,12,2,48,15756
2012-03-26,337,337,337,331,6,1,20,6740
2012-04-15,343,343,343,337,6,1,10,3430
2012-04-17,355,349,355,343,12,2,50,17570
2012-04-18,374,360,374,355,19,4,80,29260
2012-04-19,402,381,402,374,28,4,85,33120
2012-05-09,410,410,410,402,8,1,95,38950
2012-05-10,418,418,418,410,8,1,26,10868
2012-05-14,426,426,426,418,8,1,10,4260
2012-05-31,418,418,418,426,-8,1,10,4180
2012-09-06,430,426,430,418,12,2,36,15376
2012-09-12,430,422,430,430,,3,548,235408
2017-07-31,430,430,430,430,,2,60,25800
2017-08-02,422,422,422,430,-8,8,22746,1990680
2017-08-03,414,380,380,422,-42,20,1250,486860
2017-08-06,373,345,345,380,-35,5,445,160665
2017-08-07,339,339,339,345,-6,2,150,50850
2017-08-09,339,309,309,339,-30,16,2080,671160
2017-08-10,190,190,190,193,-3,2,120,22800
2017-08-13,189,189,189,190,-1,1,50,9450
2017-08-20,186,183,183,189,-6,3,18101,3366186
2017-08-24,180,165,165,183,-18,9,30940,5424410
2017-08-27,162,149,149,165,-16,16,1900,284850
2017-08-28,147,135,135,149,-14,22,6614,893790
2017-08-30,134,122,134,135,-1,36,17372,2166954
2017-08-31,140,136,140,134,6,5,4940,672140
2017-09-04,140,138,140,140,,3,500,69800
2017-09-06,142,136,138,140,-2,8,1660,229240
2017-09-07,140,136,136,138,-2,6,3320,461720
2017-09-10,134,123,125,136,-11,16,2960,369100
2017-09-11,123,119,119,125,-6,4,166,19854
2017-09-12,117,115,115,119,-4,2,40,4660
2017-09-13,118,110,118,115,3,10,5350,611910
2017-09-14,126,120,123,118,5,7,1000,123100
2017-09-17,126,124,126,123,3,2,146,18304
2017-09-18,132,128,130,126,4,7,2160,280800
2017-09-20,134,132,134,130,4,3,154,20348
2017-09-24,137,132,137,134,3,10,1890,253080
2017-09-25,136,135,135,137,-2,3,950,128290
2017-09-26,138,135,138,135,3,5,670,92050
2017-10-03,138,138,138,138,,1,50,6900
2017-10-04,136,134,134,138,-4,3,1150,155600
2017-10-08,133,131,133,134,-1,5,780,103310
2017-10-09,131,127,127,133,-6,5,810,104790
2017-10-11,127,120,122,127,-5,19,6000,738800
2017-10-12,127,123,127,122,5,9,1728,213470
2017-10-15,139,129,139,127,12,18,2700,372240
2017-10-16,152,141,152,139,13,12,5075,766200
2017-10-17,167,155,167,152,15,35,5990,998170
2017-10-18,170,151,152,167,-15,29,4140,652990
2017-10-23,149,147,149,152,-3,3,1025,152705
2017-10-24,151,148,148,149,-1,7,1476,220765
2017-10-25,149,145,145,148,-3,10,1610,236060
2017-10-29,143,139,139,145,-6,9,1780,249420
2017-10-30,139,135,139,139,,6,1670,228090
2017-10-31,141,141,141,139,2,2,31150,4392150
2017-11-01,139,137,137,141,-4,5,510,70010
2017-11-05,135,131,131,137,-6,5,530,69970
2017-11-06,131,130,130,131,-1,2,200,26100
2017-11-07,132,130,132,130,2,2,200,26200
2017-11-08,131,128,128,132,-4,3,210,27380
2017-11-12,136,130,136,128,8,4,350,46600
2017-11-13,138,136,136,136,,4,800,109200
2017-11-15,138,136,136,136,,8,1900,261400
2017-11-19,136,135,135,136,-1,2,700,95000
2017-11-20,133,131,131,135,-4,3,300,39500
2017-11-21,135,132,133,131,2,6,1601,211978
2017-11-22,133,131,133,133,,3,650,85350
2017-11-23,134,131,132,133,-1,6,31816,4230556
2017-11-27,134,130,132,132,,8,1345,175536
2017-11-28,134,130,134,132,2,9,15741,2047242
2017-11-29,136,134,136,134,2,2,240,32240
2017-11-30,138,136,136,136,,2,170,23320
2017-12-04,134,132,134,136,-2,3,400,53400
2017-12-05,133,133,133,134,-1,1,100,13300
2017-12-06,135,135,135,133,2,1,50,6750
2017-12-10,135,133,133,135,-2,2,750,99950
2017-12-13,133,131,132,133,-1,5,16550,2184600
2017-12-14,139,134,139,132,7,8,2546,344874
2017-12-17,140,139,140,139,1,3,500,69700
2017-12-18,144,142,142,140,2,4,900,128900
2017-12-21,142,138,138,142,-4,3,196,27540
2017-12-24,138,134,134,138,-4,3,16310,2249560
2017-12-26,132,130,130,134,-4,7,1555,202230
2017-12-31,128,128,128,130,-2,1,50,6400
2018-01-02,128,128,128,128,,1,100,12800
2018-01-03,127,126,127,128,-1,2,550,69800
2018-01-04,131,129,131,127,4,3,680,87940
2018-01-07,133,131,131,131,,2,160,21160
2018-01-09,139,133,139,131,8,4,50,6830
2018-01-22,137,133,133,139,-6,4,895,121155
2018-01-23,131,129,129,133,-4,9,1033,133452
2018-01-24,127,125,127,129,-2,5,480,60160
2018-01-25,129,127,129,127,2,4,600,76940
2018-01-28,129,127,129,129,,5,416,53644
2018-02-04,129,129,129,129,,1,200,25800
2018-02-06,129,125,125,129,-4,5,470,58810
2018-02-11,123,123,123,125,-2,1,100,12300
2018-02-12,121,121,121,123,-2,1,50,6050
2018-02-15,125,119,123,121,2,11,4990,604640
2018-02-18,123,121,121,123,-2,10,2910,354250
2018-02-20,123,120,121,121,,6,2300,280000
2018-02-26,123,123,123,121,2,1,10,1230
2018-02-27,123,122,123,123,,2,200,24550
2018-02-28,121,121,121,123,-2,2,1000,121000
2018-03-04,121,121,121,121,,4,678,82038
2018-03-05,119,119,119,121,-2,1,500,59500
2018-03-06,119,117,117,119,-2,5,1700,199300
2018-03-07,121,119,121,117,4,2,20,2400
2018-03-11,123,121,123,121,2,4,310,38110
2018-03-12,124,122,124,123,1,6,1347,166028
2018-03-13,124,124,124,124,,1,100,12400
2018-03-15,122,122,122,124,-2,1,45,5490
2018-03-18,126,124,126,122,4,2,50,6220
2018-03-19,125,124,125,126,-1,3,135,16775
2018-03-20,123,123,123,125,-2,2,100,12300
2018-03-21,121,119,119,123,-4,6,15970,1929430
2018-04-01,118,118,118,119,-1,1,50,5900
2018-04-05,116,116,116,118,-2,1,220,25520
2018-04-08,120,116,116,116,,5,14000,1650200
2018-04-09,120,118,120,116,4,2,400,47600
2018-04-10,122,118,118,120,-2,8,2220,263760
2018-04-11,118,118,118,118,,1,100,11800
2018-04-12,120,120,120,118,2,1,100,12000
2018-04-15,122,120,120,120,,2,210,25220
2018-04-16,121,120,121,120,1,3,232,27982
2018-04-17,125,123,125,121,4,2,100,12400
2018-04-18,127,127,127,125,2,1,200,25400
2018-04-19,127,125,125,127,-2,7,820,103300
