date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,640,590,625,620,5,246,8903,5543418
2022-02-21,675,620,667,625,42,451,20037,13230859.5
2022-02-23,736,680.1,733,693,40,749,36539,26192572.9
2022-02-24,724,677.5,697,733,-36,383,17184,12101682.6
2022-02-22,708.9,665,693,667,26,575,24504,17064612.3
2022-01-18,261.7,246.7,261.7,,15,8,61,15351.9
2022-01-19,287.8,261.7,287.8,261.7,26.1,6,51,14141.9
2022-01-20,316.5,293.5,316.5,287.8,28.7,7,70,21588
2022-01-23,348.1,322,348.1,316.5,31.6,13,130,44597
2022-01-24,382.9,355,382.9,348.1,34.8,14,140,52920
2022-01-25,421.1,390.5,421.1,382.9,38.2,39,5584,2350671.4
2022-01-26,463.2,425,463.2,421.1,42.1,82,820,378778
2022-01-27,509.5,472.4,509.5,463.2,46.3,281,2810,1430783
2022-01-30,560.4,509,560.4,509.5,50.9,1751,33715,18377718.2
2022-01-31,616.4,560,616.4,560.4,56,1732,29721,17985381.8
2022-02-01,678,620,678,616.4,61.6,642,8999,6033149.5
2022-02-03,744,640,744,678,66,2898,46157,30917649.2
2022-02-06,744,673,700,744,-48,1245,24660,17055065.6
2022-02-07,724.2,652.8,668,700,-32,1048,29925,20223874.4
2022-02-08,734.8,665,734.8,668,66.8,571,17120,11667494.9
2022-02-09,734,675.3,686,734.8,-48.8,351,14439,9876242
2022-02-10,690,650,665,686,-21,362,13244,8845661.7
2022-02-13,651.7,615,615,665,-50,313,12863,8139649.5
2022-02-14,665,600,665,615,50,245,7814,4859195.5
2022-02-15,685,631,685,665,20,272,9550,6225941
2022-02-16,692.5,646,646,685,-39,258,11600,7605937
2022-02-17,646,619,620,646,-26,278,13685,8594270.6
2022-02-27,710,678,699,697,2,248,11991,8286376
2022-02-28,713,654,684.8,699,-14.2,266,16754,11263808.2
2022-03-02,671.2,650,669.5,684.8,-15.3,132,10065,6645690.5
2022-03-06,668,643.9,663.9,669.5,-5.6,172,4477,2933201
2022-03-07,703,652,703,663.9,39.1,167,6496,4363586.3
2022-03-09,714,657,665,703,-38,172,7166,4843514.6
2022-03-10,688.5,642.1,677,665,12,152,10378,6961018.5
2022-03-13,703,664,683,677,6,219,13279,9087324.7
2022-03-14,679.9,662,668,683,-15,32,1558,1043162
2022-03-15,678,660,673.9,668,5.9,176,11688,7781276.2
2022-03-16,680,658,674,673.9,0.1,103,4550,3021570
2022-03-20,715,657,676.3,674,2.3,162,8960,5995939.6
2022-03-21,702.7,653,671.9,676.3,-4.4,174,15617,10413140.4
2022-03-22,680,665,670,671.9,-1.9,124,4769,3186713
2022-03-23,660,645,646,670,-24,140,6230,4059067.5
2022-03-24,650,630,633,646,-13,134,3530,2260217
2022-03-27,650,608,609,633,-24,147,6618,4084286.5
2022-03-28,632,602,615,609,6,106,7254,4402531
2022-03-29,639,602.7,623,615,8,100,5463,3353299
2022-03-30,635,607.1,633,623,10,110,6102,3779323.8
2022-03-31,640,607,627.3,633,-5.7,144,5590,3444673
2022-04-03,625,601,607.1,627.3,-20.2,106,5783,3510270
2022-04-04,613.1,596.2,596.2,607.1,-10.9,127,4805,2896660
2022-04-05,596,566,590,596.2,-6.2,128,7330,4239064
2022-04-06,585,557.5,566,590,-24,86,3977,2278883
2022-04-07,586,562,,566,20,122,5225,3001349
2022-04-11,633,560.1,561,586,-25,103,3580,2106092
