date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,430,411,427.8,429.1,-1.3,217,19040,8067817.3
2022-02-21,449.3,422.7,438.5,427.8,10.7,310,59864,25874169
2022-02-23,447.7,435.1,437,439,-2,177,16537,7267262.7
2022-02-24,436.9,425,425,437,-12,330,30993,13259498.2
2022-02-22,447,437.6,439,438.5,0.5,191,15520,6848074.3
2010-04-15,833,801,801,850,-49,3,146,119218
2010-04-19,785,785,785,801,-16,1,50,39250
2010-04-20,800,770,800,785,15,4,74,58320
2010-04-22,813,784,813,800,13,3,120,94510
2010-04-25,800,800,800,813,-13,1,30,24000
2010-04-27,784,739,739,800,-61,5,160,121840
2010-04-28,725,725,725,739,-14,1,30,21750
2010-04-29,730,730,730,725,5,1,20,14600
2010-05-10,720,720,720,730,-10,1,200,144000
2010-05-11,706,706,706,720,-14,1,350,247100
2010-05-17,734,715,734,706,28,4,460,329840
2010-05-18,734,734,734,734,,1,10000,7340000
2010-05-20,748,748,748,734,14,1,20,14960
2010-05-23,748,748,748,748,,1,10200,7629600
2010-05-24,775,760,775,748,27,2,50,38450
2010-05-25,790,790,790,775,15,1,30,23700
2010-05-26,805,805,805,790,15,1,20,16100
2010-05-30,821,821,821,805,16,1,20,16420
2010-05-31,837,821,821,821,,2,150,123950
2010-06-01,805,789,804,821,-17,4,750,594600
2010-06-02,820,790,820,804,16,3,560,443750
2010-06-03,804,790,790,820,-30,2,450,356200
2010-06-06,802,802,802,790,12,1,10,8020
2010-06-08,810,800,800,802,-2,2,1040,832400
2010-06-09,802,775,802,800,2,4,2196,1707570
2010-06-15,795,795,795,802,-7,1,236,187620
2010-06-21,810,810,810,795,15,1,10,8100
2010-06-22,820,804,804,810,-6,3,390,315700
2010-06-24,815,815,815,804,11,1,200,163000
2010-06-30,815,815,815,815,,1,1000,815000
2010-07-01,863,815,863,815,48,6,1280,1049650
2010-07-04,930,880,930,863,67,9,316,285700
2010-07-06,912,894,894,930,-36,3,150,135900
2010-07-07,877,860,877,894,-17,4,1210,1044000
2010-07-08,928,894,928,877,51,4,184,167946
2010-07-11,920,902,902,928,-26,4,1484,1349228
2010-07-12,938,920,938,902,36,2,104,96652
2010-07-14,1031,955,1031,938,93,11,749,759434
2010-07-15,1090,1050,1090,1031,59,4,310,328500
2010-07-21,1069,1069,1069,1090,-21,2,104,111176
2010-07-22,1048,988,988,1069,-81,4,200,203600
2010-08-02,969,913,913,988,-75,6,1050,1003250
2010-08-04,895,895,895,913,-18,1,50,44750
2010-08-05,878,878,878,895,-17,2,100,87800
2010-08-08,870,860,860,878,-18,2,104,89980
2010-08-11,843,827,827,860,-33,2,100,83500
2010-08-15,830,815,815,827,-12,3,450,368700
2010-08-17,799,799,799,815,-16,1,54,43146
2010-08-18,830,814,830,799,31,2,150,122900
2010-08-19,814,814,814,830,-16,1,100,81400
2010-08-22,825,794,825,814,11,5,530,431720
2010-09-09,810,794,794,825,-31,2,500,401800
2010-09-14,779,749,749,794,-45,4,200,152560
2010-09-15,780,750,780,749,31,5,205,156075
2010-09-16,810,795,810,780,30,2,100,80550
2010-09-19,826,826,826,810,16,1,20,16520
2010-09-23,842,810,842,826,16,5,318,261228
2010-09-30,842,842,842,842,,1,200,168400
2010-10-20,826,826,826,842,-16,1,50,41300
2010-11-18,810,810,810,826,-16,1,50,40500
2010-11-21,810,800,800,810,-10,3,300,241000
2010-11-25,785,785,785,800,-15,1,100,78500
2010-12-02,800,770,800,785,15,3,540,416700
2010-12-16,775,760,775,800,-25,2,1020,775500
2010-12-19,760,760,760,775,-15,1,1500,1140000
2011-01-12,704,704,704,760,-56,1,48,33792
2011-02-10,710,696,696,704,-8,4,350,246600
2011-02-13,700,700,700,696,4,1,61,42700
2011-02-17,687,687,687,700,-13,1,100,68700
2011-03-01,674,674,674,687,-13,1,50,33700
2011-03-03,661,661,661,674,-13,2,150,99150
2011-04-05,671,671,671,661,10,1,20,13420
2011-04-10,724,671,724,671,53,6,152,103410
2011-04-11,759,759,759,724,35,1,10,7590
2011-04-13,796,796,796,759,37,1,10,7960
2011-05-15,781,736,736,796,-60,4,150,111600
2011-05-18,722,668,668,736,-68,5,170,116870
2011-05-19,655,602,602,668,-66,6,80,49890
2011-05-22,590,546,546,602,-56,5,210,118840
2011-05-23,536,496,497,546,-49,8,883,451536
2011-05-24,497,479,479,497,-18,6,583,281691
2011-05-25,479,447,447,479,-32,20,3710,1716266
2011-05-26,445,436,436,447,-11,6,900,398900
2011-05-30,435,408,409,436,-27,21,2020,841490
2011-05-31,415,410,413,409,4,11,2110,871920
2011-06-02,410,400,410,413,-3,5,2920,1183100
2011-06-05,419,405,410,410,,12,2710,1116480
2011-06-06,411,402,411,410,1,4,2310,938420
2011-06-07,443,419,420,411,9,9,840,357130
2011-06-08,428,428,428,420,8,2,220,94160
2011-06-09,421,420,420,428,-8,5,1300,546100
2011-06-12,428,428,428,420,8,3,400,171200
2011-06-13,428,420,428,428,,3,433,182574
2011-06-14,428,420,421,428,-7,9,1269,536453
2011-06-15,432,428,432,421,11,4,608,261992
2011-06-16,440,440,440,432,8,1,21,9240
2011-06-19,474,448,474,440,34,5,1760,817387
2011-06-20,483,483,483,474,9,1,10,4830
2011-06-21,485,485,485,483,2,1,21,10185
2011-06-23,533,494,533,485,48,8,400,209810
2011-06-26,543,523,523,533,-10,7,2130,1132490
2011-06-27,523,513,523,523,,2,190,97870
2011-06-29,571,530,571,523,48,10,412,226986
2011-06-30,560,514,550,571,-21,11,470,250930
2011-07-03,550,539,550,550,,4,265,143217
2011-07-04,540,540,540,550,-10,1,220,118800
2011-07-05,550,530,530,540,-10,3,105,56680
2011-07-06,570,540,570,530,40,4,160,90020
2011-07-07,586,575,586,570,16,2,40,23220
2011-07-10,590,590,590,586,4,1,100,59000
2011-07-11,630,579,630,590,40,13,674,410370
2011-07-12,687,641,687,630,57,10,422,283330
2011-07-13,700,674,686,687,-1,4,1766,1194544
2011-07-14,739,645,739,686,53,42,1693,1142094
2011-07-21,725,671,671,739,-68,5,322,224502
2011-07-24,658,609,609,671,-62,6,330,207820
2011-07-25,597,553,553,609,-56,5,500,287500
2011-07-27,542,532,542,553,-11,4,936,505912
2011-07-28,542,532,542,542,,2,161,86262
2011-07-31,532,518,518,542,-24,4,260,135420
2011-08-02,528,528,528,518,10,2,640,337920
2011-08-03,538,505,505,528,-23,9,4492,2289480
2011-08-07,500,500,500,505,-5,1,61529,30764500
2011-08-08,511,510,511,500,11,2,200,102100
2011-08-09,501,501,501,511,-10,1,3552,1779552
2011-08-11,491,491,491,501,-10,1,3872,1901152
2011-08-17,520,500,500,491,9,10,1576,796100
2011-08-23,510,510,510,500,10,1,22,11220
2011-09-04,510,510,510,510,,1,34,17340
2011-09-05,510,510,510,510,,1,200,102000
2011-09-07,520,520,520,510,10,1,50,26000
2011-09-18,516,510,516,520,-4,2,550,280800
2011-09-19,510,510,510,516,-6,5,555,283050
2011-09-21,519,510,519,510,9,2,696,360954
2011-10-18,539,529,539,519,20,2,20,10680
2011-10-19,549,549,549,539,10,1,50,27450
2011-10-20,559,555,559,549,10,3,200,111400
2011-10-23,548,548,548,559,-11,7,1036,567728
2011-10-24,548,538,548,548,,3,656,353028
2011-11-03,548,540,540,548,-8,3,434,234440
2011-11-06,530,515,526,540,-14,5,5070,2617550
2011-11-08,540,536,540,526,14,2,110,59360
2011-11-10,531,530,530,540,-10,4,1250,662650
2011-11-13,540,530,540,530,10,2,114,60560
2011-11-14,530,525,530,540,-10,3,300,158500
2011-11-15,520,520,520,530,-10,2,359,186680
2011-11-16,512,490,492,520,-28,12,6253,3141616
2011-11-20,501,501,501,492,9,1,100,50100
2011-11-21,511,511,511,501,10,1,50,25550
2011-11-23,501,501,501,511,-10,1,100,50100
2011-11-24,496,496,496,501,-5,1,100,49600
2011-12-01,496,496,496,496,,1,110,54560
2011-12-05,505,505,505,496,9,1,14,7070
2011-12-06,495,490,490,505,-15,2,133,65670
2011-12-11,482,480,480,490,-10,4,500,240500
2011-12-13,471,455,460,480,-20,6,2800,1299300
2011-12-15,460,460,460,460,,1,410,188600
2011-12-27,460,460,460,460,,1,100,46000
2011-12-28,484,469,484,460,24,3,150,71400
2011-12-29,504,493,504,484,20,4,420,209010
2012-01-01,494,494,494,504,-10,1,23,11362
2012-01-02,485,485,485,494,-9,2,200,97000
2012-01-03,476,476,476,485,-9,1,40,19040
2012-01-04,479,470,479,476,3,2,620,294280
2012-01-09,497,488,497,479,18,2,34,16682
2012-01-10,516,506,516,497,19,2,56,28436
2012-01-11,506,506,506,516,-10,1,30,15180
2012-01-12,536,516,536,506,30,4,75,39480
2012-02-07,526,520,520,536,-16,2,80,41840
2012-02-27,510,468,468,520,-52,10,846,402178
2012-02-28,459,450,450,468,-18,2,509,229500
2012-03-04,455,450,455,450,5,6,1045,470775
2012-03-06,455,455,455,455,,1,100,45500
2012-03-11,455,455,455,455,,1,352,160160
2012-03-19,460,460,460,460,,1,30,13800
2012-03-20,456,439,439,460,-21,4,421,188219
2012-03-21,435,431,431,439,-8,3,300,129800
2012-03-26,423,415,415,431,-16,2,200,83800
2012-03-28,410,390,392,415,-23,11,1800,713200
2012-03-29,386,383,383,392,-9,5,750,288250
2012-04-01,414,364,414,383,31,13,1860,687120
2012-04-02,430,422,430,414,16,2,40,17040
2012-04-03,425,417,425,430,-5,5,520,219400
2012-04-05,417,417,417,425,-8,2,150,62550
2012-04-08,420,420,420,417,3,2,500,210000
2012-04-09,412,396,396,420,-24,4,300,121200
2012-04-10,390,376,385,396,-11,7,842,322430
2012-04-11,408,386,395,385,10,8,730,290310
2012-04-12,434,392,434,395,39,12,680,274710
2012-04-15,459,405,405,434,-29,10,28100,11408600
2012-04-17,477,450,450,405,45,8,1799,831619
2012-04-18,473,414,414,450,-36,13,2185,985462
2012-04-29,454,422,454,414,40,5,50,21900
2012-04-30,496,463,496,454,42,6,502,247972
2012-05-02,525,505,515,496,19,12,1628,844745
2012-05-03,532,525,532,515,17,3,1036,547952
2012-05-08,563,541,541,532,9,11,3570,1939515
2012-05-09,565,551,560,541,19,11,1188,661770
2012-05-10,570,548,549,560,-11,12,2208,1247488
2012-05-13,540,540,540,549,-9,2,160,86400
2012-05-15,561,550,561,540,21,4,455,254155
2012-05-16,583,572,583,561,22,2,20,11550
2012-05-17,617,594,605,583,22,5,512,310850
2012-05-20,593,545,561,605,-44,11,1294,728716
2012-05-21,566,550,555,561,-6,4,340,188640
2012-05-22,553,534,553,555,-2,4,260,140890
2012-05-23,542,542,542,553,-11,1,42,22764
2012-05-24,532,520,520,542,-22,8,816,428432
2012-05-27,540,500,540,520,20,6,370,189200
2012-05-31,530,486,504,540,-36,20,2281,1133944
2012-06-03,524,514,524,504,20,4,1120,586780
2012-06-04,514,485,493,524,-31,9,530,265250
2012-06-05,493,475,475,493,-18,4,110,52790
2012-06-06,475,461,461,475,-14,4,460,216560
2012-06-07,480,453,475,461,14,13,1540,726260
2012-06-10,466,460,460,475,-15,2,40,18520
2012-06-11,469,451,462,460,2,4,170,77490
2012-06-14,473,455,473,462,11,7,3400,1550400
2012-06-20,491,482,490,473,17,3,210,102920
2012-06-21,481,472,472,490,-18,2,10280,4898060
2012-06-25,481,475,481,472,9,2,275,131225
2012-06-26,489,480,480,481,-1,7,1929,928781
2012-06-27,488,488,488,480,8,1,100,48800
2012-06-28,506,496,496,488,8,4,531,266475
2012-07-02,487,471,471,496,-25,8,2140,1024880
2012-07-03,480,470,479,471,8,5,1100,520900
2012-07-04,497,488,497,479,18,2,99,48753
2012-07-05,519,490,517,497,20,14,1357,678369
2012-07-08,537,527,537,517,20,9,524,277968
2012-07-09,547,527,547,537,10,6,321,171467
2012-07-10,568,536,556,547,9,12,806,440476
