date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1285,1240,1278,1290,-12,220,9820,12467560.7
2022-02-21,1299,1275,1280,1278,2,178,7286,9330231.5
2022-02-23,1302,1280,1280,1283,-3,185,5623,7213795.7
2022-02-24,1274.1,1260,1265,1280,-15,293,13789,17480947.2
2022-02-22,1314,1280,1283,1280,3,193,8434,10888473.6
2010-05-30,301,301,301,295,6,1,315,94815
2010-05-31,322,305,322,301,21,4,300,94040
2010-06-02,328,328,328,322,6,1,63,20664
2010-06-03,334,334,334,328,6,1,40,13360
2010-06-07,359,340,359,334,25,4,115,40895
2010-06-08,366,366,366,359,7,1,20,7320
2010-06-09,380,373,380,366,14,2,20,7530
2010-06-10,418,387,418,380,38,6,110,44310
2010-06-13,450,418,450,418,32,6,151,65734
2010-06-14,459,459,459,450,9,2,70,32130
2010-06-15,470,460,465,459,6,10,449,209783
2010-06-16,474,452,474,465,9,10,393,182860
2010-06-17,483,482,483,474,9,2,60,28930
2010-06-20,492,489,492,483,9,3,193,94740
2010-06-21,501,500,500,492,8,2,50,25010
2010-06-22,510,510,510,500,10,1,10,5100
2010-06-23,530,520,530,510,20,2,80,42000
2010-06-28,530,530,530,530,,1,90,47700
2010-06-30,520,519,519,530,-11,4,510,264843
2010-07-04,529,529,529,519,10,1,63,33327
2010-07-05,519,519,519,529,-10,2,66,34254
2010-07-07,509,509,509,519,-10,2,124,63116
2010-07-08,499,490,490,509,-19,5,200,98900
2010-07-18,481,481,481,490,-9,1,50,24050
2010-07-19,472,472,472,481,-9,1,20,9440
2010-07-20,465,465,465,472,-7,1,30,13950
2010-07-21,456,450,450,465,-15,2,52,23652
2010-07-22,450,440,448,450,-2,4,439,193952
2010-07-25,440,440,440,448,-8,1,101,44440
2010-07-26,438,438,438,440,-2,1,100,43800
2010-07-28,446,446,446,438,8,1,18,8028
2010-08-03,440,438,440,446,-6,2,294,129276
2010-08-05,456,448,456,440,16,2,70,31520
2010-08-10,450,450,450,456,-6,1,80,36000
2010-08-11,445,442,442,450,-8,2,50,22172
2010-08-16,435,435,435,442,-7,1,63,27405
2010-08-29,435,435,435,435,,1,33,14355
2010-09-02,430,430,430,435,-5,1,20,8600
2010-09-12,446,438,446,430,16,2,126,55692
2010-09-13,460,454,460,446,14,2,67,30718
2010-09-14,469,460,469,460,9,2,130,60700
2010-09-21,475,475,475,469,6,2,123,58425
2010-09-23,466,466,466,475,-9,1,24,11184
2010-09-26,466,466,466,466,,1,63,29358
2010-09-27,475,475,475,466,9,1,231,109725
2010-09-30,475,475,475,475,,1,20,9500
2010-10-03,466,466,466,475,-9,1,210,97860
2010-11-14,317,317,317,466,-149,1,21,6657
2010-11-23,311,311,311,317,-6,1,21,6531
2011-03-31,245,245,245,311,-66,1,21,5145
2011-04-28,245,245,245,245,,1,600,147000
2011-05-08,241,241,241,245,-4,1,105,25305
2011-05-12,237,237,237,241,-4,3,189,44793
2011-05-15,241,238,238,237,1,2,38,9098
2011-05-18,237,237,237,238,-1,2,210,49770
2011-06-02,233,233,233,237,-4,1,60,13980
2011-07-05,256,244,256,233,23,5,117,29432
2011-07-07,261,261,261,256,5,1,300,78300
2011-07-19,287,266,287,261,26,10,1004,278340
2011-07-20,308,292,308,287,21,5,456,136222
2011-07-21,314,314,314,308,6,1,21,6594
2011-07-24,309,303,303,314,-11,4,187,57380
2011-07-27,309,309,309,303,6,1,94,29046
2011-07-28,315,315,315,309,6,1,238,74970
2011-07-31,309,309,309,315,-6,1,42,12978
2011-08-03,309,309,309,309,,2,922,284898
2011-08-04,308,308,308,309,-1,2,625,192500
2011-08-07,303,302,303,308,-5,3,178,53850
2011-08-08,309,309,309,303,6,1,94,29046
2011-08-09,309,309,309,309,,1,250,77250
2011-08-10,310,309,310,309,1,2,233,72210
2011-08-11,340,316,340,310,30,5,151,50134
2011-08-15,359,346,359,340,19,3,56,19644
2011-08-16,355,355,355,359,-4,1,42,14910
2011-08-17,369,362,369,355,14,2,24,8786
2011-08-18,384,370,380,369,11,10,985,372112
2011-08-22,387,380,380,380,,2,194,74378
2011-08-23,382,375,382,380,2,2,38,14348
2011-09-01,375,375,375,382,-7,1,51,19125
2011-09-27,368,361,361,375,-14,2,102,37179
2011-10-10,365,361,365,361,4,2,48,17396
2011-10-18,370,370,370,365,5,1,210,77700
2011-11-06,375,375,375,370,5,3,51,19125
2011-11-09,368,361,361,375,-14,2,188,68526
2011-11-17,360,360,360,361,-1,1,20,7200
2011-12-14,353,353,353,360,-7,1,10,3530
2011-12-18,346,340,340,353,-13,2,41,14060
2011-12-28,346,346,346,340,6,1,106,36676
2012-01-05,340,340,340,346,-6,1,20,6800
2012-01-11,334,328,328,340,-12,2,30,9900
2012-01-19,322,322,322,328,-6,1,21,6762
2012-01-25,323,323,323,322,1,2,977,315571
2012-02-06,320,320,320,323,-3,1,20,6400
2012-02-08,326,326,326,320,6,1,158,51508
2012-02-16,320,314,314,326,-12,2,138,43932
2012-02-23,309,297,297,314,-17,3,50,15210
2012-02-28,292,277,277,297,-20,4,178,51106
2012-02-29,282,282,282,277,5,1,82,23124
2012-03-01,277,254,254,282,-28,11,1795,464919
2012-03-04,249,249,249,254,-5,1,126,31374
