date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,509,489,499.9,508.3,-8.4,231,33658,16822037.1
2022-02-21,520,500,515,499.9,15.1,167,22051,11148866.1
2022-02-23,518,500.2,510,510,,174,30070,15295874.9
2022-02-24,509,495,498,510,-12,236,35946,17933590
2022-02-22,523,508,510,515,-5,199,31378,16132813
2010-04-15,900,890,890,898,-8,3,1210,1077200
2010-04-19,888,873,873,885,-12,9,2460,2157490
2010-04-20,870,860,860,873,-13,4,1420,1232700
2010-04-21,843,815,819,860,-41,12,5700,4691800
2010-04-22,845,820,845,819,26,8,1830,1519390
2010-04-25,829,829,829,845,-16,1,200,165800
2010-04-26,829,813,829,829,,3,750,613750
2010-04-27,820,820,820,829,-9,1,220,180400
2010-04-28,830,820,830,820,10,8,3280,2702650
2010-04-29,873,840,873,830,43,6,1710,1447380
2010-05-09,873,860,860,873,-13,2,300,259300
2010-05-10,860,860,860,860,,1,100,86000
2010-05-11,860,860,860,860,,1,400,344000
2010-05-12,910,877,900,860,40,4,970,862880
2010-05-13,954,901,901,900,1,6,690,634060
2010-05-18,886,886,886,901,-15,1,30,26580
2010-05-19,915,900,910,886,24,6,530,479550
2010-05-20,910,910,910,910,,1,100,91000
2010-05-23,910,900,910,910,,2,3700,3331000
2010-05-25,970,928,970,910,60,9,1080,1030600
2010-05-26,965,952,955,970,-15,4,300,287450
2010-05-30,1050,974,1050,955,95,6,900,922640
2010-05-31,1071,1030,1050,1050,,9,1440,1512000
2010-06-01,1029,1029,1029,1050,-21,1,100,102900
2010-06-03,1009,965,965,1029,-64,10,1420,1391060
2010-06-06,984,984,984,965,19,1,40,39360
2010-06-07,998,980,998,984,14,2,400,395600
2010-06-08,995,980,980,998,-18,9,1270,1249400
2010-06-09,980,980,980,980,,2,400,392000
2010-06-10,980,962,980,980,,4,1000,971000
2010-06-13,980,980,980,980,,1,100,98000
2010-06-14,975,950,950,980,-30,4,920,882250
2010-06-20,969,950,969,950,19,2,270,257450
2010-06-21,950,940,950,969,-19,6,820,776680
2010-06-22,950,950,950,950,,1,100,95000
2010-06-23,931,931,931,950,-19,1,500,465500
2010-06-24,920,920,920,931,-11,1,220,202400
2010-06-28,931,925,925,920,5,2,130,120430
2010-06-29,907,907,907,925,-18,1,500,453500
2010-06-30,911,911,911,907,4,2,230,209530
2010-07-04,920,920,920,911,9,1,100,92000
2010-07-06,920,920,920,920,,2,340,312800
2010-07-07,925,911,925,920,5,2,3330,3078850
2010-07-08,928,910,928,925,3,5,600,548650
2010-07-11,938,920,933,928,5,4,2580,2380590
2010-07-12,915,910,910,933,-23,2,2050,1870500
2010-07-13,983,928,983,910,73,4,300,286600
2010-07-14,1002,982,1001,983,18,3,200,199350
2010-07-15,1101,1021,1101,1001,100,19,3740,4105020
2010-07-22,1079,991,991,1101,-110,7,190,194140
2010-07-25,991,953,953,991,-38,5,450,439300
2010-07-26,935,900,930,953,-23,9,2170,1976240
2010-07-27,914,912,912,930,-18,4,470,428980
2010-07-28,930,902,930,912,18,5,1700,1548200
2010-08-01,925,921,922,930,-8,4,550,507200
2010-08-03,925,915,925,922,3,6,1510,1386250
2010-08-04,927,927,927,925,2,1,80,74160
2010-08-05,945,940,945,927,18,3,600,565500
2010-08-08,940,927,940,945,-5,2,980,909760
2010-08-10,940,922,940,940,,2,1050,969000
2010-08-12,922,922,922,940,-18,1,400,368800
2010-08-17,904,904,904,922,-18,1,1550,1401200
2010-08-22,910,905,910,904,6,3,940,851800
2010-08-23,918,916,918,910,8,2,200,183400
2010-08-26,915,915,915,918,-3,2,700,640500
2010-08-29,928,910,928,915,13,3,390,357890
2010-08-31,910,910,910,928,-18,1,150,136500
2010-09-05,910,900,900,910,-10,6,1460,1315000
2010-09-06,908,908,908,900,8,1,350,317800
2010-09-07,915,900,915,908,7,5,1360,1231900
2010-09-09,910,905,905,915,-10,3,350,317750
2010-09-14,920,919,920,905,15,2,310,284990
2010-09-19,920,920,920,920,,2,200,184000
2010-09-20,920,920,920,920,,1,100,92000
2010-09-21,920,920,920,920,,1,100,92000
2010-09-23,915,910,911,920,-9,3,350,319600
2010-09-26,910,900,910,911,-1,6,860,776100
2010-09-27,916,915,916,910,6,3,300,274600
2010-09-28,918,915,915,916,-1,3,430,393750
2010-09-29,910,900,900,915,-15,12,3450,3107900
2010-09-30,900,896,900,900,,4,380,341450
2010-10-05,900,883,900,900,,2,1090,967060
2010-10-06,915,900,900,900,,3,500,453000
2010-10-07,914,900,914,900,14,3,300,272400
2010-10-12,920,920,920,914,6,1,120,110400
2010-10-21,940,938,940,920,20,2,1080,1014200
2010-10-24,965,946,946,940,6,5,980,930680
2010-10-25,946,940,941,946,-5,4,1130,1063800
2010-10-26,923,923,923,941,-18,1,1000,923000
2010-10-27,940,935,940,923,17,2,380,355850
2010-10-28,950,939,950,940,10,3,590,555380
2010-10-31,940,940,940,950,-10,2,440,413600
2010-11-02,950,945,950,940,10,2,510,483000
2010-11-03,950,917,950,950,,8,5830,5376250
2010-11-04,931,930,930,950,-20,2,430,399950
2010-11-11,949,941,949,930,19,4,820,776060
2010-11-14,964,955,955,949,6,4,400,382750
