date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,995,956,967,995,-28,275,21235,20730357.3
2022-02-21,1000,967.1,986,967,19,231,15750,15542097.6
2022-02-23,1015,983,1005,980,25,421,33617,33664677.5
2022-02-24,991,971,981.9,1005,-23.1,199,13661,13376051.3
2022-02-22,1005,975.1,980,986,-6,201,13441,13304915
2021-06-09,457,416,457,,41,28,261,116377
2021-06-10,502,479,502,457,45,61,590,295490
2021-06-13,552,527,552,502,50,129,1281,705911
2021-06-14,607,579,607,552,55,179,1780,1077600
2021-06-15,667,637,667,607,60,331,3300,2199900
2021-06-16,733,700,733,667,66,1972,28761,21060729
2021-06-17,806,680,685,733,-48,10932,139756,102121340
2021-06-20,700,619,635,685,-50,4739,66666,42432744
2021-06-21,635,593,612,635,-23,2227,30308,18343968
2021-06-22,645,590,638,612,26,1311,24901,15317442
2021-06-23,635,599,610,638,-28,903,21451,13049725
2021-06-24,605,588,588,610,-22,792,20819,12393797
2021-06-27,610,573,574,588,-14,971,15787,9164421
2021-06-28,600,563,592,574,18,1139,18982,11084026
2021-06-29,605,577,585,592,-7,861,14902,8803154
2021-06-30,590,560,578,585,-7,618,9389,5324284
2021-07-01,590,567,579,578,1,777,14450,8400640
2021-07-04,625,581,621,579,42,2125,41720,25388266
2021-07-05,669,620,654,621,33,2060,51282,33328063
2021-07-06,663,630,643,654,-11,997,26520,17217690
2021-07-07,645,625,635,643,-8,629,21037,13344093
2021-07-08,636,617,623,635,-12,568,18339,11462081
2021-07-11,644,610,635,623,12,669,30632,19366527
2021-07-12,645,616,620,635,-15,464,20503,12839503
2021-07-13,620,608,610,620,-10,401,15988,9810703
2021-07-14,628,604,620,610,10,465,10935,6746705
2021-07-15,630,611,619,620,-1,494,12077,7453652
2021-07-18,626,614,620.1,619,1.1,550,12597,7791193
2021-07-19,644,620,642,620.1,19.9,768,28160,17844606
2021-07-20,700,630,690,642,48,2099,85932,58010019.2
2021-07-22,759,690,759,690,69,3210,105781,78166684.5
2021-07-25,810,758,806,759,47,2824,106809,84892159
2021-07-26,840,777,836,806,30,2495,87376,70532485.6
2021-07-27,850,805,827,836,-9,1523,54095,44868020.5
2021-07-28,830,785,817,827,-10,1336,48150,38921256
2021-07-29,818,787,800,817,-16,1125,51189,41059604.5
2021-08-01,880,800,877,800,77,2244,78768,65684547
2021-08-02,894.5,844,845,877,-32,1244,78313,67466456
2021-08-03,912.8,835,912.8,845,65,1549,65324,56854735.8
2021-08-04,1000,913,975,912.8,62.2,2219,91969,89763361.7
2021-08-05,992,937,941,975,-34,1474,59129,56473288
2021-08-08,955,908,940,941,-1,1312,58440,54918125
2021-08-09,970,926,949,940,15,1259,46679,44545092
2021-08-10,970,930.1,935,949,-14,900,29357,27671512.8
2021-08-11,1028.5,932,1009,935,74,1860,67588,66611564
2021-08-12,1085,991,1050,1009,41,1836,62758,66066316
2021-08-15,1060.8,990,1030,1050,-20,1766,88109,89168384.8
2021-08-16,1049,990,1038,1030,8,1598,59174,59814463.3
2021-08-17,1141.8,1023.4,1141.8,1038,103.8,1697,70567,78415315.3
2021-08-18,1255.9,1164.6,1238,1141.8,96.2,1633,88969,109698032.9
2021-08-19,1326,1197,1315,1238,86,2263,104850,129509073.1
2021-08-24,1415,1301,1364,1315,49,2425,96331,130980058.5
2021-08-25,1364,1275,1350,1364,-14,2064,71923,94442287.1
2021-08-26,1404,1300,1330,1350,-20,1641,48706,65183408.7
2021-08-29,1330,1260,1260,1330,-70,1658,54903,70702190
2021-08-31,1285.2,1221.1,1224,1260,-36,1449,47528,59588804
2021-09-01,1247,1190,1206,1224,-18,921,41831,51000053.8
2021-09-02,1210,1153,1180,1206,-26,891,38383,45443664.1
2021-09-05,1160,1062,1062,1180,-118,1058,52972,58110220
2021-09-06,1168.2,1017,1160,1062,98,863,50341,56031694.8
2021-09-07,1183,1088.8,1109,1160,-51,649,75336,83599653.5
2021-09-08,1100,1070.1,1080,1109,-29,286,10209,11081086.5
2021-09-09,1122,1060,1098,1080,18,447,21737,23889270.2
2021-09-12,1155,1100,1139,1098,41,784,43308,48712789
2021-09-13,1157,1109.5,1120,1139,-19,492,36653,41536110.9
2021-09-14,1142,1107,1129,1120,9,617,32044,36065628.1
2021-09-15,1119,1093,1100,1129,-29,403,13973,15427111
2021-09-16,1100,1021,1035,1100,-65,531,29509,31022274
2021-09-20,1018,931.5,960,1035,-75,763,48667,46169578
2021-09-21,980,905.2,950,960,-10,474,22974,21898832.9
2021-09-22,1035,967.5,1024,950,74,416,19431,19701795.4
2021-09-23,1044.4,980,1015,1024,-9,468,23233,23385790.4
2021-09-26,1035.3,955,960,1015,-55,324,15730,15281727.1
2021-09-27,980,905.1,922,960,-38,414,18953,17674938
2021-09-28,915,845.9,870,922,-52,395,28135,24535322
2021-09-29,917.4,852.7,906.5,870,36.5,373,22115,19587058.5
2021-09-30,920,862.4,864.1,906.5,-42.4,182,13440,11884372.8
2021-10-03,869,785,829,864.1,-35.1,304,17166,14090686.1
2021-10-04,828,775,800,829,-29,223,11095,8856603
2021-10-05,830,784,830,800,30,208,12010,9826091
2021-10-06,913,829.1,908,830,78,266,10083,8875409
2021-10-10,926.1,860,860,908,-48,231,11906,10573632
2021-10-11,877.2,825.2,831,860,-29,146,8577,7155464
2021-10-17,847.5,800.3,820,831,-11,133,8851,7157873
2021-10-18,804,759.1,779,820,-41,303,25182,19433063.2
2021-10-19,760,708,735.9,779,-43.1,286,16941,12422438.3
2021-10-20,809.4,741.5,809.4,735.9,73.5,304,84960,64151764.3
2021-10-21,825.5,766.1,790,809.4,-19.4,173,10993,8770167.5
2021-10-24,858.8,774.2,835,790,45,365,25013,20821632
2021-10-25,882,840,881.9,835,46.9,390,43356,37502401.4
2021-10-26,916,880,900,881.9,18.1,350,43299,38798300.8
2021-10-27,920,869.2,910,900,10,444,34115,30841025.2
2021-10-28,949,887,949,910,39,417,27491,25164776.3
2021-10-31,979,920,974,949,25,370,20249,19378008.8
2021-11-01,990,930,930,974,-44,409,32439,30732309.5
2021-11-02,945,894,943.6,930,13.6,296,21303,19654192
2021-11-03,975,935,942,943.6,-1.6,234,14059,13373756.2
2021-11-08,960,925,935,942,-7,192,7419,6979087.9
2021-11-09,937,863.1,875.4,935,-59.6,412,28640,25588817
2021-11-11,889,843,850,875.4,-25.4,266,15791,13562511
2021-11-14,868,819,850,850,,345,18176,15293965.3
2021-11-15,879,850,868.8,850,18.8,289,15253,13247333
2021-11-16,907,869,907,868.8,38.2,363,20374,18125294.2
2021-11-17,965,905,923,907,16,392,22227,20739693.1
2021-11-18,926,892,906,923,-17,297,21455,19413613.9
2021-11-21,910,888.1,900,906,-6,314,11221,10081606.5
2021-11-22,918,886,903.1,900,3.1,320,15065,13631864.6
2021-11-23,900,875,885,903.1,-18.1,247,17337,15283631
2021-11-24,890,860,881,885,-4,248,9812,8601767
2021-11-25,897,872,884,881,3,185,5221,4622634.2
2021-11-28,875,837,849,884,-35,278,15499,13200346.9
2021-11-29,856,833.1,844,849,-5,199,10753,9064043.8
2021-11-30,845.5,822,840,844,-4,158,7415,6179290
2021-12-01,850,833.1,845,840,5,206,9396,7911656
2021-12-02,840,810,810,845,-35,186,8739,7169797
2021-12-05,800.7,768,775,810,-35,250,13786,10762578.2
2021-12-06,791,728.1,780,775,5,432,34305,25857723.7
2021-12-07,805,755.6,759,780,-21,193,8393,6578305.6
2021-12-08,759,728,736,759,-23,200,12682,9366789
2021-12-09,744,713.1,728,736,-8,228,12346,8930753.5
2021-12-12,726.1,685,686,728,-42,196,13190,9234730.8
2021-12-13,686,645,657,686,-29,250,23675,15622769.5
2021-12-14,722,668,722,657,65,118,9173,6395681.5
2021-12-15,780,687,705,722,-17,252,16144,11755459.8
2021-12-16,700,678,700,705,-5,149,15936,11027554
2021-12-20,700,667,673,700,-27,156,9717,6621271
2021-12-21,717,676,715,673,42,210,11766,8278808
2021-12-22,771.1,718,762,715,47,293,28654,21561863.7
2021-12-23,784,750,776.5,762,14.5,281,25353,19600419
2021-12-26,818,770,815,776.5,38.5,380,24733,19790442.6
2021-12-27,845,769,776.1,815,-38.9,342,24589,19802332.3
2021-12-28,790,742,788,776.1,11.9,209,13658,10552936.3
2021-12-29,809,764,802,788,14,184,6859,5467371.7
2022-01-02,832.8,796,828,802,26,364,17980,14736102.5
