date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-20,751.0,750.0,751.0,760.0,-9.0,3,40,30015.0
2010-04-21,736.0,736.0,736.0,751.0,-15.0,1,60,44160.0
2010-04-22,722.0,722.0,722.0,736.0,-14.0,3,40,28880.0
2010-04-26,708.0,655.0,655.0,722.0,-67.0,5,105,71005.0
2010-04-28,650.0,650.0,650.0,655.0,-5.0,3,45,29250.0
2010-04-29,642.0,642.0,642.0,650.0,-8.0,1,40,25680.0
2010-05-09,632.0,632.0,632.0,642.0,-10.0,1,20,12640.0
2010-05-10,640.0,640.0,640.0,632.0,8.0,2,80,51200.0
2010-05-16,630.0,630.0,630.0,640.0,-10.0,5,75,47250.0
2010-05-26,642.0,642.0,642.0,630.0,12.0,1,1090,699780.0
2010-06-09,642.0,642.0,642.0,642.0,,1,25,16050.0
2010-06-10,642.0,642.0,642.0,642.0,,1,75,48150.0
2010-06-13,654.0,654.0,654.0,642.0,12.0,1,15,9810.0
2010-06-15,657.0,645.0,657.0,654.0,3.0,2,27,17559.0
2010-06-30,536.0,536.0,536.0,657.0,-121.0,1,15,8040.0
2010-07-11,530.0,530.0,530.0,536.0,-6.0,1,25,13250.0
2010-07-12,530.0,530.0,530.0,530.0,,1,25,13250.0
2010-07-13,530.0,530.0,530.0,530.0,,2,100,53000.0
2010-08-05,530.0,530.0,530.0,530.0,,1,25,13250.0
2010-08-12,540.0,540.0,540.0,530.0,10.0,1,25,13500.0
2010-08-16,561.0,550.0,561.0,540.0,21.0,2,55,30580.0
2010-09-28,571.0,560.0,571.0,561.0,10.0,2,40,22675.0
2010-09-30,572.0,571.0,572.0,571.0,1.0,2,150,85675.0
2010-10-06,572.0,572.0,572.0,572.0,,1,25,14300.0
2010-11-30,584.0,583.0,584.0,572.0,12.0,2,50,29175.0
2010-12-07,575.0,575.0,575.0,584.0,-9.0,3,260,149500.0
2010-12-08,575.0,575.0,575.0,575.0,,1,30,17250.0
2010-12-27,575.0,575.0,575.0,575.0,,1,50,28750.0
2011-01-03,564.0,564.0,564.0,575.0,-11.0,1,25,14100.0
2011-02-08,564.0,564.0,564.0,564.0,,2,50,28200.0
2011-02-10,564.0,564.0,564.0,564.0,,1,20,11280.0
2011-02-21,553.0,553.0,553.0,564.0,-11.0,1,30,16590.0
2011-02-27,564.0,564.0,564.0,553.0,11.0,1,20,11280.0
2011-03-07,575.0,575.0,575.0,564.0,11.0,1,25,14375.0
2011-03-09,576.0,576.0,576.0,575.0,1.0,2,80,46080.0
2011-03-13,576.0,576.0,576.0,576.0,,1,50,28800.0
2011-04-06,587.0,587.0,587.0,576.0,11.0,1,56,32872.0
2011-04-17,598.0,598.0,598.0,587.0,11.0,1,25,14950.0
2011-04-20,587.0,587.0,587.0,598.0,-11.0,1,10,5870.0
2011-04-27,587.0,587.0,587.0,587.0,,1,75,44025.0
2011-04-28,598.0,588.0,588.0,587.0,1.0,2,238,140254.0
2011-05-02,620.0,599.0,620.0,588.0,32.0,3,117,70788.0
2011-05-04,632.0,632.0,632.0,620.0,12.0,2,181,114392.0
2011-05-10,632.0,632.0,632.0,632.0,,1,31,19592.0
2011-05-11,634.0,634.0,634.0,632.0,2.0,1,31,19654.0
2011-05-12,646.0,646.0,646.0,634.0,12.0,1,25,16150.0
2011-05-16,671.0,658.0,671.0,646.0,25.0,2,50,33225.0
2011-05-18,704.0,687.0,702.0,671.0,31.0,6,381,263525.0
2011-05-19,700.0,690.0,700.0,702.0,-2.0,4,243,169290.0
2011-05-22,697.0,685.0,697.0,700.0,-3.0,9,511,351006.0
2011-05-23,685.0,684.0,685.0,697.0,-12.0,6,145,99230.0
