date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2020-11-22,9.9,9.0,9.9,,9.9,24,8000,77953.0
2020-11-23,9.99,9.82,9.85,9.9,-0.05,31,15820,156161.7
2020-11-24,10.0,9.81,9.81,9.85,-0.04,13,4010,39527.2
2020-11-25,10.15,9.7,10.15,9.81,0.34,25,14100,140197.0
2020-11-26,10.09,9.76,10.02,10.15,-0.13,22,8060,80630.7
2020-11-29,10.21,9.87,10.1,10.02,0.08,52,43400,434733.0
2020-11-30,10.1,9.9,10.0,10.1,-0.1,18,6830,68178.0
2020-12-01,10.1,9.95,10.05,10.0,0.05,22,14850,148511.0
2020-12-02,10.0,9.9,9.9,10.05,-0.15,28,27100,270578.5
2020-12-03,9.8,9.66,9.7,9.9,-0.2,18,6750,65407.0
2020-12-06,9.6,9.39,9.56,9.7,-0.14,14,4280,40752.0
2020-12-07,9.9,9.4,9.9,9.56,0.34,15,7050,67350.5
2020-12-08,9.9,9.52,9.71,9.9,-0.19,20,10100,98659.0
2020-12-09,9.55,9.49,9.49,9.71,-0.22,7,1750,16676.0
2020-12-10,9.57,9.35,9.57,9.49,0.08,9,4500,42920.0
2020-12-13,10.0,9.55,10.0,9.57,0.43,14,17300,167216.0
2020-12-14,9.9,9.71,9.89,10.0,-0.11,8,3450,33911.5
2020-12-15,10.05,9.76,10.05,9.89,0.16,5,5500,54305.0
2020-12-16,10.0,9.85,9.85,10.05,-0.2,10,4000,39558.0
2020-12-17,9.85,9.67,9.85,9.85,,14,6900,67658.0
2020-12-20,9.75,9.62,9.62,9.85,-0.23,4,4200,40550.0
2020-12-21,9.61,9.43,9.61,9.62,-0.01,11,2700,25755.0
2020-12-22,9.98,9.42,9.98,9.61,0.37,8,3220,31377.4
2020-12-23,10.17,9.61,9.61,9.98,-0.37,16,6200,60459.0
2020-12-24,9.79,9.46,9.79,9.61,0.18,13,4500,42813.0
2020-12-27,9.7,9.7,9.7,9.79,-0.09,5,1650,16005.0
2020-12-28,9.73,9.54,9.54,9.7,-0.16,9,2700,25900.0
2020-12-29,9.64,9.35,9.46,9.54,-0.08,15,4500,42876.0
2020-12-30,9.64,9.45,9.5,9.46,0.04,13,15850,152450.0
2020-12-31,10.06,9.46,9.8,9.5,0.3,15,4900,47396.0
2021-01-03,10.0,9.8,9.85,9.8,0.05,18,25700,255541.0
2021-01-04,9.9,9.8,9.9,9.85,0.05,10,6000,59103.0
2021-01-05,9.99,9.86,9.95,9.9,0.05,22,10100,100164.0
2021-01-06,10.0,9.86,10.0,9.95,0.05,19,20900,207752.0
