date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1210,1176,1190,1209.5,-19.5,156,6334,7549162.9
2022-02-21,1205,1190,1193,1190,3,130,6160,7376102.7
2022-02-23,1215,1190,1191,1206,-15,128,5326,6361635.5
2022-02-24,1190,1170,1170,1191,-21,197,8688,10207348.2
2022-02-22,1214.9,1185,1206,1193,13,74,2926,3534995.5
2010-06-06,138,134,138,198,-60,8,643,87182
2010-07-27,138,138,138,138,,2,150,20700
2010-08-01,138,138,138,138,,1,100,13800
2010-09-06,142,140,142,138,4,4,1252,175374
2010-12-05,153,144,153,142,11,5,345,50721
2010-12-27,166,160,166,153,13,3,146,23657
2011-01-16,169,169,169,166,3,1,147,24843
2011-02-01,172,172,172,169,3,1,90,15480
2011-02-10,187,175,187,172,15,5,125,22625
2011-02-21,190,190,190,187,3,1,20,3800
2011-02-23,193,193,193,190,3,1,10,1930
2011-03-07,202,202,202,193,9,1,10,2020
2011-03-15,212,212,212,202,10,1,10,2120
2011-03-16,228,216,228,212,16,4,125,27580
2011-03-17,240,232,240,228,12,3,30,7080
2011-03-20,252,244,252,240,12,3,30,7440
2011-03-21,257,257,257,252,5,1,10,2570
2011-03-22,267,262,267,257,10,2,20,5290
2011-03-23,282,272,282,267,15,3,30,8310
2011-03-24,302,287,302,282,20,4,40,11780
2011-03-27,314,308,314,302,12,2,20,6220
2011-03-29,326,320,326,314,12,2,331,106586
2011-03-30,358,332,358,326,32,7,140,48460
2011-03-31,393,365,393,358,35,15,915,355717
2011-04-04,408,392,395,393,2,8,459,183102
2011-04-05,415,402,413,395,18,9,797,328514
2011-04-06,415,407,407,413,-6,6,1062,438424
2011-04-07,400,368,368,407,-39,16,1336,512244
2011-04-10,368,355,360,368,-8,7,1286,462639
2011-04-28,200,200,200,360,-160,1,10,2000
2011-05-05,204,200,200,200,,2,300,60400
2011-05-08,204,204,204,200,4,1,10,2040
2011-05-09,200,196,196,204,-8,2,479,93924
2011-05-10,202,196,202,196,6,3,437,86270
2011-05-11,199,199,199,202,-3,2,139,27661
2011-05-26,202,202,202,199,3,2,1026,207252
2011-06-02,206,206,206,202,4,1,61,12566
2011-06-05,226,210,226,206,20,5,166,36108
2011-06-06,231,227,230,226,4,4,184,42275
2011-06-07,234,233,233,230,3,2,82,19158
2011-06-13,229,221,221,233,-12,3,112,25260
2011-07-05,225,225,225,221,4,1,73,16425
2011-07-06,221,217,217,225,-8,2,2270,492670
2011-07-19,213,205,205,217,-12,4,570,118370
2011-07-20,225,209,225,205,20,5,50,10850
2011-07-21,236,220,236,225,11,5,301,69288
2011-07-24,248,240,248,236,12,3,153,37464
2011-07-26,252,252,252,248,4,1,74,18648
2011-07-27,272,257,267,252,15,7,521,138417
2011-07-28,286,272,286,267,19,5,328,90950
2011-07-31,296,291,292,286,6,4,218,63987
2011-08-02,297,292,292,292,,2,197,57659
2011-08-15,290,282,287,292,-5,6,434,124610
2011-08-16,292,285,285,287,-2,3,318,91260
2011-08-17,290,285,285,285,,2,175,49925
2011-08-18,280,280,280,285,-5,3,147,41160
2011-08-22,280,270,270,280,-10,5,600,164950
2011-08-24,275,275,275,270,5,1,10,2750
2011-08-25,280,280,280,275,5,1,63,17640
2011-08-29,275,270,270,280,-10,2,97,26555
2011-09-04,265,260,260,270,-10,2,273,71980
2011-09-05,255,250,250,260,-10,2,270,68350
2011-09-07,264,255,264,250,14,3,268,69191
2011-09-13,270,269,270,264,6,4,313,84483
2011-09-15,265,265,265,270,-5,1,20,5300
2011-09-19,260,249,250,265,-15,7,443,111980
2011-09-20,255,252,252,250,2,2,311,78972
2011-09-22,277,257,277,252,25,9,956,259782
2011-09-25,277,277,277,277,,1,315,87255
2011-09-26,275,275,275,277,-2,1,80,22000
2011-10-12,280,280,280,275,5,1,74,20720
2011-10-17,284,279,284,280,4,3,214,60291
2011-10-18,290,285,290,284,6,4,279,79945
