date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,312,296,306,305,1,139,17300,5261310.1
2022-02-21,325,301,316.5,306,10.5,243,42073,13228884.6
2022-02-23,359.7,330,359.7,327,32.7,1285,185852,65692292.7
2022-02-24,381.4,344,354,359.7,-5.7,1237,156177,56711332.3
2022-02-22,331.5,318,327,316.5,10.5,458,64878,21172917.8
2017-02-13,348,348,348,,348,1,11,3828
2017-02-14,342,314,314,348,-34,6,62,20282
2017-02-15,308,283,283,314,-31,10,101,29263
2017-02-16,278,255,255,283,-28,31,324,86501
2017-02-19,250,230,230,255,-25,77,823,190875
2017-02-20,234,225,230,230,,35,359,82871
2017-02-21,238,231,232,230,2,40,421,98614
2017-02-22,233,224,228,232,-4,55,567,129804
2017-02-23,237,228,232,228,4,51,523,122182
2017-02-26,235,233,233,232,1,16,174,40848
2017-02-28,237,235,235,233,2,26,273,64384
2017-03-01,234,229,230,235,-5,25,267,62183
2017-03-02,230,226,230,230,,48,512,116396
2017-03-05,236,232,233,230,3,7,95,22274
2017-03-06,243,234,235,233,2,17,194,46044
2017-03-07,236,231,234,235,-1,14,147,34340
2017-03-09,235,226,235,234,1,43,460,105392
2017-03-13,239,236,239,235,4,10,108,25581
2017-03-14,239,235,239,239,,6,62,14634
2017-03-15,239,234,239,239,,7,161,38280
2017-03-16,246,240,246,239,7,6,61,14782
2017-03-19,255,246,246,246,,9,1084,267094
2017-03-20,250,249,250,246,4,3,30,7490
2017-03-21,265,244,245,250,-5,12,951,238900
2017-03-22,241,241,241,245,-4,3,200,48200
2017-03-23,237,229,234,241,-7,16,1064,246161
2017-03-26,242,234,238,234,4,22,1426,339113
2017-03-28,249,242,249,238,11,18,2809,687631
2017-03-29,254,247,247,249,-2,21,855,214749
2017-03-30,245,241,242,247,-5,13,150,36590
2017-04-02,240,240,240,242,-2,1,10,2400
2017-04-03,244,240,240,240,,3,30,7280
2017-04-04,240,230,235,240,-5,25,271,63777
2017-04-06,235,230,230,235,-5,10,105,24293
2017-04-09,236,231,235,230,5,13,353,82716
2017-04-10,239,235,239,235,4,16,172,40636
2017-04-11,239,239,239,239,,1,10,2390
2017-04-12,240,235,240,239,1,21,328,78213
2017-04-16,240,236,237,240,-3,12,169,40201
2017-04-18,248,237,244,237,7,16,583,141752
2017-04-19,248,240,244,244,,13,153,37164
2017-04-20,240,240,240,244,-4,8,86,20640
2017-04-24,239,223,223,240,-17,10,107,24581
2017-04-25,230,223,230,223,7,26,569,129806
2017-04-26,234,228,234,230,4,17,266,61012
2017-04-27,234,227,230,234,-4,10,103,23704
2017-04-30,235,230,231,230,1,14,270,62769
2017-05-02,229,220,224,231,-7,46,495,111353
2017-05-03,227,221,227,224,3,11,116,26022
2017-05-04,225,217,221,227,-6,21,218,48129
2017-05-07,220,216,216,221,-5,14,183,39701
2017-05-08,220,214,220,216,4,16,1160,254780
2017-05-09,233,224,226,220,6,20,1493,345353
2017-05-11,248,227,248,226,22,66,1479,348101
2017-05-15,270,247,268,248,20,47,2306,586442
2017-05-16,271,250,250,268,-18,38,746,196060
2017-05-17,252,250,250,250,,26,343,86087
2017-05-18,245,233,233,250,-17,12,548,132539
2017-05-21,237,231,232,233,-1,20,210,48924
2017-05-22,232,220,225,232,-7,17,178,40204
2017-05-23,229,224,229,225,4,13,136,30742
2017-05-24,229,225,225,229,-4,11,105,23750
2017-05-28,229,221,229,225,4,46,791,176224
2017-05-30,225,218,222,229,-7,17,185,40958
2017-05-31,224,220,224,222,2,11,115,25350
2017-06-01,224,221,222,224,-2,15,161,35894
2017-06-04,224,220,222,222,,13,136,30222
2017-06-05,227,219,225,222,3,25,563,126752
2017-06-06,225,222,225,225,,5,53,11870
2017-06-07,231,224,225,225,,43,949,215308
2017-06-08,225,223,223,225,-2,25,272,60775
2017-06-11,223,220,222,223,-1,32,350,77693
2017-06-12,221,213,218,222,-4,20,210,45924
2017-06-13,226,218,221,218,3,41,708,156292
2017-06-14,232,216,220,221,-1,20,203,45426
2017-06-15,222,216,222,220,2,23,501,110797
2017-06-18,219,217,217,222,-5,18,184,39948
2017-06-19,224,215,218,217,1,14,422,93404
2017-06-20,220,215,220,218,2,10,107,23261
2017-06-21,226,220,220,220,,15,250,55649
2017-06-22,224,216,224,220,4,10,105,23024
2017-06-25,220,216,220,224,-4,5,50,10960
2017-06-27,223,215,215,220,-5,14,141,30959
2017-06-28,215,211,214,215,-1,8,85,18129
2017-07-02,215,214,215,214,1,3,106,22695
2017-07-03,214,210,210,215,-5,9,93,19640
2017-07-04,215,211,215,210,5,18,184,39034
2017-07-05,219,211,211,215,-4,5,52,11246
