date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-11-10,749.7,750.4,749.7,56255,-55505.3,750.4,750.4,75
2022-11-08,750,765,742.4,101470,-100727.6,765,765,135
2022-11-07,745.1,745.1,743.1,55830,-55086.9,743.1,743.1,75
2022-11-06,745,745.1,745,93127.5,-92382.5,745.1,745.1,125
2022-11-03,750,750,750,18750,-18000,750,750,25
2022-11-13,750.1,750.1,750,30002.5,-29252.5,750,750,40
2022-11-14,747,750,746.4,29919,-29172.6,750,750,40
2022-11-15,751,751,747,37440,-36693,747,747,50
2022-11-16,755,755,755,37750,-36995,755,755,50
2022-11-22,752,752,752,18800,-18048,752,752,25
2022-11-23,755.2,755.2,752.1,101843.5,-101091.4,752.1,752.1,135
2022-11-27,754,760,754,67975,-67221,755,755,90
2022-11-28,770,801.1,770,374547,-373777,801.1,801.1,470
2022-11-29,801.1,817,801.1,181090,-180288.9,817,817,225
2022-11-30,800.7,816.7,800.7,84473.5,-83672.8,816.7,816.7,105
2022-12-04,814.7,820,813,306222.5,-305409.5,820,820,375
2022-12-05,834,834,834,20850,-20016,834,834,25
2022-12-20,817.4,817.4,801.1,60490,-59688.9,801.1,801.1,75
2022-12-21,817,822,800.8,510400,-509599.2,822,822,625
2022-12-22,806,838,790,49000,-48210,838,838,60
2022-12-26,825,845,808.6,103475,-102666.4,845,845,125
2022-12-27,830,830,830,20750,-19920,830,830,25
2022-12-28,830,830,830,58100,-57270,830,830,70
2022-12-29,830,830,830,41500,-40670,830,830,50
2023-01-01,815,830,798.7,244252.5,-243453.8,830,830,300
2023-01-02,830,847,830,147690,-146860,847,847,175
2023-01-03,844,847,835,126575,-125740,835,835,150
2023-01-04,820,840,820,124110,-123290,840,840,150
2023-01-05,825,825,825,61875,-61050,825,825,75
2023-01-08,815,815,795.1,156244,-155448.9,800,800,195
2023-01-09,795,827,795,81739,-80944,827,827,100
2023-01-10,843.5,860.3,843.5,29942.5,-29099,860.3,860.3,35
2023-01-12,877.5,892,877.5,162670,-161792.5,892,892,185
2023-01-31,874.2,874.2,874.2,8742,-7867.8,874.2,874.2,10
2023-02-15,856.8,856.8,787,172175.5,-171388.5,787,787,215
2023-02-16,785,785,778,93805.5,-93027.5,785,785,120
2023-02-20,770,775.1,770,69657,-68887,775.1,775.1,90
2023-02-22,760,760,745.1,90286.5,-89541.4,750.5,750.5,120
2023-02-23,750,750,750,30000,-29250,750,750,40
2023-02-26,747,747,746,18660,-17914,746,746,25
2023-02-27,746.1,746.5,746.1,37315,-36568.9,746.5,746.5,50
2023-02-28,761.4,761.4,761.4,30456,-29694.6,761.4,761.4,40
2023-03-01,750,755,746.1,82702.5,-81956.4,755,755,110
2023-03-02,744.1,744.1,744.1,18602.5,-17858.4,744.1,744.1,25
2023-03-05,745.1,745.1,745.1,18627.5,-17882.4,745.1,745.1,25
2023-03-09,751,781.8,751,56954.5,-56203.5,781.8,781.8,75
2023-03-12,790,800,790,187835,-187045,800,800,235
2023-03-13,800,800,800,100000,-99200,800,800,125
2023-03-14,800,800,800,100000,-99200,800,800,125
2023-03-16,795,800,795,31925,-31130,800,800,40
2023-03-19,800,800,800,20000,-19200,800,800,25
2023-03-20,790,790,790,19750,-18960,790,790,25
2023-03-22,775.2,800,775.2,79130,-78354.8,800,800,100
2023-03-23,784,784,784,19600,-18816,784,784,25
2023-03-26,780,805,780,67050,-66270,805,805,85
2023-03-27,799,804,788.9,67827.5,-67038.6,804,804,85
2023-03-28,789,804.5,789,47882.5,-47093.5,804.5,804.5,60
2023-03-29,805,805,800,32075,-31275,800,800,40
2023-03-30,784,784,784,19600,-18816,784,784,25
2023-04-02,784,799,784,118350,-117566,799,799,150
2023-04-03,783.4,790.9,772,81931.5,-81159.5,790.9,790.9,105
2023-04-04,775.1,775.1,775.1,19377.5,-18602.4,775.1,775.1,25
2023-04-05,772,773.5,772,38637.5,-37865.5,773.5,773.5,50
2023-04-06,768.1,771.1,768.1,57757.5,-56989.4,771.1,771.1,75
2023-04-09,773,773,773,19325,-18552,773,773,25
2023-04-10,774,774,774,19350,-18576,774,774,25
2023-04-11,776,776,776,19400,-18624,776,776,25
2023-04-13,791.5,839,791.5,233945,-233153.5,839,839,285
2023-04-16,822.3,822.3,806,40707.5,-39901.5,806,806,50
2023-04-17,810,812,810,40550,-39740,812,812,50
2023-04-18,810,828,810,61625,-60815,827,827,75
2023-04-19,811,811,797.1,40202.5,-39405.4,797.1,797.1,50
2023-04-20,800.1,800.1,800.1,20002.5,-19202.4,800.1,800.1,25
2023-04-23,800,800.1,800,60005,-59205,800.1,800.1,75
2023-04-24,800.1,800.1,800.1,20002.5,-19202.4,800.1,800.1,25
2023-04-25,784.2,784.2,784.2,19605,-18820.8,784.2,784.2,25
2023-04-26,799.8,800.1,799.8,39996.5,-39196.7,800,800,50
2023-04-27,800,805.1,800,96552.5,-95752.5,805,805,120
2023-04-30,810,810,803,40325,-39522,803,803,50
2023-05-02,810,810,810,44550,-43740,810,810,55
2023-05-03,810,810,810,20250,-19440,810,810,25
2023-05-04,810,810,810,63990,-63180,810,810,79
2023-05-07,810,810,810,20250,-19440,810,810,25
2023-05-08,805,810,805,60502.5,-59697.5,810,810,75
2023-05-09,805,805,805,60375,-59570,805,805,75
2023-05-10,805.1,805.1,805,52327.5,-51522.5,805,805,65
