date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,573,555,563.2,573.1,-9.9,342,40969,23138481.9
2022-02-21,570,564,567,563.2,3.8,186,23688,13438934.3
2022-02-23,577,562.6,565,571,-6,226,26533,15059482.9
2022-02-24,565,550,553,565,-12,448,57470,31900467.6
2022-02-22,575,570,571,567,4,220,26293,15032596.4
2011-01-03,359,340,340,354,-14,21,450,154270
2011-01-19,323,306,306,340,-34,4,40,12570
2011-01-20,291,276,276,306,-30,4,40,11340
2011-01-23,263,249,249,276,-27,4,40,10230
2011-01-24,249,225,225,249,-24,7,70,16590
2011-01-31,221,205,205,225,-20,5,50,10650
2011-02-01,201,185,185,205,-20,6,60,11560
2011-02-02,176,167,167,185,-18,45,900,150540
2011-02-03,173,151,169,167,2,188,7580,1267090
2011-02-06,181,163,171,169,2,129,3170,546640
2011-02-07,171,165,169,171,-2,190,6280,1064020
2011-02-08,170,166,167,169,-2,165,4230,713800
2011-02-09,169,166,169,167,2,54,1500,251390
2011-02-10,169,165,168,169,-1,187,4650,779970
2011-02-13,170,164,165,168,-3,148,3680,614900
2011-02-14,166,160,162,165,-3,39,920,150190
2011-02-15,165,161,162,162,,226,5320,866920
2011-02-16,167,160,160,162,-2,311,9130,1483780
2011-02-17,163,155,159,160,-1,253,6620,1065700
2011-02-20,159,154,156,159,-3,260,7560,1182290
2011-02-21,163,153,163,156,7,202,8450,1326210
2011-02-22,166,163,163,163,,76,2220,368160
2011-02-23,163,147,155,163,-8,74,2140,337800
2011-02-24,157,149,152,155,-3,197,5200,800890
2011-02-27,156,149,156,152,4,220,6340,971850
2011-02-28,154,150,154,156,-2,157,4030,615050
2011-03-01,154,151,153,154,-1,68,1830,279440
2011-03-03,161,154,158,153,5,46,1180,186640
2011-03-07,163,148,148,158,-10,159,5860,900400
2011-03-09,155,150,154,148,6,136,3110,475940
2011-03-10,156,150,151,154,-3,130,3050,466840
2011-03-13,152,150,151,151,,104,2590,391670
2011-03-14,151,148,150,151,-1,83,2540,382150
2011-03-15,150,138,140,150,-10,258,5680,804340
2011-03-16,145,136,145,140,5,175,5180,733190
2011-03-17,145,140,144,145,-1,197,6100,878740
2011-03-20,145,139,141,144,-3,127,2910,418460
2011-03-21,145,141,145,141,4,208,4340,625050
2011-03-22,144,138,143,145,-2,122,3440,488100
2011-03-23,144,138,140,143,-3,131,4790,686040
2011-03-24,146,140,142,140,2,139,4370,621430
2011-03-27,146,142,142,142,,231,7060,1010800
2011-03-28,142,132,133,142,-9,88,2470,332420
2011-03-29,139,130,139,133,6,108,3590,480140
2011-03-30,137,130,134,139,-5,61,1660,220640
2011-03-31,137,132,136,134,2,34,1480,196720
2011-04-04,139,135,139,136,3,57,1510,207790
2011-04-05,141,135,136,139,-3,35,1000,136650
2011-04-06,138,134,134,136,-2,87,2750,372000
2011-04-07,137,133,134,134,,45,1270,171100
2011-04-10,136,134,135,134,1,240,9880,1333770
2011-04-11,137,130,132,135,-3,135,2780,369280
2011-04-13,140,134,140,132,8,26,520,72080
2011-04-17,139,138,139,140,-1,54,1410,195710
2011-04-18,141,129,132,139,-7,162,4750,629280
2011-04-19,132,127,132,132,,53,1340,172970
2011-04-20,134,128,130,132,-2,102,2830,367440
2011-04-21,141,130,141,130,11,88,2700,354360
2011-04-25,141,139,139,141,-2,7,870,122530
2011-04-27,137,127,129,139,-10,81,2400,310940
2011-04-28,130,127,128,129,-1,118,2550,328210
2011-05-02,128,124,127,128,-1,149,3900,492790
2011-05-03,127,124,124,127,-3,79,3110,390480
2011-05-04,130,126,130,124,6,17,550,70000
2011-05-05,132,130,130,130,,13,400,52320
2011-05-08,134,130,134,130,4,30,1840,242720
2011-05-09,136,125,128,134,-6,86,2640,347920
2011-05-10,136,123,130,128,2,45,1810,235410
2011-05-11,132,126,130,130,,127,3770,490880
2011-05-12,134,130,134,130,4,129,3330,438660
2011-05-15,136,131,133,134,-1,129,2960,396350
2011-05-16,135,131,135,133,2,112,2680,354010
2011-05-18,135,130,134,135,-1,79,1670,223020
2011-05-19,135,128,128,134,-6,62,1630,217930
2011-05-22,134,123,134,128,6,112,2480,317320
2011-05-23,132,130,130,134,-4,71,1510,198940
2011-05-24,132,129,130,130,,42,1120,146340
2011-05-25,132,127,129,130,-1,99,2180,279150
2011-05-26,131,129,130,129,1,5,190,24650
2011-05-30,131,128,130,130,,21,580,75140
2011-05-31,131,128,128,130,-2,35,890,115620
2011-06-01,130,126,128,128,,33,850,108580
2011-06-02,134,130,132,128,4,15,500,66040
2011-06-05,134,128,128,132,-4,34,810,105900
2011-06-06,130,123,123,128,-5,69,1990,255370
2011-06-07,122,116,116,123,-7,54,1980,233910
2011-06-08,118,112,112,116,-4,24,590,67160
2011-06-09,114,112,112,112,,2,60,6800
2011-06-12,111,108,111,112,-1,11,370,40480
2011-06-13,110,106,106,111,-5,28,1470,159890
2011-06-14,108,107,107,106,1,31,620,66380
2011-06-15,109,107,107,107,,12,440,47560
2011-06-16,113,106,113,107,6,44,990,110960
2011-06-19,124,113,124,113,11,7,210,25180
2011-06-20,136,126,135,124,11,27,1270,169300
2011-06-21,140,136,140,135,5,16,1010,140340
2011-06-23,154,142,154,140,14,56,2890,436150
2011-06-26,151,151,151,154,-3,2,100,15100
2011-06-27,148,146,146,151,-5,2,40,5860
2011-06-29,146,146,146,146,,2,40,5840
2011-06-30,139,135,135,146,-11,44,1200,165640
2011-07-04,129,129,129,135,-6,11,280,36120
2011-07-05,127,123,123,129,-6,7,250,31250
2011-07-06,131,117,129,123,6,18,850,105390
2011-07-07,129,127,127,129,-2,3,140,17920
2011-07-10,125,123,125,127,-2,7,300,37350
2011-07-11,131,125,130,125,5,42,1010,128240
2011-07-12,132,128,128,130,-2,34,1210,157120
2011-07-13,135,130,132,128,4,45,1260,165900
2011-07-14,134,130,130,132,-2,8,430,56540
2011-07-18,136,132,134,130,4,12,680,91120
2011-07-19,138,134,138,134,4,22,870,118120
2011-07-20,140,136,140,138,2,12,630,87480
2011-07-21,144,142,142,140,2,5,170,24180
2011-07-24,142,134,134,142,-8,13,760,106120
2011-07-25,132,128,128,134,-6,4,160,20840
2011-07-26,132,128,132,128,4,46,990,129760
2011-07-27,138,131,138,132,6,29,1030,137400
2011-07-28,136,133,134,138,-4,27,1080,145660
2011-07-31,134,130,132,134,-2,9,460,60380
2011-08-01,141,132,140,132,8,91,3220,442180
2011-08-02,140,135,135,140,-5,32,1560,215440
2011-08-03,136,132,136,135,1,50,1230,165850
2011-08-04,141,137,139,136,3,76,2930,402650
2011-08-07,140,135,136,139,-3,48,3000,409140
2011-08-08,136,134,135,136,-1,121,4610,626030
2011-08-09,136,134,136,135,1,29,810,109610
2011-08-10,137,132,136,136,,50,1260,169420
2011-08-11,139,136,138,136,2,144,3860,531810
2011-08-15,140,137,140,138,2,58,1950,271310
2011-08-16,142,138,138,140,-2,26,1030,144280
2011-08-17,141,136,137,138,-1,123,5710,787920
2011-08-18,141,136,141,137,4,82,2140,295630
2011-08-22,140,137,139,141,-2,44,1340,185790
2011-08-23,142,135,140,139,1,140,6350,884170
2011-08-24,142,139,142,140,2,18,1700,238530
2011-08-25,141,136,141,142,-1,27,820,114010
2011-08-28,139,135,135,141,-6,9,250,33970
2011-08-29,135,133,135,135,,20,680,91020
