date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-02-17,300.0,300.0,300.0,,300.0,1,30,9000.0
2019-02-18,300.0,280.0,280.0,300.0,-20.0,2,60,16950.0
2019-02-21,280.0,266.0,266.0,280.0,-14.0,1,30,7980.0
2019-02-24,266.0,253.0,253.0,266.0,-13.0,1,30,7590.0
2019-03-03,253.0,241.0,241.0,253.0,-12.0,1,30,7230.0
2019-03-05,241.0,229.0,229.0,241.0,-12.0,1,30,6870.0
2019-03-06,229.0,214.0,214.0,229.0,-15.0,2,60,12960.0
2019-03-07,214.0,204.0,204.0,214.0,-10.0,1,30,6120.0
2019-03-17,194.0,194.0,194.0,204.0,-10.0,2,30,5820.0
2019-04-03,185.0,185.0,185.0,194.0,-9.0,1,30,5550.0
2019-04-09,176.0,170.0,170.0,185.0,-15.0,4,70,12050.0
2019-04-10,162.0,162.0,162.0,170.0,-8.0,1,20,3240.0
2019-04-11,154.0,148.0,148.0,162.0,-14.0,3,30,4530.0
2019-04-22,146.0,141.0,146.0,148.0,-2.0,2,30,4280.0
2019-04-23,139.0,139.0,139.0,146.0,-7.0,2,60,8340.0
2019-05-09,133.0,133.0,133.0,139.0,-6.0,1,10,1330.0
2019-05-19,127.0,127.0,127.0,133.0,-6.0,1,30,3810.0
2019-05-20,122.0,122.0,122.0,127.0,-5.0,1,30,3660.0
2019-05-21,116.0,116.0,116.0,122.0,-6.0,1,20,2320.0
2019-05-22,114.0,105.0,105.0,116.0,-11.0,49,1339,143974.0
2019-05-23,103.0,95.0,96.0,105.0,-9.0,90,2260,222400.0
2019-05-26,96.0,89.0,90.0,96.0,-6.0,51,1245,115975.0
2019-05-27,91.0,85.0,91.0,90.0,1.0,42,1050,91710.0
2019-05-28,91.0,89.0,90.0,91.0,-1.0,27,670,60170.0
2019-05-29,95.0,89.0,95.0,90.0,5.0,24,760,69520.0
2019-05-30,96.0,94.0,94.0,95.0,-1.0,13,750,71400.0
2019-06-02,96.0,90.0,90.0,94.0,-4.0,40,1140,105070.0
2019-06-03,91.0,89.0,90.0,90.0,,36,950,85440.0
2019-06-04,93.0,88.0,88.0,90.0,-2.0,35,860,77430.0
2019-06-06,90.0,87.0,88.0,88.0,,29,770,68080.0
2019-06-10,87.0,85.0,86.0,88.0,-2.0,27,740,63540.0
2019-06-11,87.0,85.0,86.0,86.0,,17,590,50710.0
2019-06-12,87.0,85.0,86.0,86.0,,21,500,42780.0
2019-06-13,87.0,85.0,86.0,86.0,,13,320,27310.0
2019-06-16,90.0,83.0,83.0,86.0,-3.0,38,1010,84455.0
2019-06-17,84.0,82.0,82.0,83.0,-1.0,11,240,19980.0
2019-06-18,85.0,80.0,84.0,82.0,2.0,16,430,35850.0
2019-06-19,83.0,80.0,81.0,84.0,-3.0,26,660,53690.0
2019-06-20,83.0,81.0,82.0,81.0,1.0,10,300,24570.0
2019-06-23,82.0,81.0,82.0,82.0,,7,160,13100.0
2019-06-24,84.0,81.0,84.0,82.0,2.0,14,980,80470.0
2019-06-25,84.0,83.0,83.0,84.0,-1.0,2,50,4170.0
2019-06-26,82.0,80.0,81.0,83.0,-2.0,13,300,24325.0
2019-06-27,80.0,78.0,80.0,81.0,-1.0,12,320,25320.0
2019-06-30,81.0,79.0,81.0,80.0,1.0,8,190,15090.0
2019-07-01,80.0,79.0,80.0,81.0,-1.0,13,310,24760.0
2019-07-02,81.0,80.0,80.0,80.0,,11,250,20060.0
2019-07-03,80.0,79.0,79.0,80.0,-1.0,10,220,17460.0
2019-07-04,80.0,80.0,80.0,79.0,1.0,9,240,19200.0
2019-07-07,83.0,81.0,83.0,80.0,3.0,8,190,15580.0
2019-07-08,87.0,84.0,86.0,83.0,3.0,17,740,63350.0
2019-07-09,90.0,86.0,89.0,86.0,3.0,16,630,55630.0
2019-07-10,88.0,86.0,86.0,89.0,-3.0,3,160,13990.0
2019-07-11,88.0,86.0,88.0,86.0,2.0,10,276,24036.0
2019-07-14,89.0,86.0,87.0,88.0,-1.0,12,310,27080.0
2019-07-15,87.0,85.0,85.0,87.0,-2.0,17,465,40070.0
2019-07-16,86.0,84.0,84.0,85.0,-1.0,12,430,36350.0
2019-07-17,85.0,84.0,84.0,84.0,,13,470,39610.0
2019-07-18,84.0,84.0,84.0,84.0,,3,90,7560.0
2019-07-21,85.0,84.0,85.0,84.0,1.0,2,30,2540.0
2019-07-22,86.0,84.0,86.0,85.0,1.0,3,70,5950.0
2019-07-23,89.0,85.0,89.0,86.0,3.0,15,390,33900.0
2019-07-24,93.0,90.0,93.0,89.0,4.0,14,825,76220.0
2019-07-25,93.0,90.0,90.0,93.0,-3.0,17,440,40370.0
2019-07-28,89.0,86.0,86.0,90.0,-4.0,10,220,19070.0
2019-07-29,85.0,85.0,85.0,86.0,-1.0,7,190,16150.0
2019-07-30,84.0,83.0,84.0,85.0,-1.0,8,180,15030.0
2019-07-31,85.0,83.0,85.0,84.0,1.0,5,210,17620.0
2019-08-01,86.0,83.0,83.0,85.0,-2.0,18,540,45650.0
2019-08-04,84.0,82.0,83.0,83.0,,18,490,40690.0
2019-08-05,86.0,82.0,83.0,83.0,,18,1300,109060.0
2019-08-06,84.0,83.0,83.0,83.0,,6,170,14140.0
2019-08-07,84.0,82.0,83.0,83.0,,12,310,25690.0
2019-08-08,83.0,81.0,82.0,83.0,-1.0,14,290,23840.0
2019-08-11,83.0,81.0,83.0,82.0,1.0,8,260,21230.0
2019-08-12,83.0,81.0,82.0,83.0,-1.0,14,380,30930.0
2019-08-13,81.0,81.0,81.0,82.0,-1.0,9,290,23490.0
2019-08-14,83.0,81.0,83.0,81.0,2.0,6,170,13910.0
2019-08-15,84.0,82.0,83.0,83.0,,9,240,19930.0
2019-08-18,83.0,80.0,83.0,83.0,,14,360,29340.0
2019-08-19,83.0,81.0,82.0,83.0,-1.0,16,380,31230.0
2019-08-20,82.0,81.0,81.0,82.0,-1.0,9,240,19470.0
2019-08-21,81.0,78.0,78.0,81.0,-3.0,17,460,36160.0
2019-08-22,79.0,77.0,77.0,78.0,-1.0,7,140,11000.0
2019-08-25,78.0,76.0,78.0,77.0,1.0,16,430,33100.0
2019-08-26,78.0,77.0,77.0,78.0,-1.0,7,180,13950.0
2019-08-27,77.0,77.0,77.0,77.0,,6,180,13860.0
2019-08-28,76.0,75.0,75.0,77.0,-2.0,5,150,11280.0
2019-08-29,75.0,73.0,73.0,75.0,-2.0,13,310,22960.0
2019-09-01,75.0,73.0,75.0,73.0,2.0,4,110,8150.0
2019-09-02,74.0,73.0,73.0,75.0,-2.0,7,180,13240.0
2019-09-03,73.0,71.0,71.0,73.0,-2.0,17,950,68680.0
2019-09-04,72.0,71.0,71.0,71.0,,12,290,20730.0
2019-09-05,71.0,70.0,70.0,71.0,-1.0,12,270,19070.0
2019-09-08,71.0,70.0,70.0,70.0,,11,260,18260.0
2019-09-09,71.0,69.0,69.0,70.0,-1.0,12,350,24350.0
2019-09-10,69.0,68.0,68.0,69.0,-1.0,7,180,12270.0
2019-09-11,71.0,69.0,71.0,68.0,3.0,9,340,23730.0
