date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-11-10,7.8,7.66,7.73,7.8,-0.0699999999999994,5,1900,14738
2022-11-09,7.8,7.7,7.8,7.95,-0.15000000000000036,8,2700,21000
2022-11-08,8.05,7.89,7.95,8.2,-0.2499999999999991,7,900,7201
2022-11-07,8.2,7.84,8.2,8.05,0.14999999999999858,14,2610,20948.4
2022-11-06,8.16,8,8.05,8,0.05000000000000071,12,2100,17011
2022-11-03,8.2,7.85,8,8.36,-0.35999999999999943,10,2100,16792
2022-11-13,7.78,7.58,7.78,7.73,0.04999999999999982,7,800,6183
2022-11-14,7.93,7.78,7.8,7.78,0.019999999999999574,3,300,2351
2022-11-15,8,7.8,8,7.8,0.20000000000000018,5,900,7080
2022-11-16,8,7.84,7.85,8,-0.15000000000000036,7,2300,18145
2022-11-22,7.8,7.65,7.8,7.8,0,11,7800,60015
2022-11-23,7.95,7.8,7.8,7.8,0,10,1460,11403
2022-11-24,7.8,7.65,7.8,7.8,0,8,4100,31597
2022-11-27,8,7.9,8,7.8,0.20000000000000018,6,1600,12720
2022-11-28,8.16,7.84,8.16,8,0.16000000000000014,11,2500,20281
2022-11-29,8,7.84,7.86,8.16,-0.2999999999999998,12,3800,30005
2022-11-30,7.8,7.71,7.8,7.86,-0.0600000000000005,10,3500,27179
2022-12-01,8,7.71,8,7.8,0.20000000000000018,9,1000,7874
2022-12-04,8.16,7.58,8.16,8,0.16000000000000014,10,4222,32664
2022-12-05,8.55,8.16,8.34,8.16,0.17999999999999972,14,14940,124498.8
2022-12-06,8.5,8.33,8.33,8.34,-0.009999999999999787,3,400,3366
2022-12-07,8.4,8.24,8.4,8.33,0.07000000000000028,10,2250,18576.5
2022-12-11,9.24,8.56,9.06,8.4,0.6600000000000001,6,600,5356
2022-12-12,8.88,8.15,8.16,9.06,-0.9000000000000004,16,4197,34524.3
2022-12-13,8.16,8.01,8.01,8.16,-0.15000000000000036,8,5720,45885
2022-12-14,8,7.85,8,8.01,-0.009999999999999787,13,7400,59072
2022-12-15,7.9,7.55,7.7,8,-0.2999999999999998,19,51705,395790.55
2022-12-18,8.42,7.65,8.42,7.7,0.7199999999999998,20,3800,31011.78
2022-12-19,8.26,7.7,7.77,8.42,-0.6500000000000004,17,11150,87844.5
2022-12-20,7.8,7.62,7.8,7.77,0.03000000000000025,6,600,4620
