date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1344,1300,1304.1,1345,-40.9,43,1875,2469429.6
2022-02-21,1430,1320,1430,1304.1,125.9,96,3342,4652848
2022-02-22,1488,1420,1420,1430,-10,142,5142,7440226.9
2022-02-23,1448.4,1368,1373,1420,-47,40,1214,1686336.5
2022-02-24,1361,1311.2,1311.2,1373,-61.8,22,354,471059.2
2019-06-02,279,279,279,,279,2,20,5580
2019-06-03,292,292,292,279,13,1,10,2920
2019-06-04,312,306,312,292,20,2,20,6180
2019-06-06,327,327,327,312,15,1,10,3270
2019-06-16,343,343,343,327,16,1,10,3430
2019-06-17,360,360,360,343,17,10,750,270000
2019-06-18,385,378,385,360,25,2,20,7630
2019-06-20,423,404,423,385,38,6,200,84270
2019-06-23,465,444,465,423,42,21,210,97270
2019-06-24,511,456,462,465,-3,865,10977,5219423
2019-06-25,466,440,440,462,-22,590,6120,2730470
2019-06-26,462,409,412,440,-28,268,4160,1727930
2019-06-27,410,397,405,412,-7,238,2900,1165470
2019-06-30,410,380,381,405,-24,229,3915,1512910
2019-07-01,395,369,393,381,12,151,1780,673000
2019-07-02,395,382,387,393,-6,90,1310,508060
2019-07-03,406,383,398,387,11,110,1475,580835
2019-07-04,410,392,398,398,,98,1300,520860
2019-07-07,405,384,392,398,-6,55,900,356430
2019-07-08,395,379,388,392,-4,63,880,341460
2019-07-09,402,384,402,388,14,53,1000,394450
2019-07-10,400,392,392,402,-10,33,450,179010
2019-07-11,401,392,400,392,8,50,900,355325
2019-07-14,400,385,385,400,-15,30,400,156250
2019-07-15,405,386,400,385,15,47,470,186020
2019-07-16,400,390,400,400,,25,440,174130
2019-07-17,400,385,391,400,-9,24,240,94370
2019-07-18,400,390,395,391,4,13,130,51320
2019-07-21,398,385,398,395,3,51,560,219680
2019-07-22,399,386,394,398,-4,31,310,121720
2019-07-23,405,393,397,394,3,46,900,359710
2019-07-24,416,400,405,397,8,56,895,365085
2019-07-25,410,398,403,405,-2,50,1300,522930
2019-07-28,403,397,401,403,-2,22,280,111970
2019-07-29,441,396,427,401,26,70,1765,738090
2019-07-30,451,429,448,427,21,107,3520,1552475
2019-07-31,492,446,492,448,44,149,7063,3326920
2019-08-01,541,500,541,492,49,204,8440,4468050
2019-08-04,590,545,579,541,38,157,5695,3262165
2019-08-05,591,522,525,579,-54,141,4423,2468892
2019-08-06,519,476,486,525,-39,97,3035,1481620
2019-08-07,534,468,534,486,48,96,4515,2352480
2019-08-08,556,531,541,534,7,88,3265,1776085
2019-08-11,551,522,535,541,-6,41,685,367805
2019-08-12,550,531,540,535,5,83,1640,886930
2019-08-13,549,523,535,540,-5,53,1530,822310
2019-08-14,535,521,527,535,-8,45,1960,1031270
2019-08-15,535,509,526,527,-1,70,3340,1713170
2019-08-18,516,499,501,526,-25,42,610,305720
2019-08-19,521,500,521,501,20,37,535,271405
2019-08-20,530,495,496,521,-25,25,290,147670
2019-08-21,499,481,481,496,-15,39,935,454495
2019-08-22,510,480,480,481,-1,27,530,258600
2019-08-25,494,478,494,480,14,20,960,464160
2019-08-26,490,476,489,494,-5,27,350,169070
2019-08-27,490,473,487,489,-2,21,440,212320
