date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,353,336.2,343,353,-10,90,8839,3034628.1
2022-02-21,349.9,344,345,343,2,44,3616,1248916.4
2022-02-22,358,346.5,352,345,7,67,5252,1850503.5
2022-02-23,355,345,350,352,-2,59,3946,1375955.4
2022-02-24,346.5,337,340,350,-10,52,6345,2155204.5
2016-11-24,252,248,252,,252,2,20,5000
2016-11-27,277,257,277,252,25,14,512,141324
2016-11-28,297,272,295,277,18,80,2505,718130
2016-11-29,324,296,324,295,29,37,1057,324768
2016-11-30,356,324,356,324,32,48,998,348105
2016-12-01,391,363,391,356,35,44,1290,499700
2016-12-04,415,385,396,391,5,162,3303,1316971
2016-12-05,396,357,358,396,-38,80,1845,689251
2016-12-06,374,357,370,358,12,28,631,232196
2016-12-07,387,366,375,370,5,31,399,150270
2016-12-08,372,362,365,375,-10,13,276,100694
2016-12-11,372,363,365,365,,11,234,85760
2016-12-12,367,353,367,365,2,22,1492,537042
2016-12-14,380,367,380,367,13,34,879,328792
2016-12-15,418,374,418,380,38,29,962,379581
2016-12-18,426,407,414,418,-4,77,2471,1018712
2016-12-19,407,391,398,414,-16,11,142,57062
2016-12-20,391,377,385,398,-13,8,91,34951
2016-12-21,380,371,380,385,-5,11,242,91178
2016-12-22,405,374,400,380,20,58,7745,3074719
2016-12-26,410,395,405,400,5,16,676,273735
2016-12-27,405,391,398,405,-7,37,1505,604154
2016-12-28,420,391,420,398,22,26,1042,416245
2016-12-29,430,407,430,420,10,27,709,295225
2017-01-01,430,416,416,430,-14,15,561,236251
2017-01-02,457,424,448,416,32,68,5982,2639331
2017-01-03,481,451,475,448,27,42,1654,759526
2017-01-04,480,448,475,475,,42,682,314909
2017-01-05,500,466,466,475,-9,23,1485,717883
2017-01-08,484,448,484,466,18,45,1521,711544
2017-01-09,500,466,484,484,,58,1281,612466
2017-01-10,495,480,495,484,11,22,741,360283
2017-01-11,502,492,492,495,-3,3,60,29620
2017-01-12,533,486,533,492,41,56,2125,1088901
2017-01-15,535,495,515,533,-18,17,415,211124
2017-01-16,566,525,566,515,51,57,4524,2559544
2017-01-17,622,577,622,566,56,232,13365,8280868
2017-01-18,644,570,580,622,-42,178,6619,3962790
2017-01-19,602,561,561,580,-19,109,4746,2743257
2017-01-22,577,520,520,561,-41,99,3795,2082170
2017-01-23,530,500,506,520,-14,111,3961,2038390
2017-01-24,549,500,545,506,39,140,5303,2808175
2017-01-25,535,510,525,545,-20,20,1213,634481
2017-01-26,516,515,515,525,-10,5,235,121125
2017-01-30,510,490,490,515,-25,17,362,181620
2017-01-31,498,476,480,490,-10,20,641,310316
2017-02-01,489,471,489,480,9,11,547,264241
2017-02-02,491,480,480,489,-9,24,800,389960
2017-02-05,489,472,475,480,-5,19,690,327660
2017-02-06,475,470,470,475,-5,13,340,160050
2017-02-07,471,471,471,470,1,10,298,140358
2017-02-08,473,473,473,471,2,11,110,52030
2017-02-09,464,445,445,473,-28,17,350,157789
2017-02-12,440,419,419,445,-26,11,415,178220
2017-02-13,411,400,400,419,-19,7,340,138540
2017-02-14,401,395,395,400,-5,17,580,232060
2017-02-15,397,381,397,395,2,11,1486,583565
2017-02-16,402,395,395,397,-2,10,748,298492
2017-02-19,402,402,402,395,7,1,100,40200
2017-02-20,415,402,415,402,13,10,200,81780
2017-02-21,423,410,418,415,3,7,906,376238
2017-02-22,421,418,418,418,,8,150,63000
2017-02-23,410,408,408,418,-10,2,110,44900
2017-02-26,416,400,408,408,,8,430,177410
2017-02-28,408,400,401,408,-7,6,230,92550
2017-03-01,393,373,373,401,-28,7,178,68515
2017-03-02,394,380,394,373,21,10,450,171420
2017-03-05,410,398,410,394,16,7,476,192660
2017-03-06,418,410,418,410,8,3,157,65418
2017-03-07,416,416,416,418,-2,1,22,9152
2017-03-09,420,413,420,416,4,8,254,105980
2017-03-14,420,411,411,420,-9,7,353,147400
2017-03-15,412,400,400,411,-11,10,150,60550
2017-03-16,410,402,410,400,10,9,100,40670
2017-03-19,405,405,405,410,-5,1,50,20250
2017-03-20,410,410,410,405,5,1,21,8610
2017-03-21,420,411,420,410,10,3,261,108341
2017-03-22,427,425,427,420,7,4,60,25600
2017-03-23,442,427,442,427,15,10,310,135400
2017-03-26,459,450,450,442,8,8,126,57150
2017-03-28,480,459,480,450,30,8,237,112068
2017-03-29,494,484,494,480,14,5,182,88735
2017-03-30,502,485,502,494,8,10,360,178590
2017-04-02,510,507,510,502,8,2,31,15747
2017-04-03,510,475,475,510,-35,10,601,294590
2017-04-04,484,465,466,475,-9,13,284,134600
2017-04-06,512,475,512,466,46,20,547,278724
2017-04-09,563,522,563,512,51,29,1397,778906
2017-04-10,619,574,619,563,56,119,6060,3738598
2017-04-11,680,630,680,619,61,54,1509,1021574
2017-04-12,748,693,748,680,68,81,5115,3807985
2017-04-13,822,706,725,748,-23,115,4966,3725719
2017-04-16,797,653,653,725,-72,25,1188,856652
2017-04-18,641,591,629,653,-24,43,2761,1697747
2017-04-19,681,618,681,629,52,46,1733,1138906
2017-04-20,733,694,720,681,39,49,2016,1450309
2017-04-23,734,720,720,720,,23,1501,1083320
2017-04-24,715,685,707,720,-13,38,1794,1260767
2017-04-25,710,695,699,707,-8,31,1484,1041543
2017-04-26,703,687,691,699,-8,20,926,643024
2017-04-27,701,680,689,691,-2,14,572,395327
2017-04-30,702,652,675,689,-14,22,1292,870291
2017-05-02,690,640,640,675,-35,19,2016,1323760
2017-05-03,695,652,695,640,55,23,1166,799413
2017-05-04,695,670,676,695,-19,40,1808,1226987
2017-05-07,665,646,646,676,-30,53,571,376775
2017-05-08,655,630,633,646,-13,17,310,197360
2017-05-09,660,645,650,633,17,13,257,167949
2017-05-11,651,625,637,650,-13,32,993,632770
2017-05-15,640,627,639,637,2,16,351,221550
2017-05-16,669,620,656,639,17,11,117,74885
2017-05-17,665,640,640,656,-16,12,187,121540
2017-05-18,635,631,633,640,-7,4,293,185833
2017-05-21,645,633,645,633,12,22,894,571696
2017-05-22,646,642,644,645,-1,6,120,77170
2017-05-23,652,640,644,644,,6,121,77790
2017-05-24,650,632,650,644,6,24,532,342598
2017-05-28,650,620,621,650,-29,21,524,330374
2017-05-30,642,620,620,621,-1,13,693,436000
2017-05-31,682,610,682,620,62,79,2823,1887233
2017-06-01,722,695,710,682,28,144,4897,3500182
2017-06-04,735,715,726,710,16,83,2486,1808186
2017-06-05,739,716,733,726,7,74,2162,1579076
2017-06-06,750,730,735,733,2,37,1336,983225
2017-06-07,749,721,725,735,-10,21,344,251595
2017-06-08,739,715,726,725,1,22,973,702285
2017-06-11,745,720,720,726,-6,54,2452,1811054
2017-06-12,720,695,695,720,-25,24,471,334435
2017-06-13,710,686,708,695,13,35,932,653644
2017-06-14,720,696,720,708,12,58,1053,740030
2017-06-15,710,675,675,720,-45,17,1531,1072740
2017-06-18,688,675,675,675,,14,255,174600
2017-06-19,688,675,675,675,,6,90,61140
2017-06-20,675,675,675,675,,5,165,111375
2017-06-21,676,657,657,675,-18,12,279,187845
2017-06-22,644,630,630,657,-27,5,418,265860
2017-06-25,642,622,640,630,10,5,113,72080
2017-06-27,640,631,635,640,-5,17,340,217200
2017-06-28,638,615,638,635,3,19,350,219640
2017-07-02,630,626,626,638,-12,4,130,81780
2017-07-04,630,616,620,626,-6,13,130,80530
2017-07-05,616,600,611,620,-9,19,365,222690
2017-07-06,630,610,630,611,19,11,130,80800
2017-07-09,642,625,626,630,-4,18,247,155744
2017-07-10,620,608,612,626,-14,10,140,86040
2017-07-11,630,600,625,612,13,121,1221,740197
2017-07-12,649,620,640,625,15,37,610,386720
2017-07-13,644,616,627,640,-13,20,671,425485
2017-07-16,632,615,622,627,-5,12,252,156704
2017-07-17,628,614,620,622,-2,26,338,209098
2017-07-18,632,620,630,620,10,11,343,215370
2017-07-19,642,635,635,630,5,14,270,172421
2017-07-20,630,618,620,635,-15,17,180,112170
2017-07-23,625,610,625,620,5,12,236,146030
2017-07-24,621,610,620,625,-5,8,90,55640
2017-07-25,640,625,630,620,10,24,415,262290
2017-07-26,630,618,625,630,-5,20,443,277191
2017-07-27,626,614,617,625,-8,6,390,239730
2017-07-30,635,617,635,617,18,16,411,256536
2017-07-31,630,614,620,635,-15,25,499,308992
2017-08-01,640,608,631,620,11,17,330,208134
2017-08-02,640,622,622,631,-9,16,238,149430
2017-08-03,630,620,626,622,4,9,420,263930
2017-08-06,626,612,617,626,-9,17,583,358562
2017-08-07,625,615,622,617,5,17,360,223380
2017-08-09,632,625,626,622,4,27,767,481072
2017-08-10,667,616,667,626,41,10,300,190170
2017-08-13,655,601,601,667,-66,65,1754,1063724
2017-08-15,600,575,587,601,-14,41,1492,878341
2017-08-16,603,575,581,587,-6,30,452,268042
2017-08-17,600,576,594,581,13,33,353,206562
2017-08-20,594,561,561,594,-33,7,102,58410
2017-08-21,591,561,591,561,30,14,191,108131
2017-08-22,590,570,590,591,-1,5,50,28910
2017-08-23,601,570,601,590,11,18,340,195970
2017-08-24,600,577,592,601,-9,16,212,123990
2017-08-27,592,571,590,592,-2,17,487,280401
2017-08-28,595,564,595,590,5,21,306,178460
2017-08-30,600,584,599,595,4,26,1028,608834
2017-08-31,621,553,581,599,-18,44,698,403733
2017-09-04,590,565,565,581,-16,14,422,241010
2017-09-06,570,560,569,565,4,8,200,113318
2017-09-07,561,547,561,569,-8,23,421,233031
2017-09-10,572,550,559,561,-2,10,596,335377
2017-09-11,549,531,540,559,-19,13,166,90044
2017-09-12,540,530,540,540,,6,230,122920
2017-09-13,530,515,515,540,-25,3,30,15700
2017-09-14,522,505,522,515,7,9,95,48770
2017-09-17,555,532,555,522,33,9,178,97792
2017-09-18,580,555,570,555,15,17,461,263727
2017-09-20,570,548,548,570,-22,6,150,83950
2017-09-24,538,538,538,548,-10,1,20,10760
2017-09-25,561,530,561,538,23,4,40,21810
2017-10-04,565,565,565,561,4,1,10,5650
2017-10-09,554,554,554,565,-11,2,20,11080
2017-10-10,543,533,540,554,-14,7,195,104964
2017-10-11,545,530,530,540,-10,4,80,43050
2017-10-15,550,530,550,530,20,5,90,48590
2017-10-16,550,550,550,550,,2,60,33000
2017-10-17,555,544,544,550,-6,5,620,337990
2017-10-18,535,525,535,544,-9,7,255,136265
2017-10-22,530,525,530,535,-5,5,54,28440
2017-10-23,545,530,545,530,15,7,113,60805
2017-10-24,550,540,540,545,-5,4,40,21790
2017-10-25,561,545,545,540,5,7,370,203080
2017-10-29,545,540,540,545,-5,12,540,291760
2017-10-30,550,531,531,540,-9,11,240,128670
2017-10-31,521,511,512,531,-19,8,305,157435
2017-11-01,502,492,502,512,-10,7,183,91496
2017-11-02,505,495,505,502,3,6,61,30445
2017-11-05,510,481,481,505,-24,14,140,69640
2017-11-06,493,464,470,481,-11,21,1036,489475
2017-11-07,462,457,457,470,-13,4,142,65354
2017-11-08,457,440,448,457,-9,13,950,429890
2017-11-09,459,441,449,448,1,6,525,234745
2017-11-12,460,449,450,449,1,7,440,198900
2017-11-13,443,441,442,450,-8,5,50,22120
2017-11-14,445,440,445,442,3,2,256,113420
2017-11-15,462,445,445,445,,15,659,297675
2017-11-16,453,445,446,445,1,3,30,13440
2017-11-19,462,445,462,446,16,12,372,168393
2017-11-20,508,471,508,462,46,22,1238,621744
2017-11-21,558,518,558,508,50,60,3241,1774961
2017-11-22,613,569,613,558,55,128,5120,3127816
2017-11-23,674,553,600,613,-13,141,4695,3026631
2017-11-26,600,579,588,600,-12,54,1787,1045376
2017-11-27,599,577,580,588,-8,42,1249,728963
