date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1091,1091,1091,1095,-4,1,120,130920
2022-02-21,1091,1091,1091,1091,,2,170,185470
2022-02-23,1100,1100,1100,1100,,2,300,330000
2022-02-22,1100,1100,1100,1091,9,3,181,199100
2021-07-04,1155,1050,1155,,105,8,656,720472
2021-07-05,1220,1178,1220,1155,65,21,2042,2456700
2021-07-06,1242,1240,1242,1220,22,3,150,186100
2021-07-07,1230,1230,1230,1242,-12,1,10,12300
2021-07-08,1206,1206,1206,1230,-24,1,10,12060
2021-07-11,1205,1205,1205,1206,-1,1,10,12050
2021-07-12,1190,1172,1172,1205,-33,9,525,620000
2021-07-13,1219,1195,1196,1172,24,6,855,1038795
2021-07-15,1200,1200,1200,1196,4,1,50,60000
2021-07-18,1180,1152.6,1160,1200,-40,14,730,849450
2021-07-19,1150,1145,1145,1160,-15,11,750,861875
2021-07-20,1150,1135,1150,1145,5,5,525,599000
2021-07-22,1173,1150,1154,1150,4,6,165,191470
2021-07-25,1160,1154,1154,1154,,5,225,259905
2021-07-26,1160,1150,1160,1154,6,6,630,729300
2021-07-27,1168,1145.1,1165,1160,5,14,740,853963
2021-08-01,1170,1165,1170,1165,5,3,225,262750
2021-08-02,1170,1170,1170,1170,,4,190,222300
2021-08-05,1160,1160,1160,1170,-10,2,100,116000
2021-08-08,1160,1160,1160,1160,,5,430,498800
2021-08-09,1190,1160,1190,1160,30,10,460,541810
2021-08-10,1195,1171.1,1195,1190,5,9,775,922715
2021-08-11,1215,1212,1215,1195,20,3,45,54580
2021-08-19,1190.7,1190.7,1190.7,1215,-24.3,1,40,47628
2021-08-26,1166.9,1143.7,1143.7,1190.7,-47,7,705,807541.5
2021-08-29,1140,1130,1132,1143.7,-11.7,5,166,187972
2021-08-31,1130.2,1130.2,1130.2,1132,-1.8,1,50,56510
2021-09-05,1152,1152,1152,1130.2,21.8,1,25,28800
2021-09-06,1172,1150,1150,1152,-2,3,400,462150
2021-09-09,1148,1145,1145,1150,-5,2,50,57325
2021-09-12,1145,1135,1145,1145,,5,275,312636.5
2021-09-13,1140,1140,1140,1145,-5,2,25,28500
2021-09-20,1125,1120,1120,1140,-20,4,583,653965
2021-09-23,1135,1120,1135,1120,15,2,102,115020
2021-09-29,1130,1120.2,1120.2,1135,-14.8,2,165,185813
2021-09-30,1121,1121,1121,1120.2,0.8,1,25,28025
2021-10-03,1130,1120,1130,1121,9,2,200,225000
2021-10-06,1140,1130,1140,1130,10,3,345,391650
2021-10-11,1140,1140,1140,1140,,1,50,57000
2021-10-18,1140,1125,1140,1140,,5,671,759375
2021-10-26,1150,1140,1150,1140,10,2,125,143500
2021-10-31,1150,1140,1150,1150,,2,125,143500
2021-11-01,1150,1150,1150,1150,,2,50,57500
2021-11-02,1150,1150,1150,1150,,1,200,230000
2021-11-09,1127,1127,1127,1150,-23,1,25,28175
2021-11-11,1150,1125,1150,1127,23,3,375,430575
2021-11-14,1149.5,1127,1149.5,1150,-0.5,2,125,143125
