date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-18,1000,1000,1000,10000,-9000,1000,1000,10
2023-12-20,983,983,977,49000,-48023,977,977,50
2023-12-21,972,975.5,972,78896.8,-77924.8,975.5,975.5,81
2023-12-24,995,995,981.2,98810,-97828.8,981.2,981.2,100
2023-12-27,981,981,972.5,53733.5,-52761,980.1,980.1,55
2023-12-28,980.1,980.1,980,49002.5,-48022.5,980,980,50
2024-01-02,971.3,971.3,971.3,24282.5,-23311.2,971.3,971.3,25
2024-01-03,964,964,964,24100,-23136,964,964,25
2024-01-07,957.5,976,957.5,48102,-47144.5,960.3,960.3,50
2024-01-08,956,956,956,23900,-22944,956,956,25
2024-01-09,947,947,938,94248.5,-93310.5,938,938,100
2024-01-14,950,950,950,23750,-22800,950,950,25
2024-01-25,953,953,953,23820.5,-22867.5,953,952.1,25
2024-01-29,938,938,938,23450,-22512,938,938,25
2024-01-30,955,955,955,23875,-22920,955,955,25
2024-02-01,974,980,974,48850,-47876,980,980,50
2024-02-06,990,990,990,9900,-8910,990,990,10
2024-02-07,972,972,972,24300,-23328,972,972,25
2024-02-14,977.3,977.3,977.1,48860.2,-47883.1,977.1,977.1,50
2024-02-25,976,976,976,9760,-8784,976,976,10
2024-03-03,970.3,995.5,970.3,108804.5,-107834.2,995.5,995.5,110
2024-03-07,983.2,983.2,983.2,24580,-23596.8,983.2,983.2,25
2024-03-10,998,998,998,49900,-48902,998,998,50
2024-03-13,998,998,998,24950,-23952,998,998,25
2024-03-14,1017.9,1017.9,1017.9,25447.5,-24429.6,1017.9,1017.9,25
2024-03-17,1010,1010,1010,25250,-24240,1010,1010,25
2024-03-21,1011,1012,1011,455350,-454339,1011,1011,450
