date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,4224,4086.7,4157,4255,-98,1342,36960,153879849.3
2022-02-21,4200,4150,4172,4157,15,653,17959,74885158.4
2022-02-22,4215,4160.1,4166,4172,-6,863,24890,104188506.2
2022-02-23,4215,4120,4136.1,4166,-29.9,781,23081,95829964.3
2022-02-24,4118,4040.1,4048,4136.1,-88.1,1163,30848,125599408
2010-06-07,101,100,100,103,-3,3,357720,35772020
2010-08-05,100,100,100,100,,8,80,8000
2010-08-08,100,100,100,100,,1,10,1000
2011-10-24,100,100,100,100,,1,44710,4471000
2011-10-25,100,100,100,100,,2,29060,2906000
2011-10-30,98,98,98,100,-2,2,200,19600
2011-10-31,100,99,100,98,2,5,56120,5611890
2011-11-03,100,100,100,100,,1,11180,1118000
2011-11-08,100,98,100,100,,4,9120,911680
2011-11-10,100,99,100,100,,10,208360,20813645
2011-11-13,100,100,100,100,,5,460,46000
2011-11-16,100,100,100,100,,4,5020,502000
2011-11-17,100,100,100,100,,1,13415,1341500
2011-11-21,100,100,100,100,,3,44965,4496500
2011-11-22,100,100,100,100,,3,12180,1218000
2011-11-23,101,101,101,100,1,1,145320,14677320
2011-12-05,99,99,99,101,-2,1,30,2970
2011-12-07,100,100,100,99,1,5,240,24000
2011-12-11,100,100,100,100,,13,8540,854000
2011-12-13,100,100,100,100,,1,50,5000
2011-12-14,100,100,100,100,,14,1550,155000
2011-12-18,100,100,100,100,,5,50,5000
2012-02-07,99,99,99,100,-1,2,20,1980
2012-03-20,99,99,99,99,,3,40,3960
2012-04-30,100,98,100,99,1,8,5730,572650
2012-07-08,100,100,100,100,,7,13810,1381000
2012-07-16,100,100,100,100,,1,50,5000
2012-08-01,99,99,99,100,-1,2,70,6930
2012-09-18,100,100,100,99,1,1,20,2000
2013-02-05,98,98,98,100,-2,2,330,32340
2013-05-20,97,96,96,98,-2,2,70,6740
2013-07-07,98,97,98,96,2,5,80,7780
2013-07-08,101,99,100,98,2,6,11240,1123940
2013-07-09,100,100,100,100,,3,310,31000
2013-08-01,100,100,100,100,,1,609080,60908000
2013-08-04,100,100,100,100,,2,120,12000
2013-08-11,98,98,98,100,-2,6,150,14700
2013-10-07,99,99,99,98,1,1,400,39600
2013-10-22,100,100,100,99,1,5,70,7000
2013-10-31,98,98,98,100,-2,4,40,3920
2013-12-03,99,99,99,98,1,1,100,9900
2014-03-24,100,100,100,99,1,1,60,6000
2014-03-27,100,100,100,100,,1,59000,5900000
2014-04-02,100,100,100,100,,1,100,10000
2014-04-03,110,102,110,100,10,9,100,10600
2014-04-09,112,112,112,110,2,1,20,2240
2014-04-17,116,114,116,112,4,2,1020,118280
2014-04-23,118,118,118,116,2,1,100,11800
2014-04-27,124,120,124,118,6,3,400,48800
2014-04-29,128,126,128,124,4,2,1050,134300
2014-05-08,134,130,134,128,6,3,1750,232300
2014-06-17,140,136,,134,6,3,30,4140
2014-06-19,142,142,142,140,2,1,20,2840
2014-06-25,153,144,153,142,11,5,60,8940
2014-07-01,156,156,156,153,3,1,20,3120
2014-07-08,171,159,171,156,15,5,100,16500
2014-07-22,181,174,181,171,10,4,710,124550
2014-07-23,184,184,184,181,3,2,30,5520
2014-08-03,187,187,187,184,3,1,50,9350
2014-08-05,190,190,190,187,3,2,180,34200
2014-08-06,193,193,193,190,3,1,50,9650
2014-08-12,193,193,193,193,,2,20,3860
2014-08-18,199,196,199,193,6,2,40,7900
2014-09-01,199,199,199,199,,1,4470,889530
2014-09-09,210,202,210,199,11,3,60,12360
2014-09-28,218,214,218,210,8,2,70,15180
2014-09-29,218,218,218,218,,1,500,109000
2014-10-13,222,222,222,218,4,1,30,6660
2014-10-30,222,222,222,222,,1,20,4440
2014-11-02,234,226,234,222,12,3,60,13800
2014-11-04,238,238,238,234,4,1,60,14280
2014-11-06,253,249,253,238,15,2,20,5020
2014-11-09,263,258,263,253,10,2,1450,381100
2014-11-17,283,268,283,263,20,4,60,16680
2014-11-30,293,288,293,283,10,2,30,8740
2014-12-01,298,298,298,293,5,1,50,14900
2014-12-07,303,303,303,298,5,1,10,3030
2014-12-08,321,309,321,303,18,3,250,79050
2014-12-09,345,327,345,321,24,5,1090,372090
2014-12-10,358,351,358,345,13,2,80,28500
2014-12-11,393,365,393,358,35,15,870,338210
2014-12-14,432,400,432,393,39,17,2450,1019120
2014-12-15,456,424,456,432,24,8,240,104720
2014-12-16,465,456,464,456,8,7,190,87900
2014-12-17,460,455,460,464,-4,5,310,142300
2014-12-18,484,469,484,460,24,4,180,85620
2014-12-21,493,473,473,484,-11,4,1310,632130
2014-12-28,464,438,438,473,-35,4,60,26870
2015-01-05,430,406,406,438,-32,8,180,73800
2015-01-06,446,398,446,406,40,29,2480,1093720
2015-01-07,490,450,490,446,44,15,2210,1064870
2015-01-08,539,499,539,490,49,17,1430,766865
2015-01-11,592,549,592,539,53,6,460,259660
2015-01-12,639,603,639,592,47,4,220,136140
2015-01-13,702,651,702,639,63,20,3880,2717570
2015-01-14,772,716,772,702,70,29,4125,3164515
2015-01-19,818,787,818,772,46,3,30,24070
2015-01-22,802,737,737,818,-81,6,70,53490
2015-01-25,723,664,664,737,-73,17,1090,726120
2015-01-26,715,638,689,664,25,34,3715,2472850
2015-01-27,676,663,666,689,-23,10,790,527570
2015-01-28,673,660,673,666,7,3,110,72730
2015-01-29,661,661,661,673,-12,9,210,138810
2015-02-01,661,660,660,661,-1,10,410,270840
2015-02-02,694,655,694,660,34,5,410,275340
2015-02-03,748,689,748,694,54,16,1865,1303970
2015-02-04,750,735,750,748,2,8,2065,1525780
2015-02-05,735,735,735,750,-15,1,500,367500
2015-02-08,749,749,749,735,14,1,30,22470
2015-02-09,749,730,749,749,,11,540,398490
2015-02-10,749,735,735,749,-14,4,340,251720
2015-02-11,721,707,707,735,-28,3,70,49770
2015-02-22,720,693,693,707,-14,20,2270,1633080
2015-02-26,700,637,637,693,-56,17,1630,1126200
2015-03-01,627,627,627,637,-10,1,440,275880
2015-03-02,665,621,665,627,38,27,530,334190
2015-03-03,652,632,640,665,-25,9,450,288800
2015-03-04,633,631,633,640,-7,3,50,31610
2015-03-09,633,631,633,633,,3,70,44230
2015-03-10,633,633,633,633,,1,30,18990
2015-03-11,643,631,643,633,10,4,160,102280
2015-03-12,655,655,655,643,12,2,110,72050
2015-03-16,655,655,655,655,,1,200,131000
2015-03-17,668,660,660,655,5,2,110,72680
2015-03-18,685,647,672,660,12,6,270,181480
2015-03-19,696,670,696,672,24,5,160,108370
2015-03-22,724,700,724,696,28,3,2225,1568310
2015-03-23,755,720,720,724,-4,7,1310,958740
2015-03-24,706,705,706,720,-14,3,345,243380
2015-03-25,711,700,710,706,4,9,740,521890
2015-04-01,710,710,710,710,,1,20,14200
2015-04-06,700,700,700,710,-10,1,40,28000
2015-04-13,700,686,686,700,-14,3,80,55160
2015-04-16,680,680,680,686,-6,2,20,13600
2015-04-19,667,667,667,680,-13,4,40,26680
2015-04-21,655,642,642,667,-25,4,740,478300
2015-04-22,630,625,630,642,-12,3,150,93950
2015-04-23,638,638,638,630,8,1,110,70180
2015-06-03,650,637,637,638,-1,3,110,70200
2015-06-10,630,630,630,637,-7,1,30,18900
2015-06-18,618,618,618,630,-12,1,10,6180
2015-06-24,606,594,594,618,-24,2,20,12000
2015-06-29,590,569,572,594,-22,6,1720,1004970
2015-06-30,562,561,562,572,-10,4,1240,695770
2015-07-01,555,555,555,562,-7,1,100,55500
2015-07-02,566,566,566,555,11,2,280,158480
2015-07-05,555,541,541,566,-25,3,570,311210
2015-07-06,595,551,585,541,44,7,80,46300
2015-07-08,612,569,612,585,27,9,585,339780
2015-07-13,624,624,624,612,12,1,10,6240
2015-07-14,650,635,650,624,26,6,230,148550
2015-07-16,684,663,684,650,34,3,30,20230
2015-07-22,710,697,710,684,26,2,20,14070
2015-07-23,738,724,738,710,28,2,20,14620
2015-07-27,752,752,752,738,14,1,10,7520
2015-07-30,754,754,754,752,2,1,20,15080
2015-08-20,739,739,739,754,-15,2,30,22170
2015-08-26,725,711,711,739,-28,2,40,28720
2015-09-09,676,640,640,711,-71,8,270,176300
2015-09-10,628,604,604,640,-36,3,30,18480
2015-09-13,592,581,581,604,-23,2,20,11730
2015-09-14,595,564,564,581,-17,14,1415,822215
2015-09-15,575,554,556,564,-8,9,530,295780
2015-09-24,549,549,549,556,-7,1,250,137250
2015-10-06,550,540,550,549,1,4,160,87800
2015-10-08,540,540,540,550,-10,1,200,108000
2015-11-10,530,530,530,540,-10,1,50,26500
2015-11-23,520,520,520,530,-10,1,10,5200
2015-11-25,510,510,510,520,-10,1,100,51000
2015-11-29,505,505,505,510,-5,1,40,20200
2016-01-14,495,495,495,505,-10,7,350,173250
2016-12-01,510,500,510,495,15,2,200,101000
2016-12-05,520,520,520,510,10,1,10,5200
2016-12-06,530,530,530,520,10,2,110,58300
2016-12-07,572,540,572,530,42,5,100,54940
2016-12-11,605,583,605,572,33,3,110,64900
2016-12-12,665,617,665,605,60,8,630,416550
2016-12-14,731,678,731,665,66,13,1440,1049590
2016-12-15,804,745,790,731,59,22,1560,1233870
2016-12-18,790,779,780,790,-10,3,150,117490
2016-12-19,780,780,780,780,,2,155,120900
2016-12-22,765,750,750,780,-30,2,40,30150
2017-01-18,735,675,675,750,-75,8,400,275420
2017-01-19,662,625,637,675,-38,9,785,493765
2017-01-22,660,649,660,637,23,4,200,130280
2017-01-23,660,635,635,660,-25,4,140,90760
2017-02-02,623,611,620,635,-15,3,50,30940
2017-02-13,608,608,608,620,-12,2,100,60800
2017-02-14,600,600,600,608,-8,1,50,30000
2017-02-16,595,595,595,600,-5,1,30,17850
2017-02-19,590,580,580,595,-15,2,400,235000
2017-02-21,591,591,591,580,11,1,10,5910
2017-03-06,580,580,580,591,-11,2,20,11600
2017-03-07,570,548,548,580,-32,5,300,166140
2017-03-09,540,494,494,548,-54,12,1385,712550
2017-03-13,520,495,520,494,26,5,50,25200
2017-03-14,540,530,540,520,20,2,60,32300
2017-03-15,550,550,550,540,10,2,290,159500
