date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-11-03,101.0,98.0,98.0,100.0,-2.0,53,34293,3387660.0
2022-11-06,100.3,98.9,98.9,98.0,0.9000000000000057,24,17942,1780163.0
2022-11-07,100.3,98.2,98.2,98.9,-0.7000000000000028,58,34499,3416501.6
2022-11-08,100.1,97.5,99.9,98.2,1.7000000000000028,33,10361,1026361.9
2022-11-09,100.4,96.0,98.0,99.9,-1.9000000000000057,39,28704,2782845.6
2022-11-10,98.0,97.0,97.2,98.0,-0.7999999999999972,21,6130,595279.0
2022-11-13,98.0,96.6,96.8,97.2,-0.4000000000000057,7,620,60293.9
2022-11-14,98.7,96.8,97.4,96.8,0.6000000000000085,28,14740,1436992.0
2022-11-15,99.1,97.4,98.9,97.4,1.5,21,3530,347331.8
2022-11-16,100.7,97.0,98.9,98.9,0.0,13,3726,366487.0
2022-11-22,99.0,97.0,98.7,98.9,-0.2000000000000028,32,11640,1135842.5
2022-11-23,98.0,96.9,97.0,98.7,-1.7000000000000028,15,7920,768659.0
2022-11-24,97.9,96.5,97.8,97.0,0.7999999999999972,35,36738,3563552.0
2022-11-27,98.2,96.8,98.0,97.8,0.2000000000000028,24,14210,1389710.5
2022-11-28,98.4,97.2,98.4,98.0,0.4000000000000057,11,5135,499947.0
2022-11-29,98.4,97.0,97.0,98.4,-1.4000000000000057,30,14623,1422742.0
2022-11-30,98.5,97.0,98.2,97.0,1.2000000000000028,29,10411,1020902.5
2022-12-01,98.7,97.2,97.3,98.2,-0.9000000000000057,31,16751,1636813.7
2022-12-04,98.5,97.0,98.2,97.3,0.9000000000000057,35,23192,2253536.1
2022-12-05,98.3,96.7,96.9,98.2,-1.2999999999999972,16,11592,1123595.2
2022-12-06,98.5,97.9,97.9,96.9,1.0,7,4470,439105.6
2022-12-07,98.0,96.7,96.7,97.9,-1.2000000000000028,19,6240,605202.0
2022-12-11,97.0,96.5,97.0,96.7,0.2999999999999971,4,4300,415865.0
2022-12-12,96.6,95.8,96.0,97.0,-1.0,26,10721,1029108.6
2022-12-13,97.4,96.0,96.0,96.0,0.0,19,4822,464306.8
2022-12-14,97.8,95.3,97.6,96.0,1.5999999999999943,7,935,91024.0
2022-12-15,99.5,97.3,97.3,97.6,-0.2999999999999971,24,7980,783786.5
2022-12-18,97.9,95.5,97.9,97.3,0.6000000000000085,40,23247,2261268.3
