date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,514.9,490,495,507,-12,60,4103,2047001
2022-02-21,514,495,504.2,495,9.2,37,3345,1692644.9
2022-02-22,515,494.3,504.9,504.2,0.7,103,10053,5069872
2022-02-23,524,499.8,505,504.9,0.1,65,6101,3120344.5
2022-02-24,510,490,496,505,-9,53,2406,1197300
2019-05-22,160,144,144,,144,301,8556,1232994
2019-05-23,145,130,130,144,-14,61,3400,443740
2019-05-26,134,117,134,130,4,957,54300,6782720
2019-05-27,132,123,131,134,-3,233,8888,1150560
2019-05-28,133,128,133,131,2,229,11700,1528500
2019-05-29,146,131,146,133,13,306,18950,2662110
2019-05-30,160,148,160,146,14,256,16414,2592910
2019-06-02,168,147,152,160,-8,488,36836,5634956
2019-06-03,155,144,155,152,3,283,14610,2149070
2019-06-04,157,149,149,155,-6,188,6100,921610
2019-06-06,154,148,149,149,,166,3810,571080
2019-06-10,154,146,147,149,-2,129,9085,1346700
2019-06-11,155,147,148,147,1,137,5020,748140
2019-06-12,155,144,148,148,,109,3430,503860
2019-06-13,150,145,146,148,-2,83,4250,624150
2019-06-16,152,145,152,146,6,111,3470,506950
2019-06-17,152,143,148,152,-4,87,3990,588050
2019-06-18,146,142,146,148,-2,57,1190,172800
2019-06-19,153,144,144,146,-2,45,810,117650
2019-06-20,148,142,146,144,2,78,1580,228130
2019-06-23,148,143,143,146,-3,39,800,116040
2019-06-24,144,141,142,143,-1,44,1270,181380
2019-06-25,144,140,142,142,,41,866,122912
2019-06-26,146,140,146,142,4,75,1950,279930
2019-06-27,148,143,144,146,-2,72,2020,290930
2019-06-30,145,142,142,144,-2,68,3730,532020
2019-07-01,144,139,141,142,-1,100,6390,896660
2019-07-02,143,139,141,141,,38,721,101717
2019-07-03,142,139,140,141,-1,52,1100,154080
2019-07-04,142,139,140,140,,41,1410,197740
2019-07-07,142,139,140,140,,47,1340,187260
2019-07-08,150,139,140,140,,49,1830,258190
2019-07-09,142,139,141,140,1,61,2186,307570
2019-07-10,142,139,140,141,-1,47,1615,227690
2019-07-11,140,139,139,140,-1,51,1720,239990
2019-07-14,140,138,139,139,,66,1200,166570
2019-07-15,141,138,139,139,,47,3030,423440
2019-07-16,142,139,139,139,,33,1340,188120
2019-07-17,141,138,140,139,1,85,2630,367940
2019-07-18,143,140,142,140,2,30,680,95860
2019-07-21,145,144,145,142,3,2,40,5780
2019-07-22,143,139,143,145,-2,51,1450,203110
2019-07-23,141,138,139,143,-4,24,1230,170795
2019-07-24,142,138,138,139,-1,49,2060,286530
2019-07-25,140,138,138,138,,27,1335,184570
2019-07-28,138,131,136,138,-2,73,11417,1510502
2019-07-29,138,134,134,136,-2,28,3748,511848
2019-07-30,138,132,135,134,1,22,1610,218230
2019-07-31,138,133,136,135,1,21,990,134260
2019-08-01,142,136,140,136,4,39,830,114910
2019-08-04,140,134,136,140,-4,35,730,99760
2019-08-05,138,134,137,136,1,27,650,88360
2019-08-06,136,133,134,137,-3,29,690,92680
2019-08-07,136,131,131,134,-3,65,3450,455660
2019-08-08,134,130,133,131,2,80,1900,250570
2019-08-11,132,130,132,133,-1,57,1080,141080
2019-08-12,132,130,130,132,-2,67,1385,180650
2019-08-13,132,127,128,130,-2,71,1320,170320
2019-08-14,132,127,131,128,3,46,1030,134680
2019-08-15,130,128,129,131,-2,40,896,115428
2019-08-18,131,126,127,129,-2,47,760,96950
2019-08-19,130,125,128,127,1,43,1510,192910
2019-08-20,128,125,127,128,-1,23,720,91280
2019-08-21,128,123,126,127,-1,63,2420,302180
2019-08-22,126,124,125,126,-1,65,1470,183960
2019-08-25,123,121,123,125,-2,19,390,47840
2019-08-26,125,121,124,123,1,29,3150,391520
2019-08-27,126,122,124,124,,33,640,79060
2019-08-28,125,122,122,124,-2,17,1440,178570
2019-08-29,123,120,123,122,1,47,950,115830
2019-09-01,121,117,119,123,-4,32,750,88840
2019-09-02,118,116,116,119,-3,33,700,81750
2019-09-03,118,114,116,116,,27,730,84880
2019-09-04,121,114,119,116,3,13,640,75800
2019-09-05,125,118,119,119,,45,820,98350
2019-09-08,117,113,114,119,-5,38,890,102250
2019-09-09,120,112,119,114,5,26,490,57020
2019-09-10,127,121,127,119,8,5,50,6170
2019-09-11,125,123,123,127,-4,2,20,2480
2019-09-12,121,112,115,123,-8,42,3310,375660
2019-09-15,113,107,108,115,-7,28,1840,203160
2019-09-16,109,105,105,108,-3,47,2030,216270
2019-09-17,112,106,112,105,7,20,986,106402
2019-09-18,112,108,112,112,,30,840,93020
2019-09-19,114,110,110,112,-2,28,702,78852
2019-09-22,112,106,112,110,2,12,240,25960
2019-09-23,114,109,109,112,-3,13,190,21000
2019-09-24,109,102,106,109,-3,24,1370,145550
2019-09-25,106,104,106,106,,15,310,32480
2019-09-26,112,102,112,106,6,16,460,48080
2019-09-29,110,103,103,112,-9,13,310,33040
2019-09-30,109,102,104,103,1,22,850,88550
2019-10-01,108,105,107,104,3,20,460,49020
2019-10-02,106,106,106,107,-1,5,90,9540
2019-10-10,106,105,106,106,,3,40,4220
2019-10-14,104,104,104,106,-2,7,140,14560
2019-10-15,105,104,105,104,1,11,670,70310
2019-10-16,107,104,107,105,2,4,80,8420
2019-10-17,107,105,105,107,-2,6,740,77720
2019-10-21,105,102,103,105,-2,12,270,27990
2019-10-22,105,103,103,103,,17,690,71890
2019-10-23,103,101,102,103,-1,3,50,5110
2019-10-24,105,102,105,102,3,11,220,22840
2019-10-31,106,103,103,105,-2,19,920,95330
2019-11-03,102,101,102,103,-1,14,430,43720
2019-11-04,104,101,104,102,2,15,580,59700
2019-11-05,104,101,102,104,-2,25,490,49990
2019-11-06,103,101,103,102,1,10,190,19250
2019-11-07,102,100,101,103,-2,17,650,65345
2019-11-10,103,101,103,101,2,10,165,16860
2019-11-11,102,100,101,103,-2,12,240,24140
2019-11-12,103,99,102,101,1,16,1510,155090
2019-11-13,102,100,102,102,,29,490,49340
2019-11-14,102,100,100,102,-2,15,1940,194240
2019-11-17,100,99,99,100,-1,11,260,25940
2019-11-18,101,99,100,99,1,20,410,41000
2019-11-19,99,98,99,100,-1,24,480,47500
2019-11-20,103,98,101,99,2,23,510,51290
2019-11-21,102,98,101,101,,34,680,68610
2019-11-24,100,99,99,101,-2,13,260,25780
2019-11-25,100,98,99,99,,12,470,46670
2019-11-26,100,97,98,99,-1,35,1490,145710
2019-11-27,99,98,99,98,1,6,110,10830
2019-11-28,99,96,99,99,,13,1445,140845
2019-12-01,99,97,97,99,-2,8,830,80770
2019-12-02,98,97,97,97,,10,2190,213320
2019-12-03,100,97,100,97,3,10,275,27205
2019-12-04,102,99,99,100,-1,11,320,31820
2019-12-05,100,99,100,99,1,14,260,25900
2019-12-08,98,97,97,100,-3,12,200,19520
2019-12-09,98,96,96,97,-1,23,820,79570
2019-12-10,100,97,100,96,4,23,490,48560
2019-12-11,104,100,102,100,2,37,1220,124060
2019-12-12,112,99,112,102,10,31,6510,661680
2019-12-15,114,107,107,112,-5,8,364,40566
2019-12-16,109,105,105,107,-2,7,580,61100
2019-12-17,105,102,102,105,-3,20,580,60045
2019-12-18,103,101,103,102,1,9,260,26580
2019-12-19,105,101,105,103,2,23,475,48965
2019-12-22,103,101,101,105,-4,7,200,20360
2019-12-23,104,100,102,101,1,20,410,41780
2019-12-24,106,100,104,102,2,34,1720,175340
2019-12-25,104,100,100,104,-4,20,945,95850
2019-12-26,104,101,102,100,2,21,510,52230
2019-12-29,102,100,102,102,,18,330,33520
2019-12-30,102,101,101,102,-1,10,340,34400
2019-12-31,104,100,104,101,3,19,6694,683110
2020-01-01,103,101,102,104,-2,13,320,32600
2020-01-02,104,101,101,102,-1,17,340,34600
2020-01-05,107,100,107,101,6,26,700,72190
2020-01-06,109,103,103,107,-4,22,1620,175040
2020-01-07,106,101,104,103,1,37,1385,144435
2020-01-08,104,102,104,104,,23,470,48680
2020-01-09,106,103,104,104,,23,1120,116070
2020-01-12,108,102,108,104,4,29,2521,265498
2020-01-13,118,102,112,108,4,55,3180,355020
2020-01-14,110,108,108,112,-4,31,2690,291420
2020-01-15,116,106,113,108,5,62,3405,379585
2020-01-16,118,112,116,113,3,48,3390,389290
2020-01-19,120,114,120,116,4,55,2260,262110
2020-01-20,118,110,110,120,-10,46,4320,489070
2020-01-21,112,103,112,110,2,51,8640,914450
2020-01-22,114,110,112,112,,39,2090,232080
2020-01-23,110,104,106,112,-6,32,626,66566
2020-01-26,109,104,109,106,3,36,2600,276370
2020-01-27,111,105,108,109,-1,22,891,96365
2020-01-28,110,106,110,108,2,30,600,64300
2020-01-29,112,106,112,110,2,36,1160,125640
2020-01-30,110,104,106,112,-6,34,6300,668240
2020-02-02,110,106,110,106,4,64,1760,189110
2020-02-03,114,107,110,110,,32,1834,201762
2020-02-04,110,107,107,110,-3,49,2856,310468
2020-02-05,109,105,107,107,,43,830,88430
2020-02-06,109,105,106,107,-1,25,460,49010
2020-02-09,106,104,105,106,-1,18,330,34580
2020-02-10,110,104,107,105,2,28,1640,176540
2020-02-11,111,105,110,107,3,56,2795,306505
2020-02-12,110,106,107,110,-3,31,630,67290
2020-02-13,107,104,105,107,-2,44,2758,290560
2020-02-16,109,103,109,105,4,34,1030,108390
2020-02-17,112,107,112,109,3,72,4830,536480
2020-02-18,110,108,108,112,-4,31,1550,167770
2020-02-19,110,106,110,108,2,27,1210,130760
2020-02-20,110,108,109,110,-1,31,750,81800
2020-02-23,113,109,111,109,2,31,1875,206395
2020-02-24,113,108,108,111,-3,54,3030,337330
2020-02-25,117,106,115,108,7,67,3580,402970
2020-02-26,116,111,113,115,-2,39,718,81138
2020-02-27,113,109,110,113,-3,84,2660,293000
2020-03-01,111,108,111,110,1,54,1730,189790
2020-03-02,109,107,108,111,-3,23,1210,129920
2020-03-03,110,106,109,108,1,48,1907,206369
2020-03-04,107,102,102,109,-7,48,2499,259258
2020-03-05,108,100,108,102,6,36,2280,235320
2020-03-10,106,104,104,108,-4,8,1010,107040
2020-03-11,106,102,103,104,-1,28,1500,155010
2020-03-12,102,100,101,103,-2,28,2060,208480
2020-03-15,102,99,99,101,-2,45,3290,328130
2020-03-16,100,96,99,99,,38,2435,238165
2020-03-17,98,96,96,99,-3,20,1930,187110
2020-03-18,96,94,95,96,-1,17,960,91020
2020-03-19,95,93,94,95,-1,16,6310,592360
2020-06-29,93,93,93,94,-1,5,80,7440
2020-06-30,93,93,93,93,,2,40,3720
2020-07-01,94,94,94,93,1,1,20,1880
2020-07-05,94,90,90,94,-4,13,260,23950
2020-07-06,89,85,87,90,-3,52,990,85160
2020-07-07,88,87,88,87,1,15,280,24440
2020-07-08,90,88,89,88,1,25,841,74899
2020-07-09,92,88,91,89,2,21,370,33190
2020-07-12,92,90,91,91,,31,610,55540
2020-07-13,91,88,91,91,,32,1415,126370
2020-07-14,91,89,90,91,-1,34,1210,109110
2020-07-15,89,86,87,90,-3,27,620,54340
2020-07-16,90,87,90,87,3,26,5540,498200
2020-07-20,99,91,98,90,8,51,2820,273060
2020-07-21,102,92,99,98,1,53,1470,141360
2020-07-22,98,98,98,99,-1,16,320,31360
2020-07-23,97,93,93,98,-5,46,2250,212680
2020-07-26,93,91,91,93,-2,78,7410,681170
2020-07-27,94,88,92,91,1,53,1050,95620
2020-07-28,92,90,92,92,,51,1920,174750
2020-07-29,93,91,93,92,1,30,520,47700
2020-07-30,102,93,102,93,9,47,1600,152390
2020-08-02,100,92,94,102,-8,52,1485,142965
2020-08-03,99,93,96,94,2,32,700,67020
2020-08-05,95,91,92,96,-4,23,950,88200
2020-08-06,96,92,94,92,2,41,2991,282114
2020-08-09,95,93,93,94,-1,39,1000,94160
2020-08-10,95,92,94,93,1,56,1600,148280
2020-08-11,94,93,94,94,,35,670,62580
2020-08-12,94,93,93,94,-1,34,600,56030
2020-08-13,94,92,93,93,,35,630,58510
2020-08-16,92,90,90,93,-3,47,1090,99290
2020-08-17,91,88,90,90,,53,2580,229990
2020-08-18,92,89,91,90,1,35,2940,268000
2020-08-19,91,89,90,91,-1,31,515,46125
2020-08-20,91,89,91,90,1,22,1330,120670
2020-08-23,92,90,91,91,,27,650,58780
2020-08-24,93,90,90,91,-1,24,980,89580
2020-08-25,98,89,94,90,4,53,1770,164030
2020-08-26,95,91,95,94,1,42,1060,99650
2020-08-27,95,92,93,95,-2,51,976,90972
2020-08-30,94,91,94,93,1,20,1820,169330
2020-08-31,100,93,98,94,4,51,2040,199570
2020-09-02,107,98,107,98,9,166,8295,870435
2020-09-03,112,102,103,107,-4,145,9050,959430
2020-09-06,105,101,103,103,,111,6340,647780
2020-09-07,109,100,100,103,-3,104,5380,556390
2020-09-08,106,99,103,100,3,72,1800,185000
2020-09-09,107,99,107,103,4,96,3100,325360
2020-09-10,106,103,105,107,-2,73,2260,236070
2020-09-13,115,100,108,105,3,119,6420,705570
2020-09-14,118,106,115,108,7,223,14940,1718590
2020-09-15,126,116,119,115,4,212,11350,1359070
2020-09-16,130,114,129,119,10,260,22585,2762493
2020-09-17,141,129,141,129,12,340,26543,3681085
2020-09-20,141,127,127,141,-14,166,6765,866945
2020-09-21,127,116,121,127,-6,259,15160,1821085
2020-09-22,123,115,121,121,,166,9270,1107290
2020-09-23,125,116,121,121,,187,6741,820511
2020-09-24,133,119,129,121,8,379,20040,2572000
2020-09-27,141,129,140,129,11,440,50037,6938246
2020-09-28,142,134,141,140,1,251,16265,2271435
2020-09-29,155,137,155,141,14,370,36438,5324554
2020-09-30,161,149,157,155,2,277,24486,3878665
2020-10-01,161,147,147,157,-10,339,23647,3574785
2020-10-04,147,138,143,147,-4,239,8777,1253439
2020-10-05,153,141,147,143,4,211,8680,1276040
2020-10-06,161,143,159,147,12,306,25345,3938682
2020-10-07,174,157,174,159,15,419,69180,11793912
2020-10-08,174,160,165,174,-9,352,32600,5391815
2020-10-11,168,153,162,165,-3,226,20245,3216439
2020-10-12,167,159,162,162,,209,10500,1703680
2020-10-13,168,158,159,162,-3,169,16130,2602100
2020-10-14,159,155,155,159,-4,129,5905,923980
2020-10-15,157,154,154,155,-1,108,7590,1176610
2020-10-18,157,148,157,154,3,87,7030,1078540
2020-10-19,165,155,165,157,8,84,3620,584230
2020-10-20,180,164,171,165,6,159,23121,3952183
2020-10-21,179,169,171,171,,161,30620,5307195
2020-10-22,178,168,175,171,4,137,19070,3353630
2020-10-28,178,169,172,175,-3,89,7370,1273030
2020-10-29,181,170,180,172,8,171,13936,2473784
2020-11-01,198,180,198,180,18,237,29522,5615344
2020-11-02,212,193,196,198,-2,188,27601,5530885
2020-11-03,202,194,195,196,-1,124,29725,5889320
2020-11-04,208,195,198,195,3,126,11491,2268398
2020-11-05,213,200,207,198,9,205,39474,8192008
2020-11-08,220,203,214,207,7,188,25412,5303236
2020-11-09,218,202,211,214,-3,120,13912,2876842
2020-11-10,214,201,209,211,-2,110,12245,2544555
2020-11-11,213,201,206,209,-3,102,16360,3356750
2020-11-12,206,201,203,206,-3,115,9893,2016159
2020-11-18,200,194,197,203,-6,68,5949,1163325
2020-11-19,212,194,203,197,6,121,10930,2241560
2020-11-22,201,195,199,203,-4,116,5950,1184420
2020-11-23,200,196,196,199,-3,99,2065,407420
2020-11-24,203,190,197,196,1,114,10335,2054280
2020-11-25,201,194,194,197,-3,108,6620,1294890
2020-11-26,213,191,213,194,19,331,40120,8404030
2020-11-29,234,217,229,213,16,245,25314,5694379
2020-11-30,239,221,228,229,-1,224,32208,7404158
2020-12-01,228,220,222,228,-6,147,5940,1334420
