date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,771,745,745.1,775,-29.9,285,23908,17950294.8
2022-02-21,755,734,741,745.1,-4.1,210,20608,15294890.5
2022-02-22,755.8,738,740,741,-1,188,18903,14089281.3
2022-02-23,741,725.4,730,740,-10,218,20625,15074856.7
2022-02-24,730,700,712,730,-18,324,26086,18485720.2
2010-06-15,227,227,227,231,-4,3,165,37455
2010-07-19,223,219,219,227,-8,6,300,65900
2010-08-08,215,215,215,219,-4,2,100,21500
2011-03-17,180,180,180,215,-35,1,70,12600
2011-03-20,183,183,183,180,3,1,20,3660
2011-05-02,175,175,175,183,-8,17,1020,178500
2011-08-02,172,169,169,175,-6,12,910,156220
2011-09-15,166,166,166,169,-3,2,140,23240
2012-01-22,163,163,163,166,-3,1,35,5705
2012-02-12,160,160,160,163,-3,1,35,5600
2012-02-27,157,154,154,160,-6,4,160,24670
2012-03-28,151,148,148,154,-6,2,70,10465
2012-07-12,141,141,141,148,-7,1,90,12690
2012-07-30,139,127,127,141,-14,7,80,10680
2012-07-31,125,115,115,127,-12,6,60,7200
2013-06-06,113,104,104,115,-11,6,70,7620
2013-06-09,102,94,94,104,-10,9,170,16220
2013-06-10,93,85,85,94,-9,9,90,8010
2013-06-11,84,77,77,85,-8,9,200,15720
2013-06-12,76,70,70,77,-7,8,500,36850
2013-06-13,69,63,63,70,-7,11,340,21870
2013-06-16,62,57,57,63,-6,15,810,46480
2013-06-17,56,52,52,57,-5,7,320,16840
2013-06-18,51,46.8,46.8,52,-5.2,9,450,21286
2013-06-19,45.86,42.12,42.5,46.8,-4.3,16,1350,57495
2013-06-20,42,41.65,42,42.5,-0.5,3,2050,85750
2013-07-02,46.2,42.84,46.2,42,4.2,5,100,4455
2013-07-03,50.82,47.12,50.82,46.2,4.62,12,1420,71883
2013-07-04,55,51,55,50.82,4.18,9,270,14650
2013-07-07,59,56,59,55,4,6,380,22080
2013-07-08,60,58,58,59,-1,4,485,28400
2013-07-09,60,58,60,58,2,7,2560,150410
2013-07-10,64,61,64,60,4,5,720,44560
2013-07-11,67,65,66,64,2,7,2340,154370
2013-07-14,67,67,67,66,1,1,60,4020
2013-07-15,66,66,66,67,-1,1,210,13860
2013-07-17,65,64,64,66,-2,3,170,10950
2013-07-18,64,64,64,64,,1,20,1280
2013-07-21,63,63,63,64,-1,1,350,22050
2013-07-28,63,63,63,63,,4,280,17640
2013-07-29,62,61,62,63,-1,3,150,9250
2013-07-30,61,61,61,62,-1,1,50,3050
2013-08-01,60,59,59,61,-2,3,190,11260
2013-08-15,58,58,58,59,-1,1,80,4640
2013-08-20,59,57,59,58,1,6,320,18700
2013-08-25,58,57,57,59,-2,3,190,10900
2013-12-05,58,58,58,57,1,4,240,13920
2013-12-09,63,59,63,58,5,11,1930,118470
2013-12-10,65,64,65,63,2,3,540,35030
2013-12-11,71,66,71,65,6,7,530,36560
2013-12-12,73,72,73,71,2,2,360,26060
2013-12-15,77,74,77,73,4,4,730,55470
2013-12-16,78,78,78,77,1,2,160,12480
2013-12-18,80,79,80,78,2,2,240,18970
2013-12-19,81,80,81,80,1,2,360,28920
2013-12-24,80,80,80,81,-1,1,100,8000
2016-06-16,81.6,81.6,81.6,80,1.6,1,10,816
2016-07-10,83.23,83.23,83.23,81.6,1.63,1,10,832.3
2016-07-13,87.72,84,87.72,83.23,4.49,4,40,3427.2
2016-07-25,91,89.47,91,87.72,3.28,2,30,2714.7
2016-08-14,92,92,92,91,1,1,10,920
2016-08-17,99,93.84,99,92,7,4,40,3861.9
2016-08-22,100,100,100,99,1,1,10,1000
2016-09-08,104,102,104,100,4,2,80,8300
2016-09-25,110,106,110,104,6,3,30,3240
2016-09-27,120,112,120,110,10,5,50,5800
2016-09-28,126,126,126,120,6,1,10,1260
2016-09-29,134,128,134,126,8,4,40,5240
2016-10-02,140,140,140,134,6,1,10,1400
2016-10-03,147,147,147,140,7,1,10,1470
2016-10-04,154,154,154,147,7,1,10,1540
2016-11-09,161,161,161,154,7,2,240,38640
2016-11-13,170,164,170,161,9,3,30,5010
2016-11-15,176,173,176,170,6,2,20,3490
2016-11-22,182,179,182,176,6,2,20,3610
2016-11-23,188,185,188,182,6,2,20,3730
2016-11-24,206,191,206,188,18,6,60,11920
2016-11-27,214,210,214,206,8,2,19010,4068100
2016-12-05,230,218,230,214,16,4,40,8960
2016-12-07,250,234,250,230,20,5,50,12100
2016-12-08,270,255,270,250,20,4,40,10500
2016-12-11,290,275,290,270,20,4,40,11300
2016-12-12,318,295,318,290,28,5,50,15310
2016-12-18,348,324,348,318,30,5,50,16800
2016-12-19,382,354,382,348,34,5,96,35328
2016-12-20,403,389,403,382,21,3,30,11880
2016-12-21,443,411,443,403,40,5,364,160452
2016-12-22,478,451,478,443,35,4,40,18580
2016-12-26,515,487,515,478,37,4,40,20030
2016-12-27,566,525,566,515,51,6,76,41976
2016-12-28,612,577,612,566,46,5,90,53220
2016-12-29,624,624,624,612,12,10,37500,23400000
2017-01-01,648,636,648,624,24,2,180,116520
2017-01-02,699,660,699,648,51,4,16160,11294020
