date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1335.1,1255,1270,1309,-39,60,2801,3577385.7
2022-02-21,1321.3,1255,1274,1270,4,59,2333,2965774.7
2022-02-22,1299.4,1272,1296.9,1274,22.9,62,1710,2189055
2022-02-23,1322.8,1267,1284,1296.9,-12.9,66,2689,3421943.5
2022-02-24,1309.6,1230,1230,1284,-54,161,7076,8796918.7
2019-07-08,343.2,312,343.2,312,31.2,7,70,23052
2019-07-09,377,360,377,343.2,33.8,27,2030,731180
2019-07-10,414,395,414,377,37,117,1170,483990
2019-07-11,442,395,396,414,-18,2546,33978,13894370
2019-07-14,398,378,386,396,-10,824,9560,3713690
2019-07-15,399,384,393,386,7,410,6312,2471492
2019-07-16,400,391,400,393,7,253,3470,1373900
2019-07-17,398,394,395,400,-5,292,3115,1231855
2019-07-18,400,390,393,395,-2,295,3580,1414180
2019-07-21,394,389,393,393,,284,4220,1651860
2019-07-22,394,388,392,393,-1,176,2380,932410
2019-07-23,400,391,394,392,2,295,4115,1629155
2019-07-24,405,394,404,394,10,357,8278,3322862
2019-07-25,404,393,399,404,-5,186,4425,1766585
2019-07-28,413,399,411,399,12,369,7960,3223210
2019-07-29,440,410,440,411,29,371,7883,3316990
2019-07-30,466,440,461,440,21,474,16362,7431797
2019-07-31,503,451,500,461,39,387,16916,7949635
2019-08-01,550,487,533,500,33,463,17210,8921130
2019-08-04,551,491,507,533,-26,486,14349,7548883
2019-08-05,513,467,471,507,-36,387,10930,5330434
2019-08-06,470,439,468,471,-3,293,5996,2674734
2019-08-07,502,437,490,468,22,222,8803,4216283
2019-08-08,485,464,477,490,-13,159,3480,1645934
2019-08-11,486,456,474,477,-3,180,2700,1272110
2019-08-12,495,470,480,474,6,202,5140,2472120
2019-08-13,490,475,481,480,1,215,4465,2157290
2019-08-14,486,473,475,481,-6,124,2635,1258090
2019-08-15,484,468,478,475,3,72,1190,561940
2019-08-18,485,463,467,478,-11,133,2520,1177090
2019-08-19,480,459,474,467,7,137,3469,1643680
2019-08-20,483,467,470,474,-4,112,2380,1121750
2019-08-21,470,455,462,470,-8,133,5410,2501695
2019-08-22,470,460,465,462,3,87,2455,1139400
2019-08-25,465,453,453,465,-12,85,2820,1284750
2019-08-26,460,450,451,453,-2,91,3185,1444960
2019-08-27,469,442,457,451,6,80,1735,799905
