date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,5368,5059.2,5133,4960,173,4740,111344,580223450
2022-02-21,5235.6,5001,5072,5133,-61,2062,51133,260323845.7
2022-02-22,5147.9,5058,5072,5072,,1062,21980,112262528.8
2022-02-23,5170,5070,5075,5072,3,716,13761,69976770.9
2022-02-24,5078,4960,4969,5075,-106,1390,28087,140305147.8
2021-07-29,989.1,890,989.1,,75.1,10,100,95257
2021-08-01,1088,1007.7,1088,989.1,98.9,23,210,223780
2021-08-02,1131.8,1088,1131.8,1088,43.8,19,132,147817.2
2021-08-03,1244.9,1131.8,1244.9,1131.8,113.1,34,220,261929
2021-08-04,1369.3,1248.8,1369.3,1244.9,124.4,25,160,209036.6
2021-08-05,1506.2,1369.3,1506.2,1369.3,136.9,20,145,211095.2
2021-08-08,1656.8,1511.7,1656.8,1506.2,150.6,50,308,492721.1
2021-08-09,1822.4,1688.8,1822.4,1656.8,165.6,29,240,430418.5
2021-08-10,2004.6,1858.8,2004.6,1822.4,182.2,25,250,497575
2021-08-11,2205,2004.6,2205,2004.6,200.4,31,250,543906.9
2021-08-12,2425.5,2249.1,2425.5,2205,220.5,40,320,768414.9
2021-08-15,2668,2451.8,2668,2425.5,242.5,68,540,1427091.9
2021-08-16,2934.8,2721.3,2934.8,2668,266.8,24,200,580370.7
2021-08-17,3228.2,2993.4,3228.2,2934.8,293.4,32,280,893613.4
2021-08-18,3551,3292.7,3551,3228.2,322.8,34,294,1036377
2021-08-19,3906.1,3622,3906.1,3551,355.1,57,548,2132919.3
2021-08-24,4296.7,3984.2,4296.7,3906.1,390.6,99,959,4110005.8
2021-08-25,4726.3,4382.6,4726.3,4296.7,429.6,296,2881,13606336.6
2021-08-26,5198.9,4820.8,5198.9,4726.3,472.6,3651,39086,203122470.9
2021-08-29,5516.9,4802,5079,5198.9,-127.9,13413,145451,749246159.1
2021-08-31,5079,4825,4836,5079,-243,5396,56195,274154763.4
2021-09-01,5089,4770.1,4921,4836,85,3146,31824,154841329.2
2021-09-02,5000,4790.1,4800,4921,-121,1547,22335,108436347.1
2021-09-05,4800,4533.1,4549,4800,-251,2460,31477,145127972
2021-09-06,4946,4470,4900,4549,351,1575,21268,99677148
2021-09-07,4998,4680,4760,4900,-140,815,11413,54374215.9
2021-09-08,4850,4610,4660,4760,-100,688,9190,42850352
2021-09-09,4680,4590,4599,4660,-61,825,13102,60386373
2021-09-12,4775,4580,4745.2,4599,146.2,1225,16737,77792897
2021-09-13,4798,4650,4652,4745.2,-93.2,743,9952,46624732.9
2021-09-14,4650,4580,4591,4652,-61,636,9328,42919417
2021-09-15,4580,4499,4510,4591,-81,889,12100,54769105.5
2021-09-16,4510,4360,4386,4510,-124,1182,17454,76984303.4
2021-09-20,4420,4151,4151.1,4386,-234.9,1501,22231,94439504.4
2021-09-21,4437,3981,4140,4151.1,-11.1,1165,17138,70651828.4
2021-09-22,4410,4140,4398,4140,258,938,21037,91264138.6
2021-09-23,4489,4238.6,4265,4398,-133,695,14756,64373265
2021-09-26,4265,4110,4120,4265,-145,631,9047,37574777
2021-09-27,4150,4000,4012,4120,-108,705,9090,36734389.6
2021-09-28,4100,3940,3940,4012,-72,780,10409,41388378.9
2021-09-29,4090,3899,4090,3940,150,720,11067,44001780
2021-09-30,4149.5,4000,4000.1,4090,-89.9,555,9626,38945980.2
2021-10-03,4015,3880,3882.1,4000.1,-118,588,7638,29923651
2021-10-04,3970,3800,3871,3882.1,-11.1,611,9261,35880029.5
2021-10-05,4045,3900,4020,3871,149,660,11213,44764009.1
2021-10-06,4360,4100,4287.7,4020,267.7,888,17512,74574373.5
2021-10-10,4716,4373.4,4695,4287.7,407.3,1598,39706,183883905.4
2021-10-11,4785,4420,4549,4695,-146,893,20121,91111444.1
2021-10-17,4650,4501,4615,4549,66,419,6832,31285014.4
2021-10-18,4707.3,4350,4390,4615,-225,686,14859,66180938
2021-10-19,4304,4159,4230,4390,-160,746,15380,65141666.6
2021-10-20,4449,4261,4340,4230,110,398,7143,30984299
2021-10-21,4400,4256,4302,4340,-38,358,7581,32739345.7
2021-10-24,4380,4280,4345,4302,43,529,7632,33120674.5
2021-10-25,4500,4345,4462,4345,117,638,13434,59432452.3
2021-10-26,4610,4470,4500,4462,38,564,12162,55001539
2021-10-27,4551,4420,4495,4500,-5,530,9663,43338412.6
2021-10-28,4895,4435,4880,4495,385,2041,38874,184402892.5
2021-10-31,4975,4705,4815,4880,-65,933,15823,76622031.6
2021-11-01,4840,4675,4700,4815,-115,702,15108,71270893.2
2021-11-02,4750,4614,4675,4700,-25,462,9543,44464279.5
2021-11-03,4860,4650,4718,4675,43,464,11572,54392402.4
2021-11-08,4720,4577,4620,4718,-98,497,12820,59568053.5
2021-11-09,4615,4480,4490,4620,-130,633,14468,65455774.5
2021-11-11,4564,4351,4500,4490,10,567,11172,50233379
2021-11-14,4525,4390,4470.1,4500,-29.9,387,8000,35654090.5
2021-11-15,4549,4401,4535.1,4470.1,65,421,8308,37535799.7
2021-11-16,4650,4540,4589,4535.1,53.9,466,8561,39203635
2021-11-17,4645,4540,4555,4589,-34,526,11254,51751162.9
2021-11-18,4635,4520,4550,4555,-5,470,8631,39341351
2021-11-21,4610,4475,4564,4550,14,480,8923,40775262.5
2021-11-22,4600,4550,4563,4564,-1,487,7693,35109066
2021-11-23,4563,4440,4475,4563,-88,480,11717,52751917
2021-11-24,4450,4400,4437,4475,-38,383,6925,30644472.4
2021-11-25,4500,4410,4455,4437,18,359,6430,28713458
2021-11-28,4445,4301,4356.1,4455,-98.9,488,10618,46599787.1
2021-11-29,4415,4291,4310,4356.1,-46.1,314,5851,25382921
2021-11-30,4331,4252,4295,4310,-15,250,4468,19208313
2021-12-01,4365,4300,4305,4295,10,253,5560,24016501
2021-12-02,4425,4273,4292.1,4305,-12.9,333,6020,26002319
2021-12-05,4290,4100,4140,4292.1,-152.1,470,12306,51386586.6
2021-12-06,4150,4000,4105,4140,-35,620,14209,57781832.6
2021-12-07,4210,4080,4080,4105,-25,309,5919,24475131.9
2021-12-08,4100,3990.1,3992,4080,-88,297,6215,25000813.3
2021-12-09,4020,3915,3954,3992,-38,411,11093,43930853.5
2021-12-12,4032.8,3800,3807,3954,-147,458,9037,34725754.7
2021-12-13,3750,3590,3602,3807,-205,689,15050,54956735.2
2021-12-14,3926,3650,3894,3602,292,260,5788,21989037
2021-12-15,4043,3817.2,3900,3894,6,485,11402,45025584.8
2021-12-16,3852,3790,3811,3900,-89,217,4498,17147827.5
2021-12-20,3900,3740,3897.9,3811,86.9,258,4330,16581974
2021-12-21,3960,3865,3900,3897.9,2.1,248,5824,22719055
2021-12-22,4125,3960,4124,3900,224,486,10913,44437498.9
2021-12-23,4536.4,3961.2,4498,4124,374,1008,31063,135538142.6
2021-12-26,4600,4445,4585,4498,87,922,21274,96420091
2021-12-27,4600,4350,4355.1,4585,-229.9,883,28160,124375575.8
2021-12-28,4500,4200,4398,4355.1,42.9,415,7715,33445707.5
2021-12-29,4470,4322,4375,4398,-23,285,6020,26289964
2022-01-02,4460,4290,4410,4375,35,445,7580,33405140.4
2022-01-03,4535,4410,4430,4410,20,565,10261,45908693.7
2022-01-04,4490,4360,4438,4430,8,424,8910,39526300.6
2022-01-05,4460,4370,4400,4438,-38,365,7591,33501810.8
2022-01-06,4460,4320,4420,4400,20,397,6775,29963179.1
2022-01-09,4530,4422,4480,4420,60,597,13680,61499222
2022-01-10,4530,4465,4480,4480,,490,11635,52197108.9
2022-01-11,4574,4455,4535,4480,55,663,14913,67476081.5
2022-01-12,4585,4481,4481,4535,-54,582,13114,59460494.9
2022-01-13,4550,4410,4520,4481,39,529,11151,50212513
2022-01-16,4710,4520,4650,4520,130,933,23315,108592692.5
2022-01-17,4735,4600,4636,4650,-14,550,11292,52466864
2022-01-18,4699,4561,4570,4636,-66,583,11426,52847750.2
2022-01-19,4650,4525,4530,4570,-40,546,13077,59740450.9
2022-01-20,4600,4511,4599,4530,69,453,9193,41863150.8
2022-01-23,4689,4590,4610,4599,11,586,12437,57527485.4
2022-01-24,4630,4415,4456,4610,-154,675,13849,62311821.6
2022-01-25,4510,4401,4450,4456,-6,415,7069,31528432
2022-01-26,4500,4365,4417,4450,-33,354,6955,30638076
2022-01-27,4450,4405,4423,4417,6,281,5658,25092142.5
2022-01-30,4601,4471,4540,4423,117,525,9883,44820449.9
2022-01-31,4850,4503,4786.1,4540,246.1,1892,37478,177546314.4
2022-02-01,4960,4785,4866,4786.1,79.9,1243,26282,127979385.6
2022-02-03,4950,4740,4765,4866,-101,871,17003,81885968.2
2022-02-06,4721,4651,4681,4765,-84,604,13520,63323281
2022-02-07,4700,4610,4666,4681,-15,349,6477,30260971.3
2022-02-08,4899,4650.1,4700,4666,34,687,18269,86713274.9
2022-02-09,4794,4648,4648,4700,-52,350,8380,39276780.2
2022-02-10,4687,4620,4625,4648,-23,390,8275,38319277.8
2022-02-13,4550,4450,4472,4625,-153,598,11619,52181284.3
2022-02-14,4590,4483,4535,4472,63,433,10205,46303396.3
2022-02-15,4858,4537,4830,4535,295,1225,27934,132875631.5
2022-02-16,4900,4704,4791,4830,-39,747,18774,89962434.8
2022-02-17,4989.9,4788,4960,4791,169,2270,45468,223736197.4
2022-02-27,5050,4969,4979,4969,10,733,14759,73678761.7
2022-02-28,5049,4900,4927,4979,-52,698,15702,77584844.8
2022-03-02,4950,4820,4826,4927,-101,850,17003,82491738.9
2022-03-06,4875,4800,4870,4826,44,696,13597,66017315
2022-03-07,4900,4870,4879,4870,9,497,9481,46297879.2
2022-03-09,4950,4865,4949.9,4879,70.9,616,12579,61564294.4
2022-03-10,4998,4920,4978,4949.9,28.1,480,8621,42874954.7
2022-03-13,5050,4990,5035,4978,57,669,12685,63842651.8
2022-03-14,5035,4970,4995,5035,-40,173,2811,14067133
2022-03-15,5009,4950,4950.2,4995,-44.8,492,9037,44939118.3
2022-03-16,4980,4930,4975,4950.2,24.8,342,6932,34407191.5
2022-03-20,5160,5000,5120,4975,145,1354,26341,134291681.6
2022-03-21,5242,5117,5200,5120,80,1004,17558,90644542.9
2022-03-22,5260,5200,5227,5200,27,894,15398,80552771.2
2022-03-23,5230,5152,5180,5227,-47,904,16198,84023336.6
2022-03-24,5230,5082,5100,5180,-80,3275,59578,306397624.3
2022-03-27,3300,3060,3300,3000,300,370,8439,27805899.2
2022-03-28,3530,3300,3368,3300,68,3270,65274,222470367.3
2022-03-29,3400,3245,3245,3368,-123,904,17554,57863472.3
2022-03-30,3300,3150,3227,3245,-18,469,8843,28342664.6
2022-03-31,3280,3192,3195,3227,-32,395,7191,23187352.8
2022-04-03,3255,3115.1,3120,3195,-75,350,6587,20730437.1
2022-04-04,3180,3061,3070,3120,-50,358,6101,18844093.4
2022-04-05,3060,2985,3005,3070,-65,551,10432,31314769.3
2022-04-06,3000,2951.1,2958,3005,-47,360,6690,19871563
2022-04-07,3018,2930.2,,2958,32,407,8192,24505777.7
2022-04-11,3150,2990,2999.3,2990,9.3,417,7945,24195279.5
