date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,554.6,533.1,536,555,-19,201,18488,9962544
2022-02-21,544,534.1,540.2,536,4.2,87,8820,4755737.4
2022-02-22,556,545,545.2,540.2,5,117,10911,6005142.8
2022-02-23,563,545,546,545.2,0.8,88,8660,4773030.6
2022-02-24,555,528,534,546,-12,156,16453,8772752.5
2010-05-12,327,315,327,309,18,3,250,80550
2010-05-13,335,330,335,327,8,5,670,223710
2010-05-16,341,335,335,335,,2,100,33800
2010-05-20,330,324,324,335,-11,4,130,42600
2010-05-25,329,329,329,324,5,1,580,190820
2010-05-26,330,330,330,329,1,1,200,66000
2010-06-10,324,318,323,330,-7,3,527,169221
2010-06-13,317,317,317,323,-6,1,100,31700
2010-07-06,315,315,315,317,-2,1,13,4095
2010-08-05,340,321,340,315,25,11,1001,334132
2010-08-09,334,334,334,340,-6,1,27,9018
2010-08-11,336,331,336,334,2,2,57,19002
2010-08-12,341,341,341,336,5,1,27,9207
2010-08-15,342,340,340,341,-1,4,208,70990
2010-08-16,336,334,334,340,-6,5,490,164170
2010-08-17,340,333,340,334,6,5,655,219610
2010-08-18,335,330,331,340,-9,4,545,180375
2010-08-22,335,323,323,331,-8,4,1285,427655
2010-08-26,320,320,320,323,-3,1,25,8000
2010-09-02,314,314,314,320,-6,1,30,9420
2010-09-05,310,305,305,314,-9,3,375,114925
2010-09-06,300,300,300,305,-5,1,30,9000
2010-09-12,300,300,300,300,,1,225,67500
2010-09-13,294,294,294,300,-6,3,80,23520
2010-09-26,289,285,285,294,-9,2,220,63100
2010-09-29,290,290,290,285,5,1,20,5800
2010-10-05,295,290,290,290,,2,300,87500
2010-11-11,295,295,295,290,5,2,45,13275
2010-11-25,300,300,300,295,5,1,60,18000
2010-11-28,312,300,305,300,5,6,966,291820
2010-11-29,305,305,305,305,,1,20,6100
2010-12-01,300,300,300,305,-5,1,200,60000
2010-12-05,306,300,306,300,6,4,880,266880
2010-12-06,306,306,306,306,,3,200,61200
2010-12-14,306,306,306,306,,1,1000,306000
2010-12-15,312,312,312,306,6,1,100,31200
2010-12-16,342,318,342,312,30,6,200,66540
2010-12-19,348,342,345,342,3,7,677,233073
2010-12-20,350,339,345,345,,7,980,339060
2010-12-22,350,341,341,345,-4,7,2155,742235
2010-12-23,355,346,350,341,9,16,800,279900
2011-02-06,235,235,235,350,-115,1,180,42300
2011-02-28,231,230,230,235,-5,2,467,107610
2011-03-01,226,226,226,230,-4,1,540,122040
2011-04-05,222,220,220,226,-6,2,1415,311474
2011-04-06,218,214,214,220,-6,2,238,51732
2011-04-07,210,210,210,214,-4,1,112,23520
2011-04-10,213,205,205,210,-5,3,292,61016
2011-04-11,203,203,203,205,-2,2,195,39585
2011-04-20,203,203,203,203,,1,237,48111
2011-04-21,203,200,200,203,-3,4,3087,625788
2011-04-25,203,196,196,200,-4,4,345,68791
2011-04-28,198,198,198,196,2,1,360,71280
2011-05-02,195,195,195,198,-3,1,82,15990
2011-05-03,192,190,190,195,-5,2,320,61000
2011-05-04,196,190,196,190,6,5,805,153070
2011-05-05,193,190,190,196,-6,4,1132,215140
2011-05-08,191,191,191,190,1,1,500,95500
2011-05-12,188,188,188,191,-3,1,25,4700
2011-05-15,188,185,188,188,,3,141,26184
2011-05-18,191,191,191,188,3,1,20,3820
2011-05-19,190,188,190,191,-1,3,97,18384
2011-05-22,188,188,188,190,-2,1,58,10904
2011-05-23,186,186,186,188,-2,3,195,36270
2011-05-24,183,183,183,186,-3,1,60,10980
2011-05-25,189,186,188,183,5,3,60,11250
2011-06-05,191,191,191,188,3,2,100,19100
2011-06-09,191,191,191,191,,1,48,9168
2011-06-15,188,182,185,191,-6,5,2336,427567
2011-06-19,184,184,184,185,-1,1,475,87400
2011-06-20,193,187,193,184,9,3,50,9530
2011-06-21,210,196,210,193,17,5,100,20260
2011-06-23,218,212,218,210,8,5,121,26063
2011-06-26,222,222,222,218,4,1,50,11100
2011-06-29,225,206,206,222,-16,7,1145,245090
