date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,2370,2351,2355,2418,-63,34,979,2307601.2
2022-02-21,2355,2316,2350,2355,-5,22,1032,2405496
2022-02-22,2397,2335,2370,2350,20,16,367,870472
2022-02-23,2350,2325,2340,2370,-30,10,239,558340
2022-02-24,2340,2304,2307,2340,-33,27,983,2269841
2015-12-10,419,381,419,,419,10,590,237510
2015-12-17,460,427,460,419,41,10,100,45070
2016-03-23,492,483,492,460,32,8,190,92670
2016-03-24,541,516,541,492,49,44,440,237590
2016-03-27,568,568,568,541,27,3,30,17040
2016-03-28,596,596,596,568,28,5,50,29800
2016-03-31,528,528,528,518,10,1,10,5280
2016-05-03,538,538,538,528,10,1,10,5380
2016-05-10,548,548,548,538,10,1,10,5480
2016-05-15,558,558,558,548,10,1,10,5580
2016-05-18,585,585,585,558,27,1,10,5850
2016-05-31,607,596,607,585,22,2,20,12030
2016-06-09,619,619,619,607,12,1,10,6190
2016-06-20,649,649,649,619,30,1,10,6490
2016-06-26,661,661,661,649,12,1,10,6610
2016-07-05,694,694,694,661,33,1,10,6940
2016-07-14,707,707,707,694,13,1,10,7070
2016-07-17,777,721,777,707,70,7,1125,860965
2016-07-18,792,792,792,777,15,1,10,7920
2016-07-19,807,807,807,792,15,1,10,8070
2016-07-20,847,847,847,807,40,1,10,8470
2016-07-27,863,863,863,847,16,1,10,8630
2016-07-28,906,906,906,863,43,1,10,9060
2016-08-07,942,924,942,906,36,2,20,18660
2016-08-08,1008,989,1008,942,66,2,20,19970
2016-08-09,1058,1058,1058,1008,50,1,10,10580
2016-08-14,1110,1110,1110,1058,52,2,20,22200
2016-08-16,1150,1150,1150,1110,40,1,10,11500
2016-08-21,1173,1173,1173,1150,23,1,10,11730
2016-08-28,1219,1196,1219,1173,46,2,20,24150
2016-08-31,1267,1243,1267,1219,48,2,20,25100
2016-09-04,1330,1330,1330,1267,63,4,40,53200
2016-09-08,1356,1356,1356,1330,26,1,10,13560
2016-09-11,1383,1383,1383,1356,27,1,10,13830
2016-09-14,1410,1410,1410,1383,27,1,10,14100
2016-09-18,1480,1480,1480,1410,70,2,20,29600
2016-09-20,1509,1509,1509,1480,29,1,10,15090
2016-09-22,1584,1584,1584,1509,75,1,10,15840
2016-09-25,1615,1615,1615,1584,31,1,10,16150
2016-09-28,1712,1647,1712,1615,97,3,30,50380
2016-10-03,1780,1746,1780,1712,68,2,20,35260
2016-10-05,1906,1869,1906,1780,126,2,20,37750
2016-10-16,1944,1944,1944,1906,38,1,10,19440
