date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,247,243,244,247.1,-3.1,334,54083,13245030.8
2022-02-21,249.8,243,247.5,244,3.5,338,57180,14076804.1
2022-02-22,252,247,248.2,247.5,0.7,268,46657,11648679.2
2022-02-23,250,245,246,248.2,-2.2,304,40939,10071380.8
2022-02-24,246,241.2,241.5,246,-4.5,355,52186,12666166.8
2010-04-15,417,417,417,425,-8,1,100,41700
2010-04-26,409,376,376,417,-41,14,1102,420797
2010-04-27,369,369,369,376,-7,2,200,73800
2010-04-28,370,348,350,369,-19,11,1323,478092
2010-04-29,385,357,367,350,17,20,2026,753860
2010-05-09,360,360,360,367,-7,3,51,18360
2010-05-10,368,353,365,360,5,10,828,298478
2010-05-11,397,370,390,365,25,7,251,97440
2010-05-12,429,383,429,390,39,20,3104,1269865
2010-05-13,469,410,423,429,-6,36,4978,2169207
2010-05-16,415,387,387,423,-36,15,1548,606967
2010-05-17,406,394,406,387,19,4,168,67102
2010-05-18,420,394,412,406,6,22,2615,1052670
2010-05-19,418,410,418,412,6,3,224,92720
2010-05-20,435,418,425,418,7,14,1033,444665
2010-05-23,433,408,408,425,-17,15,1478,618248
2010-05-24,422,416,420,408,12,6,785,328984
2010-05-25,460,428,455,420,35,18,2340,1052388
2010-05-26,473,424,424,455,-31,15,1599,730717
2010-05-30,465,432,465,424,41,5,179,79410
2010-05-31,492,426,430,465,-35,39,3849,1755172
2010-06-01,445,420,445,430,15,10,1798,780682
2010-06-02,441,425,441,445,-4,5,349,149546
2010-06-03,466,437,453,441,12,18,1746,790199
2010-06-07,444,421,421,453,-32,7,806,344576
2010-06-08,450,429,450,421,29,9,936,418709
2010-06-09,463,450,460,450,10,13,1469,670335
2010-06-10,460,453,457,460,-3,14,972,443224
2010-06-13,457,450,450,457,-7,3,160,72567
2010-06-14,450,436,440,450,-10,11,1170,516530
2010-06-15,445,440,445,440,5,11,992,437903
2010-06-16,453,444,444,445,-1,4,328,146392
2010-06-17,447,441,447,444,3,8,752,334748
2010-06-20,455,450,450,447,3,17,2064,930501
2010-06-21,455,450,451,450,1,4,538,242456
2010-06-22,451,442,449,451,-2,5,234,104534
2010-06-23,450,445,445,449,-4,2,800,357400
2010-06-24,444,437,440,445,-5,7,1086,479238
2010-06-28,440,440,440,440,,3,292,128480
2010-06-29,440,437,437,440,-3,4,594,260901
2010-06-30,445,430,430,437,-7,14,1368,595981
2010-07-01,456,438,448,430,18,27,3246,1449615
2010-07-04,443,435,443,448,-5,5,759,331770
2010-07-05,438,427,427,443,-16,10,2420,1052696
2010-07-06,459,432,459,427,32,9,481,212570
2010-07-07,450,435,440,459,-19,7,811,356050
2010-07-08,434,427,430,440,-10,15,1403,603034
2010-07-11,435,426,435,430,5,6,502,217576
2010-07-12,448,427,448,435,13,11,1650,711526
2010-07-13,440,432,435,448,-13,5,806,350612
2010-07-14,443,435,435,435,,5,654,285296
2010-07-15,468,443,468,435,33,8,448,205084
2010-07-18,460,442,444,468,-24,4,195,87020
2010-07-19,436,429,432,444,-12,5,289,124740
2010-07-20,447,435,447,432,15,4,166,72558
2010-07-21,450,450,450,447,3,1,80,36000
2010-07-22,457,442,457,450,7,2,130,57910
2010-07-26,448,432,438,457,-19,6,655,285847
2010-07-27,440,440,440,438,2,1,128,56320
2010-07-28,440,432,440,440,,6,593,259059
2010-07-29,440,425,430,440,-10,6,629,271514
2010-08-01,435,431,435,430,5,5,250,108355
