date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-07-27,10,9,9,,-1,58,10250,94263
2022-07-28,9.02,8.7,9.01,9,0.01,75,16091,143236.88
2022-07-29,8.96,8.89,8.96,9.01,-0.05,22,3300,29418
2022-07-31,9.1,8.93,9,8.96,0.04,52,10900,98363
2022-08-01,9,8.7,8.92,9,-0.08,40,6020,53464.6
2022-08-02,9,8.75,8.91,8.92,-0.01,46,23970,213581.6
2022-08-03,9.09,8.74,8.92,8.91,0.01,47,9350,83888
2022-08-04,9.09,8.75,9.09,8.92,0.17,34,10890,97244.8
2022-08-05,8.95,8.86,8.86,9.09,-0.23,11,2300,20508
2022-08-07,8.92,8.7,8.92,8.86,0.06,36,6350,55492
2022-08-08,9.09,8.72,8.8,8.92,-0.12,23,5870,51416.1
2022-08-09,8.83,8.63,8.8,8.8,,46,6550,57125.5
2022-08-10,8.81,8.63,8.71,8.8,-0.09,28,4950,42956
2022-08-11,9.02,8.54,8.85,8.71,0.14,19,2100,18516
2022-08-14,8.86,8.68,8.7,8.85,-0.15,27,3300,28786
2022-08-15,8.89,8.6,8.8,8.7,0.1,38,11010,95809.1
2022-08-16,8.82,8.63,8.71,8.8,-0.09,27,3300,28729
2022-08-17,8.71,8.54,8.66,8.71,-0.05,23,3490,30049
2022-08-18,8.83,8.56,8.6,8.66,-0.06,21,3950,34271
2022-08-22,8.67,8.33,8.41,8.5,-0.09,42,4950,41761.5
2022-08-23,8.73,8.25,8.6,8.41,0.19,30,3600,30648
2022-08-24,9.11,8.43,8.94,8.6,0.34,33,5400,46845
2022-08-25,9,8.48,8.65,8.94,-0.29,25,7000,60147
2022-08-26,8.5,8.48,8.49,8.65,-0.16,10,1300,11038
2022-08-28,8.64,8.33,8.51,8.49,0.02,28,9950,84365
2022-08-29,8.61,8.18,8.55,8.51,0.04,33,15350,130055.5
2022-08-30,8.52,8.24,8.51,8.55,-0.04,17,2700,22619
2022-08-31,8.5,8.4,8.43,8.51,-0.08,20,2800,23624
2022-09-01,8.59,8.4,8.41,8.43,-0.02,29,4900,41400
2022-09-02,8.55,8.27,8.38,8.41,-0.03,5,1400,11885
2022-09-04,8.43,8.25,8.3,8.38,-0.08,33,3700,30702
2022-09-05,8.48,8.3,8.33,8.3,0.03,26,2750,23026
2022-09-06,8.36,8.17,8.36,8.33,0.03,16,4000,32862
2022-09-07,8.37,8.21,8.26,8.36,-0.1,19,3050,25165.5
2022-09-08,8.4,8.15,8.3,8.26,0.04,19,11210,93054
2022-09-11,8.39,8.15,8.36,8.3,0.06,14,1900,15656
2022-09-12,8.4,8.18,8.32,8.36,-0.04,18,2700,22509
2022-09-13,8.48,8.2,8.25,8.32,-0.07,23,4650,38524
2022-09-14,8.44,8.18,8.3,8.25,0.05,32,3750,31019.5
2022-09-15,8.3,8.25,8.26,8.3,-0.04,25,3650,30238.41
2022-09-16,8.33,8.15,8.21,8.26,-0.05,13,10800,88958
2022-09-18,8.24,8.17,8.24,8.21,0.03,18,2500,20516
2022-09-20,8.4,8.14,8.24,8.24,,36,9795,80557.2
2022-09-21,8.2,8.09,8.18,8.24,-0.06,22,3600,29311
2022-09-22,8.29,8.02,8.29,8.18,0.11,27,6000,48701
2022-09-25,8.13,7.46,7.71,8.29,-0.58,14,1500,11520
2022-09-27,7.95,7.8,7.85,7.71,0.14,11,1100,8641
2022-09-28,7.86,7.85,7.86,7.85,0.01,14,1500,11788
2022-09-29,8.25,7.85,8.15,7.86,0.29,17,2875,23198.5
2022-10-09,8.15,8,8.1,8.15,-0.05,15,2500,20048
2022-10-10,8.4,7.79,8.24,8.1,0.14,20,5600,45676
2022-10-11,8.4,8.24,8.3,8.24,0.06,9,2000,16649
2022-10-12,8.31,8.14,8.31,8.3,0.01,7,850,7025
2022-10-13,8.31,8,8.15,8.31,-0.16,12,1450,11851.5
2022-10-16,8.17,7.99,8.05,8.15,-0.1,13,2015,16208.65
2022-10-17,8.36,7.9,8.36,8.05,0.31,13,1800,14730
2022-10-19,8.26,7.9,7.97,8.36,-0.39,26,4200,33909
2022-10-20,8,7.89,7.95,7.97,-0.02,4,600,4764
2022-10-23,8.05,7.9,7.91,7.95,-0.04,10,1000,7917
2022-10-31,7.93,7.77,7.93,7.91,0.02,12,2900,22656
2022-11-01,8.05,7.8,8.05,7.93,0.12,9,1300,10358
2022-11-02,8.07,7.92,7.95,8.05,-0.1,13,10400,82529
2022-11-03,7.95,7.82,7.95,7.95,0,12,1750,13824
2022-11-06,8,7.8,7.9,7.95,-0.04999999999999982,23,3000,23723
2022-11-07,8.21,7.76,7.92,7.9,0.019999999999999574,21,4500,35752
2022-11-08,8.06,7.91,8.02,7.92,0.09999999999999964,16,3900,31334
2022-11-09,8.02,7.9,7.96,8.02,-0.05999999999999961,6,700,5567
2022-11-10,8.1,7.9,7.91,7.96,-0.04999999999999982,13,3115,24679
2022-11-13,8,7.91,7.96,7.91,0.04999999999999982,20,3710,29461.4
2022-11-14,8.05,7.85,8.05,7.96,0.09000000000000075,9,1000,7946
2022-11-15,8.1,7.89,8.1,8.05,0.049999999999998934,11,1300,10356.5
2022-11-16,8,7.96,7.98,8.1,-0.11999999999999922,12,2500,19924
2022-11-22,8.16,8,8,8.16,-0.16000000000000014,20,3200,25759
2022-11-23,8,7.85,7.92,8,-0.08000000000000007,22,3300,26207
2022-11-24,7.98,7.8,7.9,7.92,-0.019999999999999574,17,1900,14912
2022-11-27,8.05,7.95,7.99,7.9,0.08999999999999986,17,1985,15842
2022-11-28,8.14,7.9,8,7.99,0.009999999999999787,19,13000,104060
2022-11-29,8,7.9,8,8,0,12,1200,9550
2022-11-30,8.32,7.89,8.01,8,0.009999999999999787,31,11100,91666
2022-12-01,8,7.87,7.98,8.01,-0.02999999999999936,25,3300,26231
2022-12-04,8.13,7.93,8,7.98,0.019999999999999574,18,2700,21617
2022-12-05,8.1,7.97,7.99,8,-0.009999999999999787,18,1950,15602
2022-12-06,8.32,7.84,8.16,7.99,0.16999999999999993,16,3800,30961
2022-12-07,8.62,8,8.58,8.16,0.41999999999999993,19,1900,15754
2022-12-11,8.75,8,8.75,8.58,0.16999999999999993,26,3000,24987
2022-12-12,8.58,8.25,8.25,8.75,-0.5,3,300,2524
2022-12-13,8.15,7.96,8.15,8.25,-0.09999999999999964,11,1600,12879
2022-12-14,8.16,8,8,8.15,-0.15000000000000036,27,4300,34588
2022-12-15,8.1,7.86,8.1,8,0.09999999999999964,16,2000,15941
2022-12-18,7.95,7.88,7.95,8.1,-0.14999999999999947,20,2200,17424
2022-12-19,8.07,7.82,7.92,7.95,-0.03000000000000025,23,7300,57987
2022-12-20,8.1,7.8,8.09,7.92,0.16999999999999993,23,6600,52613
2022-12-21,7.95,7.93,7.94,8.09,-0.14999999999999947,18,2300,18263
2022-12-22,8.05,7.8,7.9,7.94,-0.040000000000000036,15,2000,15845
2022-12-26,8.05,7.76,7.89,7.9,-0.010000000000000675,26,2850,22465
2022-12-27,8.15,7.92,8,7.89,0.11000000000000032,24,2950,23595
2022-12-28,8.05,7.9,7.98,8,-0.019999999999999574,16,2100,16721
2022-12-29,8.26,7.84,8.16,7.98,0.17999999999999972,22,2400,19268
2023-01-01,8.18,8.02,8.18,8.16,0.019999999999999574,24,8715,70372.6
2023-01-02,8.2,8.04,8.06,8.18,-0.11999999999999922,20,3350,27193
2023-01-03,8.26,8,8.12,8.06,0.05999999999999872,24,4700,38007
2023-01-04,8.2,8.08,8.2,8.12,0.08000000000000007,21,3350,27247
2023-01-05,8.75,8.11,8.58,8.2,0.3800000000000008,28,9400,80106
