date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1345,1285,1345,1346,-1,99,6948,9097502.9
2022-02-21,1343,1311,1320,1345,-25,55,3066,4045091.9
2022-02-22,1319,1290,1307.9,1320,-12.1,71,6210,8073800.9
2022-02-23,1310,1270,1290,1307.9,-17.9,92,5892,7550903
2022-02-24,1280,1240,1260,1290,-30,101,8875,11097621
2014-02-05,378,357,378,,378,4,40,14700
2014-02-06,399,385,399,378,21,3,30,11760
2014-02-10,399,399,399,399,,1,10,3990
2014-02-11,414,406,414,399,15,2,43,17722
2014-02-12,455,422,455,414,41,8,80,35550
2014-02-13,473,464,473,455,18,2,43,20249
2014-02-16,520,482,520,473,47,6,276,140390
2014-02-17,572,530,572,520,52,7,70,38970
2014-02-18,629,583,629,572,57,9,90,55440
2014-02-20,691,660,691,629,62,5,65,44105
2014-02-23,760,704,760,691,69,35,854,644616
2014-02-24,836,775,836,760,76,60,2829,2224068
2014-02-25,919,770,918,836,82,345,10245,8844204
2014-02-26,920,855,856,918,-62,167,3820,3374222
2014-03-03,840,780,813,856,-43,225,3330,2692271
2014-03-04,800,780,797,813,-16,197,5326,4192335
2014-03-05,806,785,795,797,-2,81,1518,1210104
2014-03-06,800,775,775,795,-20,38,616,487217
2014-03-09,780,756,780,775,5,130,1834,1407213
2014-03-10,775,730,765,780,-15,216,2660,1989914
2014-03-11,760,740,750,765,-15,106,1294,971642
2014-03-12,745,725,738,750,-12,81,1136,835291
2014-03-13,750,730,750,738,12,90,1177,873789
2014-03-17,745,701,705,750,-45,115,1250,892798
2014-03-18,709,681,681,705,-24,167,2024,1398314
2014-03-19,690,667,681,681,,86,1156,786664
2014-03-20,690,670,690,681,9,44,800,541856
2014-03-23,695,660,680,690,-10,80,896,605070
2014-03-24,673,654,666,680,-14,23,392,260380
2014-03-25,686,660,675,666,9,41,1075,717014
2014-03-26,689,650,679,675,4,140,1839,1228449
2014-03-27,693,672,693,679,14,194,2719,1846588
2014-03-31,710,686,710,693,17,20,857,598286
2014-04-01,720,710,710,710,,52,756,539560
2014-04-02,720,700,701,710,-9,23,230,162650
2014-04-03,701,680,680,701,-21,42,492,340334
2014-04-06,685,680,681,680,1,21,249,169770
2014-04-07,710,684,700,681,19,96,2708,1894472
2014-04-09,705,687,705,700,5,57,834,584384
2014-04-10,715,690,704,705,-1,18,478,338562
2014-04-13,705,700,701,704,-3,13,274,192340
2014-04-15,726,700,712,701,11,75,1348,956404
2014-04-16,723,710,715,712,3,23,240,171090
2014-04-17,715,709,710,715,-5,55,731,520742
2014-04-20,710,708,710,710,,19,263,186589
2014-04-21,710,685,685,710,-25,46,1684,1180983
2014-04-22,698,659,698,685,13,27,308,207589
2014-04-23,700,673,675,698,-23,34,2295,1595520
2014-04-27,688,675,681,675,6,26,422,288086
2014-04-28,725,685,702,681,21,32,517,364133
2014-04-29,699,688,699,702,-3,3,30,20750
2014-04-30,686,679,685,699,-14,14,783,533389
2014-05-04,740,680,733,685,48,105,4493,3219481
2014-05-05,804,732,760,733,27,33,2079,1646479
2014-05-06,760,731,736,760,-24,27,640,472383
2014-05-07,732,722,731,736,-5,38,452,330504
2014-05-08,730,701,701,731,-30,32,2847,2026540
2014-05-11,710,697,699,701,-2,13,130,91280
2014-05-12,720,695,720,699,21,50,957,676450
2014-05-13,770,710,770,720,50,84,2680,2018841
2014-05-15,780,770,770,770,,16,670,518850
2014-05-18,755,707,708,770,-62,32,493,363005
2014-05-19,722,707,712,708,4,71,1023,729734
2014-05-20,722,700,711,712,-1,57,1484,1054820
2014-05-21,715,700,711,711,,158,3508,2478274
2014-05-22,720,710,711,711,,70,1060,754150
2014-05-25,720,705,718,711,7,55,550,390720
