date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,537,507,521,527,-6,124,16910,8852534.4
2022-02-21,535,516.6,527,521,6,81,7618,4025037.6
2022-02-22,544.9,526,530,527,3,108,9570,5156008
2022-02-23,558,530,552,530,22,185,32398,17697554.5
2022-02-24,560,526.4,540,552,-12,146,22440,12096565.1
2018-10-11,121,110,121,,121,133,1330,160570
2018-10-14,133,115,121,121,,883,16907,2086020
2018-10-15,123,116,119,121,-2,350,8242,980588
2018-10-21,120,115,120,119,1,265,2940,342530
2018-10-22,118,114,116,120,-4,718,12677,1460845
2018-10-23,116,113,114,116,-2,320,7050,808850
2018-10-24,115,110,110,114,-4,382,7911,881103
2018-10-25,116,108,114,110,4,332,4390,498350
2018-10-28,118,109,113,114,-1,316,7500,847800
2018-10-29,115,109,114,113,1,303,5000,564970
2018-10-30,118,112,118,114,4,392,11750,1370780
2018-10-31,120,114,117,118,-1,223,2710,314830
2018-11-01,118,114,116,117,-1,250,2940,342520
2018-11-04,117,114,115,116,-1,115,1792,207130
2018-11-05,115,112,113,115,-2,225,2250,254570
2018-11-11,114,112,113,113,,65,1330,150130
2018-11-12,114,112,112,113,-1,111,1110,125210
2018-11-13,114,110,111,112,-1,104,1040,115980
2018-11-14,116,109,113,111,2,92,1160,130660
2018-11-15,114,110,111,113,-2,158,2355,263085
2018-11-18,113,109,110,111,-1,161,1610,177730
2018-11-19,112,108,108,110,-2,217,2361,258090
2018-11-20,110,107,107,108,-1,69,780,84270
2018-11-21,109,105,108,107,1,64,1090,117920
2018-11-22,109,106,107,108,-1,120,1200,128190
2018-11-25,107,103,104,107,-3,93,2390,249770
2018-11-26,104,102,104,104,,86,1010,104430
2018-11-27,106,103,104,104,,89,890,92510
2018-11-28,106,103,106,104,2,100,4570,479610
2018-11-29,106,102,103,106,-3,52,610,63220
2018-12-02,105,101,105,103,2,61,650,67180
2018-12-03,106,103,104,105,-1,56,760,79720
2018-12-04,105,103,103,104,-1,58,1420,147630
2018-12-05,105,101,105,103,2,43,3250,339310
2018-12-06,106,103,104,105,-1,30,300,31220
2018-12-09,104,102,103,104,-1,25,250,25660
2018-12-10,104,102,104,103,1,18,180,18510
2018-12-11,105,102,103,104,-1,16,160,16520
2018-12-12,104,101,103,103,,46,460,46790
2018-12-13,105,101,105,103,2,30,820,84830
2018-12-16,107,103,107,105,2,38,470,48770
2018-12-17,108,103,103,107,-4,23,1610,169110
2018-12-18,103,101,103,103,,23,230,23560
2018-12-19,105,101,102,103,-1,31,500,51620
2018-12-20,103,101,102,102,,23,470,47950
2018-12-23,105,100,101,102,-1,90,2640,271930
2018-12-24,101,98,101,101,,72,3080,309640
2018-12-25,102,99,100,101,-1,42,680,68310
2018-12-26,102,99,99,100,-1,42,420,42250
2018-12-27,104,99,103,99,4,80,2250,230360
2018-12-30,105,100,100,103,-3,49,740,74380
2018-12-31,104,100,104,100,4,59,590,59960
2019-01-01,104,101,102,104,-2,69,710,72710
2019-01-02,103,100,101,102,-1,23,1220,125230
2019-01-03,102,100,100,101,-1,32,530,53630
2019-01-06,101,100,100,100,,19,300,30180
2019-01-07,102,100,102,100,2,25,600,60900
2019-01-08,102,99,100,102,-2,36,360,35990
2019-01-09,101,99,100,100,,52,520,52010
2019-01-10,101,100,100,100,,73,820,82330
2019-01-13,102,99,99,100,-1,101,1150,115730
2019-01-14,101,99,99,99,,40,730,73540
2019-01-15,102,99,102,99,3,18,180,18090
2019-01-16,102,100,100,102,-2,10,100,10080
2019-01-17,102,99,101,100,1,89,890,89830
2019-01-20,101,98,99,101,-2,174,1740,172770
2019-01-21,100,96,96,99,-3,186,2150,209710
2019-01-22,98,96,97,96,1,124,1910,184280
2019-01-23,100,96,100,97,3,67,1460,144260
2019-01-24,100,98,98,100,-2,57,570,56230
2019-01-27,100,97,97,98,-1,100,1000,97430
2019-01-28,98,96,96,97,-1,90,1680,162240
2019-01-29,97,96,96,96,,85,850,81720
2019-01-30,97,95,95,96,-1,119,3600,346560
2019-01-31,97,94,95,95,,134,1340,127960
2019-02-03,96,94,95,95,,69,820,77490
2019-02-04,95,93,93,95,-2,50,610,57170
2019-02-05,95,93,94,93,1,37,750,70420
2019-02-06,94,92,92,94,-2,66,660,61460
2019-02-07,93,91,91,92,-1,87,950,87500
2019-02-10,92,90,90,91,-1,63,750,68130
2019-02-11,97,89,97,90,7,82,1650,154430
2019-02-12,100,93,97,97,,100,1440,138720
2019-02-13,100,93,93,97,-4,88,1200,113940
2019-02-14,93,90,91,93,-2,141,1900,173230
2019-02-17,92,89,92,91,1,99,1030,93140
2019-02-18,92,90,90,92,-2,70,750,67790
2019-02-19,93,90,90,90,,48,990,90420
2019-02-20,91,90,90,90,,33,330,29760
2019-02-21,91,89,90,90,,92,940,84240
2019-02-24,93,89,89,90,-1,116,1160,104210
2019-02-25,91,89,91,89,2,62,620,55750
