date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-11-16,165,165,165,165,0,7,20814,3434310
2022-11-27,165,165,165,165,0,2,91300,15064500
2022-12-27,165,165,165,165,0,2,126000,20790000
2023-03-13,178,178,178,178,0,8,20000,3560000
2023-06-05,156,156,156,156,0,8,29336,4576416
2023-06-26,156,156,156,156,0,1,11800,1840800
2023-07-27,156,156,156,156,0,1,16000,2496000
2023-08-15,156,156,156,156,0,1,20000,3120000
2023-12-13,175,175,175,175,0,1,236420,41373500
2024-02-08,175,175,175,175,0,2,57025,9979375
2024-02-22,175,175,175,175,0,1,200000,20400000
2024-03-20,175,175,175,175,0,1,309892,32538660
