date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,488,473,479.1,491,-11.9,491,60264,28969569.2
2022-02-21,489,478,482.2,479.1,3.1,267,36417,17572829
2022-02-22,499.5,490,494,482.2,11.8,367,36006,17802799.5
2022-02-23,498.7,488,488,494,-6,237,26306,12911217.6
2022-02-24,484,471,472,488,-16,471,56336,26816475.3
2010-04-15,263,254,257,253,4,70,2800,721560
2010-04-19,249,237,248,250,-2,147,7990,1968040
2010-04-20,247,238,245,248,-3,167,7430,1813360
2010-04-21,249,241,241,245,-4,49,3170,782780
2010-04-22,244,225,230,241,-11,79,3700,874910
2010-04-25,236,226,233,230,3,79,4510,1046750
2010-04-26,235,230,232,233,-1,66,3310,772300
2010-04-27,235,213,217,232,-15,85,4060,914850
2010-04-28,216,204,205,217,-12,32,1470,307820
2010-04-29,225,205,225,205,20,17,910,194030
2010-05-09,229,220,227,225,2,88,4650,1035240
2010-05-10,234,225,231,227,4,38,2190,500940
2010-05-11,242,235,242,231,11,19,800,191370
2010-05-12,265,242,265,242,23,18,1100,273700
2010-05-13,291,270,291,265,26,29,3250,936390
2010-05-16,305,262,267,291,-24,94,4410,1204900
2010-05-17,271,242,260,267,-7,41,2020,515890
2010-05-18,276,245,276,260,16,37,1510,383930
2010-05-19,290,272,290,276,14,32,1600,442970
2010-05-20,300,285,290,290,,75,3180,933550
2010-05-23,286,280,280,290,-10,45,2110,595010
2010-05-24,285,275,282,280,2,55,3480,976630
2010-05-25,293,272,293,282,11,10,1380,386100
2010-05-26,309,290,291,293,-2,33,4490,1355700
2010-05-30,320,296,320,291,29,6,210,64630
2010-05-31,338,308,308,320,-12,23,1240,405820
2010-06-01,312,278,304,308,-4,56,3400,981830
2010-06-02,300,285,300,304,-4,59,2170,629270
2010-06-03,310,295,300,300,,15,620,186250
2010-06-06,300,289,300,300,,57,2450,725240
2010-06-07,298,290,298,300,-2,36,1690,495450
2010-06-08,300,280,293,298,-5,23,1140,332260
2010-06-09,298,288,298,293,5,16,700,206920
2010-06-10,303,294,299,298,1,33,1460,433430
2010-06-13,300,289,300,299,1,44,2440,723910
2010-06-14,302,294,299,300,-1,41,2070,618280
2010-06-15,300,295,296,299,-3,49,3000,892220
2010-06-16,295,280,295,296,-1,57,2500,708510
2010-06-17,295,285,285,295,-10,76,3410,991100
2010-06-20,289,279,289,285,4,116,7840,2209730
2010-06-21,289,284,284,289,-5,8,440,125620
2010-06-22,290,270,285,284,1,69,3710,1056780
2010-06-23,285,276,282,285,-3,45,1950,548650
2010-06-24,286,280,286,282,4,107,7550,2154060
2010-06-28,290,285,289,286,3,45,2240,643770
2010-06-29,292,271,278,289,-11,100,6330,1758450
2010-06-30,277,272,272,278,-6,22,1130,308420
2010-07-01,292,277,285,272,13,20,1990,563600
2010-07-04,289,275,282,285,-3,88,3590,1004350
2010-07-05,285,274,274,282,-8,44,1790,497890
2010-07-06,275,268,273,274,-1,18,1190,322050
2010-07-07,285,273,274,273,1,72,3140,862380
2010-07-08,279,275,275,274,1,13,380,105360
2010-07-11,280,275,275,275,,38,840,232600
2010-07-12,275,275,275,275,,19,450,123750
2010-07-13,275,270,275,275,,5,220,59500
2010-07-14,277,275,277,275,2,6,270,74400
2010-07-15,282,280,280,277,3,2,100,28040
2010-07-18,285,276,285,280,5,59,2670,748160
2010-07-19,280,269,275,285,-10,24,3850,1048700
2010-07-20,276,271,275,275,,24,2120,579060
2010-07-21,275,269,275,275,,55,2990,812370
2010-07-22,282,272,278,275,3,17,690,189360
2010-07-25,281,269,269,278,-9,34,1220,338170
2010-07-26,270,266,270,269,1,20,460,122560
2010-07-27,270,265,265,270,-5,6,120,31920
2010-07-28,274,266,271,265,6,49,1060,284080
2010-07-29,271,266,271,271,,15,560,149980
2010-08-01,271,267,270,271,-1,19,1160,310190
2010-08-02,270,265,270,270,,8,350,93720
2010-08-03,275,263,263,270,-7,29,2000,546440
2010-08-04,268,263,268,263,5,41,1620,433560
2010-08-05,273,263,264,268,-4,78,2400,653000
2010-08-08,270,259,270,264,6,14,720,191390
2010-08-09,274,270,274,270,4,6,320,86480
2010-08-10,271,265,265,274,-9,22,990,264750
2010-08-11,268,263,264,265,-1,29,840,222440
2010-08-12,265,264,265,264,1,49,1790,473650
2010-08-15,265,264,264,265,-1,20,640,169290
2010-08-16,263,258,263,264,-1,6,420,109710
2010-08-17,261,256,256,263,-7,8,180,46660
2010-08-18,252,250,251,256,-5,25,1900,476620
2010-08-19,250,242,246,251,-5,29,1190,291710
2010-08-22,242,230,234,246,-12,13,510,119340
2010-08-23,235,230,231,234,-3,83,4640,1070590
2010-08-26,236,223,223,231,-8,25,1240,284090
2010-08-29,224,217,222,223,-1,39,2150,473380
2010-08-30,228,220,228,222,6,29,1500,334450
2010-08-31,228,224,224,228,-4,15,530,119910
2010-09-02,225,223,223,224,-1,9,510,114450
2010-09-05,228,220,224,223,1,45,2380,532130
2010-09-06,234,221,234,224,10,21,1450,321600
2010-09-07,239,234,235,234,1,12,520,122270
2010-09-08,239,238,239,235,4,3,110,26270
2010-09-09,239,227,231,239,-8,10,350,81210
2010-09-13,236,223,223,231,-8,38,1710,399840
2010-09-14,225,218,222,223,-1,17,680,149580
2010-09-15,220,216,216,222,-6,5,570,124480
2010-09-16,215,213,215,216,-1,11,1130,242550
2010-09-19,211,211,211,215,-4,1,50,10550
2010-09-20,216,210,216,211,5,27,1020,216150
2010-09-21,217,214,217,216,1,3,190,40930
2010-09-23,225,217,224,217,7,11,550,122310
2010-09-26,226,220,220,224,-4,17,680,152280
2010-09-27,226,223,226,220,6,6,320,72160
2010-09-28,222,216,217,226,-9,13,620,134620
2010-09-29,215,212,212,217,-5,5,230,49140
2010-09-30,217,215,216,212,4,18,850,183170
2010-10-03,216,212,215,216,-1,38,2840,603420
2010-10-05,220,220,220,220,,4,150,33000
2010-10-06,223,220,223,220,3,19,830,183410
2010-10-07,229,224,228,223,5,19,1730,389730
2010-10-10,225,225,225,228,-3,1,80,18000
2010-10-12,229,229,229,225,4,1,60,13740
2010-10-13,233,233,233,229,4,1,100,23300
2010-10-20,235,235,235,233,2,1,80,18800
2010-10-21,231,225,228,235,-7,5,450,102630
2010-10-24,230,228,229,228,1,8,320,73180
2010-10-25,239,230,238,229,9,10,660,155660
2010-10-26,238,230,230,238,-8,8,480,111760
2010-10-27,237,230,232,230,2,44,2550,595030
2010-10-28,229,224,224,232,-8,11,470,106380
2010-10-31,225,224,224,224,,13,760,170690
2010-11-02,223,219,222,223,-1,4,160,35500
2010-11-03,222,216,216,222,-6,18,1370,299040
2010-11-04,211,207,211,216,-5,6,170,35270
2010-11-09,202,200,200,211,-11,23,1160,234080
2010-11-10,220,204,218,200,18,8,300,64300
2010-11-11,224,220,224,218,6,39,2280,509200
2010-11-14,220,220,220,224,-4,1,60,13200
2010-11-15,222,217,222,220,2,9,500,109720
2010-11-16,225,220,220,222,-2,14,690,153130
2010-11-18,220,210,216,220,-4,15,810,174000
2010-11-21,220,214,218,216,2,26,2000,432150
2010-11-22,221,212,212,218,-6,32,1790,389580
2010-11-23,212,208,208,212,-4,25,880,185840
2010-11-24,212,212,212,208,4,1,70,14840
2010-11-25,216,209,209,212,-3,10,400,85130
2010-11-28,209,202,209,209,,10,610,125170
2010-11-29,213,208,210,209,1,52,1270,268460
2010-11-30,214,209,214,210,4,5,710,149010
2010-12-01,213,209,209,214,-5,15,620,130140
2010-12-02,213,201,201,209,-8,10,1240,256140
2010-12-05,209,202,206,201,5,42,990,203520
2010-12-06,210,201,202,206,-4,33,1620,334610
2010-12-07,207,199,205,202,3,21,3440,686650
2010-12-08,205,200,202,205,-3,12,820,165100
2010-12-09,203,202,202,202,,16,610,123690
2010-12-12,202,201,201,202,-1,7,310,62600
2010-12-13,202,201,202,201,1,41,2430,490260
2010-12-14,212,202,206,202,4,44,1530,317710
2010-12-15,202,198,201,206,-5,8,320,63920
2010-12-16,200,200,200,201,-1,4,240,48000
2010-12-19,201,198,200,200,,7,230,45990
2010-12-20,204,200,202,200,2,13,740,149460
2010-12-22,200,200,200,202,-2,2,120,24000
2010-12-23,204,200,202,200,2,26,760,153350
2010-12-26,205,204,204,202,2,37,1670,342200
2010-12-27,205,200,205,204,1,20,5980,1223250
2010-12-28,209,205,205,205,,15,590,123190
2010-12-29,208,200,202,205,-3,63,5520,1129100
2011-01-02,202,202,202,202,,2,40,8080
2011-01-03,203,199,199,202,-3,9,330,66220
2011-01-04,199,196,196,199,-3,11,460,90830
2011-01-05,205,198,201,196,5,23,1310,261630
2011-01-06,203,195,197,201,-4,32,1010,200890
2011-01-09,196,194,196,197,-1,15,470,91580
2011-01-10,195,190,195,196,-1,24,980,187860
2011-01-11,195,192,192,195,-3,6,170,32770
2011-01-12,195,190,193,192,1,36,1070,207030
2011-01-13,195,192,192,193,-1,25,660,127890
2011-01-16,198,195,195,192,3,27,1050,205690
2011-01-17,195,192,194,195,-1,52,2120,410950
2011-01-18,198,192,196,194,2,22,1160,227630
2011-01-20,195,192,192,196,-4,19,1420,276720
2011-01-23,193,190,191,192,-1,13,530,101340
2011-01-24,193,190,193,191,2,3,100,19140
2011-01-31,190,190,190,193,-3,1,20,3800
2011-02-01,196,190,196,190,6,12,530,102710
2011-02-02,196,190,190,196,-6,12,260,49760
2011-02-03,193,190,193,190,3,6,250,47890
2011-02-06,202,196,202,193,9,5,250,49780
2011-02-07,205,205,205,202,3,8,160,32800
2011-02-09,205,195,195,205,-10,20,1780,352150
2011-02-10,214,195,213,195,18,21,700,141660
2011-02-13,209,192,192,213,-21,49,3220,628770
2011-02-14,192,179,186,192,-6,49,1880,351480
2011-02-15,203,189,203,186,17,6,300,58900
2011-02-16,221,199,221,203,18,10,470,99730
2011-02-20,217,199,199,221,-22,55,4040,805960
2011-02-21,199,193,199,199,,24,1250,244690
2011-02-22,198,194,194,199,-5,23,1370,267880
2011-02-23,193,185,188,194,-6,26,1220,230490
2011-02-24,187,183,183,188,-5,40,1110,204550
2011-02-27,180,180,180,183,-3,8,400,72000
2011-02-28,180,177,177,180,-3,20,1010,180840
2011-03-01,178,178,178,177,1,2,40,7120
2011-03-03,184,181,184,178,6,2,100,18340
2011-03-07,187,184,187,184,3,9,260,47990
2011-03-09,190,190,190,187,3,1,20,3800
2011-03-10,187,187,187,190,-3,18,500,93500
2011-03-13,188,180,183,187,-4,26,1020,187960
2011-03-14,183,177,178,183,-5,24,870,156290
2011-03-15,185,174,174,178,-4,13,600,107800
2011-03-16,176,170,172,174,-2,7,260,44760
2011-03-17,175,174,174,172,2,9,270,47000
2011-03-20,172,168,172,174,-2,14,1190,200370
2011-03-21,170,164,164,172,-8,4,180,29940
2011-03-22,161,158,158,164,-6,8,180,28580
2011-03-23,161,161,161,158,3,5,100,16100
2011-03-27,158,152,152,161,-9,10,660,103830
2011-03-29,152,152,152,152,,1,50,7600
2011-03-30,155,149,149,152,-3,5,330,49960
2011-04-04,147,145,145,149,-4,11,600,87720
2011-04-05,143,143,143,145,-2,1,30,4290
2011-04-10,141,132,132,143,-11,19,780,105740
2011-04-11,131,125,125,132,-7,12,630,80830
2011-04-13,128,127,128,125,3,8,240,30580
2011-04-17,126,120,120,128,-8,9,600,74430
2011-04-18,127,119,121,120,1,42,1210,149250
2011-04-19,124,122,122,121,1,12,550,67780
2011-04-20,126,122,126,122,4,11,440,54520
2011-04-21,132,128,130,126,4,43,1240,159660
2011-04-25,128,128,128,130,-2,7,240,30720
2011-04-27,126,124,124,128,-4,4,120,14960
2011-04-28,122,120,122,124,-2,7,340,41300
2011-05-02,123,122,122,122,,9,280,34220
2011-05-03,124,120,120,122,-2,32,1600,195380
2011-05-04,124,120,124,120,4,11,870,106020
2011-05-05,127,123,123,124,-1,27,970,120700
2011-05-08,124,123,124,123,1,28,770,94800
2011-05-10,122,120,122,124,-2,15,850,102640
2011-05-11,121,118,121,122,-1,8,390,46860
2011-05-12,123,123,123,121,2,2,40,4920
2011-05-15,125,121,125,123,2,24,1110,136790
2011-05-16,125,118,120,125,-5,24,1700,207550
2011-05-18,120,118,119,120,-1,5,220,26300
2011-05-19,126,120,126,119,7,14,560,68690
2011-05-22,128,125,127,126,1,19,690,87270
2011-05-23,126,125,125,127,-2,16,940,118200
2011-05-24,126,125,126,125,1,4,230,28910
2011-05-25,135,128,135,126,9,14,1400,185540
2011-05-30,134,133,133,135,-2,8,170,22750
2011-05-31,135,131,132,133,-1,33,1400,185610
2011-06-01,130,126,126,132,-6,4,90,11500
2011-06-02,124,122,122,126,-4,10,880,107680
2011-06-05,121,118,119,122,-3,12,930,111120
2011-06-06,120,119,120,119,1,15,540,64280
2011-06-07,119,108,108,120,-12,59,3360,367300
2011-06-08,110,98,98,108,-10,41,11980,1182510
2011-06-09,97,89,92,98,-6,77,9270,837680
2011-06-12,101,93,101,92,9,13,670,65970
2011-06-13,110,99,107,101,6,24,1230,127500
2011-06-14,105,103,103,107,-4,21,1630,167930
2011-06-15,101,98,100,103,-3,7,420,41620
2011-06-16,104,97,98,100,-2,14,710,70010
2011-06-20,107,99,107,98,9,24,1510,156870
2011-06-21,110,106,110,107,3,7,540,58220
2011-06-23,117,115,117,110,7,2,40,4640
2011-06-26,123,113,115,117,-2,42,3400,406740
2011-06-30,113,104,104,115,-11,18,870,91480
2011-07-03,104,102,104,104,,8,420,43480
2011-07-04,102,102,102,104,-2,3,60,6120
2011-07-05,103,100,102,102,,6,630,63700
2011-07-06,104,101,103,102,1,14,970,100000
2011-07-07,106,101,106,103,3,20,750,77240
2011-07-10,104,102,104,106,-2,8,1400,143220
2011-07-11,107,104,105,104,1,36,2710,284250
2011-07-12,108,107,107,105,2,8,660,70680
2011-07-13,117,107,117,107,10,12,910,103050
2011-07-14,128,117,128,117,11,45,5450,673060
2011-07-17,140,130,140,128,12,8,1400,189400
2011-07-18,142,136,138,140,-2,9,1200,167580
2011-07-19,140,135,135,138,-3,50,4200,576970
2011-07-20,135,126,129,135,-6,17,1800,238130
2011-07-21,127,121,121,129,-8,21,5050,612510
2011-07-24,121,114,114,121,-7,15,2980,353220
2011-07-25,112,110,110,114,-4,6,190,21080
2011-07-26,112,107,107,110,-3,25,2870,312430
2011-07-27,113,108,113,107,6,18,460,50370
2011-07-28,113,110,113,113,,13,960,106740
2011-07-31,115,114,115,113,2,3,120,13720
2011-08-01,113,111,111,115,-4,9,370,41450
2011-08-02,109,105,108,111,-3,31,21800,2296540
2011-08-03,108,100,105,108,-3,48,33810,3507670
2011-08-04,106,106,106,105,1,4,5220,553320
2011-08-07,110,106,107,106,1,19,2050,219820
2011-08-08,111,105,110,107,3,33,7370,807000
2011-08-09,110,107,109,110,-1,16,2960,321470
2011-08-10,111,107,109,109,,15,2680,288820
2011-08-11,115,109,112,109,3,20,2990,333050
2011-08-15,110,110,110,112,-2,5,740,81400
2011-08-16,109,107,109,110,-1,21,6030,650480
2011-08-17,112,108,112,109,3,22,4170,458710
2011-08-18,113,110,112,112,,24,7010,779600
2011-08-22,113,111,112,112,,18,8980,1005870
2011-08-23,113,111,113,112,1,12,1000,112880
2011-08-24,114,111,113,113,,24,2380,267890
2011-08-25,116,113,115,113,2,72,15110,1731960
2011-08-28,113,111,113,115,-2,29,2880,323620
2011-08-29,115,112,113,113,,44,5040,573670
2011-08-30,112,109,110,113,-3,34,2700,296560
2011-09-01,114,110,113,110,3,48,3620,405730
2011-09-04,112,111,111,113,-2,6,660,73420
2011-09-05,113,109,109,111,-2,27,17810,1951310
2011-09-06,110,109,110,109,1,72,4700,516900
2011-09-07,115,110,111,110,1,66,3740,418030
2011-09-08,113,110,110,111,-1,6,290,32510
2011-09-12,113,108,108,110,-2,49,1130,123960
2011-09-13,109,107,107,108,-1,6,290,31210
2011-09-14,108,106,106,107,-1,7,520,55380
2011-09-15,116,108,116,106,10,40,7000,799310
2011-09-18,120,114,114,116,-2,20,4600,530170
2011-09-19,116,113,115,114,1,46,6460,736530
2011-09-20,117,115,116,115,1,33,1130,130720
2011-09-21,118,117,117,116,1,6,280,32780
2011-09-22,119,116,119,117,2,10,2370,275200
2011-09-26,117,113,113,119,-6,8,990,112190
2011-09-27,114,113,114,113,1,2,760,85900
2011-09-29,115,114,115,114,1,17,1210,138050
2011-10-02,113,113,113,115,-2,10,300,33900
2011-10-09,113,111,113,113,,7,440,49640
2011-10-10,112,112,112,113,-1,1,90,10080
2011-10-12,113,113,113,112,1,1,90,10170
2011-10-13,113,113,113,113,,8,320,36160
2011-10-16,115,114,115,113,2,16,1010,115220
2011-10-17,115,114,115,115,,11,660,75860
2011-10-18,115,113,115,115,,7,1310,149280
2011-10-19,116,114,115,115,,19,4390,504270
2011-10-20,116,113,113,115,-2,15,7420,848820
2011-10-23,115,115,115,113,2,9,1450,166750
2011-10-24,118,117,117,115,2,8,1160,135800
2011-10-25,120,118,120,117,3,6,550,65000
2011-10-30,118,118,118,120,-2,1,100,11800
2011-10-31,122,117,120,118,2,13,980,117540
2011-11-02,122,122,122,120,2,1,50,6100
2011-11-03,124,117,120,122,-2,14,1560,185900
2011-11-06,121,119,120,120,,11,2280,273740
2011-11-08,122,120,120,120,,13,1110,133460
2011-11-10,122,118,118,120,-2,3,1310,159320
2011-11-13,119,116,117,118,-1,14,596,70024
2011-11-14,118,115,118,117,1,13,640,74890
2011-11-15,118,117,118,118,,14,850,99680
2011-11-16,116,114,114,118,-4,10,1510,173240
2011-11-17,116,114,115,114,1,12,770,88140
2011-11-20,117,116,117,115,2,9,310,36150
2011-11-21,117,115,115,117,-2,16,610,71170
2011-11-27,115,113,115,115,,12,4000,459860
2011-11-28,113,111,111,115,-4,6,270,30170
2011-11-29,113,111,113,111,2,8,160,18000
2011-12-01,112,112,112,113,-1,1,20,2240
2013-01-23,123,101,101,112,-11,92,20716,2241370
2013-01-24,99,91,91,101,-10,43,3930,360110
2013-01-27,91,82,88,91,-3,69,6520,553340
2013-01-28,90,86,88,88,,50,1790,156440
2013-01-30,88,82,83,88,-5,28,1800,151920
2013-01-31,90,83,90,83,7,36,3948,343210
2013-02-03,92,90,91,90,1,35,4400,399410
2013-02-04,93,89,89,91,-2,14,2130,191760
2013-02-05,89,86,86,89,-3,12,360,31560
2013-02-06,85,81,83,86,-3,39,2910,240090
2013-02-07,84,82,82,83,-1,22,1080,89290
2013-02-10,83,83,83,82,1,2,80,6640
2013-02-12,86,84,86,83,3,5,170,14430
2013-02-13,85,83,83,86,-3,4,870,73380
2013-02-14,82,80,82,83,-1,21,1030,83650
2013-02-19,83,83,83,82,1,4,140,11620
2013-02-20,87,84,87,83,4,16,1150,99010
2013-02-21,88,85,87,87,,7,3380,290020
2013-02-24,87,86,87,87,,8,2120,184200
2013-02-25,86,83,83,87,-4,5,320,27070
2013-02-26,84,84,84,83,1,2,80,6720
2013-02-27,85,80,80,84,-4,44,2720,225330
2013-02-28,81,79,80,80,,21,2039,163410
2013-03-03,84,80,83,80,3,39,4210,342300
2013-03-04,91,83,91,83,8,41,4190,371680
2013-03-05,97,92,94,91,3,43,5886,557262
2013-03-07,98,93,98,98,,19,2271,217786
2013-03-11,107,99,107,98,9,57,8870,937480
2013-03-13,117,112,117,107,10,39,3780,439580
2013-03-14,128,119,128,117,11,75,14469,1812554
2013-03-17,134,120,127,128,-1,114,18780,2349780
2013-03-18,125,115,117,127,-10,43,6112,716864
2013-03-19,121,115,121,117,4,43,2990,357190
2013-03-21,112,100,109,109,,86,10158,1090998
2013-12-09,117,111,117,109,8,4,1350,156470
2013-12-10,128,119,128,117,11,10,490,61310
2013-12-11,140,130,140,128,12,65,13999,1957998
2013-12-12,154,128,135,140,-5,113,16078,2195548
2013-12-15,135,131,131,135,-4,14,1001,132431
2013-12-16,138,132,138,131,7,24,2271,304586
2013-12-18,136,136,136,138,-2,1,740,100640
2013-12-19,136,130,130,136,-6,35,3630,479720
2013-12-22,130,126,128,130,-2,63,6536,831978
2013-12-23,126,124,124,128,-4,2,140,17440
2013-12-24,122,119,119,124,-5,22,3070,369360
2013-12-26,123,117,118,119,-1,27,7438,902108
2013-12-29,116,107,114,118,-4,42,8952,992406
2013-12-31,114,110,113,114,-1,21,2660,294940
2014-01-01,113,108,108,113,-5,43,3020,331170
2014-01-02,108,102,106,108,-2,27,2271,236494
2014-01-05,108,102,105,106,-1,35,7414,780302
2014-01-06,107,104,104,105,-1,24,1620,171080
2014-01-07,113,102,103,104,-1,37,5400,568240
2014-01-08,119,111,111,103,8,40,3621,415827
2014-01-09,116,112,113,111,2,33,5940,673450
2014-01-12,111,109,109,113,-4,25,4280,472790
2014-01-13,109,105,107,109,-2,35,2214,236431
2014-01-14,112,105,107,107,,29,2350,253700
2014-01-16,108,105,105,107,-2,11,1570,165370
2014-01-19,111,103,111,105,6,17,1090,116770
2014-01-20,115,108,110,111,-1,34,3990,445240
2014-01-21,118,108,116,110,6,24,1110,123980
