date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,11,10.61,10.67,11,-0.33,12,34100,364840
2022-02-21,10.67,10.55,10.67,10.67,,4,6974,74185.7
2022-02-22,11,10.58,11,10.67,0.33,6,54785,579801.3
2022-02-23,10.79,10.64,10.64,11,-0.36,2,1500,16035
2022-02-24,10.68,10.52,10.66,10.64,0.02,12,85550,908274
2017-08-03,10,10,10,,10,2,1000,10000
2017-08-06,10,10,10,10,,1,6000,60000
2017-08-07,10,10,10,10,,1,1000,10000
2017-08-09,10,10,10,10,,1,3000,30000
2017-08-10,10,10,10,10,,1,5000,50000
2017-08-13,10,10,10,10,,5,20500,205000
2017-08-23,10.2,10,10,10,,3,9000,90200
2017-08-27,10.15,10.15,10.15,10,0.15,1,1000,10150
2017-08-31,10.15,10.15,10.15,10.15,,1,4900,49735
2017-09-04,10.2,10.2,10.2,10.15,0.05,1,2500,25500
2017-09-06,10.3,10,10,10.2,-0.2,7,5000,50720
2017-09-10,10.05,10.05,10.05,10,0.05,4,4000,40200
2017-09-11,10,10,10,10.05,-0.05,1,1000,10000
2017-09-12,9.87,9.86,9.87,10,-0.13,2,9000,88790
2017-09-13,10.07,10.07,10.07,9.87,0.2,1,500,5035
2017-09-14,10.09,10,10.05,10.07,-0.02,4,3500,35140
2017-09-17,9.86,9.86,9.86,10.05,-0.19,1,5000,49300
2017-09-18,9.88,9.75,9.75,9.86,-0.11,3,11000,108450
2017-09-20,9.6,9.6,9.6,9.75,-0.15,2,3500,33600
2017-09-24,9.61,9.61,9.61,9.6,0.01,1,2500,24025
2017-09-25,9.89,9.7,9.89,9.61,0.28,6,21000,206380
2017-09-26,9.92,9.92,9.92,9.89,0.03,1,1500,14880
2017-10-04,10,9.85,10,9.92,0.08,2,6000,59250
2017-10-08,9.9,9.85,9.9,10,-0.1,7,3900,38512
2017-10-09,10,9.8,10,9.9,0.1,3,11000,109400
2017-10-10,10.1,9.91,10.1,10,0.1,4,7000,70360
2017-10-11,10,10,10,10.1,-0.1,1,1500,15000
2017-10-12,10.1,10.1,10.1,10,0.1,1,1000,10100
2017-10-15,10.1,10.1,10.1,10.1,,1,1000,10100
2017-10-16,10.2,10.1,10.1,10.1,,8,11000,111840
2017-10-18,10.25,10.1,10.11,10.1,0.01,6,23000,234210
2017-10-22,10.2,10.09,10.2,10.11,0.09,5,11000,111280
2017-10-23,10.07,10.05,10.07,10.2,-0.13,2,3500,35225
2017-10-24,10.1,10.05,10.05,10.07,-0.02,3,11200,112870
2017-10-30,9.95,9.9,9.95,10.05,-0.1,3,9000,89400
2017-10-31,10.15,10,10.15,9.95,0.2,2,2000,20150
2017-11-06,10.14,10.14,10.14,10.15,-0.01,1,1500,15210
2017-11-08,10.05,10.05,10.05,10.14,-0.09,1,2000,20100
2017-11-14,9.85,9.85,9.85,10.05,-0.2,5,4600,45310
2017-11-16,9.85,9.85,9.85,9.85,,1,2500,24625
2017-11-21,9.9,9.8,9.9,9.85,0.05,8,18000,177730
2017-11-22,10.1,9.85,10.1,9.9,0.2,8,13700,135380
2017-11-23,10.1,9.9,10.1,10.1,,4,3200,31880
2017-11-26,10.1,10.05,10.1,10.1,,2,3500,35225
2017-11-27,10.05,9.85,9.85,10.1,-0.25,2,4000,39900
2017-11-28,10.15,10,10.15,9.85,0.3,4,9500,96050
2017-11-30,10.1,10.1,10.1,10.15,-0.05,1,3000,30300
2017-12-05,10.05,10.05,10.05,10.1,-0.05,3,5000,50250
2017-12-06,9.95,9.85,9.95,10.05,-0.1,6,7000,69245
2017-12-11,9.84,9.82,9.84,9.95,-0.11,2,4000,39330
2017-12-12,9.78,9.78,9.78,9.84,-0.06,2,7000,68460
2017-12-13,9.9,9.9,9.9,9.78,0.12,2,3500,34650
2017-12-17,10,9.81,9.81,9.9,-0.09,2,5100,50981
2017-12-19,9.84,9.8,9.8,9.81,-0.01,5,13700,134459
2017-12-20,10,9.99,9.99,9.8,0.19,3,7000,69960
2017-12-21,9.99,9.99,9.99,9.99,,2,10000,99900
2017-12-27,9.8,9.8,9.8,9.99,-0.19,2,2000,19600
2017-12-28,9.8,9.8,9.8,9.8,,1,1000,9800
2017-12-31,9.62,9.6,9.62,9.8,-0.18,2,5500,52810
2018-01-02,9.62,9.62,9.62,9.62,,2,6000,57720
2018-01-03,9.81,9.81,9.81,9.62,0.19,1,1500,14715
2018-01-09,10,10,10,9.81,0.19,2,3200,32000
2018-01-10,10.1,9.8,9.8,10,-0.2,6,11500,113900
2018-01-21,10,9.98,10,9.8,0.2,3,11000,109800
2018-01-22,9.81,9.8,9.81,10,-0.19,4,4100,40216
2018-01-24,10,9.8,10,9.81,0.19,4,8050,79890
2018-01-29,9.95,9.85,9.85,10,-0.15,3,11500,113475
2018-02-05,9.7,9.7,9.7,9.85,-0.15,1,300,2910
2018-02-06,9.75,9.7,9.7,9.7,,3,8350,81045
2018-02-14,9.6,9.6,9.6,9.7,-0.1,3,1600,15360
2018-02-15,9.6,9.55,9.55,9.6,-0.05,4,5500,52600
2018-02-20,9.74,9.74,9.74,9.55,0.19,1,2500,24350
2018-02-21,9.6,9.6,9.6,9.74,-0.14,4,2000,19200
2018-02-22,9.51,9.51,9.51,9.6,-0.09,1,2000,19020
2018-02-25,9.59,9.4,9.59,9.51,0.08,2,2000,18990
2018-02-27,9.59,9.59,9.59,9.59,,1,600,5754
2018-03-11,9.6,9.6,9.6,9.59,0.01,1,100,960
2018-03-14,9.41,9.41,9.41,9.6,-0.19,3,9000,84690
2018-03-18,9.22,9.22,9.22,9.41,-0.19,1,1000,9220
2018-03-26,9.2,9.02,9.03,9.22,-0.19,4,2900,26415
2018-03-27,9,9,9,9.03,-0.03,1,600,5400
2018-03-28,8.9,8.9,8.9,9,-0.1,1,2000,17800
2018-03-29,9,8.72,8.8,8.9,-0.1,7,9900,87795
2018-04-01,8.75,8.75,8.75,8.8,-0.05,1,10000,87500
2018-04-03,8.9,8.75,8.9,8.75,0.15,2,6350,56440
2018-04-08,9,9,9,8.9,0.1,1,5000,45000
2018-04-09,9.01,9,9,9,,2,3700,33320
2018-04-12,9.18,9,9.18,9,0.18,3,4000,36360
2018-04-15,9,9,9,9.18,-0.18,1,1000,9000
2018-04-16,9,8.9,8.9,9,-0.1,2,2000,17900
2018-04-18,8.98,8.8,8.98,8.9,0.08,3,1400,12392
2018-04-23,9.33,9.16,9.33,8.98,0.35,2,5000,46140
2018-04-24,9.15,9.15,9.15,9.33,-0.18,1,4000,36600
2018-04-25,9.18,9,9.18,9.15,0.03,2,9000,81900
2018-05-03,9.21,9.2,9.2,9.18,0.02,5,5700,52450
2018-05-08,9.05,9.05,9.05,9.2,-0.15,1,500,4525
2018-05-20,8.9,8.9,8.9,9.05,-0.15,1,2000,17800
2018-05-21,8.8,8.8,8.8,8.9,-0.1,1,2000,17600
2018-05-23,8.63,8.63,8.63,8.8,-0.17,1,1000,8630
2018-05-24,8.46,8.46,8.46,8.63,-0.17,1,900,7614
2018-05-27,8.63,8.63,8.63,8.46,0.17,1,1000,8630
2018-05-29,8.65,8.65,8.65,8.63,0.02,1,1500,12975
2018-06-07,8.67,8.31,8.31,8.65,-0.34,4,6000,50324
2018-06-10,8.25,8.25,8.25,8.31,-0.06,1,600,4950
2018-06-11,8.17,8.17,8.17,8.25,-0.08,1,600,4902
2018-06-12,8.17,8.01,8.17,8.17,,2,6000,48540
2018-06-13,8.3,8.3,8.3,8.17,0.13,1,500,4150
2018-06-19,8.14,8.14,8.14,8.3,-0.16,1,1000,8140
2018-06-21,8.14,8.14,8.14,8.14,,1,4500,36630
2018-06-24,8.3,8.3,8.3,8.14,0.16,2,1500,12450
2018-06-28,8.3,8.3,8.3,8.3,,1,1000,8300
2018-07-04,8.14,8.14,8.14,8.3,-0.16,4,1200,9768
2018-07-05,8,8,8,8.14,-0.14,1,600,4800
2018-07-08,7.9,7.9,7.9,8,-0.1,1,1000,7900
2018-07-09,8.06,7.9,8.06,7.9,0.16,4,5300,42670
2018-07-11,8.2,8.2,8.2,8.06,0.14,1,3400,27880
2018-07-12,8.2,8.1,8.1,8.2,-0.1,2,4400,35980
2018-07-16,8.1,8.1,8.1,8.1,,1,5850,47385
2018-07-19,8.1,8.1,8.1,8.1,,1,4000,32400
2018-07-22,8.1,7.94,7.94,8.1,-0.16,5,10500,84360
2018-07-23,8.1,7.9,8,7.94,0.06,4,13000,103500
2018-07-25,8.05,8.05,8.05,8,0.05,1,1500,12075
2018-07-26,8.05,7.89,7.89,8.05,-0.16,3,3000,23830
2018-07-30,8,7.99,8,7.89,0.11,2,1750,13995
2018-07-31,8.01,8,8,8,,4,4200,33610
2018-08-02,8.16,8.16,8.16,8,0.16,1,1000,8160
2018-08-05,8.2,8.2,8.2,8.16,0.04,1,1000,8200
2018-08-06,8.1,8.1,8.1,8.2,-0.1,1,1000,8100
2018-08-09,8.05,8.05,8.05,8.1,-0.05,2,4000,32200
2018-08-13,8.05,8.05,8.05,8.05,,1,1000,8050
2018-08-14,8.1,8.1,8.1,8.05,0.05,1,10000,81000
2018-08-15,7.95,7.95,7.95,8.1,-0.15,1,4850,38557.5
2018-08-28,7.95,7.79,7.95,7.95,,2,1500,11845
2018-08-30,8.05,7.95,7.95,7.95,,3,6500,51975
2018-09-03,8,8,8,7.95,0.05,3,700,5600
2018-09-06,8.32,8.16,8.21,8,0.21,7,11000,90890
2018-09-25,8.37,8.37,8.37,8.21,0.16,1,2020,16907.4
2018-10-02,8.37,7.88,8.16,8.37,-0.21,9,140098,1125882.24
2018-10-03,8.25,8.04,8.04,8.16,-0.12,6,8000,65570
2018-10-08,8.2,8,8,8.04,-0.04,7,23549,192582
2018-10-10,7.85,7.85,7.85,8,-0.15,1,100000,785000
2018-10-11,8.01,8.01,8.01,7.85,0.16,1,1000,8010
2018-10-14,8.17,8.17,8.17,8.01,0.16,1,1000,8170
2018-10-15,8.5,8.33,8.5,8.17,0.33,3,7000,59330
2018-10-21,8.57,8.5,8.57,8.5,0.07,7,16500,140525
2018-10-22,8.57,8.56,8.56,8.57,-0.01,3,2200,18842
2018-10-23,8.56,8.56,8.56,8.56,,1,5000,42800
2018-11-05,8.5,8.4,8.5,8.56,-0.06,3,54645,459218
2018-11-29,9,9,9,9,,1,1000,9000
2018-12-09,9,8.33,8.33,9,-0.67,4,400,3431
2018-12-10,8.33,7.99,7.99,8.33,-0.34,4,7350,59630.5
2018-12-11,7.99,7.7,7.7,7.99,-0.29,2,2500,19400
2018-12-13,7.85,7.7,7.85,7.7,0.15,2,2400,18540
2018-12-27,7.86,7.7,7.7,7.85,-0.15,4,2150,16865
2018-12-30,7.7,7.4,7.4,7.7,-0.3,5,6350,47744
2018-12-31,7.41,7.4,7.41,7.4,0.01,1,2500,18525
2019-01-02,7.41,7.41,7.41,7.41,,1,1000,7410
2019-01-03,7.55,7.41,7.55,7.41,0.14,1,500,3775
2019-01-06,7.55,7.4,7.4,7.55,-0.15,1,600,4440
2019-01-07,7.5,7.4,7.5,7.4,0.1,1,250,1875
2019-01-08,7.65,7.5,7.65,7.5,0.15,3,3300,25245
2019-01-16,7.65,7.5,7.5,7.65,-0.15,2,1500,11250
2019-01-17,7.65,7.5,7.65,7.5,0.15,1,500,3825
2019-02-03,7.65,7.65,7.65,7.65,,2,300,2295
2019-02-07,7.65,7.37,7.46,7.65,-0.19,8,4900,36538
2019-02-14,7.46,7.32,7.32,7.46,-0.14,1,1000,7320
