date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,2033,1990,2004.9,2065,-60.1,103,9361,18740280.1
2022-02-21,2019.9,1988,1992,2004.9,-12.9,114,39575,79735646.9
2022-02-22,2010,1980,1980,1992,-12,79,8656,17258429.3
2022-02-23,1988.9,1960,1988.9,1980,8.9,151,9103,17930261.8
2022-02-24,1980,1887,1949,1988.9,-39.9,155,9430,18154338.1
2010-04-27,623,623,623,635,-12,1,10,6230
2010-04-29,611,588,588,623,-35,5,50,29980
2010-05-09,577,566,566,588,-22,2,20,11430
2010-05-11,566,566,566,566,,1,10,5660
2010-05-17,555,535,535,566,-31,3,30,16340
2010-05-18,540,530,540,535,5,9,570,303600
2010-05-20,540,530,535,540,-5,3,110,59050
2010-05-30,545,545,545,535,10,2,20,10900
2010-06-01,555,555,555,545,10,1,50,27750
2010-06-02,610,566,610,555,55,8,410,235550
2010-06-03,671,622,671,610,61,5,80,51330
2010-06-09,697,684,697,671,26,2,30,20650
2010-06-15,685,685,685,697,-12,2,60,41100
2010-06-20,672,659,659,685,-26,6,1060,711670
2010-06-21,646,623,623,659,-36,3,130,82860
2010-06-22,611,611,611,623,-12,5,90,54990
2010-06-24,600,600,600,611,-11,2,60,36000
2010-06-28,595,595,595,600,-5,1,10,5950
2010-06-29,596,590,596,595,1,6,80,47600
2010-07-04,601,590,601,596,5,2,90,53760
2010-07-05,607,600,607,601,6,5,50,30150
2010-07-07,610,607,610,607,3,2,160,97570
2010-07-08,601,601,601,610,-9,1,10,6010
2010-07-11,600,588,588,601,-13,7,550,329880
2010-07-12,585,585,585,588,-3,1,20,11700
2010-07-13,574,574,574,585,-11,1,150,86100
2010-07-14,581,581,581,574,7,6,150,87150
2010-07-15,580,580,580,581,-1,1,10,5800
2010-07-20,590,590,590,580,10,1,90,53100
2010-07-22,601,601,601,590,11,1,10,6010
2010-07-25,600,591,591,601,-10,3,30,17910
2010-07-26,580,580,580,591,-11,1,20,11600
2010-07-27,569,569,569,580,-11,1,20,11380
2010-07-29,558,558,558,569,-11,1,20,11160
2010-08-02,558,557,557,558,-1,2,30,16730
2010-08-08,568,568,568,557,11,1,10,5680
2010-08-10,601,579,601,568,33,3,60,35510
2010-08-11,612,612,612,601,11,1,20,12240
2010-08-12,612,600,608,612,-4,4,280,168480
2010-08-15,598,598,598,608,-10,1,30,17940
2010-08-16,587,587,587,598,-11,4,40,23480
2010-08-18,585,585,585,587,-2,4,80,46800
2010-08-19,586,586,586,585,1,1,20,11720
2010-08-29,580,580,580,586,-6,2,20,11600
2010-08-30,580,580,580,580,,7,190,110200
2010-09-02,580,580,580,580,,1,100,58000
2010-09-06,576,575,576,580,-4,2,20,11510
2010-09-07,588,575,588,576,12,4,140,80960
2010-09-08,599,599,599,588,11,1,10,5990
2010-09-12,600,600,600,599,1,1,10,6000
2010-09-14,600,600,600,600,,2,360,216000
2010-09-15,610,604,610,600,10,16,1640,992990
2010-09-16,610,600,600,610,-10,9,450,270200
2010-09-19,590,590,590,600,-10,2,2000,1180000
2010-09-21,590,589,590,590,,4,100,58990
2010-09-26,590,590,590,590,,1,10,5900
2010-09-27,590,580,580,590,-10,3,110,64100
2010-09-28,580,580,580,580,,6,930,539400
