date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1469,1439,1460,1494,-34,49,3106,4487767.1
2022-02-21,1479,1443.2,1470,1460,10,24,1277,1854922.3
2022-02-22,1499.3,1470,1471,1470,1,12,269,398855.6
2022-02-23,1472,1445,1460,1471,-11,15,424,616537.3
2022-02-24,1433,1384,1400,1460,-60,51,2925,4106402
2014-10-14,307,307,307,100,207,1,41,12587
2014-10-27,337,313,337,307,30,32,320,107240
2014-11-02,353,353,353,337,16,2,20,7060
2014-11-03,367,360,367,353,14,2,30,10940
2014-11-11,395,374,395,367,28,4,40,15380
2014-11-17,405,405,405,395,10,1,10,4050
2014-11-18,445,413,445,405,40,7,163,71735
2014-11-19,489,453,489,445,44,5,51,24039
2014-11-20,527,498,527,489,38,4,120,61450
2014-11-23,579,537,579,527,52,5,51,28417
2014-11-24,636,590,636,579,57,9,152,94437
2014-11-25,699,648,699,636,63,142,3404,2377820
2014-11-30,730,638,659,699,-40,349,8526,5669045
2014-12-01,654,618,623,659,-36,247,3619,2253085
2014-12-02,620,593,596,623,-27,101,1721,1030375
2014-12-03,600,585,585,596,-11,58,1176,700063
2014-12-04,607,589,590,585,5,71,938,557270
2014-12-07,600,585,600,590,10,55,639,380230
2014-12-08,610,580,581,600,-19,57,672,397448
2014-12-09,585,566,580,581,-1,55,718,410417
2014-12-10,595,578,580,580,,85,1625,951268
2014-12-11,590,578,590,580,10,64,824,479980
2014-12-14,624,598,615,590,25,50,1044,636605
2014-12-15,620,600,620,615,5,52,913,558171
2014-12-16,620,582,598,620,-22,35,567,340682
2014-12-17,620,595,600,598,2,57,1116,675531
2014-12-18,600,581,600,600,,11,154,91520
2014-12-21,608,589,608,600,8,53,605,359180
2014-12-22,611,588,590,608,-18,47,478,285394
2014-12-23,589,570,575,590,-15,129,1667,961563
2014-12-24,580,570,580,575,5,100,1124,647990
2014-12-28,601,572,600,580,20,95,1836,1084095
2014-12-29,600,590,591,600,-9,26,414,244900
2014-12-31,639,600,639,591,48,194,3374,2059966
2015-01-01,685,628,669,639,30,86,2297,1511048
2015-01-04,700,656,698,669,29,77,2597,1762423
2015-01-05,728,680,717,698,19,131,3742,2657427
2015-01-06,726,706,720,717,3,122,3056,2189534
2015-01-07,769,692,769,720,49,98,4161,3122135
2015-01-08,845,760,845,769,76,119,3941,3252901
2015-01-11,920,776,851,845,6,84,3515,2988825
2015-01-12,850,790,818,851,-33,89,4090,3323460
2015-01-13,840,801,840,818,22,44,1141,925589
2015-01-14,855,820,823,840,-17,52,1433,1198089
2015-01-18,810,790,806,823,-17,30,1064,850324
2015-01-19,838,795,795,806,-11,34,996,809804
2015-01-20,816,776,791,795,-4,37,466,371820
2015-01-22,790,775,775,791,-16,34,987,771764
2015-01-25,805,760,800,775,25,24,501,394470
