date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,309,303.1,306,312.3,-6.3,282,51452,15762674.8
2022-02-21,312,304,310,306,4,217,55581,17125210
2022-02-22,315.9,308,309,310,-1,222,43071,13343164.1
2022-02-23,309.9,305.5,307,309,-2,205,41764,12827433.9
2022-02-24,307,298.1,300,307,-7,400,65757,19811755.6
2010-04-19,265,260,264,269,-5,5,480,126254
2010-04-21,260,260,260,264,-4,1,100,26000
2010-04-22,255,251,251,260,-9,6,855,217283
2010-04-25,246,238,238,251,-13,3,2844,677900
2010-04-26,236,236,236,238,-2,1,60,14160
2010-04-27,233,231,231,236,-5,3,600,138830
2010-04-28,228,228,228,231,-3,1,579,132012
2010-04-29,244,232,244,228,16,4,440,104720
2010-05-09,245,245,245,244,1,1,50,12250
2010-05-10,249,245,249,245,4,2,245,60065
2010-05-11,253,253,253,249,4,1,10,2530
2010-05-12,258,258,258,253,5,1,15,3870
2010-05-13,283,263,283,258,25,8,1094,301921
2010-05-16,283,265,266,283,-17,8,843,230465
2010-05-17,270,265,270,266,4,2,428,113495
2010-05-19,280,275,280,270,10,3,335,93740
2010-05-20,307,285,296,280,16,15,1132,337759
2010-05-24,309,301,309,296,13,7,939,286857
2010-05-25,333,315,324,309,15,11,855,278375
2010-05-26,344,313,315,324,-9,29,3604,1175070
2010-05-31,345,309,315,315,,28,4637,1525809
2010-06-01,312,295,306,315,-9,14,1743,526292
2010-06-02,310,294,302,306,-4,8,865,258784
2010-06-03,314,303,311,302,9,10,1335,411527
2010-06-06,305,305,305,311,-6,1,110,33550
2010-06-08,311,311,311,305,6,1,196,60956
2010-06-09,321,315,315,311,4,4,450,143630
2010-06-10,320,311,311,315,-4,4,568,178168
2010-06-13,317,315,317,311,6,6,587,185517
2010-06-14,312,300,306,317,-11,13,2000,609984
2010-06-15,306,302,306,306,,4,406,123277
2010-06-16,307,303,305,306,-1,3,385,117195
2010-06-17,305,300,305,305,,3,633,191195
2010-06-20,308,302,308,305,3,3,175,53156
2010-06-21,309,305,309,308,1,6,816,250879
2010-06-22,310,310,310,309,1,2,172,53320
2010-06-23,305,300,305,310,-5,5,392,118342
2010-06-24,305,300,300,305,-5,2,760,230000
2010-06-28,300,288,288,300,-12,4,710,208958
2010-06-30,293,290,293,288,5,2,488,142150
2010-07-01,309,294,294,293,1,7,1122,338538
2010-07-04,296,295,296,294,2,2,942,278724
2010-07-05,292,290,290,296,-6,6,1123,326441
2010-07-06,290,290,290,290,,4,536,155440
2010-07-07,291,291,291,290,1,3,480,139680
2010-07-08,299,295,299,291,8,2,272,80572
2010-07-11,299,294,294,299,-5,2,182,53923
2010-07-13,289,289,289,294,-5,1,314,90746
2010-07-14,290,287,287,289,-2,4,563,162516
2010-07-15,282,282,282,287,-5,1,110,31020
2010-07-18,287,287,287,282,5,1,100,28700
2010-07-19,290,290,290,287,3,1,1067,309430
2010-07-20,301,289,300,290,10,10,2610,764484
2010-07-21,312,306,306,300,6,6,403,123756
2010-07-22,312,309,309,306,3,2,120,37143
2010-07-27,303,300,300,309,-9,4,423,127116
2010-07-29,304,300,304,300,4,4,1247,374500
2010-08-01,304,304,304,304,,1,50,15200
2010-08-02,300,299,300,304,-4,4,1083,324020
2010-08-03,305,305,305,300,5,1,45,13725
2010-08-04,300,291,293,305,-12,5,1221,358946
2010-08-05,298,290,290,293,-3,6,964,281195
2010-08-08,286,285,285,290,-5,3,690,196750
2010-08-09,295,290,295,285,10,2,87,25285
2010-08-10,292,292,292,295,-3,2,90,26280
2010-08-11,290,285,285,292,-7,2,129,37010
2010-08-12,288,288,288,285,3,1,484,139392
2010-08-16,285,285,285,288,-3,1,88,25080
2010-08-17,280,280,280,285,-5,1,54,15120
2010-08-18,280,275,280,280,,4,535,147590
2010-08-19,275,270,275,280,-5,3,446,121170
2010-08-22,270,265,265,275,-10,2,150,40245
2010-08-23,265,260,265,265,,2,631,166215
2010-08-26,260,260,260,265,-5,4,390,101400
2010-08-29,260,255,255,260,-5,5,474,121560
2010-08-30,255,250,255,255,,9,2752,690169
2010-08-31,255,253,253,255,-2,4,433,110281
2010-09-05,250,241,247,253,-6,6,2546,617909
2010-09-06,260,250,260,247,13,6,491,123625
2010-09-07,259,250,255,260,-5,12,2856,719657
2010-09-08,269,260,268,255,13,5,1290,344644
2010-09-12,263,258,258,268,-10,4,238,62149
2010-09-14,253,245,245,258,-13,8,857,211771
2010-09-15,246,241,246,245,1,10,1609,390950
2010-09-16,244,244,244,246,-2,1,160,39040
2010-09-20,248,244,248,244,4,3,299,73748
2010-09-21,250,247,247,248,-1,3,800,199778
2010-09-23,252,250,251,247,4,4,662,165962
2010-09-26,250,250,250,251,-1,2,146,36500
2010-09-27,250,250,250,250,,2,164,41000
2010-09-28,255,250,250,250,,4,252,63100
2010-09-29,255,245,250,250,,8,805,199616
2010-09-30,245,245,245,250,-5,1,120,29400
2010-10-03,245,236,239,245,-6,12,3028,724395
2010-10-05,241,240,241,239,2,2,346,83216
2010-10-07,257,245,252,241,11,5,446,112350
2010-10-10,257,247,250,252,-2,5,1558,390126
2010-10-11,270,255,270,250,20,4,180,47675
2010-10-12,280,271,271,270,1,5,528,145930
2010-10-13,275,275,275,271,4,1,33,9075
2010-10-20,275,275,275,275,,1,30,8250
2010-10-21,280,280,280,275,5,1,30,8400
2010-10-24,280,275,275,280,-5,3,201,55410
2010-10-25,275,270,270,275,-5,7,499,135446
2010-10-26,275,275,275,270,5,1,15,4125
2010-10-27,275,270,270,275,-5,2,334,91180
2010-10-28,270,270,270,270,,1,13,3510
2010-10-31,270,270,270,270,,1,13,3510
2010-11-02,265,265,265,270,-5,1,100,26500
2010-11-04,260,251,255,265,-10,9,1106,280794
2010-11-09,263,258,263,255,8,4,670,174013
2010-11-10,270,265,266,263,3,8,1866,499362
2010-11-11,268,261,268,266,2,4,241,63367
2010-11-16,264,258,258,268,-10,6,566,147180
2010-11-18,270,260,270,258,12,8,1396,369314
2010-11-21,271,265,265,270,-5,6,852,227782
2010-11-23,265,265,265,265,,3,163,43195
2010-11-28,260,260,260,265,-5,1,50,13000
2010-12-12,255,250,254,260,-6,3,240,60600
2010-12-16,254,254,254,254,,1,110,27940
2010-12-23,228,228,228,254,-26,1,100,22800
2010-12-27,224,224,224,228,-4,2,61,13664
2011-01-03,220,220,220,224,-4,1,400,88000
2011-01-05,216,208,208,220,-12,3,217,46072
2011-01-06,209,205,205,208,-3,5,507,104810
2011-01-09,202,197,202,205,-3,5,507,101473
2011-01-10,204,198,203,202,1,11,1787,357794
2011-01-11,205,200,204,203,1,8,1310,266321
2011-01-12,208,205,205,204,1,4,687,141129
2011-01-13,202,200,201,205,-4,7,1007,202485
2011-01-16,206,201,206,201,5,6,814,165450
2011-01-17,203,202,203,206,-3,2,755,152769
2011-01-18,202,199,202,203,-1,2,1429,286003
2011-01-19,214,206,214,202,12,3,40,8360
2011-01-20,219,215,215,214,1,4,206,44394
2011-01-23,223,219,221,215,6,3,76,16784
2011-01-24,217,217,217,221,-4,1,64,13888
2011-02-01,221,215,221,217,4,3,453,98895
2011-02-02,218,218,218,221,-3,1,396,86328
2011-02-03,218,214,215,218,-3,5,403,86741
2011-02-06,222,218,222,215,7,2,227,49594
2011-02-08,218,218,218,222,-4,1,230,50140
2011-02-09,214,208,208,218,-10,3,434,91672
2011-02-10,208,208,208,208,,3,440,91520
2011-02-13,210,204,210,208,2,5,626,130376
2011-02-14,208,206,206,210,-4,4,603,124524
2011-02-15,205,200,203,206,-3,14,1623,328025
2011-02-16,205,200,202,203,-1,8,1508,304682
2011-02-17,206,202,202,202,,3,300,61100
2011-02-20,200,196,196,202,-6,3,430,84800
2011-02-21,193,193,193,196,-3,1,45,8685
2011-02-22,190,177,177,193,-16,7,450,82500
2011-02-23,174,160,162,177,-15,27,3477,564824
2011-02-24,168,163,166,162,4,7,1218,200596
2011-02-27,164,164,164,166,-2,2,232,38048
2011-02-28,167,157,159,164,-5,19,2781,447901
2011-03-01,165,162,162,159,3,3,335,54570
2011-03-03,165,165,165,162,3,1,100,16500
2011-03-07,170,167,170,165,5,8,988,166960
2011-03-09,173,169,172,170,2,5,796,135798
2011-03-10,170,169,170,172,-2,3,550,93350
2011-03-13,167,161,161,170,-9,9,1860,306370
2011-03-14,161,156,156,161,-5,6,865,135995
2011-03-15,159,159,159,156,3,1,20,3180
2011-03-16,156,150,150,159,-9,8,1850,282280
2011-03-17,155,153,153,150,3,6,470,72460
2011-03-20,153,153,153,153,,1,500,76500
2011-03-21,156,153,153,153,,3,208,32098
2011-03-22,153,147,147,153,-6,9,1174,174840
2011-03-23,148,140,143,147,-4,12,1822,262283
2011-03-24,145,141,141,143,-2,6,906,129312
2011-03-27,143,137,139,141,-2,8,1031,143645
2011-03-28,137,129,129,139,-10,12,1942,259893
2011-03-29,128,125,128,129,-1,8,1636,205979
2011-03-31,139,130,139,128,11,10,995,133570
2011-04-04,141,138,140,139,1,6,978,135691
2011-04-05,138,136,138,140,-2,3,854,117060
2011-04-06,139,132,135,138,-3,12,1572,212873
2011-04-07,137,135,136,135,1,5,673,91055
2011-04-10,135,131,131,136,-5,6,1714,227766
2011-04-11,130,129,130,131,-1,3,1115,143950
2011-04-13,130,128,130,130,,2,156,19998
2011-04-17,128,128,128,130,-2,1,110,14080
2011-04-18,129,127,127,128,-1,3,115,14705
2011-04-19,127,124,124,127,-3,11,1726,216496
2011-04-20,125,125,125,124,1,1,900,112500
2011-04-21,127,124,126,125,1,10,1969,246361
2011-04-26,126,124,124,126,-2,2,187,23216
2011-04-27,123,112,112,124,-12,9,2330,273072
2011-04-28,115,114,115,112,3,3,279,32015
2011-05-02,117,115,117,115,2,5,1056,122752
2011-05-03,118,115,118,117,1,7,1462,169996
2011-05-04,120,120,120,118,2,1,91,10920
2011-05-05,122,122,122,120,2,1,99,12078
2011-05-08,122,120,120,122,-2,4,1700,204600
2011-05-10,128,122,128,120,8,7,848,105574
2011-05-11,130,126,126,128,-2,5,973,124198
2011-05-12,125,123,123,126,-3,5,1098,135401
2011-05-15,126,125,126,123,3,3,238,29956
2011-05-16,126,124,126,126,,3,359,44800
2011-05-18,125,123,125,126,-1,8,917,113845
2011-05-22,123,123,123,125,-2,1,161,19803
2011-05-23,127,125,125,123,2,4,466,58470
2011-05-24,126,123,126,125,1,3,167,20724
2011-05-25,128,126,126,126,,3,704,88834
2011-05-26,126,126,126,126,,1,1161,146286
2011-05-30,125,125,125,126,-1,1,133,16625
2011-05-31,125,121,125,125,,5,1084,133487
2011-06-01,125,125,125,125,,1,147,18375
2011-06-02,123,117,117,125,-8,6,1104,133052
2011-06-05,118,107,113,117,-4,23,3495,386849
2011-06-06,113,103,103,113,-10,25,9135,952859
2011-06-07,103,98,98,103,-5,26,5672,571150
2011-06-08,102,99,100,98,2,8,908,90941
2011-06-09,100,98,100,100,,3,2011,200616
2011-06-12,102,100,101,100,1,6,1723,173342
2011-06-13,103,100,103,101,2,5,1105,112279
2011-06-14,101,101,101,103,-2,2,213,21513
2011-06-15,106,101,106,101,5,10,1630,166324
2011-06-16,109,102,109,106,3,14,1999,210581
2011-06-19,119,111,119,109,10,6,840,95378
2011-06-20,130,121,130,119,11,24,3547,460391
2011-06-21,143,132,143,130,13,7,1153,162139
2011-06-23,157,145,157,143,14,16,3242,498209
2011-06-26,172,152,152,157,-5,22,4028,653230
2011-06-29,149,145,145,152,-7,4,643,93331
2011-06-30,143,141,141,145,-4,4,159,22637
2011-07-03,139,139,139,141,-2,1,100,13900
2011-07-04,137,131,131,139,-8,4,225,30073
2011-07-05,129,118,118,131,-13,7,581,70790
2011-07-06,129,120,129,118,11,22,3659,461728
2011-07-07,129,126,127,129,-2,9,1167,148836
2011-07-10,131,127,129,127,2,14,1379,176925
2011-07-11,129,125,127,129,-2,10,1825,233091
2011-07-12,131,127,127,127,,7,1067,137606
2011-07-13,135,129,130,127,3,12,1775,235055
2011-07-14,135,130,133,130,3,12,1021,135828
2011-07-17,139,135,139,133,6,3,300,41100
2011-07-18,145,139,140,139,1,17,1465,208341
2011-07-19,143,140,143,140,3,10,3110,436027
2011-07-20,143,139,139,143,-4,10,2014,285553
2011-07-21,140,137,137,139,-2,4,934,129128
2011-07-24,135,135,135,137,-2,1,80,10800
2011-07-26,133,133,133,135,-2,1,150,19950
2011-07-27,133,131,133,133,,4,462,61048
2011-07-28,136,132,135,133,2,5,600,80430
2011-07-31,133,131,131,135,-4,2,170,22470
2011-08-01,131,131,131,131,,1,510,66810
2011-08-02,132,125,125,131,-6,9,1449,186134
2011-08-03,126,122,124,125,-1,14,1774,220289
2011-08-04,122,119,122,124,-2,8,2036,245042
2011-08-07,124,122,123,122,1,3,123,15142
2011-08-08,121,121,121,123,-2,1,232,28072
2011-08-09,119,114,115,121,-6,9,1419,164168
2011-08-10,119,117,117,115,2,6,3256,382232
2011-08-11,119,119,119,117,2,2,157,18683
2011-08-15,120,120,120,119,1,3,305,36600
2011-08-16,118,116,116,120,-4,2,257,30124
2011-08-17,116,115,115,116,-1,7,1190,137534
2011-08-18,119,115,119,115,4,5,650,75076
2011-08-24,117,114,114,119,-5,8,583,67168
2011-08-25,112,108,108,114,-6,17,4577,501396
2011-08-28,108,108,108,108,,1,360,38880
2011-08-29,107,105,107,108,-1,6,3273,346346
2011-08-30,112,109,112,107,5,3,115,12678
2011-09-01,116,114,115,112,3,5,968,111370
2011-09-04,117,115,115,115,,5,800,92500
2011-09-05,113,107,107,115,-8,4,1090,118228
2011-09-06,105,100,102,107,-5,18,14168,1427190
2011-09-12,108,104,107,102,5,9,1569,166413
2011-09-13,111,107,109,107,2,8,1133,123035
2011-09-14,110,107,107,109,-2,9,2299,246910
2011-09-18,105,105,105,107,-2,1,435,45675
2011-09-20,113,106,113,105,8,5,707,75976
2011-09-21,114,111,111,113,-2,5,969,108124
2011-09-22,114,111,114,111,3,3,380,42726
2011-09-25,116,114,116,114,2,3,667,76956
2011-09-26,114,108,111,116,-5,14,10533,1159410
2011-09-27,121,113,118,111,7,11,2829,327165
2011-09-29,116,110,110,118,-8,7,5575,617716
2011-10-02,113,112,113,110,3,4,2074,234288
2011-10-10,115,115,115,113,2,1,200,23000
2011-10-12,121,117,119,115,4,4,293,34491
2011-10-13,121,119,121,119,2,7,1133,135914
2011-10-16,120,116,116,121,-5,4,474,55818
2011-10-17,118,115,115,116,-1,4,179,20836
2011-10-18,117,108,108,115,-7,24,5900,651550
2011-10-19,112,110,111,108,3,10,4439,491841
2011-10-20,113,111,113,111,2,5,2434,271374
2011-10-23,115,105,105,113,-8,6,9992,1131332
2011-10-24,115,107,115,105,10,11,3672,416178
2011-10-25,123,116,118,115,3,15,3820,450415
2011-10-30,128,120,128,118,10,9,458,56288
2011-10-31,126,118,120,128,-8,18,2555,305495
2011-11-02,132,122,132,120,12,9,3919,507668
2011-11-03,130,120,126,132,-6,24,5652,707150
2011-11-06,128,124,127,126,1,9,1386,175431
2011-11-08,125,123,123,127,-4,2,200,24800
2011-11-09,121,119,121,123,-2,6,1557,188337
2011-11-10,121,120,120,121,-1,4,4448,537830
2011-11-13,122,119,122,120,2,5,4985,602737
2011-11-14,121,118,118,122,-4,10,1735,206738
2011-11-15,122,119,122,118,4,6,745,89371
2011-11-16,120,120,120,122,-2,2,260,31200
2011-11-17,122,118,118,120,-2,5,4385,528034
2011-11-20,120,117,119,118,1,4,854,100519
2011-11-21,118,118,118,119,-1,4,520,61360
2011-11-22,116,116,116,118,-2,4,1300,150800
2011-11-23,117,113,115,116,-1,12,3098,353653
2011-11-24,114,112,112,115,-3,11,1776,200417
2011-11-27,115,114,115,112,3,3,1340,152860
2011-11-29,115,114,115,115,,2,261,29854
2011-11-30,114,110,110,115,-5,7,1683,187722
2011-12-01,110,108,110,110,,5,7555,830672
2011-12-04,112,112,112,110,2,5,761,85232
2011-12-05,113,111,113,112,1,8,1801,200999
2011-12-07,116,113,113,113,,6,4342,494878
2011-12-08,111,109,109,113,-4,7,1248,137480
2011-12-11,110,107,107,109,-2,29,14657,1573830
2012-09-20,117,109,117,107,10,5,50,5650
2012-09-23,128,119,128,117,11,9,424,54022
2012-09-24,140,130,140,128,12,7,680,91900
2012-09-25,154,137,141,140,1,98,23525,3307448
2012-09-26,141,133,135,141,-6,30,7492,1017387
2012-09-27,138,134,138,135,3,20,4606,624723
2012-09-30,138,134,138,138,,17,6767,919211
2012-10-01,140,137,140,138,2,19,6043,837663
2012-10-02,140,138,140,140,,4,2251,313238
2012-10-03,144,139,143,140,3,35,8229,1166203
2012-10-04,144,141,144,143,1,26,6753,958642
2012-10-07,150,143,146,144,2,30,7385,1078568
2012-10-08,159,145,156,146,10,55,16611,2570245
2012-10-09,155,153,154,156,-2,8,3600,554674
2012-10-10,156,149,150,154,-4,34,9473,1436174
2012-10-11,155,150,154,150,4,44,13811,2106052
2012-10-14,166,151,166,154,12,30,11944,1868689
2012-10-15,170,161,168,166,2,32,10712,1776107
2012-10-17,183,166,182,168,14,38,9818,1711915
2012-10-18,192,182,192,182,10,46,13045,2425759
2012-10-30,204,186,201,192,9,34,9489,1852698
2012-10-31,208,195,202,201,1,27,8134,1630570
2012-11-01,202,193,195,202,-7,23,6371,1249683
2012-11-04,197,190,195,195,,38,12667,2435222
2012-11-05,207,192,195,195,,34,9272,1832875
2012-11-06,195,191,192,195,-3,9,1627,314029
2012-11-07,197,190,193,192,1,34,10139,1941002
2012-11-08,205,188,196,193,3,43,16030,3100761
2012-11-11,198,186,189,196,-7,25,6706,1296810
2012-11-12,199,185,199,189,10,56,14935,2851465
2012-11-18,202,190,195,199,-4,36,15326,2990283
2012-11-20,205,193,195,195,,55,14402,2846887
2012-11-21,201,190,194,195,-1,26,10222,1986398
2012-11-22,194,190,193,194,-1,12,3370,645997
2012-11-25,202,191,197,193,4,34,12425,2431023
2012-11-26,199,186,195,197,-2,29,6582,1257786
2012-11-27,197,190,195,195,,29,6415,1238028
2012-11-28,197,190,194,195,-1,21,7881,1508437
2012-11-29,197,186,190,194,-4,23,4349,826060
2012-12-02,193,188,190,190,,9,2423,461456
2012-12-03,196,188,188,190,-2,5,521,100189
2012-12-04,194,186,191,188,3,45,14709,2788896
2012-12-05,200,191,199,191,8,55,16471,3214435
2012-12-06,197,190,192,199,-7,37,12374,2388314
2012-12-09,192,189,190,192,-2,15,4503,856308
2012-12-10,193,185,192,190,2,14,2402,457275
2012-12-11,193,190,191,192,-1,11,2159,411363
2012-12-12,197,191,193,191,2,13,5226,1008723
2012-12-13,197,194,194,193,1,13,3927,765581
2012-12-16,203,194,199,194,5,26,7142,1412150
2012-12-17,206,197,201,199,2,39,22260,4446370
2012-12-18,198,193,198,201,-3,16,5219,1014522
2012-12-19,200,196,200,198,2,51,14291,2834891
2012-12-20,220,196,220,200,20,91,74290,15139935
2012-12-23,242,224,242,220,22,110,38587,9249997
2012-12-24,264,246,254,242,12,151,51895,13346685
2012-12-26,260,236,246,254,-8,81,28397,7029229
2012-12-27,246,239,240,246,-6,67,18373,4460804
2012-12-31,239,224,233,240,-7,47,16759,3868898
2013-01-01,235,225,230,233,-3,49,12473,2860005
2013-01-02,234,220,228,230,-2,31,11972,2670162
2013-01-03,236,230,231,228,3,35,7399,1715248
2013-01-07,235,222,226,239,-13,30,11976,2682016
2013-01-08,225,220,220,226,-6,24,10191,2254692
2013-01-09,228,220,224,220,4,34,12510,2794373
2013-01-10,223,219,219,224,-5,19,8641,1907031
2013-01-13,232,218,227,219,8,24,6180,1393514
2013-01-15,243,231,238,227,11,78,26316,6251088
2013-01-16,241,235,239,238,1,38,11977,2849559
2013-01-17,236,232,232,239,-7,29,8790,2052904
2013-01-20,228,219,223,232,-9,28,8339,1842696
2013-01-21,235,227,232,223,9,30,7955,1823257
2013-01-22,231,227,229,232,-3,18,6577,1502755
2013-01-23,234,225,228,229,-1,32,9579,2182089
2013-01-24,228,224,225,228,-3,21,4052,909785
2013-01-27,226,221,222,225,-3,11,4591,1020273
2013-01-28,226,222,226,222,4,14,2460,551427
2013-01-30,226,223,226,226,,18,17956,4038865
2013-01-31,226,222,224,226,-2,15,5570,1242876
2013-02-03,233,226,231,224,7,23,9347,2144006
2013-02-04,231,226,228,231,-3,21,8707,1987695
2013-02-05,231,228,230,228,2,25,7847,1798053
2013-02-06,228,218,224,230,-6,34,13550,3024162
2013-02-07,225,221,223,224,-1,15,2513,560449
2013-02-10,226,220,225,223,2,26,6429,1428901
2013-02-12,238,228,238,225,13,29,10762,2478680
2013-02-13,234,229,231,238,-7,26,9787,2255093
2013-02-14,235,232,232,231,1,6,1525,355670
2013-02-17,255,236,255,232,23,13,7190,1785614
2013-02-19,270,243,247,255,-8,64,22307,5586866
2013-02-20,243,231,235,247,-12,33,12320,2905184
2013-02-21,247,239,243,235,8,23,7282,1765159
2013-02-24,241,234,241,243,-2,20,6022,1425372
2013-02-25,249,239,244,241,3,35,11959,2906490
2013-02-26,247,240,242,244,-2,25,6306,1528050
2013-02-27,240,234,235,242,-7,15,2924,688070
2013-02-28,237,231,235,235,,17,9052,2116392
2013-03-03,239,234,237,235,2,19,5161,1216457
2013-03-04,238,232,232,237,-5,17,7602,1786421
2013-03-05,233,229,232,232,,24,8582,1976562
2013-03-07,241,237,237,239,-2,7,4002,958080
2013-03-11,238,233,236,237,-1,16,7647,1795384
2013-03-13,245,238,241,236,5,29,16668,4003755
2013-03-14,249,238,241,241,,28,10226,2481115
2013-03-17,241,230,235,241,-6,16,5725,1351623
2013-03-18,235,230,230,235,-5,11,2407,558021
2013-03-19,235,231,234,230,4,15,3683,855696
2013-03-21,226,226,226,228,-2,1,200,45200
2013-03-24,224,220,220,226,-6,17,6079,1345881
2013-03-25,227,221,224,220,4,22,5578,1251132
2013-03-27,226,222,223,224,-1,22,4938,1103549
2013-03-28,226,223,225,223,2,14,2557,573806
2013-04-01,225,216,225,220,5,18,6795,1504981
2013-04-04,229,222,222,233,-11,6,785,176793
2013-04-07,224,220,224,222,2,19,5193,1146049
2013-04-08,225,222,223,224,-1,10,2397,536004
2013-04-11,232,227,228,231,-3,12,3947,902310
2013-04-15,234,224,225,228,-3,21,5846,1327638
2013-04-16,227,223,226,225,1,8,1451,325842
2013-04-17,226,225,225,226,-1,10,3272,737350
2013-04-18,223,218,221,225,-4,6,2013,443894
2013-04-21,221,217,219,221,-2,7,2136,466230
2013-04-22,216,207,210,219,-9,19,9014,1911768
2013-04-23,220,214,214,210,4,11,3583,773532
2013-04-25,215,211,211,214,-3,5,2537,536855
2013-04-28,212,208,209,211,-2,9,2009,418402
2013-04-29,214,209,209,209,,7,2806,592147
2013-04-30,209,207,209,209,,4,482,100234
2013-05-02,205,193,195,209,-14,19,5240,1028759
2013-05-05,198,193,195,195,,8,3246,631819
2013-05-06,193,191,193,195,-2,5,1583,303863
2013-05-07,211,195,208,193,15,11,3139,635425
2013-05-08,204,200,204,208,-4,3,1192,240800
2013-05-09,204,198,201,204,-3,11,1957,393923
2013-05-12,204,193,193,201,-8,8,1905,379868
2013-05-13,200,192,196,193,3,18,3339,649790
2013-05-14,204,198,200,196,4,13,4876,973753
2013-05-15,212,204,206,200,6,10,3305,679450
2013-05-16,211,206,210,206,4,12,4283,892451
2013-05-19,211,211,211,210,1,1,154,32494
2013-05-20,208,200,203,211,-8,4,245,49640
2013-05-21,202,198,202,203,-1,10,4017,802956
2013-05-22,209,205,205,202,3,6,803,164715
2013-05-23,201,196,198,205,-7,20,8136,1614834
2013-05-26,201,196,198,198,,16,7066,1399279
2013-05-27,204,197,204,198,6,14,5353,1071696
2013-05-28,207,201,207,204,3,9,2735,557005
2013-05-30,207,207,207,207,,1,990,204930
2013-06-02,203,198,198,207,-9,3,1050,208650
2013-06-03,200,197,200,198,2,5,816,161528
2013-06-04,199,199,199,200,-1,3,1257,250143
2013-06-05,201,192,200,199,1,28,7951,1583021
2013-06-06,200,198,199,200,-1,5,957,190202
2013-06-09,199,196,197,199,-2,12,5065,999401
2013-06-10,196,192,195,197,-2,11,4421,856051
2013-06-11,195,193,195,195,,7,1706,331419
2013-06-12,195,194,195,195,,6,1843,358913
2013-06-13,197,195,196,195,1,9,4205,820366
2013-06-16,199,196,196,196,,12,2456,484031
2013-06-17,195,191,193,196,-3,14,3362,646760
2013-06-18,193,190,190,193,-3,21,10449,1986959
2013-06-19,193,187,193,190,3,3,167,31601
2013-06-20,192,189,192,193,-1,24,5899,1121488
2013-06-23,190,190,190,192,-2,4,628,119320
2013-06-24,193,188,192,190,2,11,3801,722278
2013-06-25,200,193,198,192,6,18,10161,2010277
2013-06-26,207,199,201,198,3,28,9777,1987721
2013-06-27,200,196,196,201,-5,7,3767,748264
2013-06-30,196,190,191,196,-5,17,8222,1567180
2013-07-01,194,189,192,191,1,24,5954,1136184
2013-07-02,190,190,190,192,-2,9,3590,682100
2013-07-03,193,190,193,190,3,9,4196,798750
2013-07-04,192,190,191,193,-2,14,4970,946996
2013-07-07,192,191,191,191,,4,3491,669813
2013-07-08,197,191,193,191,2,18,6206,1199764
2013-07-09,204,192,204,193,11,25,8924,1790027
2013-07-10,212,204,205,204,1,19,5834,1205758
2013-07-11,205,201,203,205,-2,16,7740,1566379
2013-07-14,211,202,202,203,-1,15,4450,909390
2013-07-15,205,203,203,202,1,6,2612,532278
2013-07-16,203,199,203,203,,7,1562,313493
2013-07-17,203,196,196,203,-7,12,3110,620442
