date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2021-04-26,1050,1000,1050,,1050,11,1325,1376850
2021-04-27,1047,1046,1047,1050,-3,4,125,130800
2021-04-28,1047,1046,1046,1047,-1,5,150,156950
2021-05-02,1066,1045,1045,1046,-1,5,115,122065
2021-05-03,1046,1046,1046,1045,1,3,60,62760
2021-05-04,1048,1030,1048,1046,2,3,75,77850
2021-05-05,1050,1050,1050,1048,2,1,25,26250
2021-05-09,1052,1052,1052,1050,2,1,25,26300
2021-05-10,1052,1052,1052,1052,,1,25,26300
2021-05-13,1073,1065,1073,1052,21,2,50,53450
2021-05-16,1052,1052,1052,1073,-21,1,100,105200
2021-05-18,1060,1060,1060,1052,8,2,50,53000
2021-05-23,1060,1055,1055,1060,-5,2,100,105750
2021-05-24,1055,1055,1055,1055,,1,50,52750
2021-05-30,1065,1060,1060,1055,5,3,175,185825
2021-06-07,1058,1058,1058,1060,-2,1,25,26450
2021-06-08,1065,1065,1065,1058,7,3,525,559125
2021-06-09,1061,1061,1061,1065,-4,1,100,106100
2021-06-10,1061,1061,1061,1061,,1,25,26525
2021-06-20,1082,1071,1082,1061,21,2,75,80600
2021-06-22,1085,1082,1085,1082,3,3,225,243525
2021-06-23,1095,1095,1095,1085,10,1,240,262800
2021-06-27,1116,1116,1116,1095,21,1,820,915120
2021-07-01,1116,1116,1116,1116,,1,10,11160
2021-07-04,1094,1056,1056,1116,-60,4,75,79835
2021-07-07,1077,1077,1077,1056,21,1,10,10770
2021-07-15,1119,1098,1119,1077,42,2,20,22170
2021-08-09,1097,1075.1,1075.1,1119,-43.9,5,200,216221.3
2021-09-26,1076,1076,1076,1075.1,0.9,2,75,80700
2021-11-15,1055,1055,1055,1076,-21,2,50,52750
2021-11-24,1055,1054,1055,1055,,2,55,57995
2021-12-13,1034,1034,1034,1055,-21,1,10,10340
2021-12-15,1020,1020,1020,1034,-14,1,65,66300
2022-01-02,1040,1040,1040,1020,20,1,25,26000
2022-01-04,1040,1040,1040,1040,,2,50,52000
2022-01-06,1021,1021,1021,1040,-19,1,25,25525
2022-01-13,1025,1025,1025,1021,4,1,30,30750
2022-01-16,1004.5,1004.5,1004.5,1025,-20.5,1,25,25112.5
2022-01-23,1000,1000,1000,1004.5,-4.5,1,100,100000
2022-03-16,980,980,980,1000,-20,1,300,294000
2022-04-12,960.4,941.4,941.4,980,-38.6,2,100,95565
2022-04-18,943.5,943.5,943.5,941.4,2.1,1,25,23587.5
2022-07-04,962.3,962.3,962.3,943.5,18.8,1,20,19246
2022-07-15,1058.5,981.5,1058.5,962.3,96.2,5,65,66647
2022-08-25,1079.6,1037.4,1079.6,1058.5,21.1,2,75,79915
2022-08-29,1101.1,1101.1,1101.1,1079.6,21.5,1,25,27527.5
2023-04-09,1079.1,1015.8,1015.8,1101.1,-85.29999999999995,4,60,62624
2023-04-11,999,999,999,1015.8,-16.799999999999955,1,500,499500
2023-04-16,980,980,980,999,-19,1,10,9800
2023-04-17,975,956,956,980,-24,2,28,26958
2023-04-18,940,937,940,956,-16,2,70,65710
2023-04-20,932,932,932,940,-8,2,130,121160
2023-05-02,915.1,915,915,932,-17,2,25,22876.2
2023-05-15,910,910,910,915,-5,1,25,22750
2023-06-06,900.2,900.1,900.1,910,-9.899999999999977,2,40,36006.7
2023-06-12,919,918.1,919,900.1,18.899999999999977,3,65,59703.5
2023-06-26,921,907.5,907.5,919,-11.5,3,45,41265
2023-06-27,907.5,907.5,907.5,907.5,0,2,50,45375
2023-07-03,900.5,900.5,900.5,907.5,-7,1,25,22512.5
2023-07-09,936.8,918.5,936.8,900.5,36.299999999999955,2,20,18553
2023-07-11,955.5,955.5,955.5,936.8,18.700000000000045,1,10,9555
2023-07-12,1020,974.6,1020,955.5,64.5,4,130,129886
2023-07-16,1116,1023,1116,1020,96,16,348,365450.5
2023-12-04,1093.7,1071.9,1071.9,1116,-44.09999999999991,3,60,65404
2023-12-05,1050.5,1050.5,1050.5,1071.9,-21.40000000000009,1,10,10505
2023-12-06,1030,1030,1030,1050.5,-20.5,1,20,20600
2023-12-19,1030,1010,1010,1030,-20,2,49912,49413080
2023-12-27,990,990,990,1010,-20,2,25,24750
2023-12-28,990,990,990,990,0,2,70,69300
2024-01-04,980.2,980.2,980.2,990,-9.799999999999955,2,50,49010
2024-01-09,975.2,975.1,975.1,980.2,-5.100000000000023,2,50,48757.7
2024-01-10,999.6,980,999.6,975.1,24.5,3,130,127988
2024-01-11,1030.2,1010,1030.2,999.6,30.600000000000023,2,30,30502
2024-01-23,1009.6,1009.6,1009.6,1030.2,-20.600000000000023,2,30,30288
2024-01-31,991.1,991.1,991.1,1009.6,-18.5,1,25,24777.5
2024-02-06,1000,1000,1000,991.1,8.899999999999977,1,20,20000
2024-02-08,1002,1002,1002,1000,2,1,10,10020
2024-02-12,1020,1020,1020,1002,18,1,100,102000
2024-02-21,1000.1,1000.1,1000.1,1020,-19.899999999999977,1,25,25002.5
2024-02-22,1005,1002.1,1005,1000.1,4.899999999999977,2,410,410890
2024-02-25,1000,1000,1000,1005,-5,1,100,100000
2024-02-27,1000.1,1000.1,1000.1,1000,0.10000000000002274,1,25,25002.5
2024-02-28,1001,1001,1001,1000.1,0.8999999999999773,1,20,20020
2024-03-06,1000.1,1000.1,1000.1,1001,-0.8999999999999773,1,500,500050
2024-03-10,999,999,999,1000.1,-1.1000000000000227,1,10,9990
2024-03-21,1018.9,1018.9,1018.9,999,19.899999999999977,1,50,50945
