date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-08-17,261,237.3,261,,23.7,20,150,37642.1
2022-08-18,287.1,266.2,287.1,261,26.1,27,260,73872.6
2022-08-22,347.3,322.1,347.3,315.8,31.5,267,6530,2267250
2022-08-23,382,354.2,382,347.3,34.7,941,11400,4352674
2022-08-24,420.2,389.6,420.2,382,38.2,4569,76612,30885464.8
2022-08-25,436,403.8,415,420.2,-5.2,1985,26490,11161246.5
2022-08-26,410.1,400.1,407.6,415,-7.4,694,7780,3167122
2022-08-28,400.1,378.7,380,407.6,-27.6,956,23769,9208169.2
2022-08-29,390,370,383.3,380,3.3,471,11390,4351223
2022-08-30,390,373,375,383.3,-8.3,248,4255,1621203.5
2022-08-31,387.6,361.2,377,375,2,396,9980,3682766.6
2022-09-01,390,362.3,388,377,11,415,12030,4521718
2022-09-02,399,381,393,388,5,212,7310,2853173
2022-09-04,407,386.1,400,393,7,484,12667,5002067.1
2022-09-05,416,392,392.3,400,-7.7,366,14357,5683397
2022-09-06,400,386,400,392.3,7.7,300,10888,4267258
2022-09-07,398,388,398,400,-2,300,5436,2132130.1
2022-09-08,408.8,390.2,400,398,2,315,10950,4390482.8
2022-09-11,402,392.6,393,400,-7,295,11457,4545569.8
2022-09-12,395,383.3,383.3,393,-9.7,270,12660,4912634.9
2022-09-13,394.9,378.8,394.9,383.3,11.6,174,3740,1461884
2022-09-14,404,387.1,402,394.9,7.1,315,11227,4473641
2022-09-15,410,377,389.9,402,-12.1,192,9427,3615878.6
2022-09-16,384.9,370,384.9,389.9,-5,115,5590,2112173.5
2022-09-18,379.9,366,374.7,384.9,-10.2,169,5330,1987421.7
2022-09-20,380,358.2,363,374.7,-11.7,149,5377,1951324
2022-09-21,377.1,356,369,363,6,148,2920,1066489
2022-09-22,383.8,355.2,358,369,-11,137,4700,1694231
2022-09-25,352.1,338.8,339,358,-19,156,4236,1460666.9
2022-09-27,355.9,338.1,342.5,339,3.5,101,1215,419805
2022-09-28,374,336.1,374,342.5,31.5,78,1241,441097.2
2022-09-29,375,355.1,375,374,1,71,1859,675994.8
2022-10-09,375,356,372.3,375,-2.7,65,923,336255
2022-10-10,368,350,359.8,372.3,-12.5,75,2471,885666.2
2022-10-11,353.8,338.8,353.8,359.8,-6,45,940,324546
2022-10-12,367,335.3,358,353.8,4.2,65,2411,846889
2022-10-13,360.9,344.1,360.9,358,2.9,73,1220,427966
2022-10-16,353.7,337.2,349.8,360.9,-11.1,95,1950,667120
2022-10-17,356,336.3,356,349.8,6.2,90,1405,478874.5
2022-10-19,348.9,332,340.7,356,-15.3,96,2775,929806
2022-10-20,344,325.1,332,340.7,-8.7,111,2700,890439
2022-10-23,331,322.1,324.9,332,-7.1,44,1350,438135
2022-10-31,334,312.9,325,324.9,0.1,66,690,219396
2022-11-01,344.2,310,338,325,13,105,5687,1847344.5
2022-11-02,345,325,345,338,7,110,5855,1930022.9
2022-11-03,341,322,328,345,-17,59,3750,1219000
2022-11-06,335,321.5,335,328,7,97,2610,858920
2022-11-07,345.5,323.1,341.4,335,6.399999999999977,122,6865,2303237
2022-11-08,334.6,324,326.1,341.4,-15.299999999999955,73,1685,554504
2022-11-09,339.2,315.7,319,326.1,-7.100000000000023,102,5926,1893501.4
2022-11-10,331.5,306.9,331.5,319,12.5,135,8525,2656460.5
2022-11-13,344.8,313,343.9,331.5,12.399999999999977,92,5577,1799885.1
2022-11-14,337.1,318,332.9,343.9,-11,76,5050,1627752.2
2022-11-15,337.9,312.2,320,332.9,-12.899999999999977,129,12633,3981532.7
2022-11-16,332.5,317,332.5,320,12.5,114,5984,1932907
2022-11-22,332.2,321.2,328,338.6,-10.600000000000023,84,2920,953209
2022-11-23,322,314,316.6,328,-11.399999999999977,81,5190,1651938
2022-11-24,320.2,310,320.2,316.6,3.599999999999966,89,2256,716743.5
2022-11-27,332.8,313.9,324.9,320.2,4.699999999999989,120,4330,1382732
2022-11-28,326,318,318.3,324.9,-6.599999999999966,88,3300,1059730
2022-11-29,324,313,318.1,318.3,-0.19999999999998863,75,2514,802389.4
2022-11-30,320,316,320,318.1,1.8999999999999773,61,1145,363580.5
2022-12-01,325,314.1,320,320,0,83,5478,1760468
2022-12-04,325,314,321,320,1,105,5470,1751645
2022-12-05,320,310.8,317,321,-4,74,1703,537402.4
2022-12-06,317.8,310.2,315,317,-2,75,4105,1285055
2022-12-07,315.1,308.9,314.1,315,-0.8999999999999773,63,1779,550993.4
2022-12-11,315,302,315,314.1,0.8999999999999773,103,1940,593930
2022-12-12,316.4,303,315,315,0,51,1417,440455.7
2022-12-13,320,303.2,314,315,-1,41,680,210734
2022-12-14,311,307.8,311,314,-3,64,1290,398955
2022-12-15,311,297.3,306.9,311,-4.100000000000023,125,10466,3180646
2022-12-18,300.8,290.3,297,306.9,-9.899999999999977,82,2690,786977
2022-12-19,314,285.1,295,297,-2,89,2785,848294
2022-12-20,308.9,289.4,308.9,295,13.899999999999977,93,4330,1299078
2022-12-21,306.8,298.2,306,308.9,-2.8999999999999773,59,1350,408688
2022-12-22,299.9,295.1,298,306,-8,37,3330,991010
2022-12-26,319,298.1,319,298,21,147,4424,1368136.7
2022-12-27,330,316,326,319,7,191,19329,6268715.8
2022-12-28,324,307,320,326,-6,100,3419,1086447.6
2022-12-29,340,313.6,340,320,20,161,11213,3692753.4
2023-01-01,341.7,322.1,329,340,-11,158,17924,5935854.2
2023-01-02,335.9,318.1,334,329,5,143,5205,1718722
2023-01-03,339.8,328.2,337.9,334,3.8999999999999773,159,8360,2780926.5
2023-01-04,362,333,359,337.9,21.100000000000023,304,19570,6788096.2
2023-01-05,379,347.9,377,359,18,287,29524,10649842.5
2023-01-08,389.9,363.2,369,377,-8,184,16882,6291872
2023-01-09,392,362.2,387.7,369,18.69999999999999,185,15899,6078279.7
2023-01-10,418.1,373,399,387.7,11.300000000000011,312,34110,13660206.5
2023-01-12,393,371.1,381,399,-18,189,10644,4105210
2023-01-17,397.5,361,390,381,9,261,16345,6246562.7
2023-01-18,407,384.2,395,390,5,275,35232,14070903.1
2023-01-19,397,383.3,387,395,-8,217,12942,5038990
2023-01-23,395.3,370.7,394.8,387,7.800000000000011,284,21325,8191410
2023-01-24,394,373,389,394.8,-5.800000000000011,259,18501,7048835.1
2023-01-25,398.5,376.1,390,389,1,182,6533,2535049.2
2023-01-26,410,385,395,390,5,182,9960,3907725.5
2023-01-29,398,379.4,394,395,-1,243,16850,6603866
2023-01-30,401.8,380,380,394,-14,206,18684,7176786
2023-01-31,394,366,378.3,380,-1.6999999999999886,181,15321,5867446.1
2023-02-01,388.6,371.3,375.5,378.3,-2.8000000000000114,140,8430,3190544
2023-02-02,390,370,374.8,375.5,-0.6999999999999886,208,15055,5719987.5
2023-02-05,382,369,378,374.8,3.1999999999999886,140,5000,1884172
2023-02-06,378,370.8,377,378,-1,133,3680,1377429
2023-02-07,414,371,407,377,30,401,28119,11193594.1
