date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1325,1300,1309,1320,-11,48,972,1271427
2022-02-21,1375,1309,1373,1309,64,60,1800,2436891
2022-02-22,1405,1360,1361,1373,-12,63,2152,2992300
2022-02-23,1360,1336,1356,1361,-5,26,615,832835
2022-02-24,1350,1315,1322,1356,-34,36,640,848191.2
2021-08-04,296.7,296.7,296.7,,,3,20,5901.5
2021-08-05,296.7,296.7,296.7,296.7,,7,20,5965.2
2021-08-08,296.7,296.7,296.7,296.7,,5,22,6515.4
2021-08-09,296.7,296.7,296.7,296.7,,3,11,3275.4
2021-08-10,314.7,296.7,314.7,296.7,18,5,35,10743.6
2021-08-11,314.7,314.7,314.7,314.7,,4,20,6203.1
2021-08-12,316.8,311.7,314.7,314.7,0.5,5,10,3154.1
2021-08-15,327.3,320.9,327.3,314.7,12.6,4,30,9735
2021-08-17,340.4,327.3,340.4,327.3,13.1,8,50,16765.7
2021-08-18,354.1,347.2,354.1,340.4,13.7,2,20,7013
2021-08-19,368.3,361.1,368.3,354.1,14.2,2,20,7294
2021-08-24,383.1,375.6,383.1,368.3,14.8,6,40,15248.8
2021-08-25,383.1,383.1,383.1,383.1,,3,11,4198.7
2021-08-26,390.7,390.7,390.7,383.1,7.6,1,10,3907
2021-08-29,414.5,398.5,414.5,390.7,23.8,6,37,15083.1
2021-08-31,439.7,422.7,439.7,414.5,25.2,5,40,17264
2021-09-01,457.3,448.4,457.3,439.7,17.6,2,20,9057
2021-09-02,503,466.4,503,457.3,45.7,10,71,34620.9
2021-09-05,523.2,513,523.2,503,20.2,2,20,10362
2021-09-06,533.6,533.6,533.6,523.2,10.4,3,20,10773.9
2021-09-07,555,544.2,555,533.6,21.4,2,20,10992
2021-09-08,566.1,555,566.1,555,11.1,3,20,11312.6
2021-09-09,588.9,577.4,588.9,566.1,22.8,2,20,11663
2021-09-12,624.8,600.6,624.8,588.9,35.9,3,30,18380
2021-09-13,687.2,637.2,687.2,624.8,62.4,14,80,53624.2
2021-09-14,755.9,700.9,755.9,687.2,68.7,8,80,59121
2021-09-15,818.1,755.9,818.1,755.9,62.2,15,99,76785.3
2021-09-16,899.9,820,899.9,818.1,81.8,6,60,51670
2021-09-20,989.8,917.8,989.8,899.9,89.9,15,150,146703
2021-09-21,1088.7,989.8,1088.7,989.8,98.9,10,90,95241
2021-09-22,1197.5,1110.4,1197.5,1088.7,108.8,13,120,141373.7
2021-09-23,1317.2,1221.4,1317.2,1197.5,119.7,13,100,129356
2021-09-26,1448.9,1343.5,1448.9,1317.2,131.7,15,140,199239.6
2021-09-27,1593.7,1477.8,1593.7,1448.9,144.8,58,571,907160.7
2021-09-28,1753,1625.5,1753,1593.7,159.3,481,8859,15526702
2021-09-29,1928.3,1606,1927,1753,174,2932,36207,61553006.2
2021-09-30,2119.7,1927,2119.7,1927,192.7,504,5541,11571471.2
2021-10-03,2310,1990,2080,2119.7,-39.7,1314,25096,52568367.5
2021-10-04,2080,1882.6,1885,2080,-195,956,13922,26691680.5
2021-10-05,1999,1777,1920,1885,35,591,7413,13529082
2021-10-06,2024,1900,2015,1920,95,267,5051,9974158
2021-10-10,2096.1,1940,1943,2015,-72,197,5384,10646158
2021-10-11,1906,1833,1876,1943,-67,133,3513,6536190
2021-10-17,1913.5,1850,1851,1876,-25,66,1240,2315988
2021-10-18,1850,1780,1789,1851,-62,147,2495,4508568.5
2021-10-19,1777,1642,1675.5,1789,-113.5,181,5517,9283684
2021-10-20,1743,1679,1680,1675.5,4.5,119,3161,5371888
2021-10-21,1713,1652.1,1670,1680,-10,120,2680,4473009.5
2021-10-24,1685,1633.1,1645,1670,-25,124,1992,3300036
2021-10-25,1710,1650,1710,1645,65,106,2425,4085183.5
2021-10-26,1736,1706.1,1712,1710,2,94,2125,3655664
2021-10-27,1820.7,1681,1790,1712,78,144,4168,7229068
2021-10-28,1958,1755,1958,1790,168,231,6492,12273429
2021-10-31,2029,1917,1953,1958,-5,203,5080,9884570.5
2021-11-01,1954,1865,1905,1953,-48,133,3153,5982192.6
2021-11-02,2020,1893,1950,1905,45,205,5631,10857261.2
2021-11-03,1985,1900,1970,1950,20,120,4546,8824745
2021-11-08,1950,1895.2,1929,1970,-41,82,1360,2599864
2021-11-09,1942.3,1830,1907.4,1929,-21.6,122,3831,7275378
2021-11-11,1951,1819,1819,1907.4,-88.4,115,1705,3168661
2021-11-14,1855,1784.1,1840,1819,21,128,2420,4446561
2021-11-15,1900,1804,1830,1840,-10,91,1568,2885431
2021-11-16,1866.6,1793.4,1829,1830,-1,63,780,1432312
2021-11-17,1877.8,1815.1,1839,1829,10,99,1365,2515765
2021-11-18,1875.6,1774,1815,1839,-24,84,3736,6702411
2021-11-21,1800,1764,1790,1815,-25,106,2470,4370202
2021-11-22,1800,1740,1774.1,1790,-15.9,68,760,1350171
2021-11-23,1772,1721,1734,1774.1,-40.1,67,1409,2469780
2021-11-24,1804.3,1699,1785,1734,51,99,2225,3867418.5
2021-11-25,1774,1735,1773,1785,-12,64,900,1565116
2021-11-28,1780,1702.9,1737.6,1773,-35.4,71,1060,1829304.5
2021-11-29,1710.2,1670,1684,1737.6,-53.6,52,1054,1786381
2021-11-30,1710,1660,1688,1684,4,53,1630,2712890
2021-12-01,1685,1655,1685,1688,-3,56,870,1450141
2021-12-02,1660,1600,1600,1685,-85,66,1419,2307622
2021-12-05,1605,1551.1,1551.1,1600,-48.9,43,680,1068551
2021-12-06,1619.3,1521,1605,1551.1,53.9,63,990,1555909
2021-12-07,1737.1,1600,1610,1605,5,47,720,1182785
2021-12-08,1639.7,1548,1610,1610,,32,705,1105214
2021-12-09,1580,1546.3,1551,1610,-59,38,929,1444050.2
2021-12-12,1535,1491,1505,1551,-46,59,1770,2688260
2021-12-13,1475,1355,1397,1505,-108,107,3078,4276816
2021-12-14,1536.7,1399.9,1536.7,1397,139.7,34,665,965488.5
2021-12-15,1679.7,1489,1500,1536.7,-36.7,57,6086,9473296.5
2021-12-16,1578,1486,1560,1500,60,161,4185,6467601
2021-12-20,1315,1290,1300,1333.33,-33.33,28,588,767987
2021-12-21,1326,1290.1,1300,1300,,25,507,659350
2021-12-22,1370,1300,1360,1300,60,61,3330,4444192
2021-12-23,1387.2,1310,1335,1360,-25,33,565,757979
2021-12-26,1390,1336,1355,1335,20,46,1002,1364725.1
2021-12-27,1384,1321,1321,1355,-34,61,1450,1959874
2021-12-28,1323.1,1295,1315,1321,-6,35,546,716596.3
2021-12-29,1374.2,1270,1325,1315,10,29,614,810425
2022-01-02,1377,1300,1327.5,1325,2.5,33,500,669056
2022-01-03,1397,1320,1397,1327.5,69.5,42,776,1055981.1
2022-01-04,1449.5,1362,1449.5,1397,52.5,59,1340,1879282.5
2022-01-05,1473,1391,1473,1449.5,23.5,37,649,924023
2022-01-06,1588.6,1420,1510,1473,37,46,3484,5118705
2022-01-09,1661,1480.1,1530,1510,20,96,2602,3936718
2022-01-10,1530,1478,1500,1530,-30,71,2690,3994381.2
2022-01-11,1623,1473.3,1539,1500,39,69,3078,4691953
2022-01-12,1590,1495,1536,1539,-3,70,1586,2418527
2022-01-13,1600,1506,1600,1536,64,69,1540,2400160
