date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1410,1349,1382,1400,-18,51,770,1073588
2022-02-21,1430,1380,1385.5,1382,3.5,71,1356,1889304.5
2022-02-22,1425,1380,1403,1385.5,17.5,54,1260,1779016
2022-02-23,1448,1403,1432,1403,29,64,935,1332920
2022-02-24,1420,1390.2,1393,1432,-39,44,754,1052434
2021-10-06,397.5,397.5,397.5,,,16,90,35621.9
2021-10-10,403.2,403.2,403.2,397.5,5.7,3,20,8030.6
2021-10-17,411.2,403.2,411.2,403.2,8,3,20,8224
2021-10-19,427.7,419.4,427.7,411.2,16.5,2,20,8471
2021-10-24,462.7,436.2,462.7,427.7,35,4,40,17975
2021-10-25,471.9,471.9,471.9,462.7,9.2,1,10,4719
2021-10-26,490.9,481.3,490.9,471.9,19,2,20,9722
2021-10-27,520.9,500.7,520.9,490.9,30,3,30,15323
2021-10-28,552.7,520.9,552.7,520.9,31.8,10,53,28328.2
2021-10-31,598,563.7,598,552.7,45.3,5,41,23814.9
2021-11-01,657.8,609.9,657.8,598,59.8,9,71,45275.2
2021-11-02,657.8,657.8,657.8,657.8,,3,6,3900.4
2021-11-03,697.9,670.9,697.9,657.8,40.1,3,30,20531
2021-11-08,767.6,711.8,767.6,697.9,69.7,9,79,59010.6
2021-11-09,844.3,782.9,844.3,767.6,76.7,6,60,49150
2021-11-11,928.7,861.1,928.7,844.3,84.4,7,60,53733
2021-11-14,1021.5,947.2,1021.5,928.7,92.8,11,100,100141
2021-11-15,1123.6,1041.9,1123.6,1021.5,102.1,6,60,65412
2021-11-16,1235.9,1146,1235.9,1123.6,112.3,5,50,59590
2021-11-17,1359.4,1260.6,1359.4,1235.9,123.5,15,101,133741.9
2021-11-18,1495.3,1386.5,1495.3,1359.4,135.9,23,189,278121.5
2021-11-21,1644.8,1525.2,1644.8,1495.3,149.5,37,370,605646
2021-11-22,1809.2,1677,1809.2,1644.8,164.4,90,900,1625029
2021-11-23,1990.1,1845.3,1990.1,1809.2,180.9,134,1310,2603479
2021-11-24,2189.1,1985,1999,1990.1,8.9,2116,26187,54303912.6
2021-11-25,2005,1851,1860.5,1999,-138.5,952,10621,19921909
2021-11-28,1823.3,1675,1710,1860.5,-150.5,607,11732,20296226.4
2021-11-29,1677,1618,1630,1710,-80,298,4964,8175526.4
2021-11-30,1720,1605,1720,1630,90,154,1831,3043091.3
2021-12-01,1720,1666,1690,1720,-30,108,1430,2406808
2021-12-02,1680,1621.2,1630,1690,-60,139,2460,4016045
2021-12-05,1630,1525,1553,1630,-77,166,4205,6513049
2021-12-06,1640,1500,1600,1553,47,139,2350,3597153
2021-12-07,1605,1520.1,1550,1600,-50,85,1981,3113756
2021-12-08,1540,1470,1518,1550,-32,75,1400,2093732
2021-12-09,1510,1466.2,1468.1,1518,-49.9,57,860,1266802
2021-12-12,1451.5,1400,1400.1,1468.1,-68,82,1740,2471360
2021-12-13,1372.1,1266,1280,1400.1,-120.1,116,2799,3638277.9
2021-12-14,1408,1300,1400,1280,120,46,970,1319114
2021-12-15,1510,1428,1470,1400,70,118,2638,3885378.5
2021-12-16,1470,1384.8,1401,1470,-69,68,1300,1840264
2021-12-20,1429,1370,1370,1401,-31,53,1500,2071871
2021-12-21,1370,1343,1370,1370,,39,670,907439
2021-12-22,1474.9,1346,1390,1370,20,51,929,1299586
2021-12-23,1414,1370,1385,1390,-5,57,1170,1628660
2021-12-26,1400,1359,1385,1385,,55,790,1095720
2021-12-27,1408,1340,1340,1385,-45,73,1205,1651358
2021-12-28,1393.3,1309.1,1335,1340,-5,41,816,1077730
2021-12-29,1347,1309,1314,1335,-21,61,1398,1845128
2022-01-02,1375,1290,1340,1314,26,75,1120,1481941
2022-01-03,1421,1330,1361,1340,21,59,850,1164248
2022-01-04,1399,1337,1390,1361,29,63,1138,1560921
2022-01-05,1446,1361,1390,1390,,48,930,1287137
2022-01-06,1400,1363,1388,1390,-2,65,960,1331637
2022-01-09,1437,1388,1400,1388,12,102,2681,3792953
2022-01-10,1415,1381,1400,1400,,51,1050,1468042
2022-01-11,1540,1400,1500,1400,100,168,5380,7974560
2022-01-12,1616,1500,1530,1500,30,160,5859,9047863
2022-01-13,1600,1522,1600,1530,70,126,3540,5540314
2022-01-16,1695,1600,1655,1600,55,155,4063,6716182.6
2022-01-17,1685,1600,1621,1655,-34,134,2350,3805386
2022-01-18,1653,1539,1540,1621,-81,137,4705,7400231
2022-01-19,1565,1535,1538,1540,-2,119,3221,4970655.6
2022-01-20,1600,1516.2,1550,1538,12,130,2935,4499541
2022-01-23,1581,1530,1535,1550,-15,84,1307,2027470
2022-01-24,1515,1469,1470,1535,-65,91,1569,2339340.5
2022-01-25,1485,1441,1462,1470,-8,57,1413,2074887
2022-01-26,1450,1400,1400,1462,-62,79,1441,2051682.2
2022-01-27,1460,1406,1453,1400,53,56,730,1051563
2022-01-30,1590,1482,1550,1453,97,150,2751,4228525
2022-01-31,1600,1530,1572.2,1550,22.2,116,1940,3047854
2022-02-01,1571.9,1531,1560,1572.2,-12.2,83,1251,1944142.9
2022-02-03,1561,1520,1520,1560,-40,129,2875,4417967
