date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,3720,3620,3672,3720,-48,137,2702,9956857.8
2022-02-21,3720,3690,3696,3672,24,80,1759,6507812.5
2022-02-22,3769.9,3700,3700,3696,4,86,1284,4783697.9
2022-02-23,3774,3671,3674,3700,-26,74,1160,4272354
2022-02-24,3700,3620,3650,3674,-24,134,2568,9374440.1
2021-03-16,446,438,446,438,8,7,30,13267
2021-03-17,446,446,446,446,,4,4,1772
2021-03-18,446,446,446,446,,1,1,438
2021-03-22,463,440,463,446,17,4,31,14007
2021-03-23,490,472,490,463,27,3,30,14430
2021-03-24,508,499,508,490,18,2,20,10070
2021-03-25,538,518,538,508,30,3,30,15840
2021-03-29,591,564,591,538,53,6,50,28760
2021-03-30,602,602,602,591,11,1,10,6020
2021-03-31,662,614,662,602,60,5,50,31900
2021-04-01,708,695,708,662,46,2,20,14030
2021-04-04,736,722,736,708,28,2,20,14580
2021-04-05,765,718,765,736,29,5,32,23832
2021-04-06,841,780,841,765,76,5,50,40520
2021-04-07,925,857,925,841,84,6,60,53800
2021-04-12,1017,943,1017,925,92,10,90,89494
2021-04-13,1099,1037,1099,1017,82,5,50,53490
2021-04-15,1208,1120,1208,1099,109,7,70,82370
2021-04-18,1328,1232,1328,1208,120,10,80,103390
2021-04-19,1460,1354,1460,1328,132,15,120,172560
2021-04-20,1606,1489,1606,1460,146,12,120,189810
2021-04-21,1766,1686,1766,1606,160,27,270,475420
2021-04-22,1942,1801,1942,1766,176,37,370,715070
2021-04-25,2136,1980,2136,1942,194,105,1025,2185405
2021-04-26,2349,2178,2349,2136,213,125,1231,2887399
2021-04-27,2583,2466,2583,2349,234,141,1390,3586890
2021-04-28,2841,2766,2841,2583,258,128,1280,3632950
2021-04-29,3125,2979,3125,2841,284,187,1850,5778640
2021-05-02,3437,3281,3437,3125,312,184,1810,6201555
2021-05-03,3780,3608,3780,3437,343,159,2420,9139450
2021-05-04,4158,3969,4158,3780,378,245,2430,10096790
2021-05-05,4573,4365,4573,4158,415,227,2245,10248945
2021-05-06,5030,4801,5030,4573,457,987,12843,64582500
2021-05-09,5493,4527,4527,5030,-503,4411,51088,236773164
2021-05-10,4845,4263,4700,4527,173,2520,28160,125312004
2021-05-11,4800,4650,4725,4700,25,542,6971,32935938
2021-05-12,4700,4651,4670,4725,-55,389,6316,29518167
2021-05-13,4670,4584,4585,4670,-85,539,9166,42227030
2021-05-16,4660,4560,4657,4585,72,588,11595,53522330
2021-05-17,4664,4605,4638,4657,-19,337,7610,35339630
2021-05-18,4665,4620,4645,4638,7,347,8135,37748055
2021-05-19,4674,4578,4600,4645,-45,317,6930,32045519
2021-05-20,4650,4530,4615,4600,15,373,8460,39013187
2021-05-23,4618,4525,4590,4615,-25,268,4561,20951809
2021-05-24,4620,4565,4583,4590,-7,268,5060,23225345
2021-05-25,4600,4561,4571,4583,-12,220,3725,17050637
2021-05-27,4504,4388,4400,4571,-171,617,12727,56644787
2021-05-30,4484,4303,4339,4400,-61,345,5070,22197084
2021-05-31,4400,4314,4322,4339,-17,310,4288,18639343
2021-06-01,4350,4290,4305,4322,-17,215,3375,14574648
2021-06-02,4350,4290,4320,4305,15,224,3588,15408101
2021-06-03,4752,4320,4752,4320,432,677,13953,64960892
2021-06-06,5227,4989,5227,4752,475,606,19299,100573063
2021-06-07,5749,4999,5390,5227,163,1897,39897,222177513
2021-06-08,5600,5250,5299,5390,-91,469,7851,42046732
2021-06-09,5560,5050,5232,5299,-67,326,5274,27925821
2021-06-10,5330,5150,5188,5232,-44,280,5106,26571331
2021-06-13,5400,5101,5102,5188,-86,248,4948,25485265
2021-06-14,5170,5050,5050,5102,-52,244,5019,25433879
2021-06-15,5300,5002,5030,5050,-20,226,4994,25312697
2021-06-16,5304,4875,5035,5030,5,402,7023,35651030
2021-06-17,5237,5000,5004,5035,-31,195,3842,19352095
2021-06-20,5100,4750,4840,5004,-164,336,7297,35528752
2021-06-21,4936,4704,4730,4840,-110,227,4168,19922822
2021-06-22,4840,4705,4800,4730,70,148,3538,16943480
2021-06-23,4814,4635,4670,4800,-130,119,2396,11269137
2021-06-24,4814,4640,4670,4670,,133,2422,11417707
2021-06-27,4763,4585,4660,4670,-10,92,1252,5813735
