date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1530,1491.1,1499,1551,-52,23,1048,1585556
2022-02-21,1530,1473.1,1515,1499,16,20,583,879293
2022-02-22,1510,1496,1500,1515,-15,23,706,1059920
2022-02-23,1524,1485,1490,1500,-10,11,226,337569
2022-02-24,1490,1465.1,1475,1490,-15,22,424,625916.1
2017-08-27,1626,1626,1626,,1626,1,10,16260
2017-08-31,1658,1658,1658,1626,32,1,100,165800
2017-10-08,1724,1691,1724,1658,66,2,110,189310
2017-10-29,1758,1758,1758,1724,34,1,10,17580
2017-11-05,1828,1793,1828,1758,70,3,30,54490
2017-11-06,1977,1864,1977,1828,149,4,40,76810
2017-11-08,2056,2016,2056,1977,79,2,20,40720
2017-11-19,1398,1398,1398,1371,27,1,10,13980
2017-12-06,1453,1425,1453,1398,55,2,20,28780
2017-12-10,1511,1482,1511,1453,58,2,20,29930
2017-12-11,1571,1541,1571,1511,60,2,20,31120
2017-12-12,1634,1602,1634,1571,63,2,20,32360
2017-12-13,1732,1666,1732,1634,98,3,30,50970
2017-12-14,1801,1766,1801,1732,69,2,20,35670
2017-12-17,1910,1837,1910,1801,109,3,30,56200
2017-12-18,2005,2005,2005,1910,95,1,10,20050
2017-12-20,2085,2045,2085,2005,80,4,120,249800
2017-12-21,2211,2126,2211,2085,126,4,35,76100
2017-12-24,2414,2321,2414,2211,203,3,30,71020
2017-12-26,2655,2462,2655,2414,241,6,60,154560
2017-12-27,2920,2708,2920,2655,265,17,170,491200
2017-12-28,3212,2978,3212,2920,292,88,880,2820780
2017-12-31,3341,3086,3150,3212,-62,424,5336,16886436
2018-01-01,3160,3103,3150,3150,,154,2071,6481314
2018-01-02,3105,3040,3100,3150,-50,98,1540,4761790
2018-01-03,3098,3002,3020,3100,-80,61,955,2915045
2018-01-04,3020,2973,2982,3020,-38,48,520,1551320
2018-01-07,3050,2935,2985,2982,3,36,360,1075240
2018-01-08,3044,2998,3005,2985,20,47,591,1774310
2018-01-09,3004,2971,2990,3005,-15,25,250,748140
2018-01-10,2965,2951,2951,2990,-39,26,270,798640
2018-01-14,2980,2852,2920,2951,-31,40,500,1464760
2018-01-16,3000,2900,3000,2920,80,37,370,1084650
2018-01-17,3000,2930,2942,3000,-58,23,243,717990
2018-01-21,2950,2902,2905,2942,-37,23,260,762890
2018-01-22,2905,2875,2890,2905,-15,13,130,376850
2018-01-23,2899,2845,2851,2890,-39,23,320,914820
2018-01-24,2907,2830,2836,2851,-15,23,270,767470
2018-01-25,2890,2834,2885,2836,49,19,190,543810
2018-01-28,2860,2837,2843,2885,-42,16,220,626130
2018-01-29,2850,2831,2849,2843,6,12,120,340850
2018-01-31,2870,2850,2870,2849,21,10,100,285530
