date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,350,336.2,343,350,-7,442,42187,14530100.4
2022-02-21,349.8,339,347.8,343,4.8,273,33554,11577760.6
2022-02-22,352.9,344.6,345.1,347.8,-2.7,715,91174,31610429.6
2022-02-23,350,344,345.8,345.1,0.7,401,41263,14264925.9
2022-02-24,349,337.2,339.9,345.8,-5.9,751,87319,29697466.8
2012-12-17,395,380,395,,395,3,30,11620
2012-12-18,414,414,414,395,19,1,10,4140
2012-12-19,450,434,450,414,36,4,40,17600
2012-12-20,490,472,490,450,40,3,31,14911
2012-12-23,534,514,534,490,44,3,40,20960
2012-12-24,609,544,609,534,75,7,1292,771064
2012-12-26,645,598,645,609,36,6,91,57505
2012-12-27,709,677,709,645,64,4,1260,869590
2012-12-31,779,744,779,709,70,14,6361,4806717
2013-01-01,856,817,856,779,77,4,40,33550
2013-01-02,941,260,941,856,85,11,26591,12660384
2013-01-03,1035,959,1035,941,94,15,1573,1598092
2013-01-07,1251,1194,1251,1138,113,98,11538,14413998
2013-01-08,1321,1251,1295,1251,44,104,8462,10966741
2013-01-09,1270,1166,1166,1295,-129,95,5575,6740564
2013-01-10,1143,1050,1050,1166,-116,49,2609,2742956
2013-01-13,1029,990,1000,1050,-50,52,8816,8818154
2013-01-15,999,948,950,1000,-50,65,4209,4021313
2013-01-16,940,919,931,950,-19,27,1956,1816815
2013-01-17,932,915,926,931,-5,38,3713,3421899
2013-01-20,935,884,903,926,-23,21,1931,1750567
2013-01-21,935,895,917,903,14,14,1308,1185236
2013-01-22,969,904,950,917,33,14,607,562899
2013-01-23,975,935,970,950,20,24,1882,1803209
2013-01-24,989,925,950,970,-20,27,1717,1617282
2013-01-27,965,920,930,950,-20,21,1613,1506340
2013-01-28,932,915,924,930,-6,19,2067,1902573
2013-01-30,936,921,930,924,6,13,855,791581
2013-01-31,940,925,930,930,,14,1442,1337814
2013-02-03,940,919,919,930,-11,30,2609,2425144
2013-02-04,930,902,920,919,1,13,1557,1424722
2013-02-05,930,910,921,920,1,20,1868,1712030
2013-02-06,917,905,907,921,-14,14,1037,945712
2013-02-07,920,892,920,907,13,10,1392,1245854
2013-02-10,905,900,900,920,-20,11,618,557517
2013-02-12,912,880,880,900,-20,39,4393,3917397
2013-02-13,905,840,897,880,17,26,21258,17900617
2013-02-14,880,808,808,897,-89,64,13260,10933606
2013-02-19,825,797,800,808,-8,30,3313,2661936
2013-02-20,816,784,791,800,-9,25,3091,2467603
2013-02-21,805,780,780,791,-11,30,2252,1773607
2013-02-24,779,736,762,780,-18,38,3195,2405082
2013-02-25,770,717,725,762,-37,19,2420,1772580
2013-02-26,714,695,700,725,-25,23,1765,1241681
2013-02-27,700,685,687,700,-13,20,1607,1107145
2013-02-28,702,685,686,687,-1,11,1121,771191
2013-03-03,714,680,680,686,-6,13,1388,958194
2013-03-04,683,667,683,680,3,12,1069,725390
2013-03-05,696,670,670,683,-13,23,1618,1102216
2013-03-07,673,632,632,660,-28,26,4218,2718300
2013-03-11,652,630,645,632,13,22,3483,2221335
2013-03-13,660,650,660,645,15,5,523,342680
2013-03-14,680,653,680,660,20,20,2852,1892020
2013-03-17,688,673,680,680,,11,1952,1318324
2013-03-18,680,670,680,680,,7,819,553820
2013-03-19,694,680,686,680,6,8,474,327514
2013-03-21,693,666,666,673,-7,11,924,623453
2013-03-24,670,640,652,666,-14,11,1488,970676
2013-03-25,665,647,665,652,13,9,520,342016
2013-03-27,675,656,665,665,,12,596,396052
2013-03-28,675,652,652,665,-13,10,1635,1073622
2013-04-01,645,637,640,650,-10,11,2200,1406900
2013-04-03,652,636,640,641,-1,20,2128,1361638
2013-04-04,641,631,638,640,-2,8,926,589698
2013-04-07,645,636,639,638,1,16,1254,801483
2013-04-08,650,638,641,639,2,9,963,618997
2013-04-11,744,685,727,685,42,39,6685,4769314
2013-04-15,760,720,758,727,31,36,3605,2669178
2013-04-16,753,739,753,758,-5,22,2554,1899130
2013-04-17,751,738,738,753,-15,8,738,546777
2013-04-18,733,701,710,738,-28,12,1677,1197464
2013-04-21,710,697,705,710,-5,6,741,519105
2013-04-22,703,689,702,705,-3,8,560,388989
2013-04-23,715,686,700,702,-2,55,7895,5529636
2013-04-25,706,686,705,700,5,17,2462,1707725
2013-04-28,719,695,699,705,-6,16,1420,993580
2013-04-29,708,678,695,699,-4,32,2872,1983200
2013-04-30,695,626,626,695,-69,144,13940,8876861
2013-05-02,615,564,564,626,-62,133,8316,4721985
2013-05-05,555,508,508,564,-56,151,11463,5856619
2013-05-06,521,458,521,508,13,120,293777,143006152
2013-05-07,558,496,530,521,9,244,29919,15680317
2013-05-08,543,490,532,530,2,560,140540,71008218
2013-05-09,145,143,145,532,-387,2,135,19485
2013-05-22,159,152,159,145,14,4,40,6240
2013-05-23,174,162,174,159,15,5,60,10080
2013-05-26,191,177,191,174,17,6,120,21950
2013-05-27,204,185,185,191,-6,22,3065,587055
2013-05-28,182,170,170,185,-15,9,3812,667621
2013-05-30,177,170,177,170,7,9,1153,199463
2013-06-02,176,173,176,177,-1,6,1170,203954
2013-06-03,174,172,173,176,-3,12,2302,398225
2013-06-04,170,170,170,173,-3,1,20,3400
2013-06-05,173,168,168,170,-2,6,937,159551
2013-06-06,168,165,166,168,-2,7,1250,208250
2013-06-09,166,164,164,166,-2,4,425,70300
2013-06-10,168,163,168,164,4,11,3093,510434
2013-06-11,165,165,165,168,-3,2,240,39600
2013-06-12,165,161,162,165,-3,10,3937,640718
2013-06-13,162,162,162,162,,3,602,97524
2013-06-16,162,159,162,162,,6,252,40543
2013-06-18,163,161,163,162,1,5,696,113002
2013-06-19,165,162,162,163,-1,3,271,44055
2013-06-20,162,159,162,162,,2,200,32100
2013-06-23,159,156,156,162,-6,2,200,31500
2013-06-24,155,150,150,156,-6,6,1088,164050
2013-06-25,152,146,149,150,-1,19,4291,633686
2013-06-26,156,150,153,149,4,8,2618,394148
2013-06-27,160,153,157,153,4,8,1660,258320
2013-06-30,161,157,161,157,4,9,1507,238936
2013-07-01,160,158,158,161,-3,8,3204,508846
2013-07-02,158,152,155,158,-3,11,2012,311222
2013-07-03,159,156,159,155,4,4,1080,169147
2013-07-04,162,158,159,159,,6,641,102415
2013-07-07,157,157,157,159,-2,1,15,2355
2013-07-08,155,151,154,157,-3,4,425,64751
2013-07-09,159,157,157,154,3,4,940,147880
2013-07-10,160,160,160,157,3,6,1169,187040
2013-07-11,163,160,160,160,,7,741,119837
2013-07-14,172,159,172,160,12,9,239,39300
2013-07-15,171,169,171,172,-1,2,110,18610
2013-07-18,168,165,165,171,-6,2,95,15798
2013-07-21,162,155,155,165,-10,5,1141,178419
2013-07-22,153,150,150,155,-5,6,2360,357144
2013-07-23,154,147,154,150,4,6,1246,188060
2013-07-24,155,152,155,154,1,4,1423,216596
2013-07-25,161,158,158,155,3,7,2518,402000
2013-07-28,163,158,160,158,2,7,1824,292380
2013-07-29,163,162,163,160,3,4,1196,194494
2013-07-30,169,165,169,163,6,3,690,114310
2013-07-31,171,167,171,169,2,8,1821,305369
2013-08-01,180,174,175,171,4,20,4726,828213
2013-08-04,182,178,182,175,7,7,653,117140
2013-08-05,179,176,176,182,-6,2,143,25468
2013-08-06,175,172,172,176,-4,2,391,67825
2013-08-07,175,170,171,172,-1,8,1481,256919
2013-08-08,171,168,168,171,-3,11,2231,375877
2013-08-11,165,156,156,168,-12,14,1563,245889
2013-08-12,162,155,162,156,6,12,1832,288112
2013-08-13,168,159,159,162,-3,21,3641,592298
2013-08-14,160,157,160,159,1,7,1093,174108
2013-08-15,160,157,157,160,-3,6,614,96758
2013-08-18,163,158,159,157,2,14,3189,510967
2013-08-19,163,158,163,159,4,8,713,115239
2013-08-20,166,161,166,163,3,7,1102,179839
2013-08-25,163,160,161,166,-5,5,556,89716
2013-08-26,167,159,167,161,6,13,1924,313038
2013-08-27,167,165,167,167,,4,767,126923
2013-08-29,171,165,170,167,3,11,859,143776
2013-09-01,169,167,169,170,-1,2,156,26164
2013-09-02,171,167,169,169,,7,1333,226458
2013-09-03,171,165,165,169,-4,12,1851,309690
2013-09-04,169,164,169,165,4,17,3643,606708
2013-09-05,169,166,169,169,,7,1176,197766
2013-09-08,172,169,169,169,,9,1231,209009
2013-09-09,172,166,169,169,,12,2047,347745
2013-09-10,175,166,166,169,-3,8,660,112272
2013-09-11,168,163,163,166,-3,7,1849,307489
2013-09-12,162,160,160,163,-3,3,600,97034
2013-09-15,166,163,166,160,6,3,282,46274
2013-09-16,163,157,157,166,-9,6,329,53048
2013-09-17,161,154,161,157,4,8,507,79657
2013-09-19,162,157,160,161,-1,14,1948,311778
2013-09-22,160,157,158,160,-2,5,560,88500
2013-09-23,155,155,155,158,-3,3,471,73005
2013-09-24,157,152,157,155,2,8,1180,181683
2013-09-25,166,156,161,157,4,22,6778,1092698
2013-09-26,173,162,164,161,3,47,10220,1701998
2013-09-29,165,163,163,164,-1,7,3030,498290
2013-09-30,167,164,164,163,1,3,1537,255906
2013-10-01,166,157,157,164,-7,27,8349,1344191
2013-10-02,157,150,154,157,-3,61,52517,8052262
2013-10-03,154,149,154,154,,15,8108,1231171
2013-10-06,158,153,157,154,3,14,12146,1882903
2013-10-07,162,156,157,157,,31,18733,2968329
2013-10-08,159,155,155,157,-2,18,15100,2361644
2013-10-09,155,152,155,155,,2,17525,2665375
2013-10-10,164,157,164,155,9,13,13270,2114835
2013-10-17,170,164,170,164,6,9,3590,597368
2013-10-20,171,165,169,170,-1,26,11234,1893217
2013-10-21,172,165,168,169,-1,27,17977,3006460
