date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-04-24,1000,1000,1000,,,1,10,10000
2022-04-25,1000,1000,1000,1000,,1,12500,10625000
2022-06-01,1020,1020,1020,1000,20,1,50,51000
2022-09-13,999.6,922.2,922.2,1020,-97.8,5,50,48027
2022-09-15,903.8,903.8,903.8,922.2,-18.4,1,25,22595
2022-09-22,885.8,880,880,903.8,-23.8,5,109,95971
2022-12-07,862.4,862.4,862.4,880,-17.600000000000023,2,50,43120
2022-12-11,845.2,845.2,845.2,862.4,-17.199999999999932,2,20,16904
2022-12-29,828.3,811.8,811.8,845.2,-33.40000000000009,2,32,26340.6
2023-01-01,795.6,780,780,811.8,-31.799999999999955,15,425,332890
2023-01-02,770,750.7,760,780,-20,16,505,385266.9
2023-01-03,761,750.1,760,760,0,9,217,164592.5
2023-01-04,775.2,760,775.2,760,15.200000000000045,3,75,57380
2023-01-05,770,770,770,775.2,-5.2000000000000455,1,25,19250
2023-01-08,785,754.1,754.1,770,-15.899999999999977,3,75,57710
2023-01-09,770,750,770,754.1,15.899999999999977,6,150,113402.5
2023-01-10,770.1,750.2,750.2,770,-19.799999999999955,8,176,133033.3
2023-01-12,745.1,736,745.1,750.2,-5.100000000000023,6,130,96355
2023-01-17,735,725.3,725.3,745.1,-19.800000000000068,2,50,36507.5
2023-01-18,725.2,725.2,725.2,725.3,-0.09999999999990905,1,30,21756
2023-01-23,725,711,725,725.2,-0.20000000000004547,3,150,107400
2023-01-25,729.5,722.4,722.4,725,-2.6000000000000227,5,125,90700.5
2023-01-26,739.5,720,739.5,722.4,17.100000000000023,3,100,72737.5
2023-01-29,754.2,740,740,739.5,0.5,3,80,59555
2023-01-30,740,733,733,740,-7,4,250,183825
2023-01-31,722.1,722,722,733,-11,2,40,28882.5
2023-02-01,729,729,729,722,7,1,25,18225
2023-02-02,730,730,730,729,1,2,70,51100
2023-02-05,731,717.1,731,730,1,2,50,36202.5
2023-02-06,730,730,730,731,-1,2,44,32120
2023-02-07,738,738,738,730,8,1,25,18450
2023-02-08,749,735,749,738,11,2,55,40845
2023-02-09,740,740,740,749,-9,1,25,18500
2023-02-12,754.8,745,754.8,740,14.799999999999955,3,69,51620.6
2023-02-14,754.8,754,754.8,754.8,0,2,45,33946
2023-02-15,750,745,745,754.8,-9.799999999999955,4,90,67175
2023-02-16,746,745,745.5,745,0.5,3,50,37270
2023-02-20,749.7,735,749.7,745.5,4.2000000000000455,2,50,37117.5
2023-02-22,745,736.1,736.1,749.7,-13.600000000000023,2,55,40752.5
2023-02-23,750,736.1,750,736.1,13.899999999999977,2,130,97083
2023-02-26,760,740,760,750,10,3,75,56370
2023-02-28,750,750,750,760,-10,1,25,18750
2023-03-02,750,750,750,750,0,1,25,18750
2023-03-05,740,740,740,750,-10,1,25,18500
2023-03-07,764.9,754,764.9,740,24.899999999999977,7,320,243045
2023-03-09,757,755,755,764.9,-9.899999999999977,2,150,113450
2023-03-12,740,740,740,755,-15,1,10,7400
2023-03-13,750,750,750,740,10,1,55,41250
2023-03-14,764,750.2,764,750,14,2,40,30353
2023-03-15,756.1,756.1,756.1,764,-7.899999999999977,2,75,56707.5
2023-03-16,752,752,752,756.1,-4.100000000000023,1,25,18800
2023-03-19,747,742,742,752,-10,2,55,40935
2023-03-20,746,732,746,742,4,2,50,36950
2023-03-23,745,741.1,741.1,746,-4.899999999999977,2,80,59483
2023-03-27,755.9,755.9,755.9,741.1,14.799999999999955,1,20,15118
2023-03-28,755.9,755.9,755.9,755.9,0,1,25,18897.5
2023-03-29,741.5,741.5,741.5,755.9,-14.399999999999977,1,25,18537.5
2023-04-02,756.3,742,747,741.5,5.5,4,105,78664
2023-04-03,755,745,755,747,8,2,50,37500
2023-04-06,755,755,755,755,0,1,25,18875
2023-04-09,740.1,740,740,755,-15,2,50,37002.5
2023-04-10,754,749.9,750,740,10,5,130,97672.5
