date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-21,955,955,955,960,-5,4,125,119375
2022-02-24,955,955,955,955,,1,250,238750
2021-08-11,1000,1000,1000,,,1,10,10000
2021-08-12,1005,998,1005,1000,5,2,225,225950
2021-08-15,1000,984.9,1000,1005,-5,8,260,259249
2021-08-16,1001.2,995.1,1001.2,1000,1.2,3,80,79937.5
2021-08-17,1020,1003,1020,1001.2,18.8,12,786,792847.6
2021-08-18,1008,1006.3,1006.3,1020,-13.7,3,300,302199
2021-08-19,1000,1000,1000,1006.3,-6.3,1,25,25000
2021-08-24,1006.5,1006,1006.5,1000,6.5,4,330,331997.5
2021-08-25,1006.3,1006,1006.3,1006.5,-0.2,6,325,327032.5
2021-08-26,1026,1026,1026,1006.3,19.7,1,25,25650
2021-08-29,1006.5,1006.5,1006.5,1026,-19.5,1,25,25162.5
2021-08-31,1007,1007,1007,1006.5,0.5,1,100,100700
2021-09-01,1007.1,1007.1,1007.1,1007,0.1,1,25,25177.5
2021-09-02,1006,1000,1005,1007.1,-2.1,3,75,75275
2021-09-05,996,995.1,995.1,1005,-9.9,5,500,497610
2021-09-06,1007,1007,1007,995.1,11.9,1,50,50350
2021-09-08,1020,1015,1015,1007,8,3,180,183200
2021-09-09,1015,1015,1015,1015,,2,50,50750
2021-09-12,1000,1000,1000,1015,-15,2,100,100000
2021-09-13,1000,1000,1000,1000,,1,25,25000
2021-09-15,1014,1014,1014,1000,14,1,25,25350
2021-09-16,1000,1000,1000,1014,-14,1,50,50000
2021-09-22,999.6,980,999.6,1000,-0.4,2,35,34496
2021-09-23,1000,1000,1000,999.6,0.4,1,50,50000
2021-09-26,1005,1002,1005,1000,5,2,50,50175
2021-09-27,1002.8,1002.8,1002.8,1005,-2.2,1,100,100280
2021-10-03,983,983,983,1002.8,-19.8,1,25,24575
2021-10-24,978,978,978,983,-5,1,25,24450
2021-10-25,980,980,980,978,2,1,30,29400
2021-10-27,974.1,974.1,974.1,980,-5.9,1,25,24352.5
2021-11-01,988,988,988,974.1,13.9,1,30,29640
2021-11-02,978.1,978.1,978.1,988,-9.9,1,25,24452.5
2021-11-14,972.2,972.2,972.2,978.1,-5.9,1,25,24305
2021-11-16,975,975,975,972.2,2.8,1,25,24375
2021-11-22,976.2,975,975,975,,2,50,48780
2021-11-25,980,980,980,975,5,1,50,49000
2021-11-28,976,976,976,980,-4,1,25,24400
2021-11-29,976,976,976,976,,1,35,34160
2021-12-08,971.1,971.1,971.1,976,-4.9,1,25,24277.5
2021-12-12,972.1,972.1,972.1,971.1,1,1,25,24302.5
2021-12-20,972.7,972.7,972.7,972.1,0.6,1,20,19454
2021-12-27,990,990,990,972.7,17.3,1,100,99000
2021-12-28,970.2,970.2,970.2,990,-19.8,1,25,24255
2022-01-02,1000,989.6,1000,970.2,29.8,4,1115,1114380
2022-01-05,990,990,990,1000,-10,1,50,49500
2022-01-10,1005,1005,1005,990,15,1,300,301500
2022-01-12,985,985,985,1005,-20,1,25,24625
2022-01-17,965.3,965.3,965.3,985,-19.7,1,25,24132.5
2022-01-23,946,946,946,965.3,-19.3,1,25,23650
2022-01-24,946,946,946,946,,1,25,23650
2022-01-26,946,946,946,946,,1,25,23650
2022-01-31,950,950,950,946,4,2,130,123500
2022-02-03,950,950,950,950,,1,100,95000
2022-02-07,964.7,964.5,964.7,950,14.7,2,180,173626
2022-02-08,964,964,964,964.7,-0.7,1,50,48200
2022-02-16,960,960,960,964,-4,1,80,76800
2022-02-27,955,955,955,955,,12,1000,955000
2022-03-07,955,936,955,955,,4,123,117070
2022-03-14,955,955,955,955,,1,50,47750
2022-03-16,945,945,945,955,-10,1,25,23625
2022-03-21,945,945,945,945,,1,25,23625
2022-03-23,945,945,945,945,,1,50,47250
2022-03-28,940,940,940,945,-5,1,30,28200
2022-03-30,921.2,921.2,921.2,940,-18.8,1,25,23030
2022-04-04,915,915,915,921.2,-6.2,1,25,22875
2022-04-05,933.3,933.3,933.3,915,18.3,1,12,11199.6
2022-04-17,950,950,950,933.3,16.7,2,23,21850
2022-04-18,950,950,950,950,,1,25,23750
2022-04-25,965,965,965,950,15,2,50,48250
2022-06-26,945.7,945.7,945.7,965,-19.3,1,25,23642.5
2022-07-06,927,877.3,890,945.7,-55.7,10,150,132975
2022-07-07,903,876,903,890,13,3,55,48847.5
2022-07-15,921,921,921,903,18,1,10,9210
2022-07-22,902.6,902.6,902.6,921,-18.4,1,25,22565
2022-07-26,884.6,884.6,884.6,902.6,-18,1,25,22115
2022-08-02,867,867,867,884.6,-17.6,1,100,86700
2022-08-14,884.3,884.3,884.3,867,17.3,1,10,8843
2022-08-22,895,895,895,884.3,10.7,1,10,8950
2022-09-07,895,895,895,895,,1,50,44750
2022-10-10,895,895,895,895,,1,30,26850
