date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1003.6,1003.6,1003.6,1024,-20.4,1,15,15054
2022-02-22,1023,1003,1023,1003.6,19.4,2,310,316130
2020-08-02,1011,1000,1011,,1011,2,200,201100
2020-08-03,1010,1010,1010,1011,-1,1,25,25250
2020-08-05,1010,1010,1010,1010,,1,25,25250
2020-08-06,1012,1010,1012,1010,2,2,125,126450
2020-08-09,1010,1010,1010,1012,-2,2,75,75750
2020-08-11,1030,1030,1030,1010,20,1,100,103000
2020-08-12,1030,1030,1030,1030,,1,25,25750
2020-09-07,1031,1031,1031,1030,1,1,25,25775
2020-09-17,1031,1031,1031,1031,,1,25,25775
2020-10-04,1045,1045,1045,1031,14,1,60,62700
2020-10-06,1050,1050,1050,1045,5,1,25,26250
2020-10-28,1050,1050,1050,1050,,1,25,26250
2020-10-29,1060,1060,1060,1050,10,1,30,31800
2020-11-02,1064,1064,1064,1060,4,1,30,31920
2020-11-04,1070,1070,1070,1064,6,1,25,26750
2020-12-02,1080,1070,1070,1070,,3,100,107500
2020-12-08,1090,1090,1090,1070,20,1,25,27250
2020-12-13,1070,1070,1070,1090,-20,1,300,321000
2020-12-14,1070,1070,1070,1070,,1,25,26750
2020-12-22,1091,1091,1091,1070,21,1,25,27275
2020-12-23,1100,1100,1100,1091,9,1,20,22000
2021-01-03,1078,1078,1078,1100,-22,2,425,458150
2021-01-07,1082,1082,1082,1078,4,1,30,32460
2021-01-13,1103,1103,1103,1082,21,1,25,27575
2021-01-18,1081,1081,1081,1103,-22,2,37,39997
2021-01-21,1075,1075,1075,1081,-6,2,270,290250
2021-01-25,1075,1075,1075,1075,,1,55,59125
2021-01-26,1054,1054,1054,1075,-21,1,13,13702
2021-01-27,1056,1055,1056,1054,2,3,150,158375
2021-01-28,1071,1071,1071,1056,15,1,10,10710
2021-02-04,1070,1070,1070,1071,-1,1,40,42800
2021-02-08,1080,1063,1080,1070,10,2,50,53575
2021-02-11,1072,1072,1072,1080,-8,1,45,48240
2021-02-14,1070,1070,1070,1072,-2,1,25,26750
2021-02-16,1075,1075,1075,1070,5,1,25,26875
2021-02-17,1070,1070,1070,1075,-5,1,10,10700
2021-02-21,1065,1065,1065,1070,-5,1,25,26625
2021-02-22,1053,1053,1053,1065,-12,2,40,42120
2021-02-23,1056,1056,1056,1053,3,1,25,26400
2021-02-24,1075,1075,1075,1056,19,1,30,32250
2021-03-01,1075,1075,1075,1075,,1,25,26875
2021-03-02,1096,1095,1096,1075,21,2,125,136975
2021-03-04,1084,1084,1084,1096,-12,1,30,32520
2021-03-07,1084,1084,1084,1084,,1,25,27100
2021-03-09,1103,1100,1103,1084,19,2,200,220120
2021-03-15,1103,1103,1103,1103,,2,50,55150
2021-03-16,1125,1125,1125,1103,22,2,200,225000
2021-03-18,1120,1120,1120,1125,-5,1,360,403200
2021-03-22,1120,1120,1120,1120,,1,300,336000
2021-03-24,1120,1120,1120,1120,,1,50,56000
2021-03-29,1120,1120,1120,1120,,1,100,112000
2021-03-30,1140,1140,1140,1120,20,4,200,228000
2021-04-01,1150,1140,1140,1140,,2,90,103100
2021-04-19,1140,1140,1140,1140,,2,100,114000
2021-04-26,1140,1140,1140,1140,,1,150,171000
2021-05-02,1140,1140,1140,1140,,2,125,142500
2021-05-23,1118,1118,1118,1140,-22,1,40,44720
2021-05-25,1105,1105,1105,1118,-13,1,25,27625
2021-05-27,1086,1086,1086,1105,-19,1,25,27150
2021-06-08,1087,1087,1087,1086,1,1,10,10870
2021-06-09,1087,1070,1087,1087,,2,50,53925
2021-06-13,1090,1090,1090,1087,3,1,200,218000
2021-06-15,1111,1090,1111,1090,21,6,235,258960
2021-06-20,1133,1132,1133,1111,22,2,530,600290
2021-06-23,1115,1115,1115,1133,-18,1,200,223000
2021-07-01,1115,1115,1115,1115,,1,900,1003500
2021-07-11,1115,1115,1115,1115,,1,10,11150
2021-07-13,1137,1137,1137,1115,22,1,40,45480
2021-07-15,1115,1115,1115,1137,-22,1,100,111500
2021-07-19,1092.7,1049.5,1049.5,1115,-65.5,6,200,210696
2021-07-20,1045,1045,1045,1049.5,-4.5,1,100,104500
2021-07-22,1065.9,1050,1050,1045,5,2,125,132840
2021-07-26,1060,1060,1060,1050,10,2,210,222600
2021-07-29,1046.2,1046.2,1046.2,1060,-13.8,1,100,104620
2021-08-08,1060,1060,1060,1046.2,13.8,1,190,201400
2021-08-10,1085,1061.6,1085,1060,25,4,365,394839
2021-08-16,1070,1070,1070,1085,-15,1,210,224700
2021-08-19,1048.7,1048.6,1048.6,1070,-21.4,2,100,104865
2021-08-24,1050,1050,1050,1048.6,1.4,1,30,31500
2021-08-25,1040,1040,1040,1050,-10,1,50,52000
2021-09-02,1040.3,1040.3,1040.3,1040,0.3,1,125,130037.5
2021-09-06,1030,1020.1,1020.1,1040.3,-20.2,2,125,128255
2021-09-12,1040.5,1040.5,1040.5,1020.1,20.4,1,10,10405
