date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,11.1,10.84,10.84,11.2,-0.36,6,38475,417786.5
2022-02-21,10.83,10.8,10.82,10.84,-0.02,4,1500,16236
2022-02-22,10.9,10.9,10.9,10.82,0.08,3,4375,47687.5
2022-02-23,11.1,10.95,11.1,10.9,0.2,13,16400,180498.5
2022-02-24,11.01,10.75,10.95,11.1,-0.15,11,21400,233106
2019-11-11,10.3,10,10.3,,10.3,3,50000,505700
2019-11-17,10.1,10.1,10.1,10.3,-0.2,1,200,2020
2019-11-28,9.9,9.9,9.9,10.1,-0.2,3,2100,20790
2019-12-09,9.71,9.71,9.71,9.9,-0.19,1,500,4855
2019-12-10,9.52,9.52,9.52,9.71,-0.19,1,100,952
2019-12-15,9.5,9.5,9.5,9.52,-0.02,1,500,4750
2019-12-16,9.4,9.4,9.4,9.5,-0.1,1,1000,9400
2019-12-19,9.35,9.35,9.35,9.4,-0.05,1,100,935
2019-12-22,9.2,9.2,9.2,9.35,-0.15,1,200,1840
2019-12-24,9.02,9.02,9.02,9.2,-0.18,1,100,902
2019-12-25,8.9,8.9,8.9,9.02,-0.12,1,100,890
2019-12-26,8.85,8.85,8.85,8.9,-0.05,1,250,2212.5
2019-12-29,8.84,8.84,8.84,8.85,-0.01,1,500,4420
2019-12-31,9.01,8.69,9.01,8.84,0.17,4,1300,11542
2020-01-08,9,9,9,9.01,-0.01,2,200,1800
2020-01-14,8.85,8.85,8.85,9,-0.15,1,2000,17700
2020-01-16,9.02,9,9,8.85,0.15,3,500,4502
2020-01-20,9.21,9.03,9.21,9,0.21,3,150500,1386015
2020-01-21,9.1,9.1,9.1,9.21,-0.11,1,200,1820
2020-01-30,9,9,9,9.1,-0.1,1,1000,9000
2020-02-02,9.1,8.94,9.1,9,0.1,2,1100,9994
2020-02-03,9.2,9.2,9.2,9.1,0.1,1,2500,23000
2020-02-05,9.05,9.05,9.05,9.2,-0.15,3,1100,9955
2020-02-06,9,8.92,8.93,9.05,-0.12,4,1200,10750.5
2020-02-09,9,9,9,8.93,0.07,2,2000,18000
2020-02-10,9.18,9.18,9.18,9,0.18,1,400,3672
2020-02-11,9.2,9.05,9.05,9.18,-0.13,2,900,8220
2020-02-13,9.06,9.06,9.06,9.05,0.01,1,200,1812
2020-02-16,9.24,9.24,9.24,9.06,0.18,1,5000,46200
2020-02-17,9.27,9.27,9.27,9.24,0.03,1,10000,92700
2020-02-18,9.17,9.17,9.17,9.27,-0.1,2,1100,10087
2020-02-19,9.16,8.99,9.16,9.17,-0.01,3,2400,21916
2020-02-20,9.2,9.16,9.2,9.16,0.04,2,2700,24832
2020-02-23,9.2,9.15,9.15,9.2,-0.05,2,600,5515
2020-02-24,9.19,9.01,9.19,9.15,0.04,4,20500,188305
2020-02-25,9.25,9.05,9.25,9.19,0.06,3,700,6373
2020-02-26,9.43,9.35,9.35,9.25,0.1,4,4400,41235
2020-02-27,9.2,9.2,9.2,9.35,-0.15,1,1000,9200
2020-03-01,9.3,9.3,9.3,9.2,0.1,1,550,5115
2020-03-02,9.48,9.48,9.48,9.3,0.18,1,500,4740
2020-03-03,9.66,9.4,9.66,9.48,0.18,4,10400,100396
2020-03-04,9.47,9.4,9.4,9.66,-0.26,3,4300,40455
2020-03-11,9.22,9.04,9.14,9.4,-0.26,3,1000,9160
2020-03-12,9.01,9.01,9.01,9.14,-0.13,1,100,901
2020-03-18,9,9,9,9.01,-0.01,1,100,900
2020-07-05,8.82,8.82,8.82,9,-0.18,1,100,882
2020-07-06,8.65,8.65,8.65,8.82,-0.17,1,100,865
2020-07-07,8.6,8.5,8.6,8.65,-0.05,5,3800,32650
2020-07-08,8.6,8.6,8.6,8.6,,1,500,4300
2020-07-09,8.52,8.5,8.52,8.6,-0.08,4,1750,14883
2020-07-12,8.67,8.5,8.67,8.52,0.15,4,3700,32042
2020-07-13,8.8,8.59,8.8,8.67,0.13,2,500,4337
2020-07-14,9.68,8.97,9.68,8.8,0.88,9,4750,45548
2020-07-15,10.38,9.68,10.38,9.68,0.7,9,4800,47949
2020-07-21,10.18,10.18,10.18,10.38,-0.2,3,1300,13234
2020-07-23,9.98,9.85,9.85,10.18,-0.33,15,10100,100785
2020-07-26,9.85,9.66,9.7,9.85,-0.15,10,9000,87874
2020-07-27,9.6,9.51,9.59,9.7,-0.11,11,2650,25335.5
2020-07-28,10.25,9.78,10,9.59,0.41,22,39400,394617
2020-07-29,9.81,9.81,9.81,10,-0.19,2,1000,9810
2020-07-30,10,9.7,9.8,9.81,-0.01,7,7550,75178
2020-08-02,9.61,9.43,9.46,9.8,-0.34,9,15750,148854.5
2020-08-03,9.64,9.28,9.3,9.46,-0.16,8,3800,36044
2020-08-05,9.31,9.13,9.31,9.3,0.01,6,11300,103484
2020-08-06,9.2,9.16,9.2,9.31,-0.11,3,1400,12840
2020-08-09,9.42,9.38,9.42,9.2,0.22,8,3700,34794
2020-08-10,9.6,9.5,9.6,9.42,0.18,5,2000,19095
2020-08-11,9.9,9.79,9.9,9.6,0.3,5,12500,123718
2020-08-12,9.73,9.72,9.72,9.9,-0.18,2,1400,13618
2020-08-13,9.72,9.59,9.64,9.72,-0.08,8,6000,58127
2020-08-16,9.65,9.65,9.65,9.64,0.01,2,1200,11580
2020-08-18,9.61,9.6,9.6,9.65,-0.05,8,4600,44190
2020-08-19,9.6,9.42,9.6,9.6,,4,1400,13402
2020-08-20,9.5,9.48,9.5,9.6,-0.1,3,700,6648
2020-08-23,9.5,9.44,9.45,9.5,-0.05,8,6000,56674
2020-08-24,9.55,9.5,9.5,9.45,0.05,3,12600,119780
2020-08-25,9.45,9.4,9.45,9.5,-0.05,2,15100,142690
