date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2018-04-24,10.0,10.0,10.0,,10.0,1,1000,10000.0
2018-04-29,9.81,9.8,9.8,10.0,-0.2,3,1800,17650.0
2018-05-02,9.6,9.5,9.5,9.8,-0.3,4,1700,16220.0
2018-05-03,9.5,9.4,9.5,9.5,,3,1150,10835.0
2018-05-06,9.5,9.5,9.5,9.5,,1,900,8550.0
2018-05-08,9.5,9.36,9.5,9.5,,4,1600,15005.0
2018-05-10,9.35,9.32,9.35,9.5,-0.15,2,1000,9335.0
2018-05-16,9.4,9.4,9.4,9.35,0.05,1,500,4700.0
2018-05-21,9.23,9.23,9.23,9.4,-0.17,1,1000,9230.0
2018-05-22,9.23,9.23,9.23,9.23,,1,140,1292.2
2018-05-27,9.07,9.07,9.07,9.23,-0.16,1,5000,45350.0
2018-05-28,9.15,9.15,9.15,9.07,0.08,1,2000,18300.0
2018-05-29,9.52,9.33,9.52,9.15,0.37,6,3700,34671.0
2018-05-31,9.6,9.52,9.52,9.52,,2,4600,44152.0
2018-06-04,9.33,9.0,9.0,9.52,-0.52,3,1600,14583.0
2018-06-07,9.18,9.0,9.18,9.0,0.18,2,1100,10080.0
2018-06-10,9.13,8.95,9.0,9.18,-0.18,5,5600,50405.0
2018-06-11,8.91,8.82,8.82,9.0,-0.18,2,1100,9792.0
2018-06-13,8.82,8.82,8.82,8.82,,1,500,4410.0
2018-06-17,9.0,9.0,9.0,8.82,0.18,1,500,4500.0
2018-06-18,8.82,8.82,8.82,9.0,-0.18,1,500,4410.0
2018-06-27,8.9,8.9,8.9,8.82,0.08,1,1000,8900.0
2018-06-28,9.05,9.0,9.0,8.9,0.1,2,1000,9025.0
2018-07-01,9.1,9.03,9.1,9.0,0.1,3,3000,27235.0
2018-07-04,9.03,8.95,8.95,9.1,-0.15,2,1500,13505.0
2018-07-08,9.13,9.0,9.0,8.95,0.05,2,400,3613.0
2018-07-11,9.0,9.0,9.0,9.0,,1,1000,9000.0
2018-07-12,9.0,9.0,9.0,9.0,,2,1825,16425.0
2018-07-16,9.19,9.01,9.19,9.0,0.19,2,500,4523.0
2018-07-18,9.37,9.18,9.18,9.19,-0.01,4,3000,27654.0
2018-07-19,9.55,9.18,9.55,9.18,0.37,4,1500,14040.0
2018-07-22,9.55,9.36,9.55,9.55,,3,1700,16135.0
2018-07-25,9.55,9.36,9.55,9.55,,4,10500,99155.0
2018-07-26,9.4,9.4,9.4,9.55,-0.15,4,1300,12220.0
2018-07-29,9.4,9.21,9.21,9.4,-0.19,3,2500,23215.0
2018-07-30,9.2,9.05,9.2,9.21,-0.01,2,5200,47810.0
2018-07-31,9.08,9.05,9.07,9.2,-0.13,3,1100,9982.0
2018-08-01,8.93,8.89,8.89,9.07,-0.18,5,15000,133550.0
2018-08-02,9.07,9.07,9.07,8.89,0.18,1,2000,18140.0
2018-08-05,9.07,9.01,9.01,9.07,-0.06,2,5500,49855.0
2018-08-07,9.0,9.0,9.0,9.01,-0.01,1,100,900.0
2018-08-08,8.9,8.9,8.9,9.0,-0.1,1,100,890.0
2018-08-09,8.72,8.72,8.72,8.9,-0.18,2,200,1744.0
2018-08-13,8.89,8.89,8.89,8.72,0.17,4,5000,44450.0
2018-08-14,8.89,8.89,8.89,8.89,,1,1000,8890.0
2018-08-16,8.9,8.9,8.9,8.89,0.01,1,1000,8900.0
2018-08-20,8.75,8.58,8.58,8.9,-0.32,2,700,6040.0
2018-08-23,8.6,8.6,8.6,8.58,0.02,1,1000,8600.0
2018-08-28,8.6,8.6,8.6,8.6,,1,2500,21500.0
2018-08-29,8.57,8.57,8.57,8.6,-0.03,1,100,857.0
2018-08-30,8.74,8.74,8.74,8.57,0.17,1,1000,8740.0
2018-09-03,9.27,8.91,9.27,8.74,0.53,3,5700,51003.0
2018-09-04,9.31,9.31,9.31,9.27,0.04,2,400,3724.0
2018-09-05,9.3,9.3,9.3,9.31,-0.01,1,1000,9300.0
2018-09-06,9.55,9.49,9.55,9.3,0.25,6,10000,95440.0
2018-09-09,9.55,9.5,9.55,9.55,,2,4500,42925.0
2018-09-10,9.5,9.4,9.5,9.55,-0.05,3,3625,34237.5
2018-09-12,9.5,9.5,9.5,9.5,,1,1000,9500.0
2018-09-13,9.7,9.69,9.7,9.5,0.2,3,10100,97870.0
2018-09-16,9.7,9.6,9.7,9.7,,3,3600,34910.0
2018-09-17,9.7,9.7,9.7,9.7,,1,5000,48500.0
2018-09-18,9.7,9.7,9.7,9.7,,2,2200,21340.0
2018-09-20,9.7,9.7,9.7,9.7,,1,300,2910.0
2018-09-23,10.0,9.89,10.0,9.7,0.3,4,5500,54780.0
2018-09-25,10.1,10.0,10.1,10.0,0.1,8,35900,361740.0
2018-09-27,9.9,9.9,9.9,10.1,-0.2,2,1100,10890.0
2018-09-30,10.0,9.8,9.8,9.9,-0.1,3,6500,64900.0
2018-10-02,9.7,9.6,9.7,9.8,-0.1,6,2600,25200.0
2018-10-03,9.57,9.51,9.57,9.7,-0.13,4,6700,64113.0
2018-10-04,9.52,9.51,9.51,9.57,-0.06,3,4000,38045.0
2018-10-07,9.4,9.4,9.4,9.51,-0.11,1,100,940.0
2018-10-08,9.46,9.45,9.46,9.4,0.06,2,1100,10396.0
2018-10-09,9.5,9.5,9.5,9.46,0.04,1,500,4750.0
2018-10-10,9.4,9.4,9.4,9.5,-0.1,1,400,3760.0
2018-10-11,9.4,9.4,9.4,9.4,,1,2000,18800.0
2018-10-14,9.55,9.4,9.55,9.4,0.15,2,2000,18950.0
2018-10-15,9.42,9.42,9.42,9.55,-0.13,1,100,942.0
2018-10-21,9.46,9.46,9.46,9.42,0.04,7,4500,42570.0
2018-10-22,9.46,9.46,9.46,9.46,,1,3000,28380.0
2018-10-23,9.47,9.45,9.47,9.46,0.01,3,1300,12304.0
2018-10-25,9.5,9.45,9.45,9.47,-0.02,5,2150,20346.0
2018-10-28,9.45,9.45,9.45,9.45,,2,3400,32130.0
2018-10-29,9.26,9.26,9.26,9.45,-0.19,1,10000,92600.0
2018-10-31,9.26,9.21,9.22,9.26,-0.04,3,6300,58282.0
2018-11-05,9.2,9.2,9.2,9.22,-0.02,1,100,920.0
2018-11-13,9.1,9.0,9.0,9.0,,3,6500,58500.0
2018-11-14,9.18,9.0,9.0,9.0,,1,1000,9000.0
2018-11-15,9.0,8.91,8.0,9.0,-1.0,1,400,3200.0
2018-11-22,8.89,8.0,8.89,8.0,0.89,1,1000,8890.0
2018-11-25,9.0,8.89,9.0,8.89,0.11,1,500,4500.0
2018-11-27,9.0,8.89,8.89,9.0,-0.11,1,1000,8890.0
2018-11-28,9.0,8.89,8.93,8.89,0.04,5,8000,71895.0
2018-11-29,9.0,8.93,9.0,8.93,0.07,1,100,900.0
2018-12-02,9.0,8.89,9.0,9.0,,3,10000,89450.0
2018-12-03,9.0,8.91,8.91,9.0,-0.09,2,1100,9811.0
2018-12-06,9.09,8.85,8.85,8.91,-0.06,4,7000,62760.0
2018-12-10,9.02,8.85,9.02,8.85,0.17,1,3000,27060.0
2018-12-11,9.19,9.02,9.19,9.02,0.17,2,8400,77016.0
2018-12-12,9.19,8.95,8.95,9.19,-0.24,3,2000,18125.0
2018-12-13,8.95,8.85,8.85,8.95,-0.1,1,1000,8850.0
2018-12-16,9.0,8.85,9.0,8.85,0.15,1,1000,9000.0
2018-12-17,9.1,8.92,9.1,9.0,0.1,2,5100,46392.0
2018-12-18,9.27,9.1,9.27,9.1,0.17,1,2500,23175.0
2018-12-23,9.27,9.1,9.1,9.27,-0.17,3,300,2730.0
2018-12-24,9.1,9.0,9.0,9.1,-0.1,1,200,1800.0
2018-12-25,9.1,9.0,9.1,9.0,0.1,2,2300,20730.0
2018-12-26,9.27,9.1,9.27,9.1,0.17,1,1000,9270.0
2018-12-31,9.27,9.15,9.15,9.27,-0.12,1,300,2745.0
2019-01-01,9.15,9.0,9.05,9.15,-0.1,2,1000,9025.0
2019-01-02,9.06,9.05,9.06,9.05,0.01,1,100,906.0
2019-01-06,9.06,9.0,9.0,9.06,-0.06,5,11000,99000.0
2019-01-07,9.18,9.0,9.18,9.0,0.18,1,1000,9180.0
2019-01-08,9.18,9.09,9.1,9.18,-0.08,2,5600,50909.0
2019-01-09,9.1,8.93,9.1,9.1,,7,13400,121600.0
2019-01-10,9.19,9.01,9.01,9.1,-0.09,3,27500,248425.0
2019-01-13,9.02,9.01,9.02,9.01,0.01,1,1000,9020.0
2019-01-14,9.2,9.02,9.2,9.02,0.18,1,500,4600.0
2019-01-15,9.2,9.1,9.1,9.2,-0.1,1,500,4550.0
2019-01-16,9.28,9.1,9.2,9.1,0.1,3,1200,11125.0
2019-01-17,9.3,9.2,9.3,9.2,0.1,2,600,5560.0
2019-01-20,9.3,9.3,9.3,9.3,,2,2000,18600.0
2019-01-21,9.4,9.3,9.3,9.3,,5,6000,55810.0
2019-01-30,9.3,9.3,9.3,9.3,,4,3000,27900.0
2019-01-31,9.3,9.25,9.25,9.3,-0.05,3,300,2785.0
2019-02-04,9.25,9.15,9.25,9.25,,4,4450,40980.0
2019-02-05,9.25,9.15,9.2,9.25,-0.05,4,7000,64265.0
2019-02-06,9.2,9.02,9.02,9.2,-0.18,5,2200,20015.0
2019-02-07,9.02,8.84,8.84,9.02,-0.18,1,100,884.0
2019-02-10,8.84,8.68,8.77,8.84,-0.07,4,3000,26210.0
2019-02-11,8.77,8.62,8.67,8.77,-0.1,3,1000,8641.0
2019-02-13,8.85,8.67,8.85,8.67,0.18,3,1500,13270.0
2019-02-14,8.85,8.7,8.7,8.85,-0.15,1,100,870.0
2019-02-17,8.7,8.56,8.56,8.7,-0.14,2,700,5997.0
2019-02-18,8.72,8.56,8.72,8.56,0.16,1,1000,8720.0
2019-02-24,8.8,8.7,8.7,8.72,-0.02,2,1100,9670.0
2019-02-26,8.7,8.55,8.55,8.7,-0.15,1,200,1710.0
2019-02-27,8.6,8.55,8.6,8.55,0.05,4,3100,26510.0
2019-03-03,8.77,8.5,8.77,8.6,0.17,5,950,8167.0
2019-03-05,8.77,8.61,8.61,8.77,-0.16,1,300,2583.0
2019-03-06,8.66,8.56,8.66,8.61,0.05,2,650,5619.0
2019-03-07,8.66,8.52,8.52,8.66,-0.14,1,500,4260.0
2019-03-10,8.52,8.47,8.47,8.52,-0.05,1,500,4235.0
2019-03-11,8.63,8.47,8.63,8.47,0.16,1,1000,8630.0
2019-03-12,8.7,8.63,8.7,8.63,0.07,1,500,4350.0
2019-03-13,9.1,8.7,9.1,8.7,0.4,4,1800,16168.0
2019-03-14,9.0,9.0,9.0,9.1,-0.1,1,500,4500.0
2019-03-17,9.0,9.0,9.0,9.0,,2,1100,9900.0
2019-03-19,9.0,9.0,9.0,9.0,,1,1000,9000.0
2019-03-21,9.18,8.86,8.86,9.0,-0.14,4,3100,28120.0
2019-03-24,9.0,8.9,8.9,8.86,0.04,4,1200,10690.0
2019-03-25,8.91,8.91,8.91,8.9,0.01,1,100,891.0
2019-03-26,9.15,8.95,9.15,8.91,0.24,5,6950,63513.0
2019-03-27,9.0,9.0,9.0,9.15,-0.15,4,800,7200.0
2019-03-28,9.18,9.05,9.05,9.0,0.05,5,3100,28250.0
2019-03-31,9.0,8.9,9.0,9.05,-0.05,3,10300,92670.0
2019-04-01,8.86,8.83,8.83,9.0,-0.17,6,15000,132565.0
