date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,850,822,840,863,-23,235,30842,25794094
2022-02-21,855,834,846,840,6,94,15046,12645788.1
2022-02-22,860,848,848,846,2,100,12119,10312669.6
2022-02-23,845,836,844,848,-4,50,5622,4723582
2022-02-24,835,810,814,844,-30,182,18540,15220744.5
2010-06-29,360,360,360,363,-3,1,500,180000
2010-06-30,360,360,360,360,,1,1112,400320
2010-07-06,360,360,360,360,,1,494,177840
2010-08-04,360,360,360,360,,1,330,118800
2010-11-11,360,360,360,360,,1,1486,534960
2011-02-22,360,360,360,360,,1,56,20160
2011-03-07,360,360,360,360,,1,40,14400
2011-04-27,360,360,360,360,,1,2009,723240
2011-05-18,360,360,360,360,,1,6466,2327760
2011-06-29,353,346,346,360,-14,2,4070,1408661
2011-08-01,340,340,340,346,-6,2,1375,467500
2011-09-25,340,340,340,340,,1,20,6800
2011-11-13,334,334,334,340,-6,1,120,40080
2011-11-20,328,322,322,334,-12,2,5439,1752210
2011-11-28,316,290,290,322,-32,6,1126,334678
2011-11-29,285,280,280,290,-10,2,107,30245
2012-01-18,275,252,252,280,-28,8,1088,282644
2012-01-25,250,250,250,252,-2,2,75,18750
2012-01-29,250,245,245,250,-5,3,357,88440
2012-01-31,241,241,241,245,-4,1,27,6507
2012-02-01,244,244,244,241,3,1,13,3172
2012-02-06,242,236,238,244,-6,5,10686,2544892
2012-02-13,234,234,234,238,-4,1,54,12636
2012-02-15,230,230,230,234,-4,2,1201,276230
2012-02-28,230,230,230,230,,1,48,11040
2012-02-29,227,226,227,230,-3,2,270,61034
2012-03-01,223,223,223,227,-4,1,39,8697
2012-03-04,219,215,215,223,-8,2,163,35633
2012-03-06,211,211,211,215,-4,1,377,79547
2012-03-11,211,211,211,211,,1,13,2743
2012-03-19,203,203,203,207,-4,1,46,9338
2012-03-21,199,196,196,203,-7,2,375,74070
2012-03-28,193,190,190,196,-6,3,1948,370420
2012-04-09,190,190,190,190,,1,50,9500
2012-04-30,209,193,209,190,19,6,6097,1225363
2012-05-07,221,213,221,209,12,5,8082,1762590
2012-05-29,222,222,222,221,1,1,3170,703740
2012-06-12,202,198,200,222,-22,4,557,111358
2012-06-13,204,200,204,200,4,2,163,32828
2012-07-30,208,208,208,204,4,1,116,24128
2012-08-14,212,212,212,208,4,1,136,28832
2012-08-15,209,209,209,212,-3,1,246,51414
2012-09-09,219,219,219,209,10,1,20,4380
2012-09-11,229,229,229,219,10,1,20,4580
2012-09-12,240,240,240,229,11,1,20,4800
2012-09-13,252,252,252,240,12,1,20,5040
2012-09-16,264,264,264,252,12,1,20,5280
2012-09-17,282,277,282,264,18,3,184,51788
2012-09-18,286,286,286,282,4,1,20,5720
2012-09-19,300,294,294,286,8,4,3717,1093403
2012-09-20,323,308,323,294,29,4,56,17629
2012-09-23,345,339,339,323,16,4,282,95658
2012-09-24,334,321,321,339,-18,5,135,44446
2012-11-25,320,315,315,321,-6,3,273,86875
2012-12-03,311,290,290,315,-25,5,127,38178
2012-12-05,299,295,299,290,9,2,478,142522
2012-12-11,295,294,294,299,-5,2,512,150918
2012-12-12,290,290,290,294,-4,1,19,5510
2012-12-16,290,290,290,290,,1,13,3770
2012-12-20,291,291,291,290,1,2,62,18042
2012-12-23,291,291,291,291,,1,624,181584
2012-12-24,301,296,301,291,10,2,761,227786
2012-12-26,307,307,307,301,6,1,624,191568
2012-12-31,307,307,307,307,,1,859,263713
2013-02-05,256,256,256,307,-51,2,5149,1318144
2013-03-05,251,246,246,256,-10,2,205,50930
2013-04-03,247,247,247,250,-3,1,50,12350
2013-04-04,246,246,246,247,-1,1,50,12300
2013-04-29,249,249,249,246,3,1,32,7968
2013-05-02,245,245,245,249,-4,1,100,24500
2013-05-09,245,245,245,245,,1,51,12495
2013-05-20,245,245,245,245,,1,317,77665
2013-06-03,249,249,249,245,4,1,454,113046
2013-06-10,253,253,253,249,4,2,2600,657800
2013-06-27,253,245,253,253,,5,11628,2906797
2013-07-09,250,250,250,253,-3,3,11031,2757750
2013-07-22,245,233,233,250,-17,4,617,145093
2013-07-30,241,237,241,233,8,2,22,5258
2013-08-06,249,245,249,241,8,2,595,147043
2013-08-07,258,253,258,249,9,2,1354,347942
2013-08-08,273,253,273,258,15,7,2754,709552
2013-08-11,278,273,273,273,,8,5333,1470920
2013-08-12,268,249,250,273,-23,8,3487,871878
2013-08-15,246,244,244,250,-6,3,99,24236
2013-08-25,248,248,248,244,4,1,716,177568
2013-08-29,267,252,267,248,19,4,5000,1290000
2013-09-01,282,272,282,267,15,3,3879,1070088
2013-09-02,287,287,287,282,5,1,17,4879
2013-09-04,282,272,272,287,-15,3,716,201657
2013-09-05,272,272,272,272,,2,2021,549712
2013-09-08,287,277,287,272,15,3,74,20983
2013-09-10,302,292,302,287,15,4,1240,370770
2013-09-11,328,308,319,302,17,11,5123,1636024
2013-09-15,313,313,313,319,-6,1,287,89831
2013-09-24,319,319,319,313,6,1,25,7975
2013-10-03,350,320,350,319,31,7,3129,1005312
2013-10-06,385,357,385,350,35,6,150,56098
2013-10-07,410,380,410,385,25,12,6097,2400630
2013-10-08,423,415,423,410,13,5,313,130551
2013-10-10,446,430,446,423,23,3,177,77142
2013-10-21,446,439,439,446,-7,3,650,285700
2013-10-22,440,438,440,439,1,4,1033,454317
2013-10-24,440,440,440,440,,1,24,10560
2013-12-01,452,443,443,440,3,4,5812,2581224
2013-12-02,460,451,460,443,17,2,38,17327
2013-12-04,496,469,496,460,36,4,40,19300
2013-12-05,505,505,505,496,9,1,469,236845
2013-12-08,520,510,520,505,15,7,2549,1307445
2013-12-09,550,520,540,520,20,11,5866,3064880
2013-12-10,535,530,530,540,-10,2,687,366595
2013-12-11,520,520,520,530,-10,1,500,260000
2013-12-15,540,530,540,520,20,2,975,521440
2013-12-22,550,550,550,540,10,1,31,17050
2013-12-23,561,561,561,550,11,1,38,21318
2013-12-26,572,572,572,561,11,2,400,228800
2013-12-29,561,561,561,572,-11,1,72,40392
2013-12-31,560,560,560,561,-1,2,1000,560000
2014-01-01,560,540,540,560,-20,5,2250,1240500
2014-01-02,530,530,530,540,-10,1,1000,530000
2014-01-05,520,520,520,530,-10,1,25,13000
2014-01-06,529,529,529,520,9,1,172,90988
2014-01-07,520,520,520,529,-9,1,209,108680
2014-01-08,530,530,530,520,10,3,1226,649780
2014-01-12,520,520,520,530,-10,1,133,69160
2014-01-13,519,509,519,520,-1,9,3684,1883188
2014-01-14,530,525,530,519,11,4,3262,1726305
2014-01-16,535,535,535,530,5,1,500,267500
2014-01-20,583,545,583,535,48,5,2020,1125660
2014-01-21,617,594,617,583,34,4,1617,978902
2014-01-22,625,615,615,617,-2,2,521,320625
2014-01-23,640,620,620,615,5,9,2496,1572687
2014-01-27,630,630,630,620,10,1,551,347130
2014-01-28,642,642,642,630,12,1,1000,642000
2014-01-29,652,640,640,642,-2,3,3000,1926000
2014-02-02,645,640,642,640,2,6,1368,879367
2014-02-03,650,621,621,642,-21,4,4995,3114895
2014-02-04,632,620,632,621,11,2,613,381500
2014-02-05,639,615,629,632,-3,9,8571,5307385
2014-02-06,620,615,620,629,-9,3,656,406092
2014-02-09,632,619,632,620,12,3,720,448520
2014-02-10,644,632,640,632,8,7,5549,3550860
2014-02-11,635,630,635,640,-5,6,3669,2317215
2014-02-12,645,635,640,635,5,6,3250,2080750
2014-02-13,674,640,660,640,20,9,2719,1783528
2014-02-16,703,673,695,660,35,14,7852,5358422
2014-02-17,764,700,764,695,69,20,12666,9374271
2014-02-18,840,779,840,764,76,25,10866,9085430
2014-02-20,924,856,906,840,66,26,7873,7195644
2014-02-23,916,910,915,906,9,6,873,798243
2014-02-24,933,900,900,915,-15,7,1607,1465191
2014-02-25,885,855,855,900,-45,4,1050,921550
2014-02-26,838,806,806,855,-49,4,2301,1880238
2014-03-03,820,803,803,806,-3,5,838,678096
2014-03-04,805,789,804,803,1,5,1108,891233
2014-03-05,790,788,790,804,-14,3,580,457800
2014-03-06,800,790,800,790,10,3,703,561720
2014-03-09,800,790,800,800,,3,225,178250
2014-03-10,785,785,785,800,-15,2,969,760665
2014-03-11,779,779,779,785,-6,3,1500,1168500
2014-03-13,780,770,770,779,-9,2,943,732530
2014-03-17,765,750,750,770,-20,4,1400,1056000
2014-03-18,735,707,707,750,-43,3,395,281477
2014-03-19,721,647,647,707,-60,11,2209,1572409
2014-03-20,659,659,659,647,12,1,1021,672839
2014-03-23,724,672,724,659,65,5,2259,1584764
2014-03-24,782,738,782,724,58,7,417,323858
2014-03-25,860,797,827,782,45,16,3350,2799950
2014-03-26,845,800,800,827,-27,13,2179,1790805
2014-03-27,805,785,792,800,-8,6,2318,1842900
2014-03-31,780,751,751,792,-41,7,2714,2067500
2014-04-01,785,766,785,751,34,15,6834,5299395
2014-04-02,785,785,785,785,,1,278,218230
2014-04-03,780,770,780,785,-5,2,1677,1296290
2014-04-06,794,779,779,780,-1,2,556,433964
2014-04-07,790,780,790,779,11,2,779,610410
2014-04-09,800,775,784,790,-6,11,5853,4596850
2014-04-10,840,799,830,784,46,12,4753,3899550
2014-04-13,850,830,833,830,3,10,4794,4031194
2014-04-15,843,831,840,833,7,9,3193,2674728
2014-04-16,843,835,835,840,-5,2,392,327648
2014-04-17,849,840,840,835,5,5,1097,923679
2014-04-20,899,840,898,840,58,26,16334,14280315
2014-04-21,918,874,892,898,-6,33,8438,7504927
2014-04-22,909,858,890,892,-2,28,11511,10093119
2014-04-23,926,895,923,890,33,25,11501,10471107
2014-04-27,1000,941,969,923,46,34,10103,9778988
2014-04-28,979,931,950,969,-19,49,14857,14188933
2014-04-29,960,920,920,950,-30,48,21654,20358047
2014-04-30,520,520,520,920,-400,1,531,276120
2014-05-04,572,530,572,520,52,5,950,536940
2014-05-05,629,583,629,572,57,33,8106,5097504
2014-05-06,653,641,653,629,24,4,387,250974
2014-05-07,705,666,691,653,38,8,1426,966564
2014-05-08,685,685,685,691,-6,1,200,137000
2014-05-12,672,672,672,685,-13,1,100,67200
2014-05-21,659,646,646,672,-26,2,36,23490
2014-05-25,634,634,634,646,-12,1,18,11412
2014-05-27,622,622,622,634,-12,1,78,48516
2014-06-02,610,610,610,622,-12,1,18,10980
2014-06-11,598,576,576,610,-34,3,128,74146
2014-06-15,587,587,587,576,11,1,10,5870
2014-06-16,587,576,587,587,,3,110,63670
2014-06-18,580,559,587,587,-27,7,6473,3676148
2014-06-19,580,560,560,560,,11,1566,894293
2014-06-24,570,550,550,560,-10,5,998,552416
2014-06-30,540,530,531,550,-19,6,1270,675900
2014-07-01,539,530,538,531,7,4,2086,1119827
2014-07-02,591,548,591,538,53,22,8333,4755060
2014-07-03,634,600,603,591,12,21,6585,4062523
2014-07-06,642,584,620,603,17,15,7760,4635600
2014-07-07,674,632,673,620,53,18,8125,5278240
2014-07-08,712,680,695,673,22,15,5430,3797666
2014-07-09,695,669,669,695,-26,4,896,605872
2014-07-10,665,630,630,669,-39,8,1482,949580
2014-07-13,618,618,618,630,-12,1,239,147702
2014-07-14,618,618,618,618,,1,46,28428
2014-07-15,620,619,620,618,2,2,55,34082
2014-07-16,611,610,610,620,-10,2,525,320750
2014-07-17,630,612,612,610,2,8,1159,720910
2014-07-20,601,589,589,612,-23,2,1000,595000
2014-07-21,612,600,612,589,23,3,525,315300
2014-07-22,615,610,615,612,3,2,400,244500
2014-07-23,605,600,600,615,-15,2,1500,905000
2014-07-31,605,600,605,600,5,2,271,163725
2014-08-03,600,600,600,605,-5,1,500,300000
2014-08-06,589,541,541,600,-59,8,2660,1458690
2014-08-07,531,490,510,541,-31,21,4631,2334787
2014-08-12,510,500,500,510,-10,3,839,424500
2014-08-13,510,500,510,500,10,3,813,407550
2014-08-14,520,520,520,510,10,1,194,100880
2014-08-18,520,511,515,520,-5,4,294,151189
2014-08-20,505,464,470,515,-45,15,2679,1283256
2014-08-21,484,470,480,470,10,6,1016,481920
2014-08-24,475,472,472,480,-8,4,1000,474500
2014-08-27,481,479,481,472,9,3,312,149848
2014-08-28,491,482,491,481,10,4,344,166378
2014-08-31,482,473,473,491,-18,2,700,332900
2014-09-01,470,470,470,473,-3,2,275,129250
