date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1135,1105,1124.5,1144,-19.5,239,8519,9539509
2022-02-21,1130,1103,1126,1124.5,1.5,178,5071,5694779.6
2022-02-22,1148.5,1122,1123,1126,-3,219,6161,6952880.3
2022-02-23,1125,1110,1120,1123,-3,197,6299,7048084
2022-02-24,1110,1098,1099.5,1120,-20.5,252,9720,10711776.2
2020-07-09,364,331,364,331,33,20,230,82440
2020-07-12,400,371,400,364,36,23,260,103250
2020-07-13,440,408,440,400,40,36,400,175200
2020-07-14,484,448,484,440,44,26,250,119810
2020-07-15,532,508,532,484,48,97,1050,558180
2020-07-16,585,542,585,532,53,104,1170,683360
2020-07-19,626,614,626,585,41,2,20,12400
2020-07-20,688,657,688,626,62,732,8160,5611680
2020-07-21,756,722,756,688,68,3244,38948,29340328
2020-07-22,831,793,805,756,49,18645,221826,181584821
2020-07-23,820,781,793,805,-12,7847,89223,70704095
2020-07-26,795,775,781,793,-12,6185,80655,62925155
2020-07-27,855,780,821,781,40,5961,96139,77920085
2020-07-28,839,810,830,821,9,4514,59825,49478790
2020-07-29,840,807,812,830,-18,3134,53350,43768120
2020-07-30,820,800,806,812,-6,2474,44120,35646810
2020-08-02,810,783,787,806,-19,2729,52090,41116162
2020-08-03,799,772,787,787,,1822,29520,23091985
2020-08-05,785,768,770,787,-17,2238,33236,25656934
2020-08-06,775,760,763,770,-7,2028,27895,21309065
2020-08-09,764,730,756,763,-7,2476,43385,32388975
2020-08-10,795,742,793,756,37,2464,34851,26764631
2020-08-11,793,772,778,793,-15,1755,30656,23869105
2020-08-12,780,765,767,778,-11,1830,26710,20570025
2020-08-13,770,753,759,767,-8,1823,30385,23114275
2021-03-31,795,759,795,765.12,29.88,24,239,188336
2021-04-01,874,834,874,795,79,33,451,391934
2021-04-04,961,917,961,874,87,307,3460,3322541
2021-04-05,1057,980,1057,961,96,94,1217,1283947
2021-04-06,1162,1109,1162,1057,105,97,1052,1220515
2021-04-07,1278,1220,1278,1162,116,114,1399,1786322
2021-04-08,1405,1297,1405,1278,127,66,731,1024845
2021-04-12,1545,1545,1545,1405,140,211,2882,4431210
2021-04-13,1699,1622,1699,1545,154,306,10426,17712269
2021-04-15,1868,1783,1868,1699,169,6408,269135,498963998
2021-04-18,2037,1831,1899,1868,31,10031,288975,553227180
2021-04-19,1940,1840,1849,1899,-50,5091,123524,231182553
2021-04-20,1900,1802,1818,1849,-31,3941,85694,156451074
2021-04-21,1900,1785,1793,1818,-25,3066,77827,140637057
2021-04-22,1885,1764,1837,1793,44,4498,116471,213579007
2021-04-25,1900,1761,1764,1837,-73,2890,71662,128018564
2021-04-26,1794,1700,1701,1764,-63,2772,73976,127765392
2021-04-27,1760,1700,1755,1701,54,1705,38987,67630180
2021-04-28,1806,1718,1729,1755,-26,1130,28733,50020377
2021-04-29,1750,1711,1726,1729,-3,999,20952,36232702
2021-05-02,1748,1710,1736,1726,10,1582,39847,68933507
2021-05-03,1765,1721,1738,1736,2,1236,28252,49240759
2021-05-04,1830,1725,1809,1738,71,2159,62225,110577683
2021-05-05,1910,1825,1873,1809,64,3540,119789,223615625
2021-05-06,1885,1820,1821,1873,-52,1760,48227,88706563
2021-05-09,1821,1764,1769,1821,-52,1354,36361,64941917
2021-05-10,1800,1747,1780,1769,11,1037,21338,37998836
2021-05-11,1805,1771,1780,1780,,1009,25790,46150209
2021-05-12,1795,1766,1773,1780,-7,807,21623,38521761
2021-05-13,1800,1750,1772,1773,-1,871,19962,35404082
2021-05-16,1795,1775,1790,1772,18,1076,29210,52070339
2021-05-17,1810,1780,1783,1790,-7,1051,29173,52165636
2021-05-18,1800,1780,1790,1783,7,1141,39058,69702401
2021-05-19,1836,1781,1798,1790,8,1781,66643,120666365
2021-05-20,1820,1776,1783,1798,-15,1051,31918,57211350
2021-05-23,1793,1750,1780,1783,-3,988,33784,60100764
2021-05-24,1790,1760,1762,1780,-18,1176,35799,63426867
2021-05-25,1785,1758,1758,1762,-4,939,23995,42364981
2021-05-27,1733,1607,1673,1758,-85,3405,111261,187343940
2021-05-30,1700,1655,1658,1673,-15,1487,41047,68517318
2021-05-31,1683,1644,1650,1658,-8,1452,43055,71223032
2021-06-01,1666,1622,1633,1650,-17,966,26567,43599744
2021-06-02,1670,1622,1643,1633,10,886,20574,33661845
2021-06-03,1725,1649,1649,1643,6,1010,25530,42426662
2021-06-06,1681,1641,1644,1649,-5,933,25578,42154787
2021-06-07,1660,1634,1634,1644,-10,960,21195,34798306
2021-06-08,1705,1626,1628,1634,-6,1032,34635,56525182
2021-06-09,1651,1625,1629,1628,2,904,34825,56779964
2021-06-10,1650,1614,1617,1629,-12,984,29349,47569564
2021-06-13,1628,1578,1609,1617,-8,1272,36522,58978353
2021-06-14,1635,1605,1616,1609,7,1005,28333,45797248
2021-06-15,1622,1600,1603,1616,-13,1110,29455,47286247
2021-06-16,1709,1595,1660,1603,57,1809,61567,102540870
2021-06-17,1723,1619,1629,1660,-31,802,24410,40068621
2021-06-20,1640,1595,1599,1629,-30,1152,27748,44567447
2021-06-21,1620,1520,1566,1599,-33,1046,27217,42897180
2021-06-22,1598,1550,1573,1566,7,791,23267,36538558
2021-06-23,1589,1539,1539,1573,-34,664,20286,31506527
2021-06-24,1566,1500,1516,1539,-23,1011,23509,35712348
2021-06-27,1540,1499,1507,1516,-9,951,20011,30205233
2021-06-28,1566,1510,1544,1507,37,995,25558,39398538
2021-06-29,1610,1546,1548,1544,4,845,24360,38278161
2021-06-30,1555,1515,1516,1548,-32,515,12917,19685637
2021-07-01,1538,1510,1516,1516,,658,15784,23981906
2021-07-04,1530,1509,1510,1516,-6,638,12304,18664137
2021-07-05,1539,1497,1500,1510,-10,704,21852,32836318
2021-07-06,1525,1496,1500,1500,,599,17498,26264463
2021-07-07,1520,1495,1499,1500,-1,596,14768,22197389
2021-07-08,1528,1499,1511,1499,12,551,13684,20695454
2021-07-11,1550,1511,1550,1511,39,609,16629,25534551
2021-07-12,1570,1525,1538,1550,-12,509,19812,30610156
2021-07-13,1555,1525,1539,1538,1,323,7292,11207935
2021-07-14,1548,1518,1531,1539,-8,388,7827,12000438
2021-07-15,1545,1530,1545,1531,14,500,17437,26769455
2021-07-18,1612,1560,1605,1545,60,796,27529,43664803.5
2021-07-19,1669,1608,1615,1605,10,596,19763,32231326.3
2021-07-20,1636,1600,1605,1615,-15,474,11650,18776750.7
2021-07-22,1620,1591,1595.4,1605,-9,619,16338,26143636.5
2021-07-25,1601,1590.5,1594,1595.4,-1.4,584,15010,23954406
2021-07-26,1642,1585.1,1638,1594,44,1013,31482,51272370.3
2021-07-27,1611,1551.1,1599,1638,-39,1090,42050,66999672.3
2021-07-28,1635,1588,1605,1599,6,749,17791,28668836.7
2021-07-29,1630,1590.2,1595,1605,-10,447,13485,21554026.7
