date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,374,355,361.5,369,-7.5,1897,224491,81730331.6
2022-02-21,375,362,365.9,361.5,4.4,1138,118146,43191813.7
2022-02-22,371,363.2,364.9,365.9,-1,1173,111847,40999535
2022-02-23,367,358,360,364.9,-4.9,1254,137830,49786923.8
2022-02-24,360.9,350,354,360,-6,1575,235395,83278487.9
2021-02-14,374,340,374,340,34,1479,59931,22154433
2021-02-15,411,392,411,374,37,1072,47850,19661613
2021-02-16,452,431,452,411,41,1055,49192,22215572
2021-02-17,497,474,497,452,45,16724,1397128,694361119
2021-02-18,546,521,546,497,49,16000,932534,508269835
2021-02-21,600,573,600,546,54,13752,920940,552112023
2021-02-22,660,630,660,600,60,7014,487154,321231917
2021-02-23,726,594,594,660,-66,11055,1081395,739452518
2021-02-24,642,340,562,594,-32,18821,992207,560040905
2021-02-25,595,526,543,562,-19,30002,1649933,903567577
2021-02-28,550,507,508,543,-35,23566,1229080,634955460
2021-03-01,535,482,529,508,21,15477,863802,444852647
2021-03-02,541,508,515,529,-14,8790,494666,258071295
2021-03-03,520,503,508,515,-7,7664,428048,217588852
2021-03-04,558,508,552,508,44,11795,989491,532390676
2021-03-07,570,539,542,552,-10,9288,779371,427840924
2021-03-09,547,528,532,542,-10,7124,476968,254979498
2021-03-10,540,522,531,532,-1,6514,389669,207125154
2021-03-14,541,521,523,531,-8,7824,521372,275668518
2021-03-15,557,528,537,523,14,9786,807526,436221809
2021-03-16,550,530,533,537,-4,5290,317765,170266454
2021-03-17,540,527,530,533,-3,5419,378017,200488423
2021-03-18,535,525,525,530,-5,5827,409283,216695278
2021-03-21,534,525,528,525,3,7097,401215,211838748
2021-03-22,537,522,524,528,-4,5872,375082,197703100
2021-03-23,550,520,540,524,16,9893,973981,526094572
2021-03-24,588,545,581,540,41,10959,1140973,651501695
2021-03-25,631,585,608,581,27,14516,1488090,910880719
2021-03-29,622,603,606,608,-2,7782,724630,443165363
2021-03-30,611,591,592,606,-14,7634,802167,480094271
2021-03-31,604,590,593,592,1,4864,508187,302623446
2021-04-01,615,588,595,593,2,1064,96466,57480193
2021-04-04,600,577,581,595,-14,7841,814795,475699499
2021-04-05,588,574,576,581,-5,5633,500352,289463828
2021-04-06,606,572,606,576,30,7433,672591,398057236
2021-04-07,612,591,592,606,-14,4812,468589,280491735
2021-04-08,621,588,589,592,-3,4303,432501,255524149
2021-04-12,590,580,584,589,-5,5223,377732,221197570
2021-04-13,589,580,585,584,1,4436,361253,211026053
2021-04-15,604,580,594,585,9,8603,835570,498734273
2021-04-18,623,581,585,594,-9,5574,476981,279856434
2021-04-19,588,579,581,585,-4,4409,411738,239360841
2021-04-20,584,575,578,581,-3,4422,343512,198672665
2021-04-21,581,560,572,578,-6,4106,444290,254598639
2021-04-22,572,561,562,572,-10,4934,457462,258748348
2021-04-25,570,537,541,562,-21,6791,723657,395252640
2021-04-26,541,520,526,541,-15,5784,476237,252981740
2021-04-27,548,517,547,526,21,4259,392155,211677436
2021-04-28,555,532,545,547,-2,2675,209761,114641622
2021-04-29,549,534,542,545,-3,2684,210781,114279443
2021-05-02,545,535,542,542,,4014,448160,242246556
2021-05-03,554,542,544,542,2,3643,368189,201660082
2021-05-04,560,541,544,544,,2524,302660,164860071
2021-05-05,544,539,540,544,-4,2478,230204,124601784
2021-05-06,540,531,532,540,-8,2867,282014,150756153
2021-05-09,535,520,528,532,-4,3759,297827,157395044
2021-05-10,540,525,534,528,6,2686,182691,97261154
2021-05-11,543,530,537,534,3,2459,216667,116713070
2021-05-12,545,511,534,537,-3,1854,167760,89849014
2021-05-13,537,525,531,534,-3,2459,256911,136794532
2021-05-16,549,526,547,531,16,4418,546356,294990546
2021-05-17,560,545,546,547,-1,3159,331567,182353256
2021-05-18,553,542,544,546,-2,2931,314084,171339779
2021-05-19,552,537,538,544,-6,3044,323110,175636344
2021-05-20,560,530,537,538,-1,2993,371438,199767111
2021-05-23,543,529,538,537,1,3303,362473,194864909
2021-05-24,545,535,536,538,-2,3330,344835,185478431
2021-05-25,555,532,534,536,-2,2708,261918,139992847
2021-05-27,536,529,530,534,-4,3512,391248,207873796
2021-05-30,545,528,530,530,,4600,522428,277933295
2021-05-31,535,526,526,530,-4,3678,332230,175793236
2021-06-01,532,522,525,526,-1,2956,285458,150125522
2021-06-02,532,522,524,525,-1,3205,312966,164348306
2021-06-03,540,525,533,524,9,5473,618859,331386774
2021-06-06,581,542,578,533,44,10381,1478885,839044067
2021-06-07,599,566,572,578,-6,6664,805770,466288021
2021-06-08,578,560,561,572,-10,4317,588485,333115109
2021-06-09,568,547,549,561,-12,3598,466594,258073985
2021-06-10,560,531,541,549,-8,3805,444293,242045120
2021-06-13,548,534,537,541,-4,4182,419915,225843331
2021-06-14,565,539,550,537,13,5026,577558,316920942
2021-06-15,563,539,539,550,-11,3098,320786,174565620
2021-06-16,536,523,534,539,-5,4888,483442,256301694
2021-06-17,535,525,529,534,-5,3826,464954,245450708
2021-06-20,537,520,523,529,-6,3954,388678,203801916
2021-06-21,526,509,510,523,-13,4462,420675,216499879
2021-06-22,524,505,524,510,14,3693,402416,207335025
2021-06-23,533,511,512,524,-12,2369,201087,103528587
2021-06-24,518,508,510,512,-3,3151,252503,128823709
2021-06-27,519,506,511,510,1,3680,306783,156557063
2021-06-28,518,505,509,511,-2,2695,185355,94407933
2021-06-29,515,502,503,509,-6,2620,247114,125059436
2021-06-30,505,495,500,503,-3,3032,240095,119653720
2021-07-01,508,500,501,500,1,2616,209366,105338016
2021-07-04,505,496,497,501,-4,3009,184761,92046354
2021-07-05,499,488,489,497,-8,3244,271311,133235970
2021-07-06,495,481,484,489,-5,3157,255098,123746853
2021-07-07,486,478,479,484,-5,2578,227513,109376070
2021-07-08,508,473,490,479,11,3071,290179,139925228
2021-07-11,512,495,511,490,21,3964,373329,187845642
2021-07-12,536,490,495,511,-16,3175,364593,182771558
2021-07-13,504,488,494,495,-1,2148,253886,125187965
2021-07-14,505,489,491,494,-3,1693,154072,75807817
2021-07-15,497,490,492,491,1,1878,164324,80746434
2021-07-18,504,492,499,492,7,2663,207820,103500851.2
2021-07-19,508,495.4,498,499,-2,2314,212059,105896353.8
2021-07-20,500,491,492,498,-6,1903,159685,78801884.6
2021-07-22,497,490,492.6,492,2,2886,209467,102985225.7
2021-07-25,498,490.1,492,492.6,-0.6,3646,300559,148165022.4
2021-07-26,496,487.1,488,492,-4,3415,294200,144105616.6
2021-07-27,495.2,482,492.5,488,4.5,3540,293096,142770973.7
2021-07-28,495,486.1,490,492.5,-2.5,2681,216256,105812945.7
2021-07-29,493,486.6,487,490,-3,2523,206567,100796946.9
2021-08-01,496.7,484.1,484.7,487,-2.3,3200,220642,107099859.4
2021-08-02,485.2,481.1,481.5,484.7,-3.2,2988,232036,111887840.4
2021-08-03,491,480,483.5,481.5,2.5,3181,233403,112664530.4
2021-08-04,516,473.9,499.5,483.5,16,5418,552344,276543752.5
2021-08-05,505,489,492,499.5,-7.5,2724,226837,111865875.9
2021-08-08,488,480,482,492,-10,4103,392438,189108037.8
2021-08-09,482,477,478,482,-4,3550,311376,148888217.2
2021-08-10,487.5,475,481,478,3,3823,344596,164955950.7
2021-08-11,490,476,478,481,-3,2831,267068,127875755.9
2021-08-12,487,466.6,475.5,478,-2.5,3240,296207,141329908.4
2021-08-15,482,467,468,475.5,-6.7,3762,365348,171712442.9
2021-08-16,470,460.1,461.9,468,-6.1,4199,329789,152712194.3
2021-08-17,466,455,456,461.9,-5.9,4299,374615,171288666.7
2021-08-18,494,449.5,480,456,24,6655,693344,327692033.5
2021-08-19,492,465,469,480,-11.9,3590,297630,141836051.7
2021-08-24,469,457,458.3,469,-10.7,2865,212566,97816903.1
2021-08-25,456,450.2,451.2,458.3,-7.1,2506,203612,92120204.3
2021-08-26,460,447,448.4,451.2,-2.8,3278,268366,120764923.3
2021-08-29,453,439,439.1,448.4,-9.3,4196,308431,136352044.2
2021-08-31,444,427,428,439.1,-11.1,3551,284420,122449563.8
2021-09-01,442.6,427,431,428,3,2739,189142,81740592.8
