date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1184,1140,1145.1,1185,-39.9,243,22433,25957340.5
2022-02-21,1168,1130,1144,1145.1,-1.1,200,17686,20130812.5
2022-02-22,1166,1146,1158.8,1144,14.8,113,8621,9972187.4
2022-02-23,1170,1136,1140,1158.8,-18.8,102,9351,10708662.7
2022-02-24,1140,1105,1116,1140,-24,198,12264,13718806.4
2010-06-22,107,107,107,107,,2,200,21400
2010-07-05,109,105,105,107,-2,4,44,4708
2010-07-11,107,107,107,105,2,1,22,2354
2010-07-28,109,109,109,107,2,1,77,8393
2010-08-02,110,110,110,109,1,5,80,8800
2010-08-08,112,112,112,110,2,1,252,28224
2010-08-11,114,114,114,112,2,1,200,22800
2010-08-17,115,114,115,114,1,5,154,17589
2010-08-22,117,117,117,115,2,1,44,5148
2010-08-30,119,119,119,117,2,3,33,3927
2010-09-05,121,121,121,119,2,1,8152,986392
2010-09-08,121,121,121,121,,1,8152,986392
2010-09-09,121,121,121,121,,1,8152,986392
2010-09-14,121,121,121,121,,3,110,13310
2010-09-19,121,121,121,121,,1,8152,986392
2010-09-26,121,121,121,121,,1,22,2662
2010-10-28,120,120,120,121,-1,7,110,13200
2010-11-21,120,120,120,120,,1,640,76800
2010-11-22,120,120,120,120,,2,220,26400
2010-12-12,118,118,118,120,-2,1,22,2596
2011-01-13,118,118,118,118,,1,8152,961936
2011-02-14,118,118,118,118,,1,8152,961936
2011-03-24,118,118,118,118,,1,886,104548
2011-03-27,118,118,118,118,,1,76,8968
2011-03-29,118,118,118,118,,3,264,31152
2012-08-28,107,100,100,118,-18,9,620,64290
2012-08-29,110,102,110,100,10,9,896,98220
2012-08-30,121,112,121,110,11,7,468,54673
2012-09-02,127,118,118,121,-3,13,1651,200434
2012-09-05,116,114,114,118,-4,2,46,5290
2012-09-06,112,106,108,114,-6,6,946,103666
2012-09-09,110,110,110,108,2,3,167,18370
2012-09-11,110,106,110,110,,8,436,46649
2012-09-13,112,112,112,110,2,2,46,5152
2012-09-16,114,110,114,112,2,6,870,97498
2012-09-17,116,114,116,114,2,4,740,85081
2012-09-18,120,118,118,116,2,3,570,67306
2012-09-20,116,114,116,118,-2,3,136,15688
2012-10-02,117,114,114,116,-2,3,10758,1257833
2012-10-03,112,112,112,114,-2,1,23,2576
2012-10-04,110,110,110,112,-2,6,254,27940
2012-10-07,120,112,118,110,8,8,622,73560
2012-10-08,119,116,119,118,1,3,531,62489
2012-10-09,129,121,128,119,9,10,1479,183013
2012-10-10,130,130,130,128,2,1,23,2990
2012-10-15,128,124,124,130,-6,3,185,23312
2012-10-30,122,122,122,124,-2,1,100,12200
2012-10-31,120,120,120,122,-2,1,39,4680
2012-11-06,118,118,118,120,-2,1,24,2832
2012-11-20,116,116,116,118,-2,1,13,1508
2012-11-27,114,114,114,116,-2,1,100,11400
2012-12-10,112,112,112,114,-2,1,400,44800
2013-01-07,109,107,109,108,1,4,503,54731
2013-01-15,107,105,105,109,-4,3,154,16332
2013-01-17,107,106,107,105,2,3,98,10401
2013-01-23,113,109,113,107,6,4,743,81227
2013-01-24,117,115,117,113,4,2,352,40986
2013-01-28,117,115,117,117,,2,244,28260
2013-01-31,117,117,117,117,,1,253,29601
2013-02-04,119,119,119,117,2,1,24,2856
2013-02-28,117,117,117,119,-2,1,20,2340
2013-04-23,121,119,121,117,4,2,54,6446
2013-04-25,121,119,119,121,-2,2,420,50620
2013-04-29,118,118,118,119,-1,3,72,8496
2013-04-30,116,116,116,118,-2,1,72,8352
2013-06-04,114,106,114,116,-2,5,495,54560
2013-06-05,116,113,113,114,-1,5,1575,180944
2013-06-06,115,113,115,113,2,3,813,93361
2013-07-01,117,115,115,115,,2,132,15224
2013-07-04,113,113,113,115,-2,1,100,11300
2013-07-29,115,115,115,113,2,1,142,16330
2013-07-30,121,117,119,115,4,6,375,44189
2013-07-31,123,121,123,119,4,2,33,4015
2013-08-01,125,123,125,123,2,4,327,40345
2013-08-05,123,123,123,125,-2,1,160,19680
2013-08-06,128,124,124,123,1,6,5020,629060
2013-08-12,126,126,126,124,2,2,198,24948
2013-08-14,134,127,134,126,8,8,740,96995
2013-08-15,143,135,143,134,9,7,470,65502
2013-08-18,157,143,157,143,14,13,787,117299
2013-08-19,172,160,172,157,15,7,1124,190703
2013-08-20,189,175,189,172,17,12,4380,815461
2013-08-25,207,189,207,189,18,13,2102,409867
2013-08-26,227,211,227,207,20,11,358,80730
2013-08-27,239,225,225,227,-2,31,4338,1015652
2013-08-29,229,224,224,225,-1,3,462,104523
2013-09-03,220,204,204,224,-20,5,203,43116
2013-09-12,200,200,200,204,-4,1,54,10800
2013-10-06,196,193,193,200,-7,3,120,23310
2013-10-08,190,178,178,193,-15,5,50,9200
2013-10-09,175,169,169,178,-9,4,439,75031
2013-10-10,166,166,166,169,-3,1,27,4482
2013-10-20,163,150,150,166,-16,6,84,12951
2013-10-21,147,136,138,150,-12,13,1088,152764
2013-10-22,144,139,144,138,6,11,1073,151259
2013-10-23,146,146,146,144,2,1,13,1898
2013-10-27,160,148,160,146,14,13,877,136011
2013-10-28,165,150,165,160,5,11,8082,1216176
2013-10-29,175,167,170,165,5,12,735,124910
2013-10-30,179,170,170,170,,7,418,72479
2013-10-31,173,170,170,170,,2,557,94861
2013-11-06,168,167,167,170,-3,2,285,47795
2013-11-07,176,170,176,167,9,7,1443,247162
2013-11-11,173,170,173,176,-3,4,305,52450
2013-11-14,182,176,182,173,9,3,47,8362
2013-11-21,188,185,188,182,6,3,791,146665
2013-11-24,194,191,194,188,6,4,791,152924
2013-11-25,204,197,197,194,3,8,2013,402251
2013-11-26,205,200,205,197,8,4,856,172859
2013-11-27,209,207,207,205,2,2,202,42176
2013-11-28,215,211,211,207,4,3,8381,1771075
2014-06-01,231,215,231,211,20,4,120,27280
2014-06-02,254,235,254,231,23,6,64,15630
2014-06-03,279,259,279,254,25,5,50,13450
2014-06-04,274,274,274,279,-5,1,7536,2064864
2014-06-09,301,273,301,274,27,11,1987,558282
