date,high,low,close,previous,diff,numtrans,tradedshares,volume
2013-07-17,275.0,275.0,275.0,,275.0,1,10,2750.0
2013-07-18,302.0,280.0,302.0,275.0,27.0,14,1218,367236.0
2013-07-21,332.0,308.0,332.0,302.0,30.0,14,1168,386996.0
2013-07-22,365.0,338.0,365.0,332.0,33.0,59,2762,1007410.0
2013-07-23,401.0,372.0,401.0,365.0,36.0,94,3481,1393201.0
2013-07-24,441.0,409.0,441.0,401.0,40.0,146,9005,3969605.0
2013-07-25,475.0,418.0,435.0,441.0,-6.0,513,27206,11774216.0
2013-07-28,443.0,430.0,440.0,435.0,5.0,175,10677,4687269.0
2013-07-29,475.0,443.0,474.0,440.0,34.0,159,7786,3568538.0
2013-07-30,470.0,460.0,465.0,474.0,-9.0,58,2727,1267472.0
2013-07-31,458.0,452.0,453.0,465.0,-12.0,94,6706,3054994.0
2013-08-01,444.0,432.0,438.0,453.0,-15.0,57,2588,1127761.0
2013-08-04,444.0,437.0,440.0,438.0,2.0,103,4454,1963172.0
2013-08-05,440.0,429.0,430.0,440.0,-10.0,76,3101,1342111.0
2013-08-06,438.0,422.0,435.0,430.0,5.0,92,2674,1158518.0
2013-08-07,436.0,429.0,435.0,435.0,,90,1924,834894.0
2013-08-08,430.0,427.0,429.0,435.0,-6.0,42,1791,768724.0
2013-08-11,433.0,430.0,433.0,429.0,4.0,19,380,163940.0
2013-08-12,435.0,428.0,435.0,433.0,2.0,67,1664,713926.0
2013-08-13,436.0,430.0,432.0,435.0,-3.0,66,6482,2805780.0
2013-08-14,443.0,426.0,443.0,432.0,11.0,32,632,273264.0
2013-08-15,465.0,435.0,460.0,443.0,17.0,139,10711,4895614.0
2013-08-18,506.0,465.0,506.0,460.0,46.0,101,9047,4510321.0
2013-08-19,509.0,471.0,500.0,506.0,-6.0,76,9860,4876508.0
2013-08-20,507.0,490.0,494.0,500.0,-6.0,48,6659,3340733.0
2013-08-25,498.0,488.0,491.0,494.0,-3.0,41,2469,1218103.0
2013-08-26,500.0,485.0,490.0,491.0,-1.0,49,2481,1218462.0
2013-08-27,490.0,480.0,487.0,490.0,-3.0,36,2491,1218402.0
2013-08-29,495.0,480.0,485.0,487.0,-2.0,28,4159,2019067.0
2013-09-01,480.0,471.0,477.0,485.0,-8.0,35,1349,638429.0
2013-09-02,475.0,470.0,470.0,477.0,-7.0,23,2933,1378836.0
2013-09-03,470.0,452.0,466.0,470.0,-4.0,23,4348,2004184.0
2013-09-04,473.0,466.0,466.0,466.0,,13,1086,511120.0
2013-09-05,474.0,469.0,474.0,466.0,8.0,31,2687,1266514.0
2013-09-08,465.0,465.0,465.0,474.0,-9.0,2,107,49755.0
2013-09-09,470.0,460.0,465.0,465.0,,7,1003,462675.0
2013-09-10,470.0,465.0,466.0,465.0,1.0,13,1883,880191.0
2013-09-11,471.0,466.0,471.0,466.0,5.0,32,1510,708624.0
2013-09-12,470.0,465.0,470.0,471.0,-1.0,12,273,127986.0
2013-09-15,480.0,470.0,470.0,470.0,,29,3111,1470017.0
2013-09-16,479.0,471.0,476.0,470.0,6.0,6,200,94625.0
2013-09-17,480.0,475.0,480.0,476.0,4.0,5,514,245234.0
2013-09-19,490.0,475.0,478.0,480.0,-2.0,38,3347,1621632.0
2013-09-22,485.0,475.0,475.0,478.0,-3.0,36,1341,643286.0
2013-09-23,470.0,452.0,461.0,475.0,-14.0,11,1787,825281.0
2013-09-24,467.0,452.0,460.0,461.0,-1.0,12,1305,595606.0
2013-09-25,465.0,460.0,465.0,460.0,5.0,9,200,92500.0
2013-09-26,469.0,467.0,469.0,465.0,4.0,5,881,412329.0
2013-09-29,470.0,469.0,470.0,469.0,1.0,9,2527,1185203.0
2013-09-30,470.0,448.0,448.0,470.0,-22.0,14,3758,1730702.0
2013-10-01,460.0,450.0,460.0,448.0,12.0,13,2025,920469.0
2013-10-02,465.0,458.0,460.0,460.0,,8,1230,566080.0
2013-10-03,470.0,460.0,470.0,460.0,10.0,14,890,414512.0
2013-10-06,470.0,461.0,470.0,470.0,,6,3193,1496615.0
2013-10-09,472.0,463.0,472.0,470.0,2.0,13,412,191400.0
2013-10-10,478.0,470.0,470.0,472.0,-2.0,7,320,152000.0
2013-10-17,474.0,470.0,474.0,470.0,4.0,5,397,187412.0
2013-10-20,483.0,474.0,474.0,474.0,,7,1754,839335.0
2013-10-21,482.0,475.0,481.0,474.0,7.0,9,2035,977139.0
2013-10-22,481.0,481.0,481.0,481.0,,1,24,11544.0
2013-10-23,481.0,478.0,479.0,481.0,-2.0,5,1989,953171.0
2013-10-24,480.0,471.0,478.0,479.0,-1.0,29,7520,3592180.0
2013-10-27,474.0,471.0,471.0,478.0,-7.0,4,779,367766.0
2013-10-28,471.0,471.0,471.0,471.0,,1,50,23550.0
2013-10-29,471.0,462.0,467.0,471.0,-4.0,4,592,273889.0
2013-11-06,476.0,475.0,476.0,467.0,9.0,2,118,56148.0
2013-11-07,490.0,480.0,490.0,476.0,14.0,7,140,68100.0
2013-11-10,490.0,485.0,490.0,490.0,,8,2793,1364655.0
2013-11-11,485.0,485.0,485.0,490.0,-5.0,5,1212,587820.0
2013-11-12,486.0,485.0,486.0,485.0,1.0,4,295,143154.0
2013-11-13,503.0,492.0,492.0,486.0,6.0,18,3108,1547440.0
2013-11-14,495.0,480.0,495.0,492.0,3.0,21,2957,1436154.0
2013-11-24,520.0,504.0,520.0,495.0,25.0,12,2600,1322635.0
2013-11-25,521.0,506.0,506.0,520.0,-14.0,11,725,371299.0
2013-11-26,549.0,510.0,549.0,506.0,43.0,24,4357,2304398.0
2013-11-27,575.0,559.0,560.0,549.0,11.0,13,1671,952021.0
2013-11-28,585.0,560.0,580.0,560.0,20.0,16,2239,1288548.0
2013-12-01,638.0,591.0,638.0,580.0,58.0,39,5109,3212466.0
2013-12-02,698.0,640.0,698.0,638.0,60.0,14,13257,8551984.0
2013-12-03,767.0,711.0,767.0,698.0,69.0,35,8665,6566393.0
2013-12-04,828.0,782.0,828.0,767.0,61.0,14,1930,1580414.0
2013-12-05,820.0,796.0,796.0,828.0,-32.0,5,1265,1033140.0
2013-12-10,781.0,751.0,751.0,796.0,-45.0,3,40,30640.0
2013-12-16,760.0,735.0,735.0,751.0,-16.0,11,10388,7790477.0
2013-12-19,740.0,706.0,706.0,735.0,-29.0,14,1888,1345976.0
2013-12-22,700.0,641.0,657.0,706.0,-49.0,28,3537,2360584.0
2013-12-23,663.0,637.0,650.0,657.0,-7.0,19,1232,793716.0
2013-12-24,648.0,628.0,645.0,650.0,-5.0,59,4894,3122560.0
2013-12-26,681.0,657.0,670.0,645.0,25.0,24,2443,1648041.0
2013-12-29,668.0,638.0,656.0,670.0,-14.0,44,17249,11277965.0
2013-12-31,660.0,641.0,660.0,656.0,4.0,34,3747,2447070.0
2014-01-01,660.0,645.0,660.0,660.0,,50,2353,1535713.0
2014-01-02,670.0,640.0,670.0,660.0,10.0,170,8757,5735865.0
2014-01-05,670.0,644.0,646.0,670.0,-24.0,88,2576,1681427.0
2014-01-06,660.0,647.0,649.0,646.0,3.0,143,3457,2252142.0
2014-01-07,656.0,637.0,645.0,649.0,-4.0,193,6630,4285637.0
2014-01-08,663.0,637.0,649.0,645.0,4.0,213,5818,3780701.0
