date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1361,1302,1338,1374,-36,1040,61116,81836044.4
2022-02-21,1347,1330,1337,1338,-1,619,33373,44600508.9
2022-02-22,1359,1335,1335.6,1337,-1.4,591,34162,45887853.2
2022-02-23,1360,1330.1,1334,1335.6,-1.6,415,17319,23170788.5
2022-02-24,1340,1280,1292,1334,-42,1524,84131,109355086.8
2010-05-23,961,961,961,980,-19,1,12,11532
2010-06-03,942,942,942,961,-19,1,300,282600
2010-06-14,924,871,871,942,-71,4,142,128204
2010-07-12,854,850,850,871,-21,6,87,73998
2010-07-25,833,770,770,850,-80,8,117,93351
2010-07-26,755,726,752,770,-18,9,297,219160
2010-07-27,770,754,765,752,13,11,436,331844
2010-07-28,750,707,707,765,-58,4,2095,1568215
2010-07-29,693,650,655,707,-52,9,4111,2678300
2010-08-01,667,650,665,655,10,9,4136,2693889
2010-08-02,678,671,678,665,13,5,183,123078
2010-08-03,690,680,690,678,12,3,45,30825
2010-08-04,703,677,703,690,13,4,134,92453
2010-08-05,700,700,700,703,-3,2,290,203000
2010-08-10,693,680,680,700,-20,17,1049,717510
2010-08-11,667,667,667,680,-13,1,60,40020
2010-08-12,655,655,655,667,-12,2,132,86460
2010-08-16,655,655,655,655,,1,15,9825
2010-08-17,643,642,642,655,-13,3,306,196650
2010-08-18,630,618,618,642,-24,3,54,33552
2010-08-19,615,615,615,618,-3,3,154,94710
2010-08-23,603,603,603,615,-12,1,15,9045
2010-08-26,591,591,591,603,-12,2,30,17730
2010-08-29,601,590,601,591,10,7,765,451815
2010-08-30,613,613,613,601,12,1,10,6130
2010-08-31,615,611,615,613,2,4,315,192895
2010-09-02,604,603,603,615,-12,2,200,120700
2010-09-05,592,591,592,603,-11,3,515,304480
2010-09-06,605,595,598,592,6,7,723,430965
2010-09-09,588,587,587,598,-11,2,30,17625
2010-09-12,592,581,592,587,5,4,145,85090
2010-09-13,603,595,603,592,11,3,328,197186
