date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,13.1,12.8,12.8,12.83,-0.03,14,81150,1055492.1
2022-02-21,13,12.75,13,12.8,0.2,15,30600,392085
2022-02-22,13,12.9,12.9,13,-0.1,2,935,12135
2022-02-23,12.8,12.75,12.77,12.9,-0.13,7,9910,126718.9
2022-02-24,12.8,12.74,12.75,12.77,-0.02,15,54496,695323
2020-07-15,10,10,10,,10,1,100,1000
2020-07-21,9.81,9.7,9.7,10,-0.3,7,8050,78200.5
2020-07-22,9.51,9.22,9.22,9.7,-0.48,11,101300,934774
2020-07-23,9.4,9.12,9.3,9.22,0.08,15,54800,514385
2020-07-26,9.69,9.32,9.5,9.3,0.2,7,4350,41125
2020-07-27,9.35,9.33,9.35,9.5,-0.15,7,1600,14940
2020-07-28,9.4,9.3,9.36,9.35,0.01,5,800,7494
2020-07-29,9.54,9.4,9.54,9.36,0.18,4,980,9321.2
2020-07-30,9.91,9.35,9.91,9.54,0.37,7,5600,53746
2020-08-02,9.72,9.53,9.53,9.91,-0.38,2,400,3850
2020-08-03,9.36,9.35,9.36,9.53,-0.17,5,2600,24325
2020-08-05,9.38,9.18,9.26,9.36,-0.1,8,16150,149223
2020-08-06,9.2,9.18,9.2,9.26,-0.06,2,2100,19318
2020-08-09,9.75,9.2,9.75,9.2,0.55,9,6700,62749
2020-08-10,9.57,9.4,9.56,9.75,-0.19,9,1300,12416
2020-08-11,9.39,9.38,9.38,9.56,-0.18,2,300,2816
2020-08-12,9.3,9.3,9.3,9.38,-0.08,2,1200,11160
2020-08-13,9.31,9.31,9.31,9.3,0.01,8,2400,22344
2020-08-16,9.35,9.25,9.35,9.31,0.04,4,5850,54678.5
2020-08-18,9.4,9.35,9.35,9.35,,9,6700,62690
2020-08-19,9.23,9.23,9.23,9.35,-0.12,2,1400,12922
2020-08-20,9.19,9.19,9.19,9.23,-0.04,1,500,4595
2020-08-23,9.14,9.1,9.14,9.19,-0.05,4,800,7302
2020-08-24,9.2,9.05,9.2,9.14,0.06,4,2250,20547.5
2020-08-25,9.18,9.16,9.18,9.2,-0.02,3,2200,20192
2020-08-26,9.22,9.18,9.22,9.18,0.04,8,2100,19300
2020-08-27,9.4,9.26,9.4,9.22,0.18,8,4500,41825
2020-08-30,9.32,9.32,9.32,9.4,-0.08,2,200,1864
2020-08-31,9.35,9.14,9.35,9.32,0.03,16,155150,1442658
2020-09-02,9.5,9.5,9.5,9.35,0.15,3,1700,16150
2020-09-03,9.5,9.31,9.36,9.5,-0.14,6,3350,31261
2020-09-06,9.34,9.28,9.34,9.36,-0.02,7,1800,16760
2020-09-07,9.36,9.16,9.3,9.34,-0.04,7,7800,72673
2020-09-08,9.35,9.3,9.3,9.3,,4,5650,52795
2020-09-09,9.22,9.22,9.22,9.3,-0.08,3,1100,10142
2020-09-13,9.4,9.1,9.4,9.22,0.18,7,6200,56915
2020-09-14,9.41,9.31,9.41,9.4,0.01,9,3000,28046
2020-09-15,9.59,9.41,9.44,9.41,0.03,8,1950,18502.5
2020-09-16,9.5,9.44,9.5,9.44,0.06,2,6900,65490
2020-09-17,9.69,9.43,9.69,9.5,0.19,14,5200,49679
2020-09-20,9.68,9.5,9.68,9.69,-0.01,8,3250,31262.5
2020-09-21,9.51,9.49,9.51,9.68,-0.17,2,1600,15204
2020-09-22,9.32,9.25,9.25,9.51,-0.26,3,700,6517
2020-09-23,9.45,9.27,9.34,9.25,0.09,7,1800,16839
2020-09-24,9.4,9.27,9.4,9.34,0.06,4,800,7507
2020-09-27,9.26,9.25,9.25,9.4,-0.15,4,1250,11567.5
2020-09-28,9.25,9.22,9.25,9.25,,3,2450,22656.5
2020-09-29,9.31,9.25,9.3,9.25,0.05,4,2300,21342
2020-09-30,9.48,9.26,9.48,9.3,0.18,5,5200,48671
2020-10-01,9.66,9.47,9.47,9.48,-0.01,3,950,9034.5
2020-10-04,9.5,9.29,9.45,9.47,-0.02,8,9760,91385
2020-10-05,9.27,9.09,9.2,9.45,-0.25,7,3000,27687
2020-10-06,9.15,9.15,9.15,9.2,-0.05,3,300,2745
2020-10-07,9.3,9.21,9.28,9.15,0.13,4,2200,20422
2020-10-08,9.28,9.15,9.25,9.28,-0.03,4,500,4624
2020-10-11,9.3,9.08,9.14,9.25,-0.11,6,2900,26734
2020-10-12,9.31,9.12,9.31,9.14,0.17,7,5900,53988
2020-10-13,9.3,9.21,9.3,9.31,-0.01,7,3100,28690
2020-10-14,9.22,9.16,9.2,9.3,-0.1,5,1800,16558
2020-10-15,9.18,9.16,9.18,9.2,-0.02,2,2000,18340
2020-10-18,9.2,9.02,9.02,9.18,-0.16,5,17100,154570
2020-10-19,9.05,9.01,9.01,9.02,-0.01,6,7000,63150
2020-10-20,9.18,9,9.18,9.01,0.17,3,2250,20295
2020-10-21,9.05,9.02,9.05,9.18,-0.13,4,2800,25262
2020-10-28,9.25,9.2,9.2,9.05,0.15,4,11370,104616
2020-10-29,9.2,9.05,9.05,9.2,-0.15,2,1100,10105
2020-11-01,9.29,9.11,9.29,9.05,0.24,3,5300,48305
2020-11-02,9.47,9.46,9.46,9.29,0.17,7,4900,46384
2020-11-03,9.85,9.5,9.81,9.46,0.35,21,41100,399231
2020-11-04,9.9,9.81,9.82,9.81,0.01,9,1100,10818
2020-11-05,9.79,9.63,9.64,9.82,-0.18,3,3000,29294
2020-11-08,9.65,9.45,9.6,9.64,-0.04,12,10000,95940
2020-11-09,9.74,9.6,9.6,9.6,,8,4500,43528
2020-11-10,9.62,9.51,9.62,9.6,0.02,7,3000,28616
2020-11-11,10.3,9.62,10.3,9.62,0.68,18,22400,227208
2020-11-12,10.1,9.9,10.09,10.3,-0.21,19,14600,147195
2020-11-18,10.09,9.75,9.94,10.09,-0.15,8,4500,44637
2020-11-19,10.27,10,10.27,9.94,0.33,19,7550,76688.5
2020-11-22,10.3,10.21,10.25,10.27,-0.02,23,65700,674652
2020-11-23,10.2,10.1,10.1,10.25,-0.15,22,23550,238905
2020-11-24,10.3,9.9,10.3,10.1,0.2,9,7000,70552
2020-11-25,10.44,10.2,10.44,10.3,0.14,9,53750,555553
2020-11-26,10.44,10.3,10.4,10.44,-0.04,23,35550,370818.5
2020-11-29,10.81,10.2,10.5,10.4,0.1,45,477940,5048843.5
2020-11-30,10.71,10.01,10.3,10.5,-0.2,29,261020,2725862.6
2020-12-01,10.2,10.01,10.16,10.3,-0.14,48,2475716,25037445.76
2020-12-02,10.36,9.97,10,10.16,-0.16,28,383400,3862127
2020-12-03,10.1,10,10,10,,53,1686100,16870020
2020-12-06,10.19,9.82,10.1,10,0.1,16,55500,555631
2020-12-07,10.1,9.92,10.1,10.1,,5,2600,25950
2020-12-08,10.3,10,10.1,10.1,,26,169300,1708571
2020-12-09,10.12,10.05,10.05,10.1,-0.05,24,244270,2461534.5
2020-12-10,10.05,9.88,10.05,10.05,,11,113850,1142001.5
2020-12-13,10.5,9.95,10.5,10.05,0.45,23,32050,322224.4
2020-12-14,10.5,10.06,10.5,10.5,,19,14900,152864.5
2020-12-15,10.5,10.29,10.5,10.5,,6,6000,62887
2020-12-16,10.4,10.03,10.03,10.5,-0.47,8,2700,27518
2020-12-17,10.29,9.9,10.29,10.03,0.26,12,4500,45718
2020-12-20,10.09,10.09,10.09,10.29,-0.2,1,100,1009
2020-12-21,10,9.95,9.96,10.09,-0.13,8,178500,1777920
2020-12-22,9.98,9.86,9.96,9.96,,8,3200,31862
2020-12-23,10.5,10.07,10.1,9.96,0.14,22,129400,1324946
2020-12-24,10.5,10.1,10.35,10.1,0.25,24,48950,506495.5
2020-12-27,10.55,10.15,10.55,10.35,0.2,9,10600,108330
2020-12-28,10.6,10.02,10.2,10.55,-0.35,26,123300,1265449
2020-12-29,10.4,10.01,10.2,10.2,,12,12340,126596
2020-12-30,10.4,10.14,10.4,10.2,0.2,25,166400,1703052
2020-12-31,10.35,10.2,10.3,10.4,-0.1,18,198400,2040005
2021-01-03,10.34,10.2,10.24,10.3,-0.06,34,452800,4647155
2021-01-04,10.25,10.05,10.25,10.24,0.01,16,323000,3305711
2021-01-05,10.4,10.15,10.4,10.25,0.15,37,99900,1036805
2021-01-06,10.6,10.25,10.45,10.4,0.05,42,253050,2653622.5
2021-01-07,10.6,10.4,10.41,10.45,-0.04,14,124644,1303447.1
2021-01-10,10.5,10.26,10.45,10.41,0.04,28,49500,515357
2021-01-11,10.75,10.44,10.75,10.45,0.3,32,116200,1237321
2021-01-12,10.96,10.54,10.55,10.75,-0.2,29,146600,1557456.5
2021-01-13,11.11,10.76,10.82,10.55,0.27,29,224000,2446851
2021-01-17,11.15,10.82,10.9,10.82,0.08,28,161800,1777348
2021-01-18,11.2,10.95,11.17,10.9,0.27,44,164000,1812355
2021-01-19,11.21,10.83,11.21,11.17,0.04,37,459150,5049390
2021-01-20,11.1,11,11.1,11.21,-0.11,15,72600,799726
2021-01-21,11.1,10.92,11.1,11.1,,47,245600,2706490
2021-01-24,11.24,10.96,11.17,11.1,0.07,48,408050,4502386.5
2021-01-25,11.24,10.98,11.19,11.17,0.02,35,242700,2678750
2021-01-26,11.74,11.18,11.22,11.19,0.03,30,92000,1032795
2021-01-27,11.3,10.85,11.3,11.22,0.08,49,413355,4571173.5
2021-01-28,11.31,10.93,10.95,11.3,-0.35,60,407400,4480747
2021-01-31,11,10.76,10.95,10.95,,20,117000,1281700.1
2021-02-01,11.05,10.85,10.92,10.95,-0.03,23,192190,2100980.8
2021-02-02,11.18,10.91,11.16,10.92,0.24,33,263150,2901764
2021-02-03,11.25,10.96,11.2,11.16,0.04,58,2353400,26157389
2021-02-04,11.1,10.98,11.1,11.2,-0.1,16,58600,647066
