date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1041,1012,1018,1051,-33,73,4329,4431085.5
2022-02-21,1035,1008,1035,1018,17,25,3047,3129946.2
2022-02-22,1055.7,1025,1032,1035,-3,52,2715,2816501
2022-02-23,1045,1011.1,1012.7,1032,-19.3,51,3430,3478504.1
2022-02-24,1032,1002.3,1002.3,1012.7,-10.4,38,2608,2628888.5
2015-12-21,337,325,337,,337,3,30,9930
2015-12-23,370,343,370,337,33,6,60,21480
2015-12-24,398,377,398,370,28,5,50,19480
2015-12-27,437,405,437,398,39,5,50,21050
2015-12-28,480,445,480,437,43,5,50,23110
2015-12-29,528,489,528,480,48,6,60,30660
2015-12-31,580,538,580,528,52,5,50,27930
2016-01-03,554,514,554,504,50,34,340,187360
2016-01-11,609,565,609,554,55,5,50,29350
2016-01-12,669,621,669,609,60,70,700,467100
2016-01-13,735,682,735,669,66,12,120,86870
2016-01-14,808,749,808,735,73,8,80,63150
2016-03-29,840,824,840,808,32,2,20,16640
2016-04-03,907,856,907,840,67,4,40,35260
2016-04-04,925,925,925,907,18,1,10,9250
2016-04-11,971,971,971,925,46,1,10,9710
2016-04-12,1019,1019,1019,971,48,1,10,10190
2016-04-21,1039,1039,1039,1019,20,1,10,10390
2016-04-26,1090,1090,1090,1039,51,1,10,10900
2016-05-08,1144,1144,1144,1090,54,4,40,45760
2016-05-11,1166,1166,1166,1144,22,1,10,11660
2016-05-17,1224,1224,1224,1166,58,1,10,12240
2016-05-18,1285,1285,1285,1224,61,1,10,12850
2016-05-22,1375,1349,1375,1285,90,2,20,27240
2016-05-23,1500,1443,1500,1375,125,4,40,59140
2016-05-24,1638,1575,1638,1500,138,4,40,63940
2016-05-25,1703,1670,1703,1638,65,3,30,50760
2016-05-31,1806,1737,1806,1703,103,3,30,53140
2016-06-02,1842,1842,1842,1806,36,1,10,18420
2016-06-08,1855,1855,1855,1842,13,1,10,18550
