date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,739,708,726,735,-9,217,26660,19302247.3
2022-02-21,784,721.3,765,726,39,314,43028,32720111.8
2022-02-22,780.3,760,768,765,3,310,40085,30826602.9
2022-02-23,813,756,806,768,38,619,100612,80210992.7
2022-02-24,830,784,793,806,-13,978,138545,112513094.9
2020-08-26,336,306,336,306,30,3329,62637,20660602
2020-08-27,369,352,369,336,33,2270,28550,10526150
2020-08-30,405,387,405,369,36,17814,297162,120013260
2020-08-31,445,425,445,405,40,5340,75618,33530485
2020-09-02,489,467,489,445,44,1902,26975,13140815
2020-09-03,537,513,537,489,48,3101,44505,23893475
2020-09-06,590,484,484,537,-53,1016,49953,25695122
2020-09-07,460,436,436,484,-48,125,7815,3420000
2020-09-08,415,393,393,436,-43,180,10210,4032930
2020-09-09,374,354,354,393,-39,272,14498,5145882
2020-09-10,389,319,389,354,35,4539,83295,28900909
2020-09-13,427,408,427,389,38,3625,71494,30413883
2020-09-14,456,400,416,427,-11,6916,115029,48817754
2020-09-15,436,400,408,416,-8,3103,40769,16625804
2020-09-16,412,400,406,408,-2,2153,28882,11725930
2020-09-17,405,398,401,406,-5,2088,37908,15184272
2020-09-20,396,385,387,401,-14,2070,37140,14379455
2020-09-21,380,370,371,387,-16,3217,45446,16918850
2020-09-22,367,358,360,371,-11,2186,42449,15355897
2020-09-23,386,355,375,360,15,1875,26060,9547070
2020-09-24,380,369,375,375,,1387,19135,7183145
2020-09-27,374,364,368,375,-7,956,16779,6193073
2020-09-28,369,351,365,368,-3,1000,17357,6307747
2020-09-29,366,358,359,365,-6,1011,31940,11525000
2020-09-30,360,355,357,359,-2,920,24501,8761426
2020-10-01,377,352,359,357,2,1142,30235,10918760
2020-10-04,368,356,362,359,3,1247,24105,8719500
2020-10-05,363,357,358,362,-4,843,15312,5505303
2020-10-06,365,355,357,358,-1,735,14308,5103312
2020-10-07,371,352,371,357,14,842,25735,9246946
2020-10-08,371,359,360,371,-11,773,15029,5460448
2020-10-11,370,351,357,360,-3,633,9160,3253860
2020-10-12,357,353,354,357,-3,656,12798,4540357
2020-10-13,358,350,354,354,,567,10920,3865880
2020-10-14,353,345,350,354,-4,614,17455,6099140
2020-10-15,355,347,350,350,,426,10859,3794565
