date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1711,1629.1,1710,1679,31,849,112672,190296150.8
2022-02-21,1744,1693,1737,1710,27,800,153445,265013560.4
2022-02-22,1799.9,1702.3,1779,1737,42,792,121539,214967421.2
2022-02-23,1799,1725,1726,1779,-53,971,110212,193785554
2022-02-24,1741,1662.2,1690,1726,-36,1047,147895,253572127
2010-04-15,455,422,455,414,41,13,3300,1464600
2010-04-19,445,441,441,442,-1,3,400,177500
2010-04-20,445,440,444,441,3,7,3870,1708480
2010-04-21,444,438,443,444,-1,10,2000,882540
2010-04-22,440,433,440,443,-3,5,1250,542850
2010-04-25,455,440,455,440,15,10,2310,1035190
2010-04-26,448,441,445,455,-10,3,1200,534700
2010-04-27,448,433,445,445,,11,3030,1335440
2010-04-28,440,438,440,445,-5,7,1200,527800
2010-04-29,448,444,445,440,5,4,2400,1070600
2010-05-09,437,435,437,445,-8,5,940,409780
2010-05-10,440,440,440,437,3,4,870,382800
2010-05-11,455,432,454,440,14,7,2330,1032360
2010-05-12,480,459,480,454,26,8,2040,953400
2010-05-13,483,465,474,480,-6,11,1760,837500
2010-05-16,465,450,450,474,-24,15,2310,1053020
2010-05-17,450,437,450,450,,8,2170,967890
2010-05-18,459,450,459,450,9,4,910,414000
2010-05-19,461,450,461,459,2,4,1450,657100
2010-05-20,479,468,479,461,18,4,500,236700
2010-05-23,479,461,479,479,,12,3060,1440940
2010-05-24,470,465,465,479,-14,5,1560,726800
2010-05-25,484,465,480,465,15,9,2400,1133900
2010-05-26,480,470,470,480,-10,8,1800,849700
2010-05-30,488,479,488,470,18,2,100,48350
2010-05-31,509,470,479,488,-9,16,4220,2052850
2010-06-01,479,457,457,479,-22,4,2550,1200900
2010-06-02,475,451,475,457,18,5,550,256780
2010-06-03,480,462,462,475,-13,6,1550,721600
2010-06-06,471,471,471,462,9,1,100,47100
2010-06-07,470,470,470,471,-1,1,100,47000
2010-06-08,475,465,470,470,,4,1430,672150
2010-06-09,479,472,472,470,2,6,720,343090
2010-06-10,477,470,471,472,-1,8,1190,563460
2010-06-13,467,467,467,471,-4,1,100,46700
2010-06-14,467,455,464,467,-3,12,2840,1307950
2010-06-15,465,456,465,464,1,8,1780,820150
2010-06-16,463,463,463,465,-2,1,150,69450
2010-06-17,464,455,464,463,1,4,1020,467260
2010-06-20,463,456,460,464,-4,6,950,436400
2010-06-21,455,440,440,460,-20,5,3150,1400400
2010-06-22,461,448,458,440,18,8,1140,517750
2010-06-23,456,455,455,458,-3,4,860,391500
2010-06-24,460,451,451,455,-4,4,400,181900
2010-06-28,450,442,442,451,-9,2,500,221800
2010-06-29,450,445,450,442,8,7,1280,574750
2010-06-30,452,450,450,450,,4,500,225200
2010-07-01,477,459,477,450,27,5,500,235340
2010-07-04,468,455,460,477,-17,6,1100,503900
2010-07-05,458,452,455,460,-5,5,470,214000
2010-07-06,453,453,453,455,-2,1,100,45300
2010-07-07,460,451,458,453,5,7,960,436660
2010-07-08,468,450,450,458,-8,16,2600,1176970
2010-07-12,456,450,456,450,6,3,700,315800
2010-07-13,456,456,456,456,,2,1000,456000
2010-07-14,458,458,458,456,2,2,360,164880
2010-07-15,460,451,460,458,2,2,400,181300
2010-07-18,458,451,458,460,-2,3,600,273400
2010-07-20,463,460,460,458,2,5,2550,1173300
2010-07-21,468,460,468,460,8,17,3000,1392250
2010-07-25,465,460,465,468,-3,3,510,236650
